# File generated on 2024-02-06 23:08:53
# Number of participants: 84
# Number of patients (pain): 42
# Number of controls: 42
# 1 datasets were included:
# - SRPBS1600
# Effect size cohen d (regression coefficient normalized by the pooled SD).
x,Left-Thalamus-Proper,Left-Caudate,Left-Putamen,Left-Pallidum,Left-Hippocampus,Left-Amygdala,Left-Accumbens-area,Right-Thalamus-Proper,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,ctx-lh-bankssts,ctx-lh-caudalanteriorcingulate,ctx-lh-caudalmiddlefrontal,ctx-lh-cuneus,ctx-lh-entorhinal,ctx-lh-fusiform,ctx-lh-inferiorparietal,ctx-lh-inferiortemporal,ctx-lh-isthmuscingulate,ctx-lh-lateraloccipital,ctx-lh-lateralorbitofrontal,ctx-lh-lingual,ctx-lh-medialorbitofrontal,ctx-lh-middletemporal,ctx-lh-parahippocampal,ctx-lh-paracentral,ctx-lh-parsopercularis,ctx-lh-parsorbitalis,ctx-lh-parstriangularis,ctx-lh-pericalcarine,ctx-lh-postcentral,ctx-lh-posteriorcingulate,ctx-lh-precentral,ctx-lh-precuneus,ctx-lh-rostralanteriorcingulate,ctx-lh-rostralmiddlefrontal,ctx-lh-superiorfrontal,ctx-lh-superiorparietal,ctx-lh-superiortemporal,ctx-lh-supramarginal,ctx-lh-frontalpole,ctx-lh-temporalpole,ctx-lh-transversetemporal,ctx-lh-insula,ctx-rh-bankssts,ctx-rh-caudalanteriorcingulate,ctx-rh-caudalmiddlefrontal,ctx-rh-cuneus,ctx-rh-entorhinal,ctx-rh-fusiform,ctx-rh-inferiorparietal,ctx-rh-inferiortemporal,ctx-rh-isthmuscingulate,ctx-rh-lateraloccipital,ctx-rh-lateralorbitofrontal,ctx-rh-lingual,ctx-rh-medialorbitofrontal,ctx-rh-middletemporal,ctx-rh-parahippocampal,ctx-rh-paracentral,ctx-rh-parsopercularis,ctx-rh-parsorbitalis,ctx-rh-parstriangularis,ctx-rh-pericalcarine,ctx-rh-postcentral,ctx-rh-posteriorcingulate,ctx-rh-precentral,ctx-rh-precuneus,ctx-rh-rostralanteriorcingulate,ctx-rh-rostralmiddlefrontal,ctx-rh-superiorfrontal,ctx-rh-superiorparietal,ctx-rh-superiortemporal,ctx-rh-supramarginal,ctx-rh-frontalpole,ctx-rh-temporalpole,ctx-rh-transversetemporal,ctx-rh-insula
Left-Thalamus-Proper, nan,-0.6259457245981931,-0.3621727262839396,-0.5387668197833833,0.0937066064166263,-0.051095934234839456,-0.19358212532911592,-0.3903160948699531,-0.16636263475324867,-0.21789886138242195,-0.4835902071938648,0.243378404179184,0.11599663394207806,0.03342199328723548,0.3484373261216064,-0.11006340602906105,0.08964336630875062,0.1845204551745586,-0.33790436695443515,-0.2840327894617071,0.1577433681229062,-0.38340203739607565,-0.02802321244957153,-0.03336841638997861,-0.11069325389930826,-0.07949905284947348,0.20657344635337185,-0.08889653032954392,0.10287409505066916,0.2602403092294148,-0.09431156565156106,-0.20504473752535812,-0.0677283158756433,-0.1375686770347,0.28133870934638816,-0.009460553618111312,0.1201408805039373,0.1897677644024749,0.3161287646159663,-0.21977647542929876,0.039999621208284986,0.050555870543050316,0.15123422513081292,0.15185182709255435,0.13924433033299885,-0.13870278746968095,0.09896453897299279,-0.22665070279990743,0.4336673851103335,-0.3004869108189477,0.07023708982297201,0.15080460203081453,-0.2831239193311408,0.12710960881848934,0.21215604168857785,-0.03390117105580904,0.14441072244453868,0.08139619371444862,0.10230143783205395,0.03871659998623256,0.0630035761948651,0.25501012905737425,0.35093871755738004,0.22872250766907926,-0.21550953373798318,-0.19535736913556,-0.18103339942825233,-0.29416768273488964,0.22722756076618036,0.033430660378704805,0.05071717469055362,0.33754922487836747,0.44203294154496864,0.07212235226925207,0.011106588680415681,0.14642644004967767,0.20236795432419943,-0.1154100672667217,0.26070329385830343,0.11892800572001307,0.0018747322517370965,0.04261716936296207
Left-Caudate, nan,nan,-0.3321508340544933,-0.3099647987078566,-0.17847132281277708,0.0277964909113462,-0.08187206940011646,-0.4804795446844531,-0.19560152582175258,-0.20877060362893873,-0.2627411536437319,-0.1206360633793287,-0.31091188930224994,-0.2303118131637595,-0.17866421483580439,-0.29462127043785846,-0.07698736278743662,-0.21791795507048162,-0.3079815013537541,-0.6721316179759064,-0.135310987437667,-0.42801715341162155,-0.33341329227066757,-0.08197211174828414,0.006975946461161117,-0.5446520468186907,0.28875761625418045,-0.2534632759834754,-0.3832480051096848,-0.03815379643713952,-0.24172311870982494,-0.3828334289301984,-0.14795337654229548,-0.3707182173645067,-0.2688239749680862,-0.43929306648996297,-0.15364997972208613,-0.23600399556482865,0.286158793899461,-0.3660464652563059,-0.09195511932849894,-0.06295187490192249,-0.21421797448361637,-0.23693656786151626,-0.07324565283815423,-0.11827831294353587,-0.33210250333104396,-0.4105674191246124,-0.031059707044077917,-0.487242138442236,-0.020119895649991115,-0.17993670087269462,-0.01676451747688438,-0.21751004826000164,-0.208033500370277,-0.23271770454386195,-0.3305316120030232,-0.09329681304365621,-0.08250058213958222,-0.3343312277701962,0.19301223826034872,-0.01745694539287236,-0.3571159761150883,-0.005849735832173226,-0.2560395272635365,-0.3787462056904375,-0.2428749611172248,-0.42601076305486385,-0.1671936180140759,-0.5437730230688197,-0.17577202130449165,-0.23078368429420912,0.014850186101849603,-0.17197373733615903,-0.11770503311835462,-0.0766689658797802,-0.22609166034451927,-0.28068434130755204,-0.12615500208229335,-0.12618874916542613,-0.5266335250719891,-0.337739676571696
Left-Putamen, nan,nan,nan,-0.43598062862174886,-0.061317066395829345,-0.1563466275509213,-0.1439359809095308,-0.29657033799254884,-0.18313625833332228,-0.3434502169164672,-0.3572899937601178,0.024366155195279657,-0.12587178992401488,-0.12891850965621376,0.04325934846123754,-0.31157079267366694,-0.29653117107177274,-0.18316214613605736,-0.12455236670952584,-0.3255774295904414,0.056797532896592506,-0.0614860119000637,-0.2842758617148181,-0.06775003916870768,0.01614158462920955,-0.34321166052195134,0.14294651797425353,0.07964253382421092,-0.2083790016847557,-0.2560347794838565,-0.11518425007773647,0.10591720828140434,0.0670611907815575,-0.48003152654171666,-0.215220706232969,-0.32114767608924455,-0.1528688394659822,-0.29397040180534,0.2583403386962526,-0.2064422558169265,-0.22234943797336673,-0.1727882203279751,-0.05789856244756705,-0.13391066026186596,0.2588405552065618,-0.21090661899290422,-0.1257882947431836,-0.19775619237716452,-0.08819104628315315,-0.457110988079131,-0.2839908269415935,-0.29237566373587975,-0.11890003471248045,-0.22981790066818134,-0.12633272513513555,-0.14974296995389522,-0.24366630622919258,-0.1360032152074841,0.12929585890283368,-0.37358965187788984,0.08185757572286201,0.08355255726028296,-0.031932675517612905,-0.28046534617755814,-0.32203942501078436,-0.09181750968655668,-0.17281216288173837,-0.3793274346132437,-0.21239634486433953,-0.46655528047057854,-0.2340174146791288,-0.3379979952718432,0.20761658100713745,-0.13313116754823243,-0.2610390634732553,-0.12103016701718379,-0.13786522658134726,-0.3278760363276477,0.23923778261421222,0.05830625923220698,-0.1496818333090402,-0.12099016407626664
Left-Pallidum, nan,nan,nan,nan,0.05741307716708123,0.07882606985715095,-0.004381355387798717,-0.42747973719702,0.009233060962704924,-0.20614362099713207,-0.3993811135845325,0.10205463473315755,0.2036248833178762,0.036220539927614176,-0.1970582269000724,-0.07625152333459106,-0.3383431101258787,0.12611834548001885,-0.24498623572287814,-0.13759448577690492,-0.34211429388092557,-0.07800515682352507,-0.2834726623018616,-0.11446167567973306,-0.07626823344177461,-0.23140144956875275,-0.09248947902696483,-0.36855528705637663,0.034213759960626665,0.03337343000937211,-0.3763414528485028,-0.15651860306964974,-0.2758135209422177,-0.13513426447525562,0.0305477064722575,-0.1282029432447619,-0.04817145617350153,-0.2143428505084943,-0.10299913171961649,-0.23571713941471295,-0.05759629371119251,-0.17035118253444057,-0.18143197457602625,-0.2402631902590878,-0.18990957048443585,-0.3411157485875882,-0.07642987935391937,-0.1608145350938467,-0.33374119626370846,-0.3162037993422279,-0.2762101600447113,0.14450156249197169,-0.12969231073311574,-0.08448239142606642,-0.2056868689990896,-0.13485701756437393,-0.05420656734379416,-0.12154734180149483,0.007243761161532935,-0.09350886801725065,-0.14087549836978502,-0.15602649328859972,0.07973960759341028,0.18175915376384064,-0.5366447540368422,-0.2681747022581111,-0.1275942853784373,-0.3395326142513483,0.042430004422346825,-0.22629519433534748,-0.06533513375110475,-0.19488421993428542,0.10750560472034187,-0.19437195777169233,-0.06476309702087454,-0.1285999715270992,-0.0881428853974424,-0.30117217165595517,0.0895038574671217,-0.0026972132786757183,0.01644677814010209,-0.20363664196218761
Left-Hippocampus, nan,nan,nan,nan,nan,-0.5449390930790017,-0.2103464671307518,0.08354722935555185,-0.08589354556344313,-0.0439131110337761,0.14310028006110503,-0.4492103547005588,-0.2909587118613055,-0.16006918993193905,-0.12854401077929986,-0.26468632698833017,-0.2896799911794649,0.11249927446697638,0.041998757268815586,-0.2537339166664845,-0.14148163116225682,-0.15640733615758493,-0.07435684245875372,0.031593622327029496,-0.26656116085284576,-0.03128029208958913,-0.08667860259883489,-0.12994128693670745,-0.40087901548684707,-0.3235781923984664,-0.42998751510236494,-0.32095043025366427,-0.4043342075481433,-0.25089474888510893,-0.4108964961924878,-0.06324942499102601,-0.5112345443533425,-0.026509443710757075,-0.42650161119691893,-0.1775592087369554,-0.30369860725737197,-0.2544588002246159,-0.23614888660340072,-0.2008854471851635,0.2267018164010035,-0.1411864623700786,-0.16744587063861624,-0.4941299411922466,-0.1928720515634989,-0.324150672957732,-0.10906292296555305,0.12954697840196944,-0.41083095283790905,-0.3168460624419735,0.005345199629459052,-0.3126810939002878,-0.06871110648008402,-0.026977896864337953,-0.1361790624971381,-0.14263425982438727,-0.23192203699293867,-0.19596500526047167,-0.20783675287052344,-0.2756747579953741,-0.4304669787354717,-0.3980250563956075,-0.14766138031273177,-0.08587770059049289,-0.2292023476462317,-0.07287106174082947,-0.31964926465057725,0.14077504873196528,-0.22317564531354414,-0.2014076090463215,-0.13057798411591928,-0.09056483828542658,-0.39856271299306145,-0.22316195699874988,0.16715380748878333,0.07737772892790243,-0.3348680344422463,-0.277928693087341
Left-Amygdala, nan,nan,nan,nan,nan,nan,-0.29369801710818033,-0.13430992901086067,-0.03971338580781078,-0.18972438390335125,0.2502856944232117,-0.7045007424576665,-0.49782790769385893,-0.20930838436090898,-0.17611498325331196,-0.20433468804579338,-0.2560525533317798,-0.016998797873847966,-0.49268807230191336,-0.49773814179080583,-0.18686391911498845,-0.4323987811790507,-0.1532522156458363,0.002466274769008928,-0.2785011590339144,-0.14212336559190092,-0.12594169055146529,-0.3864287138319292,-0.5145897510518929,-0.3797694738603312,-0.16255330523326855,-0.4699607239667695,-0.23240338002841485,-0.19624152088353175,-0.23347263133931204,-0.35330695877043494,-0.37552720093263137,-0.17100743542627495,-0.6108906705126457,-0.30118109970588314,-0.2551756221023649,-0.32781060292703046,-0.2637174693706258,-0.2294728110532947,0.04926672791379988,-0.44605499928752035,-0.3911983010005995,-0.23791838889123024,-0.5293280403137273,-0.256041097801345,-0.3106302522022312,-0.10286222766291525,-0.24732983573697723,-0.5111546895048904,-0.32750005353346784,-0.4317391193736763,-0.11552202593151573,-0.22178222893258714,-0.4215114268562675,-0.2788115850561815,-0.32780404664932694,-0.48050030099075886,-0.08199246325028206,-0.20890591781973822,-0.29496346258305267,-0.5395213928174196,-0.2093430697157695,-0.0008456940388963714,-0.2756286200665751,-0.37349292303344817,-0.2900426014458716,-0.11018862412212994,-0.2794670421396396,-0.2718583411564922,-0.19744352627808504,-0.14795959879898274,-0.49642480291278734,-0.4436396877254282,0.07216946004988235,-0.12507278628178245,-0.49898162005693547,-0.47567162461070306
Left-Accumbens-area, nan,nan,nan,nan,nan,nan,nan,-0.20317215488501914,-0.20497844243829644,-0.12613153059477494,0.03371801700148039,-0.2751967591412947,-0.15643124557292146,-0.23517836531785627,-0.38780798211672124,-0.12043189463429825,-0.24984307597787556,-0.19185113224950973,-0.27049717128966466,-0.32396577364584456,-0.27616361382300514,-0.3894612708377505,-0.1412203506283655,0.050000364994081975,-0.23627293949043246,-0.2468497395101588,-0.3113537240471759,-0.34895156882536693,-0.3161691577505777,-0.3655243457685949,0.048302288740972636,-0.22760657767488635,0.023794842216627303,-0.17146990288614009,-0.2872933128644258,-0.1827022075647108,-0.11365003678878492,-0.28800040709332014,-0.19197142029693118,0.12988376813550556,-0.2792669341774971,-0.1780246666154165,-0.254357533143621,-0.18232597165558925,0.2553170873178283,-0.07410853813020184,-0.19980616315917094,0.017113480348448066,-0.12269238153294613,-0.15431546915833194,0.04574099034231229,-0.1677418878487245,-0.14221795893131858,-0.23822754569128984,-0.18620575060200645,-0.2257221339417009,-0.20812688215326675,-0.04976946055270365,-0.1579898806639708,-0.1975153002604087,-0.3032470641326258,-0.317045342039188,-0.37999350276970173,-0.3941866211355303,0.03834847197178233,-0.17636042238285385,-0.012704909544404916,-0.062334337334372415,-0.23209797942082003,-0.025283237344571524,-0.13035882241242214,-0.17022913587226515,-0.3549144134889658,0.10389783845693511,-0.13354687959539022,0.09967618341757495,-0.2567857141305825,0.00028135663493200695,0.13934237103871364,-0.4370341532464409,-0.260988992068602,-0.22780848360287728
Right-Thalamus-Proper, nan,nan,nan,nan,nan,nan,nan,nan,-0.1764531255307095,-0.39579674463387304,-0.6471459328380583,0.18680783178199356,0.02487589717998435,-0.11612397791629993,0.4438325612304216,-0.0760051430340972,0.0823752224282951,0.38669772169109606,-0.4562702322334259,-0.23169818257910343,0.17447510149890352,-0.3487023180532183,0.18364114535335685,-0.019995228547325248,-0.17557712968227476,-0.046469476315334296,0.1615774621230332,-0.08738653815803073,0.07276370086722432,0.1549400046716098,-0.09729131810310558,-0.3105245467577762,-0.07474212461661034,-0.008780979447395896,0.08766464293668291,0.11242412637395334,0.05899660075171415,0.2594845118973204,0.102865228043015,-0.17588458288422845,-0.030256836211244066,0.09735664669392174,0.09129493085197622,0.1490349107018673,0.1221696678312705,-0.42345877141787985,0.19017230499137075,-0.17462298001015633,0.3918564730099923,-0.2663280150354988,0.16603956692913807,0.08962348385715554,-0.540305743705326,0.023642734162973127,0.29647934617347294,-0.0696025190524077,0.31433722229690364,-0.034184865585065276,0.056195062224175876,0.16614603993861118,0.11078289699039637,0.07301411949701135,0.13749229080578818,0.12465185642637773,-0.23381325940572265,-0.26460791795669497,-0.11374347020801284,-0.23364707806845103,0.14278507169524426,0.15853709140269828,0.06309094821940964,0.35950204224849397,0.3231727353419302,0.06724050826531808,-0.005435435339027214,0.1068217628773115,0.11616659110146872,-0.0067027269411461315,0.32418878337471496,0.02044171676570486,0.03622900899960959,0.03423140577196356
Right-Caudate, nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.31476513866523875,-0.10886043589261753,0.1251337520383002,-0.02901512967734103,-0.17694071660069416,0.263043841801021,-0.2718518058290195,0.13127983665716197,-0.0917817456730042,-0.3828030619377274,-0.544508284957054,-0.0018553104154461833,-0.26020739775376384,-0.003801225596379235,-0.13651584698582186,-0.11229554564054116,-0.2638714056884836,0.05639070852282418,-0.03617010592515798,-0.16751529359590783,-0.08076955398439173,-0.007024169074445303,-0.16765047351200874,-0.06448173709278067,0.00031964055523892786,-0.2099135892801097,-0.09029821813459964,-0.12856807596227346,-0.02503822340400772,-0.051963810281648204,-0.1941913225911056,0.0836298680781786,-0.2142706513952517,-0.05624708109935178,-0.04359424072324622,-0.3141414900961533,-0.30663053681746716,0.015452393540372372,-0.23253317313119215,0.08431371995210643,-0.3422255589492146,0.04053523953923162,-0.024141723875544887,-0.06156284124597658,-0.335870066273338,-0.17626019423630904,-0.3009230693224243,-0.035392447672390165,-0.24957233859104497,-0.03635575294713032,-0.19897085827781855,0.1211476384535046,-0.02475908073248505,-0.31216439773812044,-0.12305320684675429,-0.30711984087336847,-0.2781995321918515,-0.24298177088642467,-0.0693586701183355,-0.1337496720387819,-0.11889140911743802,-0.13397872181512194,-0.01760143178037372,0.13807326939504044,-0.1943520858356076,0.010703058850863456,-0.23402038939638134,-0.17063139990218731,-0.17929293373356303,0.013144894310799371,-0.07760869426157939,-0.2819500652247096,-0.2687737724267487
Right-Putamen, nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.32878570371102867,0.13795732667297844,-0.19335392717410935,-0.0036867644255497555,0.031035663270595044,-0.30585540552457086,-0.10205877724602797,-0.29803547187329515,-0.28388306318857326,-0.36084362444544565,0.028068351267754244,-0.16441552435324697,-0.024908247490359026,-0.164483462999975,-0.15651239808726877,-0.271972377157128,0.14463246042993153,-0.18749227013292274,-0.2992593280311551,-0.13724880000084777,-0.32125149498600125,-0.16169038310368408,-0.17918798001450267,-0.5622101554396185,-0.16047861400508245,-0.2804907274663779,-0.19983762117812656,-0.13799466236927962,0.017694762493776748,-0.20775093020445257,-0.12829213000661355,-0.25946186014504574,-0.02724787520022778,-0.030684493605110878,0.2649451638817882,-0.31786105407810616,0.047578293502380284,-0.22939847307183525,-0.07664085974533508,-0.4813137651588021,-0.16072117854557938,-0.28763146714748894,-0.11146233668850201,-0.30928968292450115,0.02693735080637162,-0.1502514961064882,-0.14638462925949053,-0.23015327428747445,0.0741565848272763,-0.3208982806980284,0.030559503287619184,-0.031501787844952285,-0.06827376226359765,-0.10519169369429754,-0.31035343786647324,-0.2043479955578853,-0.32385640784743164,-0.3499938597357487,-0.053628724263036845,-0.28069284745988465,-0.07130372810149674,-0.14528113467481235,-0.03307985220110352,-0.18819875139087774,-0.2856181530018519,-0.09592520552292098,-0.09464599838980219,-0.19055446022849631,0.16920105624669385,0.19849942836218384,-0.05105429674791006,-0.3209237544968102
