# File generated on 2024-02-06 23:08:53
# Number of participants: 84
# Number of patients (pain): 42
# Number of controls: 42
# 1 datasets were included:
# - SRPBS1600
# P-value.
x,Left-Thalamus-Proper,Left-Caudate,Left-Putamen,Left-Pallidum,Left-Hippocampus,Left-Amygdala,Left-Accumbens-area,Right-Thalamus-Proper,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,ctx-lh-bankssts,ctx-lh-caudalanteriorcingulate,ctx-lh-caudalmiddlefrontal,ctx-lh-cuneus,ctx-lh-entorhinal,ctx-lh-fusiform,ctx-lh-inferiorparietal,ctx-lh-inferiortemporal,ctx-lh-isthmuscingulate,ctx-lh-lateraloccipital,ctx-lh-lateralorbitofrontal,ctx-lh-lingual,ctx-lh-medialorbitofrontal,ctx-lh-middletemporal,ctx-lh-parahippocampal,ctx-lh-paracentral,ctx-lh-parsopercularis,ctx-lh-parsorbitalis,ctx-lh-parstriangularis,ctx-lh-pericalcarine,ctx-lh-postcentral,ctx-lh-posteriorcingulate,ctx-lh-precentral,ctx-lh-precuneus,ctx-lh-rostralanteriorcingulate,ctx-lh-rostralmiddlefrontal,ctx-lh-superiorfrontal,ctx-lh-superiorparietal,ctx-lh-superiortemporal,ctx-lh-supramarginal,ctx-lh-frontalpole,ctx-lh-temporalpole,ctx-lh-transversetemporal,ctx-lh-insula,ctx-rh-bankssts,ctx-rh-caudalanteriorcingulate,ctx-rh-caudalmiddlefrontal,ctx-rh-cuneus,ctx-rh-entorhinal,ctx-rh-fusiform,ctx-rh-inferiorparietal,ctx-rh-inferiortemporal,ctx-rh-isthmuscingulate,ctx-rh-lateraloccipital,ctx-rh-lateralorbitofrontal,ctx-rh-lingual,ctx-rh-medialorbitofrontal,ctx-rh-middletemporal,ctx-rh-parahippocampal,ctx-rh-paracentral,ctx-rh-parsopercularis,ctx-rh-parsorbitalis,ctx-rh-parstriangularis,ctx-rh-pericalcarine,ctx-rh-postcentral,ctx-rh-posteriorcingulate,ctx-rh-precentral,ctx-rh-precuneus,ctx-rh-rostralanteriorcingulate,ctx-rh-rostralmiddlefrontal,ctx-rh-superiorfrontal,ctx-rh-superiorparietal,ctx-rh-superiortemporal,ctx-rh-supramarginal,ctx-rh-frontalpole,ctx-rh-temporalpole,ctx-rh-transversetemporal,ctx-rh-insula
Left-Thalamus-Proper, nan,0.005846239339636878,0.10104525507311322,0.016295109255513134,0.6744853527881258,0.818069801905316,0.38090661138162496,0.07665013698793803,0.4474272875582783,0.3291369357487429,0.032657214089691765,0.27307151482300307,0.6035342552832641,0.8812689205104405,0.12047352435406787,0.6108770363191035,0.6878506767801466,0.4115268665682599,0.1297274665201366,0.20065279401911235,0.4779878199317412,0.08379548843514224,0.8984910877768131,0.8815067050323143,0.6194219208459399,0.7214342383514833,0.3559484015673401,0.6828961955785382,0.6421429272245789,0.24571298094222632,0.6717590201800756,0.35488184655618216,0.7614684977518253,0.5359563980684046,0.2115116861991591,0.9656704640650631,0.5874377652715776,0.39857505421383344,0.14705982399459397,0.3268198608395587,0.8576711329819836,0.8214702552657589,0.4954689008009515,0.49439836809600546,0.5266162047178835,0.5341406317277251,0.657205634462002,0.31066496176599667,0.05568641918037432,0.16084818454009064,0.7515186044461123,0.5012618993748371,0.20571813399634445,0.5665675974662212,0.3431709899579404,0.878137002029754,0.5188124210438695,0.7167097905894879,0.6475339178967668,0.8621424325000688,0.7772549511747183,0.2463604680477984,0.10407258980378233,0.3070353623351081,0.3358789514911996,0.3813561415735689,0.4178102000524824,0.19139514734299679,0.31260233626152545,0.8802189024556462,0.8196854605695166,0.13497081645934425,0.04964330709580675,0.747694557168619,0.9599863529133557,0.5122932076772269,0.36199305227757494,0.5992827026500505,0.2433543538593193,0.5860584573233973,0.9932973390747647,0.8476670131869457
Left-Caudate, nan,nan,0.14081064007626168,0.16541994008770688,0.4148516839036921,0.901038425361408,0.7103417388065715,0.03348124978821571,0.37279527245148736,0.351100045932618,0.24112325224448408,0.5871679285096186,0.15936198272593496,0.30534450086679177,0.42448180660875223,0.18892091156349985,0.7312534594456013,0.32371596835557837,0.17069417615671537,0.0035233589404989594,0.5454873454771126,0.05809125024777483,0.13671694651812588,0.7147361869966531,0.975076260378636,0.016892292335670567,0.19798302894632694,0.2548390012691854,0.09006139886476974,0.8640662080534615,0.28120364709166185,0.08499729943340588,0.5078570137576408,0.10112518502457903,0.22991906904147677,0.05196434733864962,0.48974335214303466,0.29441589236930693,0.1954180350480896,0.10041359772298368,0.6815021310104519,0.778643028399035,0.3393855839047335,0.29130400138137824,0.7359851356003475,0.5922117364458097,0.13789611593757917,0.06829209699887244,0.889777288412235,0.028909216472766504,0.9281656950957249,0.41973378042450904,0.9401076635215234,0.32842529067416615,0.3511928652502163,0.3007590991135178,0.1397786989286145,0.6771806085715455,0.7110284792577493,0.13580869385709662,0.3877410484604288,0.9377658297016376,0.09941011683598876,0.9787551770763767,0.2536846595270934,0.09000330955176865,0.2800239245799844,0.05985716751627534,0.45581307903274426,0.01708867061870582,0.42865430018608,0.30420756473192884,0.9459201590661062,0.4414405943987024,0.5967379864525095,0.7308989145591769,0.31500097746586797,0.2114279482985177,0.5702370908909238,0.5740525966063539,0.019043512952189996,0.1347035453305206
Left-Putamen, nan,nan,nan,0.05016485627116128,0.7768835785624392,0.4844684619653734,0.5146160637440929,0.18396998511960813,0.4112059156453327,0.12010919132590625,0.107866109338384,0.9102083156600724,0.5639706819938787,0.565041308967161,0.84708166405143,0.1504340779390426,0.18850774252401545,0.4103302724358042,0.5784300591032708,0.14729581430765248,0.7998719552885053,0.7834653366717739,0.2068354368977325,0.7600197545917351,0.9421526435818224,0.1255097128002493,0.5161844634465699,0.7206429274089847,0.3437683790929287,0.2534408498499678,0.6039845635463978,0.6364129520781026,0.7645089791276864,0.032929199280852764,0.33510162042300085,0.14890651101232755,0.49009803355978154,0.19116006156410276,0.229266753347664,0.35860190996079655,0.3170366651133603,0.44043414492373767,0.7939425325854355,0.54667964065782,0.24734083361057965,0.334621654317384,0.568325796934515,0.3647107093957561,0.6932637543307683,0.039173614439188036,0.20328624887224434,0.18981351525045537,0.5954085768664423,0.30312260493050097,0.5731121010659119,0.5040802827976385,0.2787959381209504,0.5382547223167711,0.5584779830628703,0.09619968433199996,0.7100433429128626,0.707695068107757,0.8816536524669916,0.2129596186528769,0.15164129598647197,0.6823393656578909,0.4408561239845429,0.08900333721930544,0.3437124223058382,0.0384956524355787,0.29371486804570157,0.13256984486555723,0.34652507716595105,0.5506564199110178,0.24087483281975036,0.5887594453548642,0.537402415127508,0.14519398868328293,0.2855530342645525,0.7944402759109295,0.5037681476186838,0.5764194571509782
Left-Pallidum, nan,nan,nan,nan,0.7971658618724984,0.7243485091868258,0.984409593436691,0.056331122074070726,0.9665298228155579,0.32523470918671016,0.06427170811293255,0.6483146006652789,0.3625383393338518,0.8713005089375955,0.3806257255361508,0.7147284701701623,0.1285558383244503,0.5660957763377183,0.27434836017424524,0.5361542883320785,0.1206076642046892,0.724584269654717,0.20793286645690243,0.6040769505975824,0.7236940606233597,0.3024649168308026,0.6683405011576119,0.09852869025242049,0.8766198398181767,0.8809146292199314,0.09165931429243339,0.4835451284622825,0.21720535012117803,0.5365568620280807,0.8911565782784826,0.5610599878355205,0.8293985067055224,0.33843548708738147,0.6280809313006706,0.2744534290548472,0.7952732216868016,0.4460129289156327,0.40134559721223595,0.2769118048317895,0.39320154527599616,0.1275006979112343,0.7298662622248009,0.459021474977074,0.13787994222254266,0.13267103732578875,0.21413037783315217,0.5163627054427744,0.562742906668954,0.6993071101641635,0.35865159436759164,0.5447379599034772,0.8078272607268664,0.5804362149826918,0.9735693772657686,0.6744354999455575,0.5182440314492175,0.47758640744679737,0.7190378449101364,0.40935573270982617,0.016488991636685203,0.22203668756736153,0.5678747100529775,0.12237723115442904,0.8490431026203451,0.3047155752252952,0.7701186060573038,0.3827677456692625,0.6142888432339164,0.36422509858646834,0.7710951685690832,0.5651256309406039,0.6896610404110042,0.18151698162578542,0.6882516657693815,0.9902455740784515,0.9408323845660382,0.34187148679957646
Left-Hippocampus, nan,nan,nan,nan,nan,0.01653560580411855,0.3478157890344721,0.6994215232640844,0.6986748831038812,0.8415601858752417,0.5226558683897047,0.04665033396379044,0.19693197559514364,0.4731366636568165,0.5662811590337283,0.22700787299805775,0.19672690102256682,0.61113478481907,0.8488296804671811,0.2565856777508651,0.52831158727026,0.4819285449310725,0.7354552973880875,0.8871409238566682,0.2266127310990695,0.8863633607829827,0.6906726446585945,0.5616702848957973,0.06962622665659547,0.13657422390927046,0.04369800816808851,0.1539673953783098,0.0608840925059094,0.26046653286571314,0.05897899819196002,0.7736587379015674,0.018479463983413425,0.9057913261339398,0.05609951231922993,0.42463091529896624,0.1633255769942855,0.24284148303879372,0.2855684207723373,0.3627446910623582,0.2820328165213411,0.5246723910947358,0.4477481954607072,0.027396947212443942,0.3858734260286144,0.14708814593766412,0.617985054681729,0.5611720155221194,0.06986049562767097,0.15609008564568638,0.9809141431845183,0.16275410220637468,0.7561685289117169,0.9035944691772759,0.5382239467395762,0.5212372238050611,0.2852673061121209,0.3787370537975828,0.3434114620666058,0.19892872402897657,0.05183266043298581,0.07638048910903489,0.4983873422254985,0.7012729807286724,0.2941477232683369,0.7418943436411893,0.13159470618082514,0.5305176183360757,0.3205462873398503,0.36820006033846187,0.5421741493817975,0.6754375527263987,0.07618025674804653,0.30912889414960004,0.445341367118685,0.7225600393410354,0.13510067829079164,0.20413714735103936
Left-Amygdala, nan,nan,nan,nan,nan,nan,0.17997519954889046,0.5460307115847135,0.8588892033202847,0.39302122472954604,0.26357653596819375,0.002204557606754569,0.0286590068707042,0.33487043139744743,0.42643742228567905,0.34369846537819526,0.2533102516390434,0.9389086075011404,0.02963921453820219,0.026710602460285057,0.40349606581871944,0.05548059701816375,0.4936875925131564,0.9910295968257956,0.20105338435275827,0.5228324367215651,0.5684570241779114,0.08644518591616858,0.019723692016624626,0.08358072224062392,0.45630888135876835,0.03403836228345399,0.2807951697011807,0.38189065565555635,0.2891041147636283,0.1085230009051506,0.08690664780937565,0.4465138762332471,0.007480658280195955,0.1583452684268946,0.23350147656429493,0.13172125834202092,0.2366298319084572,0.293706440616747,0.8211528157333057,0.047684690597152385,0.07610898785655887,0.27689638954157014,0.019157504186277784,0.2480929139714765,0.14929405238137097,0.6403903847127626,0.2694754053866994,0.022340801452169354,0.14413475158994557,0.056698741830183995,0.6063935463435297,0.3214280264655551,0.059868624695568626,0.20204976037345332,0.14285378881481964,0.034265241756377074,0.7135489229159191,0.34162097924661083,0.18543820276291112,0.014931113486417439,0.33029819135131566,0.9969886026230044,0.19752091805051455,0.09421627857867705,0.17324852393383453,0.6225040531869928,0.213209267567176,0.22412159385546915,0.35390527300661634,0.4931408374850327,0.025375533865949457,0.03997147732359189,0.7439604417729915,0.5753933140887227,0.023449618824155454,0.027361599005660195
Left-Accumbens-area, nan,nan,nan,nan,nan,nan,nan,0.3589378417414255,0.3587066540799695,0.5701513666133401,0.879962696048277,0.22128284002219278,0.4744155671443139,0.29416340915023703,0.08304374432476065,0.5855851424766458,0.26355494062259915,0.38548976115758493,0.2140801019279831,0.14798454849306242,0.21049453438714102,0.08243306868472562,0.52934083204866,0.8228212076021058,0.28510744499179325,0.2665108440723771,0.16703042294925421,0.11862732876220107,0.15000570012253128,0.10455281261804686,0.8286020289535341,0.3058129389382078,0.9125476075649621,0.4417526946089504,0.19834210402123612,0.41048179459054557,0.6111651434597358,0.19768392644718358,0.38966184462680487,0.5423999618194664,0.21046384481314137,0.42325200470788127,0.25173146245843664,0.4091771669586465,0.2554233805313827,0.740027115133777,0.3707815707904937,0.9374768069813754,0.5812459526799539,0.4749703091810309,0.8363942167699667,0.4415775622407522,0.5259450178398465,0.28105850344017325,0.3924583696722048,0.31097791856120877,0.3536201829459137,0.82377473781265,0.47731930267719425,0.37173701331422127,0.17874225359156196,0.1529996751219382,0.08164621621183718,0.08060538345507547,0.8627566649197639,0.42478777764973563,0.9536232156752795,0.7797608032539401,0.30080945133686476,0.9096753525958657,0.5601454671589216,0.44226504794310406,0.11409521362939481,0.6374010048559453,0.5428299230162306,0.6551396992777858,0.24162271805405613,0.9989731709993235,0.5336335617246333,0.05313078903932402,0.24473247922028074,0.29456470922285183
Right-Thalamus-Proper, nan,nan,nan,nan,nan,nan,nan,nan,0.41966805863945145,0.07645372525387231,0.004731858797205995,0.3945024294539876,0.9107858418664029,0.604592451495489,0.04475357544311474,0.7284548969754208,0.7096909067664254,0.08602656458722081,0.04082310481414357,0.2892422809853107,0.4235894324451036,0.11630226158686624,0.4054775167629745,0.9287599074910835,0.4291608276957132,0.8344739886536652,0.46670981636996456,0.6845105657542851,0.7404735335851567,0.4888790673833665,0.6643081555046104,0.155953512708154,0.7389660017198808,0.968491513699723,0.6958740574810658,0.6137501454493313,0.7919155479720512,0.24801001692306585,0.6401465594052215,0.4325585496962735,0.8926289833444809,0.6638825270153442,0.6766210551179083,0.5062940242716357,0.5790998275927355,0.05800002080547486,0.39436413673469073,0.4322329844208026,0.08268664694228225,0.2212411148548993,0.4575578266546364,0.6880139385567601,0.01784316405257484,0.9154577715912062,0.18461123884627367,0.7494860187849572,0.16134296394256842,0.8785308123398894,0.7986731717333159,0.45349639755219584,0.613448828789116,0.7313895276581065,0.5272229898180072,0.5776012220217088,0.2949824366874267,0.23475948583734224,0.6091776852240611,0.29689132259303885,0.5243701747428975,0.4766013540025861,0.7783958367823821,0.11106589815015867,0.14497329240408105,0.7638108594620844,0.9805992462127429,0.6339362916411279,0.5949475000619986,0.9758534213896435,0.1458836102284955,0.9253185077809801,0.8715775340696419,0.8761940085136626
Right-Caudate, nan,nan,nan,nan,nan,nan,nan,nan,nan,0.15848400044621394,0.6276842045906963,0.5701273985362091,0.8960408950868963,0.4298351512941355,0.23951178961954317,0.21648114225661416,0.558763859031421,0.6796301877052598,0.09050828292451205,0.016969082460029622,0.9933658663750884,0.24766316420916515,0.9860546603978599,0.5421422419403401,0.6168004480769322,0.2376196461477434,0.7996066768083867,0.8710241800443091,0.4525376013232485,0.7151482539125009,0.9750192666226831,0.45349079101842904,0.7737878760092426,0.9988536668212045,0.3451159748760526,0.6853924498555115,0.5636155805886633,0.911079542799079,0.8150959557004728,0.3834728993370238,0.7066948686265049,0.33853848801365716,0.8017794940503952,0.8446036171490974,0.14886851116063834,0.16817132857982248,0.9448204823730628,0.29696541188903985,0.7062567185314848,0.12743807503186078,0.8549334344943519,0.9138413557812388,0.7817511251879075,0.13529123413337021,0.4328669404422314,0.18003620496963108,0.8733695224849816,0.2672136882204103,0.8710639809578424,0.37087564077163704,0.5883793523218506,0.9110039241568992,0.15938484972394587,0.5783950574393364,0.1681816960920743,0.21563814074059237,0.2801720724572408,0.7530770367111006,0.5486477254595128,0.5917156085179769,0.5452055049547819,0.9371914810144808,0.5361837777164188,0.38474468140227935,0.9612248655103228,0.29678273282144974,0.4466549193729168,0.4203158664869341,0.953207614121087,0.727747441910972,0.2066663027135259,0.23068431845998402
Right-Putamen, nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.13472319992014722,0.5251184126371582,0.37503895538848997,0.9868605213383741,0.8897934209488987,0.16028907434866918,0.6461182831939212,0.18177675099643537,0.20637606014232598,0.1094664687754382,0.8999187046479364,0.464271443746481,0.9114361953342206,0.4615597772963128,0.48446506397240685,0.21833592723235415,0.5154383247200673,0.40372960705730354,0.16999320980093455,0.5350002974341544,0.14746460359557023,0.4716437633955125,0.42367380508145847,0.012896339314394817,0.4697344081834096,0.20296555336927477,0.3524810435235931,0.5347883671048471,0.9356819639935752,0.354562876821529,0.5592535507396631,0.24890466650753865,0.9031693941929091,0.889446008568533,0.23585035268826599,0.15253594222182273,0.8291096310596533,0.29802673313835437,0.7321201401782188,0.030984347294795562,0.46504551499398017,0.19861913785155078,0.6192136699142622,0.16859665434865526,0.9039866785768347,0.500862450335074,0.5126979676067569,0.3008576763325702,0.7396921346257929,0.1523977394352782,0.8899864342729001,0.8873378544766674,0.755359839985859,0.63608820439589,0.16058655580749231,0.3628738052112618,0.15018620433570215,0.11903158239568783,0.8099273401005276,0.19714649634951337,0.7471255429300352,0.5092402670834619,0.8815072982896586,0.40246468319088413,0.19736281788915902,0.6689139691827749,0.6685373237033921,0.38898590543077216,0.4493830449571897,0.37577891567424637,0.8185118448614983,0.14496851952616868
