# File generated on 2024-02-04 11:33:08
# Number of participants: 100
# Number of patients (pain): 50
# Number of controls: 50
# 2 datasets were included:
# - OpenPain_Thermal
# - SRPBS1600
# Effect size betas (regression coefficient of the linear model).
region,volume,surface area,thickness
Left-Thalamus-Proper, nan,nan,nan
Left-Caudate, -153.82402230975313,nan,nan
Left-Putamen, -259.81833057542536,nan,nan
Left-Pallidum, -121.25020106421977,nan,nan
Left-Hippocampus, -46.88098282387211,nan,nan
Left-Amygdala, -84.11436057496024,nan,nan
Left-Accumbens-area, -18.956769851081955,nan,nan
Right-Thalamus-Proper, nan,nan,nan
Right-Caudate, -44.994649977585645,nan,nan
Right-Putamen, -207.5913674873684,nan,nan
Right-Pallidum, -150.98942109738508,nan,nan
Right-Hippocampus, -44.215832746720224,nan,nan
Right-Amygdala, -94.79675675423441,nan,nan
Right-Accumbens-area, -12.103289061015632,nan,nan
ctx-lh-bankssts, -47.164213543728515,-15.619642752020544,-0.0107016060656777
ctx-lh-caudalanteriorcingulate, -144.57279513390566,-53.61769021624764,-0.022727841292146927
ctx-lh-caudalmiddlefrontal, -126.18033857243076,-51.08866057066827,0.007074605632908979
ctx-lh-cuneus, -216.91627761904584,-104.03906688377883,-0.007590798083877446
ctx-lh-entorhinal, -22.263603889136604,3.6536673339220997,-0.06604004737703789
ctx-lh-fusiform, -599.1550894031143,-128.53770809164146,-0.07656728039910927
ctx-lh-inferiorparietal, -757.4275264681859,-182.56666969559717,-0.023450601495055713
ctx-lh-inferiortemporal, -1238.0292072257919,-331.3270266494179,-0.02478238871538556
ctx-lh-isthmuscingulate, -70.63685581261743,-5.187416127097648,-0.03825194305495912
ctx-lh-lateraloccipital, -1067.9149395064392,-447.83324615431155,-0.00886578413081287
ctx-lh-lateralorbitofrontal, -700.2034976756597,-152.54975930323354,-0.04536619328905871
ctx-lh-lingual, -613.7159915267112,-241.16263406200807,-0.03179234964270182
ctx-lh-medialorbitofrontal, -293.63447979046595,-63.49174203606127,-0.043806875279249605
