# File generated on 2024-02-06 23:08:35
# Number of participants: 68
# Number of patients (parkinson): 34
# Number of controls: 34
# 3 datasets were included:
# - Parkinson_Yoneyama
# - OASIS3
# - taowu_parkinson
# Effect size betas (regression coefficient of the linear model including: dx, age, sex, intercept).
x,Left-Thalamus-Proper,Left-Caudate,Left-Putamen,Left-Pallidum,Left-Hippocampus,Left-Amygdala,Left-Accumbens-area,Right-Thalamus-Proper,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,ctx-lh-bankssts,ctx-lh-caudalanteriorcingulate,ctx-lh-caudalmiddlefrontal,ctx-lh-cuneus,ctx-lh-entorhinal,ctx-lh-fusiform,ctx-lh-inferiorparietal,ctx-lh-inferiortemporal,ctx-lh-isthmuscingulate,ctx-lh-lateraloccipital,ctx-lh-lateralorbitofrontal,ctx-lh-lingual,ctx-lh-medialorbitofrontal,ctx-lh-middletemporal,ctx-lh-parahippocampal,ctx-lh-paracentral,ctx-lh-parsopercularis,ctx-lh-parsorbitalis,ctx-lh-parstriangularis,ctx-lh-pericalcarine,ctx-lh-postcentral,ctx-lh-posteriorcingulate,ctx-lh-precentral,ctx-lh-precuneus,ctx-lh-rostralanteriorcingulate,ctx-lh-rostralmiddlefrontal,ctx-lh-superiorfrontal,ctx-lh-superiorparietal,ctx-lh-superiortemporal,ctx-lh-supramarginal,ctx-lh-frontalpole,ctx-lh-temporalpole,ctx-lh-transversetemporal,ctx-lh-insula,ctx-rh-bankssts,ctx-rh-caudalanteriorcingulate,ctx-rh-caudalmiddlefrontal,ctx-rh-cuneus,ctx-rh-entorhinal,ctx-rh-fusiform,ctx-rh-inferiorparietal,ctx-rh-inferiortemporal,ctx-rh-isthmuscingulate,ctx-rh-lateraloccipital,ctx-rh-lateralorbitofrontal,ctx-rh-lingual,ctx-rh-medialorbitofrontal,ctx-rh-middletemporal,ctx-rh-parahippocampal,ctx-rh-paracentral,ctx-rh-parsopercularis,ctx-rh-parsorbitalis,ctx-rh-parstriangularis,ctx-rh-pericalcarine,ctx-rh-postcentral,ctx-rh-posteriorcingulate,ctx-rh-precentral,ctx-rh-precuneus,ctx-rh-rostralanteriorcingulate,ctx-rh-rostralmiddlefrontal,ctx-rh-superiorfrontal,ctx-rh-superiorparietal,ctx-rh-superiortemporal,ctx-rh-supramarginal,ctx-rh-frontalpole,ctx-rh-temporalpole,ctx-rh-transversetemporal,ctx-rh-insula
Left-Thalamus-Proper, nan,-0.06061723529736955,-0.031770402668402115,-0.021843427393926973,-0.04175336883934672,-0.02463282151995021,-0.003749989754490181,-0.029318353038678694,-0.06907556787690419,-0.05372596918297232,-0.024771560106448064,0.0017687992705422214,0.0015616632667056524,0.07313477390048204,-0.03268104043968842,-0.014069352671054613,-0.062212015127181566,-0.024972466696498438,-0.04435162317450159,0.019967360786420665,0.012321405578255024,-0.05317614502735649,-0.0021434816547954835,-0.006450932758923459,0.02571966323739386,-0.02756508566325994,0.04667297513699331,-0.020124366484921493,0.0013710742848565796,0.025352000296608314,-0.07670986538787279,-0.0634164463279189,-0.05596180186397955,0.004144233524288365,-0.09160504018451228,-0.03758674374391823,-0.019143408572263553,0.013696242822092393,0.0569326476731415,-0.05654373876866062,0.00409572693452098,-0.0005113432538860721,-0.04916089890416171,-0.10382405267176031,0.0401313472537695,-0.039043795404805334,-0.11247425397251747,-0.08186337494509277,-0.07075476268586431,-0.10293904504943163,-0.023712926993749238,-0.012576743316566568,-0.03772545006416541,0.02426957473127312,-0.012142008238725155,-0.07765630631863484,0.029329862473853767,0.01467977601248483,0.06422787083503473,0.0021767706422953985,0.09792290648374095,0.0025615050419865665,-0.04543449165590884,-0.0032357598782759927,-0.10182266429940243,-0.04421738494696151,-0.07272561225220532,-0.025898471407110574,-0.04434279622355138,-0.05789390125747619,-0.0010304844809349177,0.01942359469440629,0.06323944386610274,-0.02861044174576557,0.014326716591440728,-0.0012274135647632953,-0.06633849765807964,-0.0764277694511304,0.15350521693971556,-0.05973169461774641,-0.034755610579079034,-0.07216494266189007
Left-Caudate, nan,nan,-0.09134478939552279,-0.02405102410471919,-0.023514306210470935,0.010494016232794015,-0.04018552820198517,-0.10145628390879434,-0.06620157292150043,-0.06571550944918027,0.00614499151386876,-0.010805816205492523,-0.023166810469149195,-0.01213568546564534,0.03107617993751082,-0.004209208034845105,-0.08362530346194952,0.07205043315166171,-0.05479386663364603,0.03795669674843052,-0.034420943263295346,0.021357380774845437,-0.001226601116778054,0.047197679592581615,0.043287022545953714,0.0741922520454932,-0.031730770670644344,0.0157499483076489,-0.020940955922985838,0.11038367932904095,-0.060003503328635285,-0.07784139014136289,-0.05227797557859535,0.06382756207464481,0.062142152366385484,-0.006490026576987504,0.023320071441713282,-0.039680952772113656,-0.0262724568061873,-0.06791994197014838,-0.026533412728117142,0.08182546877756053,0.002915488595211771,-0.02992124601417353,-0.02827058222283233,-0.014491013707221076,-0.03540299103720313,-0.01159868257975768,-0.020575427119064835,-0.02854687849696365,-0.07702691734564157,0.04798599229752036,-0.11457086728200494,0.026545978250421095,-0.05551808029485742,0.01653102785253394,-0.017779286339897202,0.08247049340309946,-0.03586943497935281,0.08728708164638693,-0.0357358254578403,0.024531350493483168,-0.061512403851729604,0.1545053071688885,-0.013761432168607661,-0.06422084790777238,-0.0925567738629206,0.035403067715973575,0.10990146639283067,-0.009368186645090664,0.057963252752548905,-0.005741236018748213,0.040232180494536376,-0.055895140212530905,-0.011239968772520722,0.06292917643577128,-0.009387536145305448,-0.018922770481085864,0.0241396313509224,-0.04158265476158547,-0.01073537221479792,0.028118293655741936
Left-Putamen, nan,nan,nan,-0.03580463022008388,0.004598206415121508,-0.006408666143360771,0.04268342022685269,-0.08009448484621497,-0.05271606738261752,-0.05669054504520951,-0.0937020562382761,0.012122238812166597,-0.013342666998088643,0.07878979916704935,-0.067497283701819,-0.04025849294157238,-0.026703625335781724,0.017452511611549832,-0.018832411062253154,-0.0388863159579152,-0.03289438250853494,-0.049488272213718605,0.03872095410595868,0.06362495763169626,0.029260624004846032,-0.03100545782561818,0.0787496835102928,-0.020533730965807136,-0.05712288344570629,0.04636828489644524,-0.12583868791641994,-0.06373424972144531,-0.06228673251494011,0.00462211893466459,-0.010961055144339704,-0.0813549927508262,0.01094969820211265,0.0032229142236360406,0.01105119325603253,-0.0928201110367741,-0.005248448955336331,-0.017174107244114608,-0.0521080432965091,-0.08532523115830992,0.009426597828569012,-0.0796845505314557,-0.06100213676486204,-0.04715812770682771,-0.11425125998909184,-0.0538367060423513,-0.06912800020633578,-0.04569607536174378,-0.015849199766595524,-0.010489291668495342,-0.12275292322676455,-0.055035792609127436,0.031728520762564466,0.035436820603019115,0.009678838873545429,-0.03746678318441121,0.015916976101427824,-0.06314164444863796,-0.08151976660626996,0.06543337712478671,-0.10904857806989254,-0.002618243934364231,-0.10427176443711937,-0.028973712892259324,0.04477469575631113,-0.09930602752418989,0.035554176219536514,-0.037072101136823785,-0.0298496735802239,-0.08072495106755109,-0.046033366666847444,-0.027578494691343585,-0.08276176055175204,-0.12774790243494769,0.05018255086920469,-0.023339628422683858,-0.06052213018810351,-0.06568540553243585
Left-Pallidum, nan,nan,nan,nan,0.01847771937958651,-0.004557901845312453,-0.027942317042714784,-0.04289227472954946,0.00822558862222126,-0.0794415948699739,-0.12188696949007315,-0.0370453982984813,0.02574016128931988,-0.004615905409753974,-0.07696561181459627,-0.0815887958444947,-0.0909699678365783,0.007911632630817,-0.014720036622807608,-0.06962917114741937,-0.09795689698155668,-0.08158317410339777,-0.0173772866522687,0.04241199436094649,0.01121839726895171,0.009084660125073694,0.06501125576460212,-0.054908069105395876,-0.03881446008266839,0.06367195391953484,-0.15738205497806462,-0.017104524815412393,-0.06617130464832176,-0.013733069189093401,-0.05001807396528869,-0.07058453114117214,-0.05557045633521226,-0.07753388382432387,-0.03424226548352197,-0.10734143666918086,-0.06467460336550518,-0.019339031049730025,-0.09859924309608036,-0.1686821750583546,-0.048903636994483544,-0.0106671819020915,-0.04672726141072978,-0.08936699930786758,-0.10028760260663214,-0.09958157012268544,-0.01436139296506452,-0.0030052199575183584,0.012421121678064128,-0.004604277254881119,-0.059170969891047365,-0.06374318815123321,-0.02766044328104342,0.02680040304457266,0.04529985941099239,-0.019815999578472684,-0.03524129752517416,-0.03598918430309899,-0.010803359693554416,0.07247893526389265,-0.10254509608957293,0.0250779614913112,-0.09978155853282716,-0.02946916829665776,-0.036592811601036966,-0.03737343059815026,-0.006091489044499963,-0.043227331104236606,-0.06802443383722147,-0.05893881353057077,-0.05892385331075211,0.022144550340826304,-0.10285613703210461,-0.10678727429468178,0.015851348609893352,-0.03906477622141009,0.06523134308930417,-0.1040250263028286
Left-Hippocampus, nan,nan,nan,nan,nan,-0.05561522202597767,0.0879419583130923,-0.019796838772627574,-0.04511365657735671,-0.029394786380757022,-0.031305317471434384,-0.0313594290071857,0.050324283722196224,0.05118676533735066,0.016954930137000845,-0.0826305351333884,-0.0030341592030061425,-0.00563196902768907,0.02920935516135152,-0.08376907824976479,0.032019388730478014,0.001045470499556241,0.01075442641674378,-0.10511720468931086,-0.02113626590472148,-0.07916741041850839,0.01698844729051616,-0.017083911729088318,-0.060352741019510756,-0.016134458867874235,-0.08848323957854973,-0.021978743213912966,-0.023870526200756,-0.05678105927685662,0.020692650090644728,0.025277765314136773,0.014537186659102426,0.015374615020422608,0.029217035743460438,0.018469663533375195,0.0037667988708456495,-0.023056555815618704,-0.08027933592859116,-0.025569132108202188,-0.04442892054961989,0.006050212570322413,-0.15405183289972707,-0.09767596152519087,-0.06229851883940433,-0.09298303937998585,-0.024683739914365208,0.0018046114989219914,0.06674945173938711,-0.1002443661670872,-0.010682843517931112,-0.02791873171140147,0.0346260472432296,-0.07051614199172505,0.005928496349707593,-0.03226988377509341,0.06992855941616895,-0.06385310701435652,0.0066970950457161576,-0.04319190025180994,-0.07041821466270562,-0.025231177009478717,-0.015342271614223382,-0.09344316480390623,-0.04402547937878712,0.04031608424642502,0.01916911091137208,0.042004262320899745,-0.0030369256969420165,0.012437068567749083,0.0224926355635306,-0.040235225081416075,-0.09373720460563707,-0.08572277984567876,0.16596468818719026,0.002785120049226083,-0.12162674919013795,-0.11082383073727439
Left-Amygdala, nan,nan,nan,nan,nan,nan,0.07005049788300868,-0.09443723402089806,-0.01775866759034258,-0.013424391268951907,-0.07527231723673673,-0.033649779834073724,0.012999825568699207,0.03244237857715538,-0.038460908716655126,-0.15113264863237055,-0.01379800244302387,0.015521857727319658,0.0333888238936837,-0.027469141247936667,-0.028388180993497308,0.06297768977202506,-0.05062754487744975,-0.049491846857447376,0.0041871272690349485,-0.04505413631501529,0.0030030940413987945,-0.03574042873403694,-0.03829912812400882,-0.0792485979445282,-0.09068716692530547,-0.05218077606789932,-0.030716914650544328,-0.0394493787070627,-0.03227526040766822,-0.08192873894168537,-0.0182251152328622,-0.06758563876665974,-0.04504566247565076,-0.03640717490176857,-0.06385825218288595,-0.002410329525897362,-0.031019634526186876,-0.000969253914053069,-0.010699672164092087,0.0537897019086929,-0.0359301024316406,-0.07956765853808709,-0.06481199382857372,-0.08952774465470756,-0.03024790329481318,0.026879296981591142,0.058920037976745596,-0.06363668044137093,-0.04610555145808061,0.012586667920868754,-0.054273297273079356,-0.06772768987595096,0.0388797874534978,0.0006707979772349017,0.01713751908066137,-0.06940407965092632,-0.08135330012126715,-0.10652230317168226,-0.03672801750109395,-0.01170847633875609,-0.03427921377792764,-0.07112843154431069,-0.0528944454651274,-0.08375458711865946,0.010954404929787054,-0.056246284398481,-0.050708096484603865,-0.0313195680942354,-0.057281488006443566,0.01620839122424982,-0.06734662687879325,-0.043252103780014726,0.14994521607181632,-0.03753746173044197,-0.11282251770968808,-0.0790329202237113
Left-Accumbens-area, nan,nan,nan,nan,nan,nan,nan,0.0104039855918717,0.011554569778330193,0.022916519146056302,-0.04326266380502857,0.11576696730923823,0.148398527027661,-0.08825694950120205,-0.002059416986802622,-0.05014917956776336,0.03203796417841217,-0.043511016319088325,0.01580623074835412,-0.06707320020451149,0.01652832589267618,-0.012522421118791809,0.005818568530459533,-0.03582142597309116,0.0390989392237093,-0.04931674860992999,0.06196988621117327,-0.00730857591689065,-0.020303121794282872,0.04925632008230447,-0.05706393748161345,0.04560671193350814,0.009734701695957982,-0.020166730943515846,-0.01937235060683386,0.023534809262826754,-0.008887404522949595,0.023926816101373975,0.0271233599955176,0.01999086849116055,0.019409058423878953,0.04049879682229163,-0.000136290588582647,-0.025803624021777653,-0.043318405020196786,0.03958265959387173,-0.03789507116336293,0.006407828323643075,0.019354416977053642,-0.012579459187966217,0.018781175478605954,-0.007188168053471036,0.032621256525155434,-0.0656220941976616,0.010970572522007525,0.017552456854995485,0.01764578619209115,-0.0531275889692079,-0.010891560078280219,-0.00604884266716991,0.09909553861810065,-0.032323290523768866,-0.02287581157716498,-0.01761306381759441,-0.00551275401983147,0.0635713664991012,0.020491535055554223,-0.027423159049815054,-0.046145420190318746,0.04518117893173668,0.02313355675711164,0.045753004330637455,0.050746026668808335,-0.016641453744154173,0.06276610758076892,0.018382423027375833,-0.027508682495934945,-0.048238241915704215,0.08115877106471048,0.03254976803369723,-0.05011643010418733,-0.011464545044955936
Right-Thalamus-Proper, nan,nan,nan,nan,nan,nan,nan,nan,-0.057559010977514743,-0.05206486704008888,-0.049204779518321785,0.0014086545780839011,-0.0511245510301695,0.1259215725990641,-0.04365805092534456,-0.049438343561480684,-0.056731531360739,-0.08549885456327046,-0.04899708818212849,-0.00564568292091329,0.011892360994764243,-0.021972014741742187,-0.007171828739161326,-0.07091625946122314,0.002965640817342464,-0.09300050749451173,0.09189379007279955,0.004676898459729435,0.003095726592094915,0.018421854637881853,-0.09134942877048934,-0.045124683328174264,-0.07027144985427801,-0.04108171498185558,-0.09950332198507345,-0.019842211061503617,-0.05920397434293473,0.02118058761813885,0.08600500471306563,-0.03710046164489504,-0.001725816563171209,-0.056300920226755154,-0.06863776419214361,-0.08566811187994952,0.06617758171719038,-0.036872632274174734,-0.06348368437625841,-0.06937233448992279,-0.039386295587734495,-0.06611131447881435,-0.0006112118230078667,-0.07555631991794275,-0.04812222403891747,-0.01289854907129429,-0.019933685513447152,-0.03684939458784424,-0.003935396405415965,-0.024528753540638056,0.05291026844329753,-0.06016934582017321,0.07494883229845496,0.02291045284029085,-0.07306175140315925,-0.006754381527158303,-0.09659964401069951,-0.037111812438271566,-0.04772381006597326,-0.07540663410384052,-0.028937736233048454,-0.04228377157836598,-0.03835600699744929,0.012994804899417034,0.06118885518346076,0.01090373089919748,0.008587751334575592,-0.06079236964778738,-0.08384363005224865,-0.08916468901160428,0.15949825166288942,-0.018688964735776154,0.013172802559951206,-0.11001336643420931
Right-Caudate, nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.03325970804628298,-0.018018754334012285,-0.027963417864745623,0.005910301438511858,0.07106524299866894,0.05790738911807089,-0.02612111053103534,-0.037150283298715794,0.025455157755452623,-0.07565635453177162,0.023326884915225686,-0.004592528980500801,-0.00516147945183196,0.04249382043629205,0.07094374023318133,0.0197206493241798,0.033325390933048045,0.04121692300201082,0.03326497364180637,-0.0053506230514887235,0.15993993083522196,-0.0788115143124763,-0.06908948817879008,-0.03325081100823551,0.018125388443312622,0.02865803101969401,-0.06063494124766712,0.04954405951995687,0.021050022667929734,-0.0013452809516326298,-0.043030747326435345,0.01119187405556974,0.010608089531539569,-0.032827333696810825,-0.035522451154139684,0.008441690593429755,-0.041297909192726696,-0.04796415563726534,-0.014167733341506802,0.04967744811524521,-0.005368504528316448,-0.04755913030055362,-0.0035746819802336396,-0.07151681066046338,0.04621071329549277,-0.02455342323622047,0.03870548030106898,0.0227682667204627,0.08730420775811726,-0.021570299613004558,0.059214527698258176,-0.018431221971464677,0.03275294191646464,-0.03568922704647706,0.1466992460318531,-0.07384986059458852,-0.04188091742167008,-0.05574982235748533,0.017492347854286393,0.06112582910842799,-0.03281626492906519,0.0029689156998524103,0.03784401487438833,0.002438030181697723,-0.022056025240226634,0.0164821194562404,0.002038145375259945,0.0039456274257711425,-0.04525942407607193,0.020390203240584763,-0.012684876690134857,-0.018023079750554685,-0.024213053529993728
Right-Putamen, nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.07555671896850628,-0.041333194558807865,-0.06497675777381334,0.04004619367765416,-0.08418282171156455,-0.038919525958053945,-0.0374270125819662,0.02054270388743795,-0.02591809404501787,-0.051371970602602395,-0.040429901026689405,-0.02992795596978105,0.022018254623487804,-0.008466556191879169,-0.018877936007062373,0.0035922294728557517,0.013678329789610739,-0.016349103921645132,-0.05874728611766295,0.01809220535543331,-0.13987080084912637,-0.08144211500100845,-0.08648473912917813,-0.005360362134856017,0.01996704069658857,-0.07690069472105675,0.014913577604590084,-0.02943036544045001,-0.008291345376391882,-0.11209956565750322,-0.019034214661578362,-0.0007048287308585862,-0.08364761948012064,-0.08794378334381218,-0.005792313209414904,-0.02911223390455405,-0.07135531536742644,-0.03670482832967613,-0.1483927987359999,-0.06325343073674673,-0.10623003997366667,-0.035576698181756364,-0.07439543447729334,-0.041753299368167476,-0.11756049856175944,-0.07195761984252735,0.007659084221617209,-0.004946733471728524,-0.008480080147179497,0.003126405145461949,-0.031494738148693746,-0.06575612240334801,-0.10674044119800387,0.09573814818009868,-0.0875670995708917,-0.025933736591798314,-0.10290313909195624,-0.01619644092340437,0.05638467856268728,-0.07321480220434352,0.030169450759764016,-0.05571517653080458,-0.027726210279983263,-0.09167010232558094,-0.03843852654247414,-0.014749964715483021,-0.10717530186769297,-0.10221045155954823,0.025494695076677964,-0.011847345719654633,-0.043520237158223216,-0.053710571198666526
