# File generated on 2024-02-03 12:09:50
# Number of participants: 68
# Number of patients (parkinson): 34
# Number of controls: 34
# 3 datasets were included:
# - Parkinson_Yoneyama
# - OASIS3
# - taowu_parkinson
# Effect size cohen d (regression coefficient normalized by the pooled SD).
x,Left-Thalamus-Proper,Left-Caudate,Left-Putamen,Left-Pallidum,Left-Hippocampus,Left-Amygdala,Left-Accumbens-area,Right-Thalamus-Proper,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,ctx-lh-bankssts,ctx-lh-caudalanteriorcingulate,ctx-lh-caudalmiddlefrontal,ctx-lh-cuneus,ctx-lh-entorhinal,ctx-lh-fusiform,ctx-lh-inferiorparietal,ctx-lh-inferiortemporal,ctx-lh-isthmuscingulate,ctx-lh-lateraloccipital,ctx-lh-lateralorbitofrontal,ctx-lh-lingual,ctx-lh-medialorbitofrontal,ctx-lh-middletemporal,ctx-lh-parahippocampal,ctx-lh-paracentral,ctx-lh-parsopercularis,ctx-lh-parsorbitalis,ctx-lh-parstriangularis,ctx-lh-pericalcarine,ctx-lh-postcentral,ctx-lh-posteriorcingulate,ctx-lh-precentral,ctx-lh-precuneus,ctx-lh-rostralanteriorcingulate,ctx-lh-rostralmiddlefrontal,ctx-lh-superiorfrontal,ctx-lh-superiorparietal,ctx-lh-superiortemporal,ctx-lh-supramarginal,ctx-lh-frontalpole,ctx-lh-temporalpole,ctx-lh-transversetemporal,ctx-lh-insula,ctx-rh-bankssts,ctx-rh-caudalanteriorcingulate,ctx-rh-caudalmiddlefrontal,ctx-rh-cuneus,ctx-rh-entorhinal,ctx-rh-fusiform,ctx-rh-inferiorparietal,ctx-rh-inferiortemporal,ctx-rh-isthmuscingulate,ctx-rh-lateraloccipital,ctx-rh-lateralorbitofrontal,ctx-rh-lingual,ctx-rh-medialorbitofrontal,ctx-rh-middletemporal,ctx-rh-parahippocampal,ctx-rh-paracentral,ctx-rh-parsopercularis,ctx-rh-parsorbitalis,ctx-rh-parstriangularis,ctx-rh-pericalcarine,ctx-rh-postcentral,ctx-rh-posteriorcingulate,ctx-rh-precentral,ctx-rh-precuneus,ctx-rh-rostralanteriorcingulate,ctx-rh-rostralmiddlefrontal,ctx-rh-superiorfrontal,ctx-rh-superiorparietal,ctx-rh-superiortemporal,ctx-rh-supramarginal,ctx-rh-frontalpole,ctx-rh-temporalpole,ctx-rh-transversetemporal,ctx-rh-insula
Left-Thalamus-Proper, nan,-0.31089456159910495,-0.19724262104515675,-0.26511385160649004,-0.11437103146186223,-0.015740624472670668,-0.007811783441624578,-0.2585123570232881,-0.44862906811583086,-0.246124214994525,-0.20549554892338687,0.1712559919559564,0.15025381114430628,0.4633791851053267,-0.01987291896296963,-0.008127447002033933,-0.2467601431220308,-0.06281610295050653,-0.11908891177512453,0.14975584076154405,0.21759280078997167,-0.22892995758680773,0.14482596572125922,-0.02175768647056281,0.2272064738504815,-0.09535173257177805,0.44258743936522693,0.09716381929966983,0.09795848271191945,0.2954159923267264,-0.3443686318382984,-0.18188191146300933,-0.187503227906098,0.10988739786347888,-0.21869072648260052,0.013054753781974982,0.008295941227632025,0.2642170002339958,0.4712912760548007,-0.236388704472468,0.15046552194295093,0.06666811614272282,-0.057104336987048795,-0.37494212404138827,0.31998409437715375,-0.1696623475446389,-0.5079376858910285,-0.2325460583389213,-0.27255102643135043,-0.5276377826495149,-0.07076378299544546,0.032516192442716696,-0.11100309993306343,0.12994245777487246,0.06363027576429353,-0.38113775277580264,0.4067477475652153,0.14886677020387756,0.42679669020691996,0.06683190735331931,0.6813694304578106,0.1545258743066072,-0.06623794819296389,0.0740131186045924,-0.6000173784616051,-0.12187316284638004,-0.1989118068872327,-0.0556578836279373,-0.03580911042327323,-0.14048471018962272,0.11174708114430824,0.29655755805539824,0.5248942138976463,-0.20915353817695218,0.22230607815478792,0.06269931191206352,-0.13823252916387987,-0.36977460487544167,0.7154870931879912,-0.37303055617226966,-0.16628677934097058,-0.2321675378627252
Left-Caudate, nan,nan,-0.5932161698500517,-0.004452299476413839,-0.05825299171619898,0.19442662746998787,-0.17982825841164152,-0.6130941257777176,-0.5373182045840335,-0.3385606344560625,0.02284074564446776,0.07782165844608571,0.18793729205458393,-0.020882743034371633,0.15761841881935623,-0.07006224349340602,-0.5873502251582184,0.2929193272733221,-0.008059399005548987,0.3475385688583293,-0.18886938168196088,0.35641553359066563,0.09585175607051863,0.3583977778739213,0.3193766194492608,0.36935969234275806,-0.08885647238533642,0.21839452721697092,0.03622160593106659,0.6123390552970128,-0.40874177533045825,-0.34652486223487183,-0.24684304975863006,0.3607429044603547,0.3566380428204465,0.0037716774165522018,0.11274019811658223,-0.1217518689286657,-0.1802363307867398,-0.4797208802213065,-0.19396336620745508,0.4175263200524246,0.08837018157788042,-0.10388685033879627,-0.11333796326584984,0.13558267096851534,-0.20095193977564554,0.012279996876112457,0.03999436095111383,-0.22924990682223192,-0.3628552548028333,0.2287649677216527,-0.36932204798689405,0.3482825547232153,-0.31889221922044997,0.2984769223830861,0.04292848805622063,0.553314677220302,-0.17481880620433182,0.4518659700084699,-0.17277765157598524,0.18016630467876413,-0.22472551077227074,0.6458115007430258,-0.10128027096727886,-0.2768917757901646,-0.4385914259002083,0.22232711126200339,0.636691998328307,-0.024976225704036847,0.41538690839248804,0.0027618886156966288,0.057919105473371466,-0.3755496983660562,-0.13186383173438687,0.34971689761548747,0.008342849770544291,-0.11258180972127654,0.2715036581846234,0.03394803074999958,-0.07777497260972012,0.23060556094276582
Left-Putamen, nan,nan,nan,-0.11587901089485701,0.014645108603888148,0.05755472880057781,0.23081503437445697,-0.411088408641786,-0.29170179696504794,-0.5677405081639241,-0.5868658250951245,0.08923471600728933,-0.12750981540449619,0.29634298808213333,-0.31019370280972164,-0.3995169960031474,-0.07783283133132622,0.12147023344941525,-0.049142446472327586,-0.1863966612768567,-0.07157919715323309,-0.2725130418792664,0.24124728973307222,0.2843282203897999,0.15701249563124128,-0.11348446741568385,0.28384129264453445,-0.10568633775938123,-0.27831924354979937,0.29134423254005504,-0.7287360499174268,-0.2439644991177214,-0.3897404063964333,0.11076316912421408,-0.004091111398546405,-0.3522896028246285,0.12417734234118746,0.14262725010495023,-0.06597597627926262,-0.49358388361921574,-0.08539220924347592,0.0012246055957472648,-0.336447367770146,-0.41032556800421754,0.11960533976544407,-0.3340768742225796,-0.343254183107254,-0.22753870623664355,-0.648936641179243,-0.3934982138308422,-0.45958580521421116,-0.14595193297744521,-0.06952974988993516,-0.09847310516322984,-0.6480073598412218,-0.3211526412002429,0.24429476519706353,0.1520654352226036,-0.037973418578909644,-0.11563632486755684,0.06736693776240943,-0.2831855175358945,-0.32179971143367403,0.3640556072958861,-0.8240501344056813,-0.09727715302523356,-0.6705004151179118,-0.03672388882716542,0.24759539598811686,-0.5516048238790767,0.13202487943718164,-0.1500341654542352,-0.2084338117022002,-0.5834971768821503,-0.1915456941630264,-0.11141468617447906,-0.4182968969444042,-0.7323340894436601,0.22186133083144916,-0.15480414801845804,-0.40009347619552127,-0.4070306272128335
Left-Pallidum, nan,nan,nan,nan,0.05184718339374686,-0.03305946944423808,-0.2599630206909546,-0.3010008663993407,0.08984347382552615,-0.2876136316616797,-0.720259637272191,-0.2887547196960148,0.08824458232370132,-0.15768568719620668,-0.29705152845028837,-0.3798567669982377,-0.30915840870327294,0.03224061907878487,-0.07863155548212034,-0.39123333744098165,-0.4744810114516148,-0.47847884806321517,-0.01107451380090724,0.18221493762271568,0.06875163831723814,0.07271822160731768,0.4071636422330374,-0.2876882639508455,-0.23474244770606736,0.412799264319637,-0.7838150604919824,0.01695045476082476,-0.30930253598813995,-0.11473893058731982,-0.08282204320123583,-0.34520746635756777,-0.11098471906467047,-0.32131414186164653,-0.14126426815456514,-0.3837697621970864,-0.11260576246079478,-0.004752769097015252,-0.47444012954226716,-0.8496528123569808,-0.23353676678800914,-0.04652265384916762,-0.2995998844685587,-0.4031625904566792,-0.582899402468758,-0.5095268722708062,0.03477307090562107,0.026089684792655304,-0.018566183906843323,-0.1284609494862398,-0.34293918162790554,-0.407870068700485,-0.054888126818057624,0.11466881798638487,0.256273421329328,-0.039431955748635755,-0.10862938408242138,-0.18278494612293458,-0.013130494249012649,0.4883592879331857,-0.48192707483950037,0.11161570952968036,-0.44654508860536646,-0.14924812407038515,-0.07988342955824414,-0.17079977125047063,0.09489746150829109,-0.21117497774746738,-0.18063303033420175,-0.21248253770056147,-0.010546624629172687,0.09752996090010638,-0.453150507049795,-0.6071271547860836,-0.11524434260383605,-0.24159929330387148,0.3333814729270862,-0.622278673056097
Left-Hippocampus, nan,nan,nan,nan,nan,-0.32294906838718507,0.42972194847767825,-0.05283190697041995,-0.28002449543723235,-0.17823211815793874,-0.20325687547790922,-0.22880891302767206,0.08544399871720006,0.21555404406400416,0.08664928388221918,-0.487667245483066,-0.01273125659709071,-0.06250344226298313,0.05302670955883806,-0.5390140797110412,0.2453908940927474,-0.09240588878556945,-0.05030986328052119,-0.6373973245696364,-0.15888569667025312,-0.48900677316853464,0.12021458684330077,-0.14994170918636782,-0.39355750017324076,-0.054661171018444914,-0.496489802218899,-0.00206070042864389,-0.2017045657966116,-0.3200300530441936,0.09602504141495928,0.10247566544778719,0.0496132876187013,0.06724583545043593,0.17253624038818044,0.11789142883337604,0.02607138918157966,-0.07349639054057215,-0.47947263710628607,-0.12249560444219135,-0.08899233583175425,-0.044843855211669004,-0.7403245237827845,-0.5674291737900801,-0.44201761720714233,-0.4440104187275438,-0.08003972292510449,-0.10937428462509705,0.17389853421415616,-0.7998409281428903,-0.03538901759208738,-0.4994684210180666,0.08246023267593829,-0.4686828991836028,-0.081482912456007,-0.3318898847179797,0.30259568721803254,-0.46073264623298904,0.018222614322854793,-0.20218180979085124,-0.3566291068357833,-0.1586118173681871,-0.12226076417753409,-0.5191452933661792,-0.2540670895553211,0.12837928269010945,0.07072495537998406,0.20295711122964824,0.011403280053387109,0.033000719836953366,0.07922524628887018,-0.16763018816703165,-0.6326218871865581,-0.35548957385985336,0.7668052003511936,-0.14746309349367287,-0.7563641530277868,-0.5428019553888168
Left-Amygdala, nan,nan,nan,nan,nan,nan,0.33185224598119056,-0.40575102182184725,-0.027655129033482186,-0.03478584501158731,-0.4351490550386537,-0.168035594041204,-0.019519357385199367,0.1109259146582779,-0.15205311555482046,-0.8520143449992025,-0.018020841068932206,0.07019141251278008,0.03587652444016127,-0.2891685663532059,-0.016974004416203458,0.20771121132268763,-0.35053773048760184,-0.4220602710081926,-0.056393679471707384,-0.28305142935003197,0.036966487393177115,-0.2055185840912147,-0.29646660315540113,-0.37201404383971004,-0.38886819055862515,-0.14159783739834234,-0.13828477606807407,-0.2167758069397628,-0.19584771748386234,-0.27119710057043955,-0.11207140757268769,-0.3462310473502115,-0.24135516412263713,-0.11356388247618332,-0.3102118749711035,0.001200923847575657,-0.11292863834059622,0.06753943010961676,0.0796553837966953,0.162858430504678,-0.15008096722359787,-0.35646280218026904,-0.36028975666060153,-0.4451108769479165,-0.07403785227732629,0.019574715615908546,0.20258481565591158,-0.5247800825706764,-0.09908783926980304,-0.12918648914693048,-0.3799750302795359,-0.4833663015603989,0.10511446917271511,-0.14556408393349657,0.045640289550155276,-0.3349772722330482,-0.4828778112973642,-0.6212816770152932,-0.10698070500988914,0.08636616028242959,-0.13252592178949696,-0.43763110740152017,-0.31654216942867835,-0.40086708900926427,0.0011199209822194097,-0.2987287202468747,-0.2158983149088702,-0.12795674469481286,-0.2916390202268985,0.07035023214732594,-0.38786650243511356,-0.1068935490962033,0.6637897306625089,-0.3531846907856624,-0.6918877258388528,-0.34577792574264965
Left-Accumbens-area, nan,nan,nan,nan,nan,nan,nan,0.019752365340982486,0.1434575264891852,0.11949429321667697,-0.12310011641358429,0.5377201183788768,0.7033467041125621,-0.3771087248493593,-0.08414318959723564,-0.46212879445402855,0.0681249250032435,-0.3998153637117628,0.01709996309347415,-0.4381621044384569,-0.05283544182274153,-0.0626181472502776,-0.11518144566420228,-0.29218260570573984,0.15944515529607994,-0.44695466611961454,0.2821866859231494,-0.05486327489351055,-0.09989434182737435,0.06487885283497638,-0.41700140015103665,0.15707839062337434,-0.10041791336977322,-0.16093029434485712,-0.3320625695745893,-0.0032087482063462643,-0.2316402503820505,-0.09234496373157784,-0.02048522348276917,-0.044626889191682485,-0.07143255371946317,0.039922316482444126,0.025981136852531287,-0.2612931575931642,-0.20224329366429009,0.18106832043044205,-0.20372583171890826,-0.10641853156989417,-0.017377125286659176,-0.1813544460955162,0.03603617279048158,-0.19605641122869288,0.10166185952244662,-0.4744209400015737,0.017879370564330404,0.1491949246010347,-0.03646816692012295,-0.3953426708676042,-0.0367743903204153,-0.24983187915340954,0.5499472138670037,-0.18308587106428278,-0.1556360266970788,-0.2692387653985283,-0.11971290673874505,0.3650919807824618,0.01379422946796805,-0.26024605713192656,-0.43412680454841585,0.11435954548987048,-0.11611635583668223,0.09440034713927895,0.10784989528804732,-0.16272948185543995,0.19324910917637134,-0.14767906605904138,-0.19870949975928917,-0.4307588671957892,0.4670391943394658,0.1759013756578262,-0.30198141446953203,-0.15035280107637344
Right-Thalamus-Proper, nan,nan,nan,nan,nan,nan,nan,nan,-0.32139286263390526,-0.3005084457966591,-0.4609797844001119,0.09780107791911051,-0.12718695222756676,0.6203250606990103,-0.09190645010641055,-0.2805383527033042,-0.22687817250928458,-0.37260727829842805,-0.16534764367761223,0.0176303827078988,0.18433941121197103,-0.1127927657582309,0.06929927619314946,-0.3340730542568834,0.058455467818360654,-0.4394849141090694,0.5598092787919883,0.16438061948871932,0.04488882238361809,0.2835548900452405,-0.40154547042049293,-0.1251293583653374,-0.2924711104381074,-0.12488016797728407,-0.2616518243909819,0.056380144425971966,-0.1357626564779519,0.2902232093077506,0.537694704334823,-0.1510485000267464,0.046809777778165806,-0.18815380543308666,-0.23440651406243687,-0.3108410134003888,0.39032594139946786,-0.18052277028282138,-0.2258586679632045,-0.15966088671512188,-0.11666597830636084,-0.2943909692661309,0.017231997177654553,-0.2850993140505348,-0.1801136224942227,-0.07076647540551133,0.04317878723579468,-0.12064689573018471,0.24810633904629037,-0.04158588225247661,0.2963199067755345,-0.24620183381862157,0.6006963378291933,0.3299246417757315,-0.24650066272646468,0.10803005882018428,-0.5291420580871429,-0.07607657618794936,-0.1271848412556474,-0.33237603040001545,0.0006970494874153518,-0.06538663008759792,-0.1016722194948505,0.26892620501314063,0.5040105837022417,-0.0025704269490312587,0.2376662644916777,-0.2676400517408122,-0.21449433267260662,-0.4393927210293846,0.7854205757103488,-0.233281455511483,0.1431353427156389,-0.4453363706275632
Right-Caudate, nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.25817199575378297,-0.22152430918540894,-0.07761664191472299,0.19777098217256459,0.41660861671369037,0.44640198705441225,-0.2588921030765671,-0.17106373685410456,0.19712877095752554,-0.1891341096635108,0.30840673908645844,0.05823302516238291,0.20848542571611614,0.22451156555759616,0.4717565340838071,0.1662413559881606,0.2809580172424088,0.2094966966031315,0.2473166924163177,-0.038802950437239796,0.9337047232160763,-0.4097113807281032,-0.32785072308638225,-0.17294954599006654,0.23439475828997444,0.28409795608786587,-0.2586335361346239,0.3820406611975245,0.2103665370110814,-0.11116272248629042,-0.22946023392258175,-0.06739529627804654,0.20540197596457865,-0.1214011517814002,-0.03694703584180066,0.0887086887628272,-0.0146717961538994,-0.2611017431133041,0.07179273758017977,0.38130551782980027,-0.06686776667420022,-0.39458932444643613,0.08945168847121436,-0.11665711772071577,0.4330030740168353,-0.04042026433618721,0.4175101428112755,0.18211251043374044,0.5921545914228137,-0.11870739530428454,0.3735240679890047,0.005341108758730955,0.4580508009100137,-0.01480556259880664,0.9233247992737732,-0.3814246450846682,-0.11196434482420185,-0.36465767850655356,0.19328208380329445,0.47414847211768263,-0.14346702030505007,0.009419770158789987,0.27685558213651795,-0.00027751729878304406,-0.2561491773033135,0.16983175606489165,0.06264072047032233,0.21774532148540923,-0.09152533514482397,0.21144251288310498,0.008973599648237721,-0.08522973693695557,-0.030002135097960726
Right-Putamen, nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.3843866203793774,-0.2069196792542054,-0.29473858454877006,0.12209454008758336,-0.39618347756743366,-0.23128536458147037,-0.21194876335018895,0.09000865778621066,-0.03243831698556206,-0.3032923314769229,-0.18394872629895428,-0.16953817414133862,0.20656491139466107,-0.08310590936454174,-0.11057319376798339,0.0036954669638407335,0.033609103385996174,-0.06016484297844816,-0.3298451414808105,0.15778862570134636,-0.8104760468419276,-0.316335237634507,-0.44227553363748817,0.017062893809862683,0.10701119050328728,-0.2875392013334593,0.08265873561335745,-0.021543043160039625,-0.07554814865418759,-0.5609525218337178,-0.09689929734939902,-0.03723331026094284,-0.37709792388811847,-0.42723593788185993,-0.0217543601725159,-0.16129956945510246,-0.3717978216575902,-0.17737987985113532,-0.7511697124666407,-0.41557170629139667,-0.4512315088392462,-0.1510940697901926,-0.3145500280756695,-0.2400812247597323,-0.6643870726113302,-0.42555606850868666,0.17224246424727088,-0.07359732652705547,-0.033139695700547804,0.05809248790268081,-0.1947684478866433,-0.34506459145316676,-0.5273777291827534,0.3862881682546556,-0.5904265478987688,-0.09983010964841019,-0.46962949753470395,-0.009865420779781465,0.3016594264609268,-0.3835074498694339,0.2073562466688968,-0.2641321752131094,-0.2353003313826766,-0.4757124560730164,-0.16699441827181188,-0.08181286105425013,-0.5428466838530276,-0.567147506615244,0.09373105910890867,-0.030386671959119736,-0.3001634500229287,-0.26098956043466276
