# File generated on 2024-02-06 23:08:35
# Number of participants: 68
# Number of patients (parkinson): 34
# Number of controls: 34
# 3 datasets were included:
# - Parkinson_Yoneyama
# - OASIS3
# - taowu_parkinson
# P-value.
x,Left-Thalamus-Proper,Left-Caudate,Left-Putamen,Left-Pallidum,Left-Hippocampus,Left-Amygdala,Left-Accumbens-area,Right-Thalamus-Proper,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,ctx-lh-bankssts,ctx-lh-caudalanteriorcingulate,ctx-lh-caudalmiddlefrontal,ctx-lh-cuneus,ctx-lh-entorhinal,ctx-lh-fusiform,ctx-lh-inferiorparietal,ctx-lh-inferiortemporal,ctx-lh-isthmuscingulate,ctx-lh-lateraloccipital,ctx-lh-lateralorbitofrontal,ctx-lh-lingual,ctx-lh-medialorbitofrontal,ctx-lh-middletemporal,ctx-lh-parahippocampal,ctx-lh-paracentral,ctx-lh-parsopercularis,ctx-lh-parsorbitalis,ctx-lh-parstriangularis,ctx-lh-pericalcarine,ctx-lh-postcentral,ctx-lh-posteriorcingulate,ctx-lh-precentral,ctx-lh-precuneus,ctx-lh-rostralanteriorcingulate,ctx-lh-rostralmiddlefrontal,ctx-lh-superiorfrontal,ctx-lh-superiorparietal,ctx-lh-superiortemporal,ctx-lh-supramarginal,ctx-lh-frontalpole,ctx-lh-temporalpole,ctx-lh-transversetemporal,ctx-lh-insula,ctx-rh-bankssts,ctx-rh-caudalanteriorcingulate,ctx-rh-caudalmiddlefrontal,ctx-rh-cuneus,ctx-rh-entorhinal,ctx-rh-fusiform,ctx-rh-inferiorparietal,ctx-rh-inferiortemporal,ctx-rh-isthmuscingulate,ctx-rh-lateraloccipital,ctx-rh-lateralorbitofrontal,ctx-rh-lingual,ctx-rh-medialorbitofrontal,ctx-rh-middletemporal,ctx-rh-parahippocampal,ctx-rh-paracentral,ctx-rh-parsopercularis,ctx-rh-parsorbitalis,ctx-rh-parstriangularis,ctx-rh-pericalcarine,ctx-rh-postcentral,ctx-rh-posteriorcingulate,ctx-rh-precentral,ctx-rh-precuneus,ctx-rh-rostralanteriorcingulate,ctx-rh-rostralmiddlefrontal,ctx-rh-superiorfrontal,ctx-rh-superiorparietal,ctx-rh-superiortemporal,ctx-rh-supramarginal,ctx-rh-frontalpole,ctx-rh-temporalpole,ctx-rh-transversetemporal,ctx-rh-insula
Left-Thalamus-Proper, nan,0.1547668297696845,0.4330803268644443,0.6301639901801264,0.36340790901737896,0.6259566470439751,0.9340837395076532,0.31799549016487244,0.14139864284731885,0.19420776539435358,0.57195227884939,0.9704812601076067,0.9751602294594712,0.10446670741766469,0.5222181069487171,0.7276436418910843,0.17204266575550065,0.6080195963098013,0.3508882899617295,0.6826988765572698,0.797561484913766,0.25687314576355946,0.9593227617141465,0.8951857663655716,0.5754015361980669,0.562247840056787,0.29027494887030564,0.6756663596159429,0.9759600128997503,0.6296981838568001,0.09303303879417618,0.17006173263839858,0.20316390556394495,0.9328953840641554,0.09610887860872477,0.3912054208316187,0.7232029913777965,0.7577537308001209,0.18039939262121624,0.15533491192849486,0.9304409865176162,0.99170123168611,0.37711220326277517,0.030604501594353416,0.36451075196515015,0.38964122942031965,0.017212645204108916,0.06954983139123133,0.16063145843981533,0.01721816375215576,0.5874411211677868,0.79701585453472,0.42585135062427404,0.6104989153874878,0.7946476306690098,0.08423475525691863,0.5004313822260474,0.7577272329447119,0.1489692587624955,0.9636837597662316,0.0269346092886169,0.9557420841581393,0.33464934687316883,0.9495681705246336,0.013374862223258586,0.30039575739836444,0.1470974819481718,0.5878073022477843,0.42939213440217705,0.18667999028643972,0.9844206982288388,0.6608656591887826,0.1626281974552822,0.4951870351135702,0.7528456212992578,0.9801747017219745,0.22848670197724083,0.09401230318199238,0.0011104838990070134,0.17588877066980454,0.4671252971628742,0.11311039610357011
Left-Caudate, nan,nan,0.03926073981416964,0.5936161130630937,0.6036031119280572,0.8309460963360821,0.3639716809796929,0.02685598677909368,0.10451252129788281,0.1263611359411224,0.8921245046539871,0.8156905964061026,0.6377909321686529,0.7939289527394027,0.49930369964568533,0.9197140880245939,0.05297914615384138,0.1232913127140335,0.22471161892469318,0.41154479538460287,0.46157554637798837,0.6206086431776916,0.9789749426640848,0.31172407234276883,0.3452979521175892,0.09651071711699324,0.49537652762618745,0.7269322633837465,0.626502289647945,0.02053947164869213,0.18751902530101167,0.09522798982392067,0.2078236408483468,0.1692581051092505,0.17923246590741684,0.8878418431018058,0.632697379780317,0.38305526751711205,0.5467931654029936,0.1312964509909764,0.5403748952038221,0.063565176040964,0.9522748990924945,0.5219612825614934,0.572023796441802,0.7468633737203398,0.4420609077990978,0.8101905535577998,0.6413426941423355,0.5270550438321714,0.0802523850335046,0.3207494552402954,0.00669406900746634,0.5449249672909859,0.2072598491226778,0.6647778995351892,0.708510514826193,0.07343746196212304,0.40791455981261626,0.06678234244120361,0.43802053114279615,0.563617750853614,0.17476046996889089,0.001853749869252182,0.7414534081422249,0.14345919882619065,0.04825573052545363,0.46077141956369805,0.017476243055041214,0.846868573178924,0.2511747956495283,0.9003176573746166,0.38171231511625936,0.17933818429214712,0.8052318347502719,0.17420989405115161,0.8496024864857997,0.6941528000889481,0.616335160039179,0.36962203713435515,0.8303491501457824,0.5460327062306658
Left-Putamen, nan,nan,nan,0.436191301718831,0.9233886688672202,0.894028762377141,0.3442350121864164,0.051033686667680815,0.2078248575001062,0.09372200168067202,0.06084835646693561,0.7858656908126931,0.78074867548903,0.08651019212494511,0.13168821442201611,0.3261916821467862,0.6075258002404356,0.7238642732783193,0.6603207497604904,0.3881924834454923,0.4922447731826105,0.24585970053763,0.4054844580201168,0.191993739352245,0.5546001079827416,0.5187957220785493,0.10545766375867766,0.6455562824230809,0.2138725172789625,0.33895421141930726,0.009267557366839622,0.15174264575526733,0.18264730893991094,0.9256411857267641,0.8285948826942706,0.08580134025826863,0.8289746800007634,0.9463025926900538,0.8241820049367807,0.04789621700708315,0.9170037079467219,0.7066300627461717,0.28356641990380094,0.06133603485906281,0.8404685021696523,0.06092825794575108,0.16859243260627668,0.27258206549554126,0.018061831356836956,0.19786477887689483,0.18965826184748358,0.34819343004380066,0.7327851670482961,0.8118206480158072,0.00703742826418335,0.2008423917620778,0.4661433014586187,0.4561512642179326,0.8438727299011006,0.4448545422031507,0.7325148404141559,0.18987185776719728,0.057436609546518844,0.20337163526989863,0.010029923693055979,0.9565317253558882,0.030085583415822452,0.5510628409607069,0.3964092435364073,0.028027016702771412,0.4779181176835767,0.39781004079783167,0.547016232781658,0.09928228726921658,0.3544213839436887,0.5198930423244541,0.09557385328327242,0.006125343253589875,0.28151349897470535,0.6394611581819046,0.18275370570946262,0.12950593117257728
Left-Pallidum, nan,nan,nan,nan,0.7020107764446374,0.926734292219016,0.5502777547200843,0.36095134785874916,0.8670378608993706,0.08171643394278331,0.004818490924666749,0.43185084489019676,0.5960635296433435,0.9255383523902725,0.09057842023677971,0.07817225142311184,0.057394285536226,0.856614157415141,0.7391562917439691,0.12996795345124337,0.03214139712924733,0.07935619483462668,0.695931502639139,0.3447215902966967,0.8198142696559163,0.8365765213362154,0.14641802319767894,0.2560517788085622,0.3802008638844334,0.17041695509126067,0.0003231329859601047,0.7307107301892162,0.13867761990055696,0.7712194399168381,0.29002723375572065,0.15074114112490322,0.26671815436012714,0.0930932314465707,0.45498872940207824,0.02681458417009254,0.16939939945757346,0.6861915923778563,0.0520025117488089,0.00016591147686838604,0.3142281338923305,0.8056893257753392,0.3440726854268854,0.08254777924944298,0.014273372033027287,0.03996282194009086,0.7589694002014805,0.9472596405059943,0.8014161330761596,0.914342827813935,0.17056004936764926,0.1603926197176885,0.5309641103323706,0.5585554317549575,0.3487469664202172,0.6736472025217142,0.4068010316048791,0.4467973359455334,0.8072978225476641,0.14480729643700055,0.017412436624999236,0.6069062560655918,0.03507164873870545,0.5003599777146086,0.4428582085890146,0.43772650014797554,0.9005853079775757,0.32806194559519397,0.126518866821066,0.20969300901543067,0.23076135368684741,0.6326788349987758,0.04843280113997461,0.01873278944102792,0.7337116520915785,0.41709588840189193,0.18959127700726264,0.03499538789918389
Left-Hippocampus, nan,nan,nan,nan,nan,0.18584212747149947,0.07104954069896825,0.6641486917409574,0.33642466286877004,0.5435942891531095,0.5328274603998224,0.3320771492517658,0.28109738242478755,0.278024604249698,0.7174650934346324,0.09084394096259615,0.9482309816894565,0.9075733055036777,0.6056961857886909,0.068566918005284,0.4888706945455408,0.9818303759185696,0.810249902750128,0.027327331184796952,0.6589444153270922,0.08823911004866657,0.7285230837905664,0.6990332961425272,0.18230371603588555,0.7394948983060567,0.0699094950993715,0.6398006239555802,0.5986533305389954,0.24985421602154537,0.662465084681794,0.6090218786414845,0.7681219879220156,0.741598658674544,0.5322652663827403,0.7064411616965269,0.9360005353782094,0.6258434381203445,0.0545936613152656,0.624923132453906,0.38369330982394856,0.9041318605804853,0.0005476600385351934,0.04028203777069644,0.18639391478831266,0.05889699483205657,0.5872740400682137,0.9703963046165202,0.2256220888604258,0.01636595957410157,0.8181905212479484,0.5437515130445641,0.424840141406573,0.13538567878481628,0.9020157493095708,0.5161049635089794,0.14426279834587347,0.1395107417720454,0.8880013075913269,0.35874898245186126,0.16832955533241853,0.614878358689686,0.7484611334145305,0.057127035930149055,0.34407603830152034,0.3975340717633319,0.689462741481029,0.3527668373363819,0.9531146538987199,0.804791821440556,0.6278521026712054,0.3926181976811757,0.0342980495948236,0.08839462451921812,0.000384085549586356,0.954578516102293,0.004363511662134308,0.029542195947097092
Left-Amygdala, nan,nan,nan,nan,nan,nan,0.18360602266823217,0.05589444544115401,0.7142925803967906,0.7797851485837545,0.1171409712702511,0.4384724701292556,0.7677292575616743,0.5302853512180292,0.3823233201232791,0.0009548770189980683,0.7696614270618405,0.7365650615656182,0.5401863775827798,0.5632215184884348,0.5452717527241253,0.16641773204535473,0.25076339971572076,0.29150643664434556,0.9314786232449367,0.34492268696270945,0.951062917994249,0.4274923851267849,0.41166030865248127,0.09175667343813,0.058634719434134536,0.28246892983104643,0.49548337309480917,0.40579906557918244,0.49624974091816276,0.09364118432081815,0.7029940689393586,0.13347842011082692,0.3494213156160417,0.4637377181481852,0.17549354652948793,0.9575630864286107,0.4711379517449371,0.9836939831293263,0.8344371010792051,0.29322934492509445,0.42686077265904776,0.09611303336542405,0.13969246204307215,0.06750684805342749,0.4994259151249568,0.559497041406712,0.2851996923161886,0.14601997089730948,0.29571692737354716,0.7910289444805697,0.19373527781164898,0.15915828619992153,0.4519502306056462,0.989162298080549,0.7165430011216842,0.14700326972113575,0.0800890708601874,0.022297772592465195,0.44719738093368155,0.8162945025562569,0.4829754530559287,0.13856282574048112,0.25455423061613897,0.0711259278965099,0.8137094351406696,0.1956752087895555,0.2766797738518464,0.5247744518840746,0.20604302367457,0.7188592277881982,0.1446377746205034,0.3305842266016661,0.003431245392636071,0.46434652266810117,0.007318540280189607,0.11058740608427735
Left-Accumbens-area, nan,nan,nan,nan,nan,nan,nan,0.809347490759348,0.7888765523505011,0.6114419619858703,0.354897709476929,0.02181383883988137,0.005449616169933996,0.09173304268119765,0.9622894970800971,0.26742070613189195,0.4885608665531386,0.312834374484768,0.765352525339675,0.16599187864536621,0.7324441206678043,0.7977943815630004,0.8965013657901633,0.4648645339698847,0.46507648568699267,0.26679390430975386,0.19143486947440042,0.8797606194706845,0.6444465805141774,0.26348309704581657,0.2558971715013608,0.40861383649892447,0.8478209690116825,0.631740511530368,0.6779447482585818,0.6240249265663684,0.852175086536549,0.609598162287447,0.565653625148534,0.6915071990360699,0.7045043773336911,0.38403267271096486,0.9977712413191371,0.6051372143275309,0.44205533817271436,0.4855605855951175,0.3847977691518759,0.898713600714915,0.6592837669320357,0.7782391142599148,0.673649078065483,0.8686140002064044,0.5294162462665911,0.15854654497335324,0.8027883219246482,0.7098563448329915,0.6822576617557782,0.26520149950173283,0.8369090069461851,0.8927061505564933,0.037553538304506064,0.4854569681319787,0.5930080879607802,0.7057406106710743,0.9046971332817793,0.1881870684523288,0.6777543289546524,0.5324087135635298,0.31597891843231474,0.3235841243539943,0.6223322527684365,0.3040582438837718,0.28798861661808095,0.7233350502575044,0.20243929787417814,0.6833817349690969,0.5754472001038657,0.3048746385220939,0.1669999378689748,0.5580643526437239,0.2502409326945497,0.808617732321948
Right-Thalamus-Proper, nan,nan,nan,nan,nan,nan,nan,nan,0.20920505921568452,0.19573562969224753,0.2653024714310155,0.9761262878632788,0.2900584071423071,0.009428684118320397,0.39316395714353025,0.20426030217556207,0.2207814355771567,0.07725815288087384,0.2720481048078028,0.9086214534550012,0.796235737033149,0.6415707051547082,0.8661376157049909,0.14372855012556673,0.9512549963390344,0.05324165989915363,0.052648684768871995,0.9231677919437955,0.942802966225738,0.7362602442383421,0.057937121425032635,0.3477062856787184,0.10368818909948384,0.4016341759118346,0.08410131710847278,0.6486939952951198,0.2817952322698403,0.617253468454974,0.06446071185087718,0.36747966846588054,0.9715255003351118,0.2500905555283188,0.22385945651960876,0.06981343143288224,0.14332071417294265,0.41602016501751893,0.18246035054190538,0.1461286768684812,0.43268697186187044,0.13432764662515465,0.9884424227351785,0.1330473400046857,0.3075551533627645,0.7856639288235086,0.648349894240442,0.4116909309787191,0.925820463292951,0.6255582193559839,0.25624704785884816,0.22228194827283737,0.08930079781728234,0.6327348310121266,0.1139467330382521,0.8980509637466627,0.017014100579412328,0.39051336148848415,0.33536534398112827,0.13134918356280395,0.621741945680991,0.32675466154778265,0.4706659395755719,0.7654813584148114,0.18934603643949705,0.8014872991874089,0.8516356600480842,0.2236680713616548,0.14645169590089335,0.04727233390193095,0.0005788835136086432,0.6878831323089893,0.7850271613801569,0.015143030863688034
Right-Caudate, nan,nan,nan,nan,nan,nan,nan,nan,nan,0.43613607059147763,0.694408219399233,0.5652600875323002,0.8945606099142911,0.13547382119984333,0.2168567056022208,0.5809598431661193,0.40154820859603335,0.596876454919141,0.08419287575586694,0.5897419756856346,0.9218622123512783,0.8972332129854894,0.37523015161524853,0.12014357398765513,0.6908342460295458,0.47852305571725895,0.40093698459235416,0.4903933422053436,0.9011002177250331,0.0006184330146199183,0.09077748854537644,0.1304067791449197,0.49177045473231484,0.6953032161127326,0.5693137012552589,0.21078746955993324,0.3213835232658062,0.6591210944358963,0.9765068307327717,0.3367056790962907,0.8080749393707504,0.8143059255878735,0.5212291768653141,0.45639943872472233,0.8558717628828061,0.3540869340109998,0.32867827265292193,0.7819520064247774,0.24510661620272137,0.9034546596165456,0.304114859408961,0.9386037464556919,0.10825638950062112,0.3150692530777346,0.5745598125868951,0.3292677139993353,0.6351956010050476,0.06799949505274291,0.6352052360911628,0.22585188758325023,0.6836690846698427,0.4616560102093963,0.4398659663212796,0.006108826150246424,0.11981842015143417,0.3595686180758765,0.23302559656375332,0.7202433136025472,0.22164227783565438,0.4905386599863394,0.952448029472234,0.4237368159177908,0.9583560076818665,0.6130186519208294,0.7139626881852752,0.9677397059940795,0.9362278104273243,0.3375781634247549,0.6760377294863953,0.7813709401148418,0.7215763003003957,0.6163530578901513
Right-Putamen, nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.08994136262053588,0.36576236736548273,0.1970646289817019,0.40419438046950495,0.08470656241820845,0.345256778348936,0.4742639156153873,0.6658545466379078,0.5444582222390887,0.2638570922267484,0.4171378318297454,0.44424123602944754,0.658736488673156,0.8639787307440411,0.6862886505437779,0.9377042315433746,0.7696636791303928,0.7180919558746601,0.18164981799957824,0.7256290827713098,0.0036501153988596283,0.10741244388645978,0.061920558865633434,0.9114386356592077,0.6894453109607639,0.12233310785897339,0.7635389210371033,0.563387067198725,0.864898316873675,0.027317970827958508,0.721246615002139,0.987408004815016,0.09176080544408095,0.05726678350182702,0.9041126559832673,0.4815573330794938,0.11803915600014209,0.41403901187300773,0.0019648514327317798,0.12460216512084533,0.04977503342541618,0.465265924265578,0.1112732702119338,0.3422838420673353,0.012410368671825326,0.08355838568154625,0.8726597284950028,0.9199454164962309,0.8546615811981451,0.9478106088908386,0.5155000103477696,0.16892854436116955,0.015916727638686606,0.06966529570628782,0.043060385689420534,0.5978301569835094,0.040252033935960135,0.7369825295299912,0.2784717010205879,0.11318039656790552,0.5645716788149574,0.23229480122040042,0.5667496089612776,0.06457130686541211,0.4552616787529762,0.7496633753769569,0.02883838516178968,0.026617601868490756,0.5765290700048409,0.8019517923966982,0.3613841207332603,0.22535753741227046
