# File generated on 2024-02-06 23:08:39
# Number of participants: 28
# Number of patients (parkinson): 14
# Number of controls: 14
# 1 datasets were included:
# - Parkinson_Yoneyama
# Effect size cohen d (regression coefficient normalized by the pooled SD).
x,Left-Thalamus-Proper,Left-Caudate,Left-Putamen,Left-Pallidum,Left-Hippocampus,Left-Amygdala,Left-Accumbens-area,Right-Thalamus-Proper,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,ctx-lh-bankssts,ctx-lh-caudalanteriorcingulate,ctx-lh-caudalmiddlefrontal,ctx-lh-cuneus,ctx-lh-entorhinal,ctx-lh-fusiform,ctx-lh-inferiorparietal,ctx-lh-inferiortemporal,ctx-lh-isthmuscingulate,ctx-lh-lateraloccipital,ctx-lh-lateralorbitofrontal,ctx-lh-lingual,ctx-lh-medialorbitofrontal,ctx-lh-middletemporal,ctx-lh-parahippocampal,ctx-lh-paracentral,ctx-lh-parsopercularis,ctx-lh-parsorbitalis,ctx-lh-parstriangularis,ctx-lh-pericalcarine,ctx-lh-postcentral,ctx-lh-posteriorcingulate,ctx-lh-precentral,ctx-lh-precuneus,ctx-lh-rostralanteriorcingulate,ctx-lh-rostralmiddlefrontal,ctx-lh-superiorfrontal,ctx-lh-superiorparietal,ctx-lh-superiortemporal,ctx-lh-supramarginal,ctx-lh-frontalpole,ctx-lh-temporalpole,ctx-lh-transversetemporal,ctx-lh-insula,ctx-rh-bankssts,ctx-rh-caudalanteriorcingulate,ctx-rh-caudalmiddlefrontal,ctx-rh-cuneus,ctx-rh-entorhinal,ctx-rh-fusiform,ctx-rh-inferiorparietal,ctx-rh-inferiortemporal,ctx-rh-isthmuscingulate,ctx-rh-lateraloccipital,ctx-rh-lateralorbitofrontal,ctx-rh-lingual,ctx-rh-medialorbitofrontal,ctx-rh-middletemporal,ctx-rh-parahippocampal,ctx-rh-paracentral,ctx-rh-parsopercularis,ctx-rh-parsorbitalis,ctx-rh-parstriangularis,ctx-rh-pericalcarine,ctx-rh-postcentral,ctx-rh-posteriorcingulate,ctx-rh-precentral,ctx-rh-precuneus,ctx-rh-rostralanteriorcingulate,ctx-rh-rostralmiddlefrontal,ctx-rh-superiorfrontal,ctx-rh-superiorparietal,ctx-rh-superiortemporal,ctx-rh-supramarginal,ctx-rh-frontalpole,ctx-rh-temporalpole,ctx-rh-transversetemporal,ctx-rh-insula
Left-Thalamus-Proper, nan,-0.2949246416853732,-0.845374997189692,-0.1785169568079249,-0.2824960846934347,-0.5333762460326378,-0.5714440834067478,-0.5211307890534675,-0.2996510227801309,-0.6293777004135156,-0.49342754094557456,-0.19734568557042284,-0.5307829471960602,0.10454855792467158,-0.6474980194338518,-0.4177882323029462,-0.4158446446372866,-0.24254230711815375,-1.004483553542104,-0.6775541082072004,-0.15416775203598532,-0.9360237998669316,-0.09259981124246014,-0.41348251282782067,0.042293658468771235,-0.35617797487451613,0.13122765024014318,-0.5917854532485782,-0.27790009984906044,0.013212178080408126,-0.33800894890406535,-0.7085968449821052,-0.48407671116572154,0.0020582329657022947,-0.7548621416727038,-0.5997414163987982,-0.18060673611549233,0.008159952792769792,-0.06268490569842279,-0.1071568092143417,-0.11759345313512876,-0.21904595109993316,-1.2225918861718073,-0.7894288104711567,-0.05904959761425646,-0.7193083646811832,-0.6203000054600438,-0.9031282238372942,-0.8409959342962419,-0.5292788865149506,-0.24525472574197385,-0.3608399691637067,-0.8888913386037138,-0.7896385190953693,-0.13114891753822513,-0.9885509408837029,-0.01856378467362493,-0.26499846166634317,0.21972693398173093,-0.6695922178693853,0.27098884810488977,-0.7003660836066938,-0.35764362595999194,0.03088090460550921,-0.46679703666395633,-0.28878055670596137,-0.7449719348477044,-0.05767520556370606,-0.5082900496881566,-0.6504864058773463,-0.0638776408314574,0.035837623551657254,0.15266016169731195,-0.09236028931967714,-0.14599429511711298,-0.2372256414849018,-1.3029736713844147,-0.9471519247186375,0.7791477446787306,-0.956314466550954,-0.23902082592146343,-0.8513310700389938
Left-Caudate, nan,nan,-1.0522209651877632,0.09724547702931616,-0.021390605659781032,-0.14602200271341845,-0.44232769719127113,-0.6272771664522109,-0.5213460451500734,-0.9154699238716844,0.013286704783558296,-0.009696804330671323,-0.22867139844589487,-0.18116658102504374,0.0029211622581536796,-0.5416070552018524,-0.7703553057271234,0.5458307258882006,-0.5619855252326044,-0.031947095124523206,-0.4335486311717505,0.1460719959217518,0.21968463005131825,0.2294605547163237,0.2523421996417053,0.5478263124688283,0.05178358466264581,-0.3407111275646891,-0.06650163822288367,0.6313627526339911,-0.2281583893407492,-0.7248135246309816,-0.604572486202795,0.5060136547671477,0.20255607837722545,-0.5517002712924564,0.14401229977869048,0.12818019459074398,-0.49374912344468214,-0.048275124196270974,-0.07264172102360261,0.5876037522359513,-0.884142962998223,-0.3133647513112432,0.19524087289425437,-0.3638654475669347,-0.1911779186703304,-0.3512020350594773,-0.6929108372637023,-0.23443126201387654,-0.26747813856869457,0.3352558426597479,-0.6191533791835246,0.12995736986606798,-0.4665296215855411,0.4516738865101209,0.10158492384132206,0.4372910181205175,-0.03203809148325039,0.5672346375184606,-0.20137152215838375,-0.3513717593129616,-0.223602086767867,0.7738275402901971,0.13397675741060025,-0.7075914447402701,-1.1423319092510236,0.416338290592209,0.473237782607271,-0.23313498021993745,0.49817203521516656,0.23555676375610127,-0.3373102342189162,0.023144477849825644,0.015703547758025866,0.44840956779509783,-1.0454932166196687,-0.2873442774673447,0.2025469698299698,-0.7075898058939692,-0.20261671000798973,0.11990221501435695
Left-Putamen, nan,nan,nan,-0.5819976824506957,0.18946863264937205,0.17856092952650296,-0.4462283379926804,-0.9096178051579008,-0.7242520930704298,-1.0338810410171626,-0.794783559185656,0.20543743614601148,-0.26017078556023265,-0.1418436316253184,-1.0077095741618445,-0.7351309499608949,-0.3944978034295954,0.47959068908784114,-0.7919433769140007,-0.2746931560096311,-0.42591211283996816,-0.1931559809446008,0.30767439623110404,0.5443155690655985,-0.059756464714035826,0.19800940487502963,0.5474445337250656,-0.6266405988322787,-0.6817700198696575,0.36653338426883997,-0.7301436690790161,-0.6052258374734014,-0.9541336707260644,0.2955180843161126,-0.04204992058229846,-0.82418929323658,0.08305504129476904,0.21934323178950174,-0.28223969969996643,-0.4020914800929649,-0.28385213439641677,0.06507236674297197,-1.1447870643616027,-1.2221405131167338,-0.05850489018106226,-0.42352258524157305,-0.786295664130108,-0.49740005444747704,-1.2595886073616989,-0.7683992783923325,-0.9067949883281913,0.05058729976512507,-0.2604148367438545,-0.15514034680975905,-1.31375680007827,-0.5265793976524993,0.26970522896219834,0.31485168913387773,-0.23084267413771561,0.21144340370069462,0.33334975492739155,-0.8218508542891467,-0.5745440562201152,0.3035413637803424,-0.7919237671818427,-0.3694571145500331,-1.2278755799077374,0.08703249318043203,0.2066547458396117,-0.6994679738216125,0.03979605282773239,-0.14288798923889082,-0.32709172481859283,-0.5700701007350193,-0.5652889382415953,-0.10797451732259167,-0.8127095884550635,-1.301601053496364,0.2388526761768608,-0.15779720619376636,-0.5049393202596326,-0.4588796082767606
Left-Pallidum, nan,nan,nan,nan,0.39583026884902117,0.1412949562419076,-0.13394894482167477,-0.33083092311227424,-0.159345649250456,-0.4953847486692778,-0.5264003149072932,0.35096512269338637,0.0900199649852787,-0.02188931261092381,-0.8381722037552778,-0.4091550445033336,-0.10771702428704863,0.05565742714678561,-0.4598722598989453,-0.2207552514363473,-0.22896873671294035,-0.2347543804042385,-0.01976209148290448,0.2792591377505019,0.23595643386931012,0.016571889261618008,0.3193008274368552,-0.09950375241912908,-0.2821739239933295,0.3843568240655108,-0.8834756738920254,-0.09349413427269167,-0.7074392078841056,-0.18686841580892533,-0.318406983578898,-0.4323008728686372,-0.25530991284796906,-0.15373978693998128,-0.23509144060038903,-0.2654924568511008,-0.24808121265102262,-0.15283289965167512,-0.5499457033234219,-1.0935493486243304,-0.22655289491036537,0.19553502109532178,-0.3714344345762021,-0.42315871539956085,-1.11152132811906,-0.8546101419736118,-0.016031304458281832,-0.04975202848749342,0.010978546486033497,0.1431191367572104,-0.2926588380842319,-0.09672581631022298,-0.1028083517428844,0.2095886637474337,0.2388534621629408,-0.41570490043435115,0.29989982872228316,-0.1665999992130303,-0.30126738978691503,0.4402991286396312,-0.6591884324185505,-0.004949308901701153,-0.6774157046251219,-0.2914234486348398,-0.13886763212424574,-0.49814783941653223,0.21559348323932623,-0.1281517412291198,-0.3299508776467328,-0.08907457977420488,-0.2690195924940011,0.036054631857312225,-0.5740131626442837,-1.0977072634722784,-0.020979620554339058,-0.06105691615186705,0.21379556339981504,-0.2737468130598838
Left-Hippocampus, nan,nan,nan,nan,nan,-0.4069232805123762,0.15717700191760064,-0.2366012705773852,0.0652209858882803,0.009528542358036303,-0.5562590910068711,-0.4063438876426427,-0.02901111256457617,0.30522988150524477,-0.17413656284489862,-0.7700831156082101,-0.7515526047690987,0.3820131704606912,-0.3639574763173766,-0.482456424675032,0.06274399823274605,0.06407431391251366,-0.05365958147071284,-0.33349790877906443,0.25410946779717236,-0.11170806694222406,0.38374383360559366,-0.0517608525529292,-0.9692306402053942,-0.5115319982508832,-0.9755737239528538,-0.5257839021735569,-0.3558398440880023,-0.2478906327622163,-0.624990075117894,-0.7094154287078349,-0.6632274053003437,-0.07261189988938571,-0.2931669779732187,-0.22886065459844335,-0.49416098960528526,-0.4344436196875216,-0.4122282371775827,-0.3353773696123644,-0.5061589940537192,0.2500342763159366,-0.558620935205886,-0.9311854705933448,-0.8405106898904382,-0.8265409897257144,-0.7501256974954613,0.3491864338464196,-0.17795578558123099,-0.405774395196932,-0.04615617992932521,0.18138336147077963,0.05905360915362638,-0.09643520880432994,0.009643769730534208,0.04467340301616825,0.5906702857501591,-0.12928383918078412,-0.7220955885540654,-1.0049326755610783,-0.6913316906978466,0.3941205068613885,-0.464501885577274,-0.252115127878315,-0.9152886999327413,-0.7238704214620747,-0.794729386898883,0.17255372162444918,-0.3634104629924967,-0.15228620397004944,-0.5016935873094336,-0.865298136593829,-0.3189942025841005,-1.0098932450984495,0.6838334458457676,-0.11882455773174153,-0.662264567164119,-1.0631371448654017
Left-Amygdala, nan,nan,nan,nan,nan,nan,0.23569548217265784,-0.656709304405836,-0.25958890417700586,0.23801534352066714,-0.39471707657303445,-0.28816523051456006,0.013544216952967713,0.2689225412731755,-0.04812579534475924,-1.0460135227913874,-0.5420508227160306,0.3947010420780837,0.03717799243749851,0.014082121802848938,-0.31741866400697133,0.4307658686441884,-0.577083086211134,0.00039446219464348036,0.3606532487764255,-0.20472130961728421,0.27120158041865994,-0.1356842971963779,-0.7189638779892747,-0.3828255092001029,-0.8531590560498373,-0.5498018364531441,-0.1812991628383463,-0.3695691549875476,-0.152063123372152,-1.2294540082739154,-0.5000697581674759,-0.4796304806604872,-0.7430321868646615,-0.2635431583651382,-0.8198578774358386,-0.1685697719321844,-0.22351535027486447,-0.12827088169350226,-0.2209860940093623,0.4362675808168715,-0.17050562956085571,-0.42026242426871213,-0.5715697072902282,-0.9204930867874092,-0.789824957381164,0.2574099384520496,0.30738836234606187,0.18193841739144462,-0.3026819945723472,0.34110065077743196,-0.5076203307547729,-0.13421126762220661,0.12782865555677167,-0.20049444083601406,0.20171407621808657,-0.09760151294069275,-0.8290631704912524,-0.7829460365624404,-0.7551790202793299,-0.13656866687439667,-0.6987615937318691,-0.4058932926802538,-0.40430720375724327,-1.2306022415350424,-0.503739240165708,-0.4643595241139417,-0.49113754789971115,-0.4015131090105861,-1.0293815931282349,-0.29269431992165523,0.19391081304378827,-0.4238503050409733,0.2724521482714808,-0.1051534593562211,-0.6540667001307117,-0.4326754384446239
Left-Accumbens-area, nan,nan,nan,nan,nan,nan,nan,-0.4994663006061056,-0.09391610092680747,-0.48651210448058996,-0.27674359431098405,0.2777015004806778,0.14410236671169319,-0.7492002899913809,-0.4161825874067461,-0.8921965012672732,-0.2667996513525893,-0.6187724023440062,-0.09580329698765912,-0.34890150769292355,-0.2786864294517965,0.1753493916139304,-0.42269402602028106,-0.2600716663469591,-0.2078290827444158,-0.3864871426008987,-0.18246383823291373,-0.09725391476077264,-0.38189886753421387,-0.14468304646252897,-1.0331464347988217,-0.1356175275025049,-0.5592972480270113,-0.45830404638038946,-0.5813141950459053,-0.9542986990522604,-0.43456374391281266,-0.3318827330759645,-0.6301143421539371,-0.3996654418838918,-0.3800081512388214,-0.1286517836588797,-0.8625925809256306,-0.9263792515787828,-0.7221663903580785,-0.4833695967244717,-0.931320711377698,-0.7227689222978182,-0.4346412107298647,-0.5706245874740925,-0.16131092165871005,-0.7153850147885376,-0.06754092939710754,-0.21725831947069307,-0.5924697840502934,0.2746502624940223,-0.290663949633828,-0.27176932624273165,-0.41164855025824754,0.005219095519131246,0.38490545066693405,-0.36124728877193873,-0.16820284839814703,-0.5239166021204267,-0.6958680067052501,0.3386144653858866,-0.8039466633656873,-0.5050540541787693,-0.8390144410751127,-0.6897472202031812,-0.4448567118207826,-0.3462259302082116,-0.39589525790621194,-0.42182183035063975,-0.2719147412461908,-0.06853333538474657,-0.9839407031522266,-0.8952775267652217,0.09045439309024343,-0.5424048190360422,-1.025540837798183,-0.7165289121814324
Right-Thalamus-Proper, nan,nan,nan,nan,nan,nan,nan,nan,-0.3466098446666795,-0.9330790635087628,-0.3884022051137163,-0.12760162719224008,-0.7537334574150282,0.5045285013355942,-0.7245106241810664,-0.5846128446113705,-0.40828446874088337,-0.3052546258756971,-1.1456643221645801,-0.49235634237578485,-0.10027669616882015,-0.671546127870038,0.15354487062435812,-0.37648241024446283,0.03226348017916369,-0.36499503982019865,0.27854569348962616,-0.4423026451286998,-0.3497891339985629,-0.1576421983474671,-0.45625621285624435,-0.7343633266438788,-0.5776485709710758,-0.015648525529326628,-0.6974988153778967,-0.5313861706233786,-0.3359272041435196,0.2496115322157246,-0.026272377823434237,-0.2628605307977118,-0.12172226977407423,-0.3247511337032006,-1.3388599487089772,-0.896564796523081,0.10411889967646085,-0.4633357862351347,-0.7749496878093273,-0.8863261582316528,-0.7986748890955019,-0.3530775705600197,-0.2151172968082163,-0.34232397723987357,-1.0395983903471888,-0.7455786225811981,-0.06739603331780163,-0.5454375456857998,-0.00379868752457219,-0.14802722293220635,0.33394482203938475,-0.5475941848596506,0.5909845099466846,-0.35682317451924694,-0.5163346124986704,-0.04669392638074933,-0.5425557161703283,-0.20046352988555466,-0.6862835119888618,-0.06481307517029428,-0.48722952448997875,-0.5196185893914672,-0.23137114041856635,0.25686956182692056,0.12976217416340488,-0.15043983969748256,-0.03433733545257088,-0.46274817167156035,-1.2709174217535981,-0.9474979662103625,0.8187050826049213,-0.5437750624756447,-0.2724678504975701,-0.8829562115445081
Right-Caudate, nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.4677527834956075,-0.3127602671236688,0.0512348867769472,0.08416744793263631,0.37533915172408927,0.05015067934885328,-0.5587735413416931,-0.4525990235620141,0.5405644655223837,-0.4732193562342943,0.1765294528249886,-0.04382584728318994,0.3682035252140681,0.2669454062902853,0.560596040475145,0.6472227385827362,0.5087446878222076,0.6489955132747413,0.06488470554151421,0.1362762436768818,1.1917692378203515,-0.3561359766844647,-0.3387692739388185,-0.3408871600871581,0.3540182526141253,0.19389663439582824,-0.4581326873261477,0.3353111110312846,0.24652723369648863,-0.06438393377464055,-0.05320986248036514,0.04508509692870007,0.4802632998564325,-0.541404292662566,-0.35727700218105995,0.3416477138455829,-0.5131344864513896,-0.038612150118222284,-0.19398696745275965,-0.44490097243978766,-0.4843365930143819,-0.43134003605328536,0.06293976540633864,-0.7044815958850507,0.4478605819479094,-0.1950107657367189,0.8140514535331794,0.08328329512377021,0.879018164189739,0.4173368962239357,0.39617396738576416,0.29670951857895494,0.20603216528780532,0.003219211097182851,1.034071624722178,-0.1265124789194506,-0.2434083029444227,-0.5109541091356486,0.1745008298459368,0.46083668421625545,-0.32457172503488846,0.26566208533036506,0.19415045139768805,-0.03190222917436722,0.08383176310838064,0.029432870446404982,0.0660115076835502,-0.3262893350039384,-0.5482012967888511,0.5689677416018026,-0.4566838603560047,-0.11527157616383356,-0.020886451028906655
Right-Putamen, nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.6202313666220848,-0.08028813947171015,-0.11989385842011538,-0.2155379222493188,-0.8403185273232522,-0.7102950244042078,-0.5067784998586363,0.30946168633091725,-0.35235975645977025,-0.2260646703372823,-0.37662424865601724,0.0014780252919639233,0.22937306270546196,0.06469990218956163,-0.07455223622124361,0.1196288969546358,0.3233060792972429,-0.4471165109212258,-0.6380544889170426,0.023956245666251853,-0.8944405475707906,-0.4471480410028007,-0.8103937049933596,0.15042078179009455,-0.21049665488550515,-0.8644819688499796,-0.13462364852550984,-0.00975970891824873,-0.20783051969945976,-0.31729834218772623,-0.20534879022405772,-0.02316121520382805,-1.0825035677380823,-0.9336369065949566,-0.16281055490295762,-0.3399452894056112,-1.0384300901038963,-0.40859415196575616,-1.245589428245628,-0.7178205005611479,-0.8738213582471759,0.003982706816689021,-0.20435460824529858,-0.19831464757860856,-0.9578895816579581,-0.3079767091511528,0.0774758233736093,0.07132225225868735,-0.05714567166622137,0.21783154925048284,0.15110154009144416,-0.5402026341994745,-0.7642143763334871,0.15301414384147766,-0.6202703363368903,-0.2552160225969281,-0.9494795542044727,-0.09657027036787248,0.13611877421079527,-0.5940441936142921,-0.010249637960614379,-0.28889904139304634,-0.2574605762929978,-0.3931940969777569,-0.359144625793661,-0.18352523147547817,-0.9757936851547526,-1.048295885254082,0.3571209108175303,0.0003981154459226639,-0.8234440283157788,-0.2822964957964531
