# File generated on 2024-02-04 11:33:03
# Number of participants: 124
# Number of patients (parkinson): 62
# Number of controls: 62
# 1 datasets were included:
# - PPMI
# P-value.
region,volume,surface area,thickness
Left-Thalamus-Proper, nan,nan,nan
Left-Caudate, 0.33450175774864344,nan,nan
Left-Putamen, 0.17931159093572926,nan,nan
Left-Pallidum, 0.13829883903861426,nan,nan
Left-Hippocampus, 0.44537878645372464,nan,nan
Left-Amygdala, 0.11048285564478731,nan,nan
Left-Accumbens-area, 0.15255298073349488,nan,nan
Right-Thalamus-Proper, nan,nan,nan
Right-Caudate, 0.8200366150409395,nan,nan
Right-Putamen, 0.07404386416260113,nan,nan
Right-Pallidum, 0.07269107102039163,nan,nan
Right-Hippocampus, 0.49544390331082555,nan,nan
Right-Amygdala, 0.1649979839400104,nan,nan
Right-Accumbens-area, 0.6328085829992967,nan,nan
ctx-lh-bankssts, 0.6335254987439848,0.7012829097274391,0.8738962717511602
ctx-lh-caudalanteriorcingulate, 0.8061905275848017,0.7061753033661443,0.08338671088979954
ctx-lh-caudalmiddlefrontal, 0.09298114060983544,0.12082390801677596,0.8878760284905648
ctx-lh-cuneus, 0.1278189412408667,0.0492491890430521,0.9707881751636565
ctx-lh-entorhinal, 0.17589441480368762,0.2599735699780085,0.3670213217700916
ctx-lh-fusiform, 0.3498904514925971,0.4262793952161783,0.5954006903997215
ctx-lh-inferiorparietal, 0.28437104110848244,0.16807084317446788,0.4401046482685318
ctx-lh-inferiortemporal, 0.5426418038172875,0.4836942982512774,0.8662084833688569
ctx-lh-isthmuscingulate, 0.2212188781751895,0.07670825198566068,0.015039522384650741
ctx-lh-lateraloccipital, 0.7103424077255179,0.6455252806333195,0.7328322501767288
ctx-lh-lateralorbitofrontal, 0.6799281644370836,0.8386237606914864,0.6741735388002812
ctx-lh-lingual, 0.3870217127189495,0.6054601134459973,0.23796985734166076
ctx-lh-medialorbitofrontal, 0.8151828033787678,0.5129410151941816,0.042797980107042034
ctx-lh-middletemporal, 0.5107923960774461,0.42912318498031543,0.8396715392021273
ctx-lh-parahippocampal, 0.19526146114989124,0.6329517618954122,0.15373580907209472
ctx-lh-paracentral, 0.06050608330534566,0.033104594418468185,0.5097043816008193
ctx-lh-parsopercularis, 0.1686779283009484,0.29384391908729024,0.501811298928085
ctx-lh-parsorbitalis, 0.10562297222921492,0.21689753072429138,0.38229559153796655
ctx-lh-parstriangularis, 0.6630767388236396,0.9164389432938549,0.3020388627156133
ctx-lh-pericalcarine, 0.12147952894533026,0.2668930899584989,0.24900063517359736
ctx-lh-postcentral, 0.15988415711748918,0.12356886172187982,0.9155038788135607
ctx-lh-posteriorcingulate, 0.08699971696684113,0.022187537981540273,0.08232640213527495
ctx-lh-precentral, 0.43543242516728253,0.1514397389460261,0.33350342791064813
ctx-lh-precuneus, 0.1127515001490629,0.09566578159132585,0.7730049941674677
ctx-lh-rostralanteriorcingulate, 0.741551632316499,0.890649148779229,0.1380926016441942
ctx-lh-rostralmiddlefrontal, 0.6162044583232578,0.8680802227116956,0.16388911001145282
ctx-lh-superiorfrontal, 0.14874437374642865,0.13169547818010877,0.6462421151310689
ctx-lh-superiorparietal, 0.3626246387015327,0.3225378765101161,0.7108400177611351
ctx-lh-superiortemporal, 0.18369569316336148,0.4911129332225841,0.5435548478605657
ctx-lh-supramarginal, 0.1592520892765634,0.13725060308675127,0.6023561431200838
ctx-lh-frontalpole, 0.44716676318712145,0.659573639627428,0.7638366365444342
ctx-lh-temporalpole, 0.5979233800529195,0.8784105043415209,0.043427983096160395
ctx-lh-transversetemporal, 0.18007092161776395,0.17439755587940367,0.9414574650927865
ctx-lh-insula, 0.7519840659231258,0.7261137271678331,0.757097228811783
ctx-rh-bankssts, 0.3924524017885709,0.35418850348786257,0.6671272563354562
ctx-rh-caudalanteriorcingulate, 0.03530376297179185,0.03683504598279814,0.32258517112108853
ctx-rh-caudalmiddlefrontal, 0.5931010351600764,0.7581544065280168,0.7130304893699382
ctx-rh-cuneus, 0.3051980318709808,0.24779945263487538,0.5698825647066581
ctx-rh-entorhinal, 0.2199770115539256,0.7469477687085142,0.08542242188582427
ctx-rh-fusiform, 0.3578356327857558,0.2728919972635123,0.9775028654733393
ctx-rh-inferiorparietal, 0.40221695794731194,0.48991944251663133,0.8842676692035847
ctx-rh-inferiortemporal, 0.318474623536871,0.18885310734962543,0.5876182111760933
ctx-rh-isthmuscingulate, 0.15607132217457376,0.07945677988972524,0.5322849547476084
ctx-rh-lateraloccipital, 0.8489589298038888,0.590909640880823,0.5816522034788947
ctx-rh-lateralorbitofrontal, 0.1491127501984899,0.1452237702774476,0.4405201120981982
ctx-rh-lingual, 0.515669671367791,0.7030402568119788,0.6205421848460098
ctx-rh-medialorbitofrontal, 0.15964698585179707,0.06312336342977642,0.5577177495977358
ctx-rh-middletemporal, 0.33967780597170083,0.07514476124435025,0.06670508354861789
ctx-rh-parahippocampal, 0.5608593141545826,0.3125165926210076,0.022673709623206237
ctx-rh-paracentral, 0.9269024997606302,0.45728122354871037,0.09048764595549222
ctx-rh-parsopercularis, 0.6562199978497476,0.7146941624564266,0.874595445775905
ctx-rh-parsorbitalis, 0.6646455705113803,0.8022738534911639,0.9340940639019476
ctx-rh-parstriangularis, 0.0301196916138722,0.1302987874923749,0.35451918517209835
ctx-rh-pericalcarine, 0.15603959289236952,0.42281035334351047,0.21710531619723725
ctx-rh-postcentral, 0.4554862351658956,0.9811120853699571,0.08825385428287963
ctx-rh-posteriorcingulate, 0.03092005383330451,0.009393489463682587,0.1482187289043766
ctx-rh-precentral, 0.6333680621740041,0.4102878423191755,0.284269398749521
ctx-rh-precuneus, 0.42806215414525406,0.3391470996863063,0.5002787124998151
ctx-rh-rostralanteriorcingulate, 0.6880925826983575,0.7048734543100728,0.6982050589602655
