# File generated on 2024-02-04 08:54:39
# Number of participants: 124
# Number of patients (parkinson): 62
# Number of controls: 62
# 1 datasets were included:
# - PPMI
# Effect size betas (regression coefficient of the linear model including: dx, age, sex, intercept).
x,Left-Thalamus-Proper,Left-Caudate,Left-Putamen,Left-Pallidum,Left-Hippocampus,Left-Amygdala,Left-Accumbens-area,Right-Thalamus-Proper,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,ctx-lh-bankssts,ctx-lh-caudalanteriorcingulate,ctx-lh-caudalmiddlefrontal,ctx-lh-cuneus,ctx-lh-entorhinal,ctx-lh-fusiform,ctx-lh-inferiorparietal,ctx-lh-inferiortemporal,ctx-lh-isthmuscingulate,ctx-lh-lateraloccipital,ctx-lh-lateralorbitofrontal,ctx-lh-lingual,ctx-lh-medialorbitofrontal,ctx-lh-middletemporal,ctx-lh-parahippocampal,ctx-lh-paracentral,ctx-lh-parsopercularis,ctx-lh-parsorbitalis,ctx-lh-parstriangularis,ctx-lh-pericalcarine,ctx-lh-postcentral,ctx-lh-posteriorcingulate,ctx-lh-precentral,ctx-lh-precuneus,ctx-lh-rostralanteriorcingulate,ctx-lh-rostralmiddlefrontal,ctx-lh-superiorfrontal,ctx-lh-superiorparietal,ctx-lh-superiortemporal,ctx-lh-supramarginal,ctx-lh-frontalpole,ctx-lh-temporalpole,ctx-lh-transversetemporal,ctx-lh-insula,ctx-rh-bankssts,ctx-rh-caudalanteriorcingulate,ctx-rh-caudalmiddlefrontal,ctx-rh-cuneus,ctx-rh-entorhinal,ctx-rh-fusiform,ctx-rh-inferiorparietal,ctx-rh-inferiortemporal,ctx-rh-isthmuscingulate,ctx-rh-lateraloccipital,ctx-rh-lateralorbitofrontal,ctx-rh-lingual,ctx-rh-medialorbitofrontal,ctx-rh-middletemporal,ctx-rh-parahippocampal,ctx-rh-paracentral,ctx-rh-parsopercularis,ctx-rh-parsorbitalis,ctx-rh-parstriangularis,ctx-rh-pericalcarine,ctx-rh-postcentral,ctx-rh-posteriorcingulate,ctx-rh-precentral,ctx-rh-precuneus,ctx-rh-rostralanteriorcingulate,ctx-rh-rostralmiddlefrontal,ctx-rh-superiorfrontal,ctx-rh-superiorparietal,ctx-rh-superiortemporal,ctx-rh-supramarginal,ctx-rh-frontalpole,ctx-rh-temporalpole,ctx-rh-transversetemporal,ctx-rh-insula
Left-Thalamus-Proper, nan,0.0050874278923269895,-0.006637577315569136,0.008533749721685337,-0.0007445864868969776,0.015255495415418192,0.004978727952611108,0.018436317358576055,0.0018864290299347314,0.016989949277951177,0.012181181689352848,0.00555545751310772,-0.043417421320415275,-0.03327506602197361,nan,-0.014127639729334401,nan,0.00803731140621955,-0.021043821849018887,-0.008223933663224737,-0.000259889567867972,0.011990017882006737,0.0008922226909872121,-0.007546880482107815,0.00032340807298279214,0.028875756031001742,0.025144319444704202,0.014237960792943611,0.016889928322363346,0.012256040054010578,0.02213053782671443,0.0163542607320115,0.026402995634099004,-0.01605830606949548,-0.008800407006334676,0.02924769865750555,0.006368397937076308,0.006894145080333412,0.03410445591775087,0.03414923217186052,0.008305875240203514,0.008131207635057919,-0.020306497121070157,nan,0.02906140617398313,-0.0013434239654523165,nan,-0.00020507666401235617,nan,-0.037936884793844244,nan,-0.007208108413603155,nan,0.016300680190531908,nan,-0.03688538236694129,0.0074540150427428314,0.061679744104018365,-0.013338265800079002,0.007116089848533524,0.021796996283040545,0.04084859567665976,nan,0.012070204579914978,0.008168050977254322,0.004746596714869785,0.0247407406409663,-0.01733078519586873,0.023766338661938387,0.016626671374359355,0.0029431141949248585,0.010504104959178147,nan,0.0015815336390547143,-0.010523548939517211,-0.016753841724201156,0.012556254898362075,-0.029007777601908948,-0.0025764527994972405,-0.022163685891065554,0.004851621765378656,0.026241579014796335
Left-Caudate, nan,nan,0.004684036733401976,0.010320082758058055,0.02048149009514793,0.01888780741014657,0.0054372122373315575,0.0016708569517420425,0.02615938253528174,0.020919732555792648,0.0040169636372132285,-0.036287483905787545,nan,0.0035003548896724054,nan,-0.00021172586999207462,nan,nan,0.02068027686486794,0.003993104236339999,0.016494113114136146,-0.010740671635137805,0.033304892679672904,0.005070225362653112,0.021469981393303285,0.021268920095295532,0.0065433163306080535,0.0003033459007413458,nan,0.016391371369906142,0.07407217997985054,0.030928660005523943,0.02604730177675042,nan,-0.025267196545242572,0.010449201417198604,0.01070061939968647,0.01785507298292905,-0.004915494511889509,0.029016751754877234,0.0057535923473650994,0.00399447409540286,0.016325529900716108,nan,0.005068631809011829,0.020762722216707493,nan,-0.0069147921658742435,nan,-0.034995830808899314,nan,nan,nan,nan,nan,nan,-0.000719673807049696,nan,-0.008691165070821388,nan,-0.0003452613352766443,nan,nan,0.01921658525035515,0.04681835221075867,-0.01472601708671892,-0.00245356183970124,nan,nan,0.025378632578047233,0.00024085728398434039,0.008605203489171152,0.057000681168653804,0.006968085566264562,0.010589134670812395,-0.0008727703988433798,-0.012002935123989367,nan,0.0012464124874320254,-0.01122508444194267,-0.035389329142092356,0.002684702841710159
Left-Putamen, nan,nan,nan,-0.010158795538129128,-0.002773714912331822,0.015528334410228987,0.009190541059249994,-0.015084896267729716,0.004079198452666114,-0.003329287849483444,-0.004297935662058093,0.0012777366996756926,0.006051153571690004,0.013295826517997444,-0.006408079493232388,0.04076050734818731,0.015917078723318465,-0.003456433875773611,0.026952160375890565,0.030733420163598448,0.011572898143508125,0.012014282816349748,0.024086239601203936,0.015942017224375108,0.004103829119105348,0.005500663252695947,0.01185408335949543,0.00395830506242257,0.01574018522097146,0.021831304774995886,0.011306897559680477,0.015121058393488353,0.01964866765200476,0.011273765379744343,0.0011938602988681964,0.0035404887485235067,0.013077420621197183,0.010595115237834733,0.03786751005127428,0.03042070881575657,0.015601396814395038,0.005618893839971546,0.009506989483348936,0.001777946951049812,0.023720591585454406,0.012052396281974647,-0.012860840713754958,0.0071179727711724785,0.04358615506919506,0.04684398934366981,nan,0.00812284937230439,nan,0.032588134533588935,-0.024665349677601225,-0.010541987218166652,-0.006548064272844443,0.0332528266667802,-0.026928472732653707,0.03281207236172196,0.018020737942098974,0.0237288163696018,nan,0.014124558401433831,0.018962788271124065,0.008627031351595928,0.02299767063083447,0.05891187822316932,nan,0.03301823420103788,0.005416875247342125,0.005178837005301898,nan,0.0068465303805712975,0.01923320268795075,0.006787501132940789,0.012239456696548669,-0.004025310117530016,0.01967653773656018,0.010412291577265375,-0.0017190315904730428,0.007101445640464023
Left-Pallidum, nan,nan,nan,nan,0.010667773447846812,-0.004102393205889421,0.015128703559117737,0.00646101561806131,0.011674202951620083,0.008621608305707998,0.0027509013684624884,0.024115757711468937,0.033954228197506146,0.042441411284554906,-0.005850748452223664,0.04187887283280201,-0.00032526059081287823,-0.023883563415518096,0.008338989617427189,0.012345828603229036,0.010635352532573037,0.010209354398915309,0.02602725525710818,0.019977562523600275,0.027895665476698448,0.014988920187510482,0.013549046459940988,-0.004030285520119006,0.025778694425257823,0.013387318278303402,0.018505386434606065,0.02376833810782886,0.0204852535533935,-0.0041496217233166445,-0.002067339007284427,-0.00757491723318371,0.01421730031680748,0.012209109380556185,0.047426032375617926,0.031587178209028566,0.008599138493807596,0.006104609406009189,0.011986674052188057,-0.014579818371043928,0.02706980952803498,-0.01463393316406825,0.008694366936051454,-0.014740772501082246,nan,0.00744491089561898,nan,-0.06716921878311427,nan,0.03489402429929083,nan,-0.005312519931911204,-0.008010695324129478,nan,0.016986675831920393,0.04121426727872684,0.03606954086666322,0.05984017108832062,nan,0.009392472128004889,0.025290741719307522,0.0009852932954470743,0.03251147995801791,0.019310508728504483,nan,-0.014384402779667148,0.010550062416616764,0.006721318067134118,nan,-0.002427968791420798,0.0078044512336373885,0.004055746306490089,0.006716346130585638,-0.0029527481097435184,0.053182593491470156,0.01645302992068028,0.0007493690354831837,0.020442516427057047
Left-Hippocampus, nan,nan,nan,nan,nan,0.016385734362303863,0.028335138139016076,-0.029287776279934532,0.0498008564908007,0.013465084692496677,-0.019003886862146425,0.002062053007023655,nan,nan,nan,-0.04049364858902627,nan,0.02015749312822216,0.03339382961104014,0.011972908720852833,0.027519120683062833,0.02044843543689341,0.02955698963515096,0.0039725539037613585,0.00826983349560244,0.0024399536003165295,0.029012840058946898,0.01952355285297126,0.010641331963636449,nan,nan,0.010939454533787299,0.005533682031422278,-0.005990097148236242,nan,0.00678794376361645,nan,0.01769543654654739,-0.07469600584211539,-0.0020457229974835916,0.014441671388127216,0.024678710084103925,0.012991679267986491,nan,0.015056822418962069,0.02178762270106453,0.06907730011602015,0.010393482687037188,nan,nan,nan,0.002934570447376952,nan,0.006664748037383877,nan,nan,0.038105462970357655,nan,nan,-0.004510934962968137,nan,nan,nan,nan,nan,nan,nan,-0.004403493452589423,nan,-0.041303553586987306,nan,0.006495978114485606,nan,nan,0.01700113779943689,-0.03132057964799835,0.022033519988510344,nan,nan,nan,nan,-0.035218619001160405
Left-Amygdala, nan,nan,nan,nan,nan,nan,0.01685618977856748,-0.0031290337025484797,nan,0.018991546730099715,0.037293475998988454,nan,nan,nan,nan,nan,nan,nan,-0.0037838693644082926,-0.016232139240338273,nan,0.02048910529797465,0.03340365106027177,0.016101880495101008,0.011036846380862634,-1.0958903710505403e-05,0.011873868325749683,0.04312285323788886,-0.0009637705914749298,nan,nan,nan,nan,nan,-0.02537167442819976,nan,nan,0.004481592896126717,nan,nan,0.06776662509875755,-0.0019178183945843307,0.002286513231930627,nan,nan,0.0099961106546733,nan,-0.018928222076011688,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0015684762392917772,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Left-Accumbens-area, nan,nan,nan,nan,nan,nan,nan,0.022948069227051806,0.04271685222505483,0.031735144509048054,-0.005266315378268666,nan,nan,0.02622178959759069,nan,-0.0207455468526137,nan,nan,nan,0.021876893350037663,nan,0.005744104592664915,0.0016498480404260449,0.005254076080964451,0.008650256283161975,0.004064681855996094,0.01525700922179855,-0.023651712088590827,nan,nan,nan,nan,nan,nan,nan,0.010601154463064554,nan,0.0013290183439019266,-0.0028294127131426087,0.029976596785383294,0.010406390233265946,0.026070353625857235,0.024308451652280745,nan,0.005848974538130114,0.00783333331413133,nan,-0.004905461120912658,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0015607930580485807,nan,-0.01771625803177258,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.003191826379927646,nan,0.023770853459154365,nan,nan,nan,0.03056539239592074,nan,nan,0.08342275439744452
Right-Thalamus-Proper, nan,nan,nan,nan,nan,nan,nan,nan,0.005887717486343896,-0.0012009793098802127,0.014009366641347666,0.0011313239787690518,-0.00512241732654943,0.00605357728220426,nan,-0.010835826002324358,nan,0.025954721562389458,nan,0.027246614395329077,nan,0.02502015038669987,0.007638623458073277,-0.02343359678767706,-0.014026636137906097,-0.00959723198368581,0.05926651393621138,0.019668740447301193,nan,0.021192112219956975,0.00803199054879056,-0.0041107165621833,0.009954456725013163,-0.006971271041212673,-0.0020928242677939342,0.02440524292317526,0.002714803999414455,0.005129963792183149,-0.012532349013934808,0.014653167131318178,0.012335880608577415,0.016103229487668076,0.0009911874988280608,nan,nan,0.026095184366499203,0.013904598426703657,-0.02470132274623192,nan,0.0002079781941402162,nan,0.013824814348426317,-0.01370629903264978,0.02419876290426126,0.0023408762320329245,0.04610174162426322,0.03727717895014918,0.0009771987890730234,-0.0027214108012250564,0.011378410735502206,0.01664154532403032,0.01018983254469569,0.04535357116803657,0.003062305533694345,0.0064063066657126105,0.02216994497844283,0.013772469662739505,-0.0009203107896865683,0.0018964835458461905,0.02791294484187033,0.006905321900672659,0.008382556059616705,-0.08120914318492402,0.015631348468693972,0.02141759224431208,0.008288691043378,-0.0008308599565395773,0.07465421007120308,0.011663742941473166,0.007630544810586252,nan,0.042996814291514016
Right-Caudate, nan,nan,nan,nan,nan,nan,nan,nan,nan,0.02114707962142692,0.01195097431840583,0.038785108951688345,0.005720138457244609,-0.03453992024916577,nan,-0.0017890209092952206,nan,nan,nan,0.062382697536806926,nan,0.02561144119901579,-0.009155281274386749,nan,0.03846541551078861,nan,0.017788804446143433,-0.01616149425443778,nan,0.003643495052022293,0.03908428253265178,-0.0011607519421517395,0.015930917009085728,nan,0.03628735394130857,0.03030361180879044,0.01050545445594322,0.03164993619369003,0.006323314073334581,0.006635592210968405,0.0032268187360720542,0.008704885175717632,0.012470596146861123,nan,-0.008208226441637656,nan,nan,0.041994019547793714,nan,0.01564892883265538,nan,nan,nan,0.04560073598447165,nan,0.03829454672550132,-0.0533509183901275,-0.0022716667677818605,0.010087801533808189,0.039320060467059534,0.006045584958866863,0.016904395827905153,nan,-0.0062435850569423626,nan,0.02471767794287169,0.02627072420137783,nan,-0.020267521411094835,0.03575938800784511,-0.00017815971621637522,0.00880434626123994,0.005942911548558636,0.023337983587814595,0.004801795286598685,0.010111579211391778,-0.003735239947347568,nan,0.0023574030395255466,0.00037139753763490554,nan,0.021167442584138697
Right-Putamen, nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.006902539278332049,0.008216903791391806,0.0038607975217772603,0.014547842793802815,nan,-0.03038030917720028,nan,-0.01914604170330194,nan,0.02853087346885795,nan,0.0035071230587344,-0.002408336865852283,-0.003185303991294654,-0.0015455274042127619,0.007430083190143898,0.012328264686212924,0.005564936345142616,nan,0.015506487877049896,0.021160726924528903,-0.008365667612386557,0.000253542937039123,-0.03127563457438159,-0.0132292592188246,0.007288086774610169,0.00025968661774754227,-0.013006954982426234,0.026510251732107942,0.008406449776436956,0.009750916653674196,0.009318009345977016,0.005873855689417375,nan,nan,0.03574663012676188,0.028268379580446163,-0.0017644403673630427,0.01219902700990456,0.019402939424996064,0.02115159469443325,0.02344248655369304,0.01972752947546997,0.020506253741060795,-0.007882802257847814,0.026042529313345407,0.009521869257850148,0.012873194646351642,0.01643705938064724,0.009948062975156073,0.015726512055153446,0.008109378820716535,0.009866841760172928,0.0024819234525363886,0.022512990673118162,0.015292694472245457,0.014528214362280994,0.0051165323261904965,0.001006677982225703,0.02261131348580499,0.0025442289860918726,0.01277624594200705,-0.00515944735229282,0.02003899144942534,0.013131622650265257,0.00966660745565607,0.01644831318780306,0.011481558899865628,0.015490282325717884,0.0021288288867032934,0.017102691696186837,0.009748757634049969
