# File generated on 2024-02-04 08:54:39
# Number of participants: 124
# Number of patients (parkinson): 62
# Number of controls: 62
# 1 datasets were included:
# - PPMI
# Effect size cohen d (regression coefficient normalized by the pooled SD).
x,Left-Thalamus-Proper,Left-Caudate,Left-Putamen,Left-Pallidum,Left-Hippocampus,Left-Amygdala,Left-Accumbens-area,Right-Thalamus-Proper,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,ctx-lh-bankssts,ctx-lh-caudalanteriorcingulate,ctx-lh-caudalmiddlefrontal,ctx-lh-cuneus,ctx-lh-entorhinal,ctx-lh-fusiform,ctx-lh-inferiorparietal,ctx-lh-inferiortemporal,ctx-lh-isthmuscingulate,ctx-lh-lateraloccipital,ctx-lh-lateralorbitofrontal,ctx-lh-lingual,ctx-lh-medialorbitofrontal,ctx-lh-middletemporal,ctx-lh-parahippocampal,ctx-lh-paracentral,ctx-lh-parsopercularis,ctx-lh-parsorbitalis,ctx-lh-parstriangularis,ctx-lh-pericalcarine,ctx-lh-postcentral,ctx-lh-posteriorcingulate,ctx-lh-precentral,ctx-lh-precuneus,ctx-lh-rostralanteriorcingulate,ctx-lh-rostralmiddlefrontal,ctx-lh-superiorfrontal,ctx-lh-superiorparietal,ctx-lh-superiortemporal,ctx-lh-supramarginal,ctx-lh-frontalpole,ctx-lh-temporalpole,ctx-lh-transversetemporal,ctx-lh-insula,ctx-rh-bankssts,ctx-rh-caudalanteriorcingulate,ctx-rh-caudalmiddlefrontal,ctx-rh-cuneus,ctx-rh-entorhinal,ctx-rh-fusiform,ctx-rh-inferiorparietal,ctx-rh-inferiortemporal,ctx-rh-isthmuscingulate,ctx-rh-lateraloccipital,ctx-rh-lateralorbitofrontal,ctx-rh-lingual,ctx-rh-medialorbitofrontal,ctx-rh-middletemporal,ctx-rh-parahippocampal,ctx-rh-paracentral,ctx-rh-parsopercularis,ctx-rh-parsorbitalis,ctx-rh-parstriangularis,ctx-rh-pericalcarine,ctx-rh-postcentral,ctx-rh-posteriorcingulate,ctx-rh-precentral,ctx-rh-precuneus,ctx-rh-rostralanteriorcingulate,ctx-rh-rostralmiddlefrontal,ctx-rh-superiorfrontal,ctx-rh-superiorparietal,ctx-rh-superiortemporal,ctx-rh-supramarginal,ctx-rh-frontalpole,ctx-rh-temporalpole,ctx-rh-transversetemporal,ctx-rh-insula
Left-Thalamus-Proper, nan,0.07372666809304969,-0.08099242991448498,0.10251258016106198,-0.009058653878037575,0.25355292550510705,0.05848374803082515,0.218217289192199,0.03413974543653571,0.26790397231281005,0.19012532853255196,0.06504829036554279,-0.5280047765521106,-0.3469743703223576,nan,-0.20983704742162776,nan,0.1282846008699349,-0.3095449620770773,-0.12286700531430854,-0.005496812522949854,0.22566433908025194,0.008126284331717104,-0.14107882598694402,0.004597668911633142,0.37151457862329124,0.30907920428168084,0.2340684955116117,0.1948798832944352,0.25246204009556894,0.37488534498673415,0.3082272807380831,0.5352936413987026,-0.2420521024837997,-0.19766462314723726,0.47305657175728794,0.13892375333856444,0.13564924119720703,0.32325445996060803,0.8863582505105779,0.17193372361550238,0.18463026793955473,-0.29899692454228916,nan,0.7405414639132618,-0.02806452083670412,nan,-0.002919202356701488,nan,-0.6751691816252572,nan,-0.13815564010633333,nan,0.2396456099633859,nan,-0.5806242845876278,0.0939064758331069,1.173587045330095,-0.18870481403893824,0.10314481236577465,0.2802386989544609,0.6761874491012922,nan,0.21717474617821594,0.20669923045441457,0.10747829124359683,0.5290756033127323,-0.29189576539975964,0.4761555198769045,0.22532370866135906,0.05977225567368075,0.19033214901473258,nan,0.027453641116252047,-0.21344229478745708,-0.33445953603503586,0.22974233316692863,-0.4114463099970527,-0.045450164188842936,-0.29448623769656634,0.0944851003094773,0.36587571897931376
Left-Caudate, nan,nan,0.07830871111534062,0.1401905442120746,0.4853828198322716,0.38255032230623964,0.05075326535977782,0.026032282296147534,0.28903375582500135,0.3311828214018051,0.0636906248073274,-0.6068112659817441,nan,0.031057852067289286,nan,-0.0025942842842256214,nan,nan,0.5033605472108188,0.09253120980635862,0.45396881835445524,-0.24503431186347116,0.5479767123550526,0.11134833022736308,0.3220415162468241,0.42965033071770437,0.09479218298753654,0.006583165414559618,nan,0.33575323666544343,1.2207728221653675,0.6915111705902626,0.4578971743148811,nan,-0.5441332712297802,0.14504636003214827,0.21312056175846136,0.3913892650295834,-0.05393249225761118,0.630472098061895,0.11666708093651454,0.0930744450340606,0.31199225651689466,nan,0.10088304130080253,0.46636971030624985,nan,-0.08818262445682279,nan,-0.38711766875673725,nan,nan,nan,nan,nan,nan,-0.014271932507037658,nan,-0.12062059949313535,nan,-0.004716243448184027,nan,nan,0.35237319444863663,0.9827124339808907,-0.3224666509907653,-0.0431841160717394,nan,nan,0.31149155481111473,0.004627441558252399,0.19221239454722755,0.46815235955995904,0.13220134605465633,0.1967722079346578,-0.01725361001849241,-0.22012227762358777,nan,0.024900839507107513,-0.19708958140216318,-0.6968666479076748,0.03437091423893547
Left-Putamen, nan,nan,nan,-0.1442909751359202,-0.02869474796934782,0.21677380118294148,0.1361396255657195,-0.22702765143999895,0.059876659740957267,-0.04892124502652288,-0.06685098985097447,0.020048434693460123,0.08144193606490056,0.13429679454252572,-0.1387745808410677,0.656963207967657,0.35784757329903744,-0.06735039403246336,0.3947828956697902,0.4822983412253365,0.26303091591384636,0.23490945956859685,0.42550776951916686,0.36433532255022166,0.07576921004287719,0.11637532954376846,0.1797696301571246,0.07517106722249588,0.25001438771655227,0.4542878022368137,0.25120354025443675,0.3410148203853633,0.4072654982718077,0.22077199328784208,0.02615618857605846,0.05528685319453269,0.2837527207314428,0.23274053393354605,0.4471478369466491,0.7595736760651645,0.38310595538506537,0.13466826403324442,0.1405698426170528,0.034240823403474965,0.5343095821219354,0.24107151891584988,-0.1985525018198794,0.11494850285010384,0.7458354724023226,0.7502440751405537,nan,0.15228383834119905,nan,0.7697594244919128,-0.4690792031192763,-0.1793343958261766,-0.10770339615975279,0.5622666869860592,-0.3735327156027113,0.5479376640874728,0.18134635912008049,0.4479917233239991,nan,0.3029946014857283,0.41791836245791664,0.18623457673537536,0.4706294396463273,1.099833986012428,nan,0.660540424362528,0.11542153887219789,0.10546889804726621,nan,0.1276140720274144,0.4093760220869154,0.12387340959080617,0.24202547133458427,-0.06328971648337724,0.36647122548587296,0.15369239857439504,-0.034795529419467223,0.10314309981788097
Left-Pallidum, nan,nan,nan,nan,0.09944548214963445,-0.050334163074180094,0.1663232206198402,0.10083373405229355,0.1681211540682064,0.12876739691836234,0.04120917995254108,0.35848914407998467,0.4598062208094141,0.4090267159849702,-0.13251904951393886,0.6815108054375283,-0.007185693904893472,-0.45811467780277537,0.12939733757486482,0.20138877282672987,0.24858047257025312,0.18507193442897749,0.4588744465984146,0.41519307479778905,0.4467542906308262,0.2901934560190796,0.24233119973434214,-0.07020833689538829,0.36530692807455417,0.30415965759995656,0.34484912537033674,0.4642352989569906,0.3982724621934162,-0.07448849563678503,-0.051444030966035295,-0.13132991620143525,0.32525997740523444,0.27629241632461565,0.5641341067785511,0.7111101645559367,0.1888780564029512,0.15154864830063156,0.18168134875771183,-0.2486204476856061,0.6198586604258587,-0.26286496181741964,0.14183451277687464,-0.16456292705739747,nan,0.1283973382368327,nan,-1.4979358037214314,nan,0.7772617799481105,nan,-0.08737441661491517,-0.1388159539309615,nan,0.2744615392828965,0.6711550232397343,0.405771668480461,1.0870611712441691,nan,0.21162706321054156,0.557345081204682,0.02026842820683317,0.7294134811844928,0.37303022457638496,nan,-0.2764165393300098,0.22221471375972035,0.13381095565942042,nan,-0.04803529951381352,0.15691896261312957,0.07426425274560385,0.12350988158156911,-0.044573825490804464,0.944885737051518,0.2695531384734205,0.014923315967544707,0.31143899629634014
Left-Hippocampus, nan,nan,nan,nan,nan,0.2403007810056897,0.489472561639426,-0.4284003685289526,0.8149078044037575,0.21188365117989083,-0.4151055461330339,0.026402314102065432,nan,nan,nan,-0.5598026535362691,nan,0.3406948781603958,0.42247277942792044,0.1753131432438666,0.6275129548393187,0.2957114011141152,0.31965127597825305,0.07187511192021227,0.13781711196039365,0.03337797839084071,0.4661794413231316,0.2936510872084363,0.144410943347843,nan,nan,0.20521623735740452,0.10647505060240653,-0.08591709796725405,nan,0.10521710852716844,nan,0.32124308528286805,-0.8282259196277693,-0.048092380503106345,0.2250544593318132,0.4807874936478117,0.17955992885702282,nan,0.3833285455193543,0.4129484801753729,1.2101489760705477,0.11289537693459231,nan,nan,nan,0.044187137355968624,nan,0.09224185024021925,nan,nan,0.4065621097202162,nan,nan,-0.06520927990032742,nan,nan,nan,nan,nan,nan,nan,-0.07262713348126981,nan,-0.6922731817104932,nan,0.08574081174052264,nan,nan,0.37578515144517716,-0.6666363696075884,0.3422102249803767,nan,nan,nan,nan,-0.6254838010631939
Left-Amygdala, nan,nan,nan,nan,nan,nan,0.23129469752319423,-0.03595345312741512,nan,0.28188378487278054,0.5656754451960184,nan,nan,nan,nan,nan,nan,nan,-0.0584136350462929,-0.18095323227597643,nan,0.28902766989707473,0.5053802068068618,0.3124149514310718,0.14647685217845857,-0.00017441948463649447,0.17521963058856338,0.6763310097843783,-0.013660343926092219,nan,nan,nan,nan,nan,-0.5576774421015523,nan,nan,0.09258377645804773,nan,nan,1.6393634225019926,-0.04541518582561102,0.029013953445203758,nan,nan,0.15915386718339275,nan,-0.21590658857939862,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0386828753579909,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Left-Accumbens-area, nan,nan,nan,nan,nan,nan,nan,0.22687677176034088,0.36870084459327673,0.3451931613803018,-0.05519767639627273,nan,nan,0.20835327219953567,nan,-0.31428557883764724,nan,nan,nan,0.368582220965909,nan,0.11889112502375611,0.03243329344771122,0.12534008923845616,0.1018863664072597,0.0957773040803367,0.1943394191109931,-0.4547313505004186,nan,nan,nan,nan,nan,nan,nan,0.1671041766600296,nan,0.022091010211642604,-0.0344404234279642,0.7053764877708565,0.17108356484356932,0.5964078418462769,0.4805178589677767,nan,0.12261784270401394,0.17108526931057969,nan,-0.07054000797941747,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.018908196553551717,nan,-0.1600781980826004,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.02408854335112017,nan,0.3975946982336953,nan,nan,nan,0.8374052214192623,nan,nan,0.7152992521041637
Right-Thalamus-Proper, nan,nan,nan,nan,nan,nan,nan,nan,0.09389619541803729,-0.015684545292733665,0.16790547679538662,0.014716861294386922,-0.07195708851744892,0.06998007887578177,nan,-0.15767520335956117,nan,0.3876337540067461,nan,0.4277573722703123,nan,0.43195021896766034,0.09452078480081093,-0.38558073141335286,-0.28071367033538375,-0.12408891785106148,0.601123114732771,0.33368543400153705,nan,0.40510639535810566,0.16562782703145149,-0.09382822129211221,0.2163990749101403,-0.09493107722284329,-0.038370408921630815,0.38577040824565045,0.05373540605266114,0.10384293285397359,-0.14621231888466188,0.3030932092789188,0.24857187582126325,0.32302507501324834,0.0189978664491406,nan,nan,0.3581772845876041,0.223854817998735,-0.3828006227264088,nan,0.0030062852175869875,nan,0.21434151125748493,-0.23325634758836067,0.39840134050853226,0.0469525745235761,0.8316046085076482,0.305252667584675,0.017107586487190726,-0.03758570851303598,0.1583482507966335,0.21592530592607423,0.19421435228419115,0.5357340602274254,0.0678396660630376,0.13027801125580404,0.4981300902327551,0.25820844319169023,-0.013176653259564752,0.03941555343777053,0.44399370774061103,0.15731483510243272,0.1726129905060841,-0.8467344477153056,0.3595726544243507,0.4649264977662679,0.19032806212572786,-0.015085438692576546,1.6236718869258515,0.2641682568199004,0.16326745267470838,nan,0.5434340605492218
Right-Caudate, nan,nan,nan,nan,nan,nan,nan,nan,nan,0.30484368499092396,0.15653085724627694,0.8093745993865049,0.09173435115926667,-0.2828499295727699,nan,-0.02152897272173589,nan,nan,nan,1.428378452614045,nan,0.7005471529356263,-0.16484313317918264,nan,0.5770872732389905,nan,0.2294637075510365,-0.5149473092353608,nan,0.061954372895119375,0.7589917594228602,-0.02022225289611887,0.2925944374399382,nan,0.7316118089092758,0.42640014063686776,0.1877791192793428,0.6811260071728038,0.05296984541294955,0.12027654861057747,0.062079512835382385,0.16713618690193358,0.2368907707225277,nan,-0.15027542545054548,nan,nan,0.5673110866550884,nan,0.18488934618333688,nan,nan,nan,0.99740047072657,nan,0.848950634209602,-0.9200023174927606,-0.058146545104004056,0.14199356623545667,0.8445829305483944,0.08073739573233439,0.38271058574773176,nan,-0.12362376415138802,nan,0.516450053789684,0.48129037200389685,nan,-0.38338452230513675,0.48691869235092067,-0.0033421132441693625,0.21329944829253225,0.04553066421118971,0.516306535015191,0.09244125834291063,0.23891034070286457,-0.07174360450865262,nan,0.05049325806549212,0.007904587895324042,nan,0.28626150918122384
Right-Putamen, nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.10230247354704815,0.09710790824693458,0.06271226665768753,0.20768365370881323,nan,-0.5884454931872304,nan,-0.30834656798997834,nan,0.45756145742787246,nan,0.06092039349088437,-0.04253354164971884,-0.0564444165611085,-0.0324368242582267,0.1386047825810288,0.13072268142435595,0.10486463419647363,nan,0.31375090675211265,0.47990466408138915,-0.1891350292143869,0.0050993450930002055,-0.5952543726324278,-0.6424832332400192,0.11634056299206255,0.005397022945488361,-0.25144378366331666,0.34237134428210486,0.15267089914284532,0.21773343891831856,0.17305357226013973,0.10438292700647456,nan,nan,0.5141957293578416,0.574962201710315,-0.0249737132966206,0.2691175655710943,0.2973371137400343,0.44680599316276415,0.46667427366116676,0.29298721503201336,0.31345226601053816,-0.1955289950824305,0.4772363298130904,0.15814893087758705,0.29067271469117173,0.3036741660108524,0.2044860308496666,0.2496830656575649,0.16509138341093876,0.15025359838774602,0.04907982325314246,0.39688459073134863,0.3627552011942705,0.3438561094038063,0.09868807950416886,0.020553413953521206,0.34649529909582694,0.054696955668859716,0.2722074723861246,-0.06332812305469357,0.4842958713103576,0.3112684446078127,0.22869087527978768,0.3018768345992222,0.24009242213438955,0.3679133599010914,0.04397991934299156,0.310278391771696,0.1737876903814117
