# File generated on 2024-02-04 08:54:39
# Number of participants: 124
# Number of patients (parkinson): 62
# Number of controls: 62
# 1 datasets were included:
# - PPMI
# P-value.
x,Left-Thalamus-Proper,Left-Caudate,Left-Putamen,Left-Pallidum,Left-Hippocampus,Left-Amygdala,Left-Accumbens-area,Right-Thalamus-Proper,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,ctx-lh-bankssts,ctx-lh-caudalanteriorcingulate,ctx-lh-caudalmiddlefrontal,ctx-lh-cuneus,ctx-lh-entorhinal,ctx-lh-fusiform,ctx-lh-inferiorparietal,ctx-lh-inferiortemporal,ctx-lh-isthmuscingulate,ctx-lh-lateraloccipital,ctx-lh-lateralorbitofrontal,ctx-lh-lingual,ctx-lh-medialorbitofrontal,ctx-lh-middletemporal,ctx-lh-parahippocampal,ctx-lh-paracentral,ctx-lh-parsopercularis,ctx-lh-parsorbitalis,ctx-lh-parstriangularis,ctx-lh-pericalcarine,ctx-lh-postcentral,ctx-lh-posteriorcingulate,ctx-lh-precentral,ctx-lh-precuneus,ctx-lh-rostralanteriorcingulate,ctx-lh-rostralmiddlefrontal,ctx-lh-superiorfrontal,ctx-lh-superiorparietal,ctx-lh-superiortemporal,ctx-lh-supramarginal,ctx-lh-frontalpole,ctx-lh-temporalpole,ctx-lh-transversetemporal,ctx-lh-insula,ctx-rh-bankssts,ctx-rh-caudalanteriorcingulate,ctx-rh-caudalmiddlefrontal,ctx-rh-cuneus,ctx-rh-entorhinal,ctx-rh-fusiform,ctx-rh-inferiorparietal,ctx-rh-inferiortemporal,ctx-rh-isthmuscingulate,ctx-rh-lateraloccipital,ctx-rh-lateralorbitofrontal,ctx-rh-lingual,ctx-rh-medialorbitofrontal,ctx-rh-middletemporal,ctx-rh-parahippocampal,ctx-rh-paracentral,ctx-rh-parsopercularis,ctx-rh-parsorbitalis,ctx-rh-parstriangularis,ctx-rh-pericalcarine,ctx-rh-postcentral,ctx-rh-posteriorcingulate,ctx-rh-precentral,ctx-rh-precuneus,ctx-rh-rostralanteriorcingulate,ctx-rh-rostralmiddlefrontal,ctx-rh-superiorfrontal,ctx-rh-superiorparietal,ctx-rh-superiortemporal,ctx-rh-supramarginal,ctx-rh-frontalpole,ctx-rh-temporalpole,ctx-rh-transversetemporal,ctx-rh-insula
Left-Thalamus-Proper, nan,0.6533476861947936,0.66019358483558,0.5639255517554894,0.9562363444254944,0.2566779281529731,0.7929259493879203,0.2374572452532911,0.8531677777414146,0.15412547897225803,0.3220520237180794,0.8118697367188683,0.2551129487747254,0.5661883904088413,nan,0.5147803663112274,nan,0.7405930926453868,0.37262442261368345,0.5657414235030178,0.9877121698860386,0.3643960081219373,0.9674155447376231,0.5508089866253554,0.989999243317957,0.0956154458342202,0.18368571663166233,0.5751617921283578,0.6238199819823294,0.19053657626367826,0.34787357972705313,0.3405290528957764,0.03444528986100832,0.40095707079559717,0.37243472885490203,0.04331217395642427,0.4646306403969508,0.47094128010841396,0.4398780147858995,0.00011275559104345397,0.36238548857967656,0.3266324752768758,0.24297337991210963,nan,0.008089552308965254,0.9109451383229032,nan,0.9899506201599909,nan,0.2707338149812192,nan,0.721755082674665,nan,0.5974348128890172,nan,0.20946061400687813,0.699521814678158,0.04054551126695595,0.6881518867233951,0.7770460056979592,0.5833503670740409,0.1842337639253778,nan,0.3918030108170243,0.6339163933701959,0.8197888258324014,0.07958894083626157,0.4818652549435982,0.263209959542288,0.3812482636483224,0.8068393669898901,0.3492721912335288,nan,0.919536478637248,0.31452209616081817,0.13216481929106538,0.37910825205504584,0.4100883938135198,0.9399752483109141,0.5719925873407596,0.7576744781925089,0.10510996513877234
Left-Caudate, nan,nan,0.6518182522828208,0.42050165301942033,0.054851352333579115,0.23111612286363087,0.7799836977249246,0.8897831977050943,0.08694835534568794,0.11569606234465624,0.7630718375309651,0.31681390363823914,nan,0.8677294611284541,nan,0.994327608960079,nan,nan,0.5599393984225967,0.7572247987439136,0.4106571280560326,0.4708862527240163,0.19098818675260593,0.7975829791484036,0.10234552354951654,0.3174524643246697,0.5508446964110576,0.9887385515216296,nan,0.19949266498672844,0.05643343794010403,0.02651093234883131,0.06853754168478612,nan,0.14968165960635865,0.6423232658859718,0.41899205575906173,0.11033081382747008,0.7878801829958384,0.002417539560188011,0.5222184750999583,0.6936583860015337,0.20187144054607842,nan,0.6090644520305029,0.052952567797165784,nan,0.6456988380875228,nan,0.4285666049684783,nan,nan,nan,nan,nan,nan,0.9843129137226923,nan,0.6329948161394103,nan,0.9790052010864898,nan,nan,0.3369499390510856,0.10130297977078195,0.5813889478741481,0.9007394868659753,nan,nan,0.3746118322925026,0.9907387797788489,0.5380870368018407,0.11561399697533928,0.6022948535035793,0.2954577087594777,0.963190138374725,0.5516149632222946,nan,0.9296811029777351,0.6833032771160568,0.4986725450117623,0.8969161532654784
Left-Putamen, nan,nan,nan,0.4209614592928236,0.8870076523779482,0.246093378802317,0.45668706381697455,0.20624011376259546,0.7462547255484053,0.795791726489845,0.7270288557844637,0.9529923112154189,0.8414811951432382,0.7547246449228204,0.6398150340317972,0.10162782587100101,0.17027156907901314,0.8146066296076959,0.23721494981940758,0.010120827422856122,0.2558568591193176,0.20984274573975778,0.035051989767190796,0.0656239116458106,0.6573110339389568,0.5472596886428749,0.32638315978173993,0.7118997039472579,0.3791126974602833,0.04665667239671998,0.18274455562025443,0.05659321238664535,0.022592647933207942,0.3592411793714504,0.8871017586783121,0.8633474651021193,0.12032625233208308,0.21754582741226391,0.12892684782297847,5.3138673289034855e-05,0.03385327134963912,0.4581317016511709,0.4340321588225935,0.8652803246449022,0.008916691015286185,0.19288655564533086,0.29801967210737607,0.5289453235048776,0.30842608729640675,0.06000509451762395,nan,0.6383778827511344,nan,0.20188822046784635,0.47438559999839347,0.705100174178758,0.6258655958917116,0.21804451201569444,0.33908532315044526,0.08922440661086062,0.5863628490857213,0.25029012088656827,nan,0.33853002323227166,0.1997719750895606,0.7188327724467987,0.12637667171697284,0.002790628300368668,nan,0.06985955910170714,0.6737143093874245,0.6178404930057939,nan,0.6123864217969708,0.029792287422920654,0.6206672538890472,0.31775710953646513,0.8743779372155543,0.5959290545403673,0.762229063556165,0.9032914025247407,0.6312840570161576
Left-Pallidum, nan,nan,nan,nan,0.686974689296499,0.790720819415299,0.4065562050488448,0.5938020043578986,0.39210474489605096,0.5089367916934333,0.8357688132367902,0.4161564568295283,0.23474403914508202,0.3883565865643349,0.7476093927804144,0.22987591357330156,0.9863418943495655,0.18396361936514408,0.7528379243228974,0.36737387166593816,0.38332326439544895,0.42916832255086435,0.029045669408726348,0.08505805254241652,0.12848973349991902,0.22138910397214948,0.23290462242661908,0.7965209527474395,0.45275498764488487,0.14136040743695755,0.27793452574908245,0.08709799320067531,0.06391028272682736,0.8152584716935343,0.7975288283251756,0.677703047413813,0.0790094574585356,0.14624809099620453,0.32237202431121637,0.0005643112363781636,0.29996344873549363,0.40903215466419807,0.38684037709178043,0.4182370709383463,0.012320658484867282,0.21864959246587118,0.7119439052286041,0.414946927883601,nan,0.8386113296244753,nan,0.017882688703712235,nan,0.12563675269361674,nan,0.8799990968036949,0.5676410840341863,nan,0.536320326729242,0.23538003385969625,0.32715113805667984,0.056648297931351003,nan,0.45410479279188243,0.17885080181835927,0.9657094668252659,0.023616707968702445,0.5215610010392284,nan,0.3769755073895066,0.38318502393569365,0.5275852629896263,nan,0.8627600802946569,0.42479752124101655,0.7721811760135782,0.6175685008026348,0.9306506128765154,0.16606779050671677,0.5475293021224419,0.9600897490347995,0.17795596790207968
Left-Hippocampus, nan,nan,nan,nan,nan,0.19066996386197507,0.1600828240819334,0.127709700427252,0.16455777887361886,0.5094883393796064,0.3880717231085762,0.916617992394813,nan,nan,nan,0.30487922505721454,nan,0.1732088774428039,0.016918613241577743,0.32662177357622535,0.17165465549656933,0.13950296214446503,0.07909360795654437,0.7982056233696156,0.734696601959365,0.8535937745270021,0.09212118978052597,0.3452301356509917,0.42702166107182526,nan,nan,0.6669465227570437,0.7918593232045783,0.7350175997264815,nan,0.7516590231940123,nan,0.09505922938044294,0.30002845080869917,0.8939349798385163,0.4707932042007327,0.07549141936087095,0.4327656332092513,nan,0.5949790057284571,0.025718391010745266,0.054080278695056876,0.5730577438535706,nan,nan,nan,0.9075350071051467,nan,0.8869834936435199,nan,nan,0.13747435975555067,nan,nan,0.8189997633304325,nan,nan,nan,nan,nan,nan,nan,0.8393266909256594,nan,0.3136753526490592,nan,0.7477440922491865,nan,nan,0.5662522980634088,0.18136485343746486,0.6442096886416717,nan,nan,nan,nan,0.2051593902560382
Left-Amygdala, nan,nan,nan,nan,nan,nan,0.4059714554080942,0.9322226061603717,nan,0.5149208446657034,0.13584172376610965,nan,nan,nan,nan,nan,nan,nan,0.7479205725918276,0.3849247646369346,nan,0.27492294036921217,0.1264629234670783,0.4333429378970217,0.7053491696545267,0.9995668652678706,0.4251248470033191,0.03427546811229234,0.9443778629387762,nan,nan,nan,nan,nan,0.2547110389041011,nan,nan,0.7803812505909967,nan,nan,0.027372076295185555,0.9070213749148075,0.8916542248312186,nan,nan,0.38503088208627545,nan,0.24759365626513072,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9532026382324313,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Left-Accumbens-area, nan,nan,nan,nan,nan,nan,nan,0.6630259663893407,0.058305346096642105,0.4105848382666786,0.8968891513040544,nan,nan,0.3228483577922865,nan,0.32386655471541204,nan,nan,nan,0.32474194994780914,nan,0.7509733745543574,0.9547911761936594,0.7991205384927158,0.5933986474591435,0.8483927591905277,0.2455119583608585,0.2801489108415748,nan,nan,nan,nan,nan,nan,nan,0.7728999262421257,nan,0.9610157821835545,0.8490311132770016,0.14787675437588496,0.5289747925805035,0.27201218693728585,0.04476767006321173,nan,0.7469525965570061,0.41214773426022533,nan,0.6968201002067858,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.958128385891323,nan,0.46643344286839694,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9479068917095721,nan,0.18266016009657793,nan,nan,nan,0.1309276246465144,nan,nan,0.22994183516212494
Right-Thalamus-Proper, nan,nan,nan,nan,nan,nan,nan,nan,0.5773821126857566,0.9312421932038727,0.36033966311206145,0.9294248583357092,0.7460476312093203,0.7640758809922865,nan,0.7341366635953954,nan,0.28421897637298726,nan,0.38281532010318486,nan,0.40371658908868635,0.6981435066278898,0.39145346250951063,0.687832101742723,0.7442066551911799,0.1053046366554567,0.5395030391563773,nan,0.05712068276608786,0.6095520518021018,0.8594945715782344,0.520426369323867,0.796563930231067,0.9274114270435294,0.1071025948360759,0.8164568803246797,0.5923081168770541,0.7928067091479128,0.37963022381830736,0.18945430950399236,0.10744401829436065,0.9400481686771894,nan,nan,0.5704315146162748,0.46138343071477705,0.07241423546015137,nan,0.9941360009708144,nan,0.5011309929291111,0.5134826081649595,0.08336597020249634,0.9147497252537617,0.0012252581824812449,0.15528806673347875,0.9505379348080305,0.8881937407794154,0.5006739795921862,0.39228777347587585,0.5935816468575799,0.23913674284056005,0.7110059559675833,0.7351996488337945,0.07536076310328974,0.2809577502202072,0.9643426707166444,0.8508729214079961,0.06741963305820603,0.3880593519871277,0.3427303072554235,0.2702312990134977,0.07685181005191247,0.012294568468046625,0.3154503642817388,0.9541696293225492,0.004553596791417752,0.34428912563689384,0.4957489680189596,nan,0.0210220125532248
Right-Caudate, nan,nan,nan,nan,nan,nan,nan,nan,nan,0.07565930854741446,0.3791173869428518,0.0031106964873441278,0.7286315482194836,0.11314060870155677,nan,0.9601225655334926,nan,nan,nan,0.0066586462989814636,nan,0.20495538271745284,0.7849392517768468,nan,0.1054158665612701,nan,0.19448332115840414,0.5142753693051966,nan,0.8282102337648516,0.051801696359434726,0.9849398210839321,0.39832687975526815,nan,0.24557977113377966,0.1803393566541811,0.6420369084051033,0.029721287025871932,0.8107457097746549,0.659863083873026,0.742932966237172,0.6198007572446875,0.47218961281099203,nan,0.5705906189296038,nan,nan,0.030990176216218975,nan,0.6355452273854688,nan,nan,nan,0.02669012240625125,nan,0.044801748312002086,0.1727517470580769,0.8915180814763723,0.4368438150657137,0.3416194953363531,0.6402775496241995,0.4312838005034203,nan,0.5973225501518946,nan,0.08621283882129051,0.08852882045097538,nan,0.2802282727232713,0.10972832588073266,0.9879311838491079,0.43931571859423846,0.8563315039867866,0.008001982554101164,0.606628314455779,0.3551064660700807,0.7617688340842382,nan,0.8017822674720139,0.9704983601724623,nan,0.16188518557329498
Right-Putamen, nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.5728303176021059,0.6086347523951665,0.7330360909502742,0.24747052368875033,nan,0.16388222580696898,nan,0.365442615570575,nan,0.30896803926772853,nan,0.8748406361576406,0.8525520261166746,0.8726408436653318,0.9629823677793831,0.6275046455288431,0.700997342519396,0.8111738254115229,nan,0.3482022274212164,0.12945294411478175,0.7212485843332268,0.987175846349752,0.09974620122202602,0.3940125389147365,0.7187577913313363,0.9876436014895837,0.2457338726938255,0.537025313671413,0.5997352206590492,0.2523596227544611,0.4762802053517875,0.6587644612029853,nan,nan,0.3192160743769256,0.03537934023471571,0.9035909904360452,0.2964099155565667,0.45232088072375476,0.16610297935021204,0.06813083782541972,0.3569552659493527,0.09058839769690852,0.39080346060952964,0.015975954346823276,0.4546573724957206,0.13717467293606117,0.09232540143714668,0.2702269079683071,0.16759334910746596,0.4219997929530458,0.5610236858191542,0.8342300818462829,0.044230047905374596,0.04631870534684776,0.04994971102973897,0.6372973346653751,0.9107551789912816,0.26994318743376866,0.7610750905003818,0.13672132583092894,0.8495988768282653,0.008763644998460027,0.08725360169707991,0.20633961985513924,0.09909174736800533,0.18041267944395228,0.07799372512912715,0.8109084249637898,0.126332045106082,0.3425118947752479
