# File generated on 2024-02-06 23:07:37
# Number of participants: 1354
# Number of patients (schizophrenia): 677
# Number of controls: 677
# 9 datasets were included:
# - B-SNIP
# - SRPBS1600
# - BrainGluSchi
# - CNP
# - COBRE
# - MuensterFOR2017
# - NMorphCH
# - PSY_IRIS
# - SCHIZOPHRENIA_LONGBIAO_3_Dataset1_set750
# Effect size cohen d (regression coefficient normalized by the pooled SD).
x,Left-Thalamus-Proper,Left-Caudate,Left-Putamen,Left-Pallidum,Left-Hippocampus,Left-Amygdala,Left-Accumbens-area,Right-Thalamus-Proper,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,ctx-lh-bankssts,ctx-lh-caudalanteriorcingulate,ctx-lh-caudalmiddlefrontal,ctx-lh-cuneus,ctx-lh-entorhinal,ctx-lh-fusiform,ctx-lh-inferiorparietal,ctx-lh-inferiortemporal,ctx-lh-isthmuscingulate,ctx-lh-lateraloccipital,ctx-lh-lateralorbitofrontal,ctx-lh-lingual,ctx-lh-medialorbitofrontal,ctx-lh-middletemporal,ctx-lh-parahippocampal,ctx-lh-paracentral,ctx-lh-parsopercularis,ctx-lh-parsorbitalis,ctx-lh-parstriangularis,ctx-lh-pericalcarine,ctx-lh-postcentral,ctx-lh-posteriorcingulate,ctx-lh-precentral,ctx-lh-precuneus,ctx-lh-rostralanteriorcingulate,ctx-lh-rostralmiddlefrontal,ctx-lh-superiorfrontal,ctx-lh-superiorparietal,ctx-lh-superiortemporal,ctx-lh-supramarginal,ctx-lh-frontalpole,ctx-lh-temporalpole,ctx-lh-transversetemporal,ctx-lh-insula,ctx-rh-bankssts,ctx-rh-caudalanteriorcingulate,ctx-rh-caudalmiddlefrontal,ctx-rh-cuneus,ctx-rh-entorhinal,ctx-rh-fusiform,ctx-rh-inferiorparietal,ctx-rh-inferiortemporal,ctx-rh-isthmuscingulate,ctx-rh-lateraloccipital,ctx-rh-lateralorbitofrontal,ctx-rh-lingual,ctx-rh-medialorbitofrontal,ctx-rh-middletemporal,ctx-rh-parahippocampal,ctx-rh-paracentral,ctx-rh-parsopercularis,ctx-rh-parsorbitalis,ctx-rh-parstriangularis,ctx-rh-pericalcarine,ctx-rh-postcentral,ctx-rh-posteriorcingulate,ctx-rh-precentral,ctx-rh-precuneus,ctx-rh-rostralanteriorcingulate,ctx-rh-rostralmiddlefrontal,ctx-rh-superiorfrontal,ctx-rh-superiorparietal,ctx-rh-superiortemporal,ctx-rh-supramarginal,ctx-rh-frontalpole,ctx-rh-temporalpole,ctx-rh-transversetemporal,ctx-rh-insula
Left-Thalamus-Proper, nan,-0.1036343318519574,0.0005117312581413527,-0.1488075940260582,0.21372196012961456,0.24517947994962755,-0.03854495298488191,-0.2693627900285475,-0.12866107432773347,0.01943363088350583,-0.13421166810281174,0.19524412101797387,0.2667083290386083,-0.04435611891848613,0.36568944283375443,-0.133277908354434,0.04099030237882438,0.3420023936845617,-0.0849193581608091,0.16803651028313682,0.08212844365549316,0.02944825172034539,0.08606456861630779,0.1901539059704549,-0.07706618629210019,0.3463836318451855,-0.04932695339590981,0.09867556216770688,-0.019745134473973514,0.38811739767915715,0.06258650252628523,0.00849893937678053,-0.007100736193244254,0.09934916912935118,0.5202925806970014,-0.08435628762768152,0.42659736018413,0.06582022999532817,-0.17963152092553736,-0.11749684153815207,-0.03150737084308003,0.36319699896298296,0.4223072132095836,0.10966670653111746,0.05591549248504509,0.011605391889587343,0.23039852012151293,0.22692519246112777,0.3786479454204023,-0.11478708662363804,-0.019573567501802,0.34253148126721206,-0.07884593465915168,0.24362367293820833,0.05744112403519171,0.06229687994120113,0.09763964851355549,0.27483718255227246,-0.06413391875481599,0.34223377034886354,-0.12076563965997202,0.044918342907025545,0.07238079103878219,0.366889325170675,0.08151183972256003,-0.10052048601806149,-0.07004854051044206,0.09779215781353123,0.5246476609402801,-0.12528843311136723,0.43252405008422645,0.07350866270847939,-0.1757323147345794,-0.1394921383327997,-0.1218667159422173,0.4034490078706503,0.3746040760016012,0.16970035917362503,-0.059833868988447496,0.04617014465379374,0.12990105806207494,0.21334105437682985
Left-Caudate, nan,nan,0.07452624007705409,0.015919770822633506,0.08335060590217852,0.14200205909421906,-0.03810482894051942,-0.03494590774737402,-0.019226259072197983,0.084805855696017,0.014508717829444674,0.13523706035487582,0.06490906647610575,0.021218929998155292,0.02341209729155562,-0.12089799781660751,-0.19618868279816953,0.1289808938260014,-0.10476433925561267,0.03103599012625095,-0.08617429727233021,-0.10514738626341137,0.09323320555391028,0.07390799660420702,-0.09130103671203141,0.10010208401937858,-0.0030375152893106594,-0.026602231380884002,-0.014254272759664786,0.07262617990789212,-0.19459019623092416,-0.08288400241267974,-0.07489008618288988,-0.011926911046970702,0.04483170805813334,-0.049384621732110924,-0.08100048848088987,0.03704458024442357,0.009397082999158913,-0.21309442910274062,-0.15232324489292348,-0.015063615336098719,0.10757746346996651,-0.16547414601145144,-0.020519568338256532,-0.037260223066098594,-0.021854211062783794,0.05520777051251446,0.10467587497021102,-0.10559157960920453,-0.1796181648350002,0.15010055145848708,-0.12446940692337037,0.010715951425151901,-0.0573265971550157,-0.08734850771714249,0.1432039925813376,0.12048871291515939,-0.11019649110706695,0.13435801269377684,-0.06908095948877223,0.031618212519661335,-0.004361708671883509,0.060639572020217296,-0.08617666103910387,-0.02464045960378897,0.0012470305381922207,0.02913394455360032,0.08699200946612311,-0.023552561883656665,-0.056618065030693186,0.031055020890123415,0.04561083701275976,-0.11548742685367679,-0.1384215479643983,0.0046779018438037456,0.13470965460749573,-0.1419228280840812,-0.009146249491987104,0.011046911665602259,-0.016604287599035487,0.10869890753611963
Left-Putamen, nan,nan,nan,-0.01864038834707892,0.16790361505944473,0.15301655382557378,-0.013874331953093757,-0.011442570746294373,0.12004571899835652,-0.14879207649519152,-0.04523815905684705,0.12178772712956858,0.018182001708642585,-0.02096362697264957,0.06277336216018557,-0.35136937236579313,0.012756008235122346,0.09364509317047996,0.006381362340480179,-0.025960647463122193,0.2026383158314778,-0.054021151727441395,0.3233327446228444,0.004937074286359312,-0.1106303555067211,0.1164247395503647,0.050694372626203986,0.11031407319236816,0.046027761455831255,-0.051170235841908926,-0.3381982122311034,-0.025516927187074805,-0.11446612825738371,-0.006060245206586539,0.011070964526855156,-0.1349023582514744,-0.21539601885186344,0.23929760406118952,0.005987702969102857,-0.0994044745773512,-0.06250968079802452,-0.10031943316517275,0.06428376757306968,-0.25125025964415154,0.12036463396002817,0.052390118378334134,-0.09915399805690515,-0.1255212504501625,0.03126614199487807,-0.3207322899963798,-0.05066710537471153,0.10706520877107788,-0.05653173002586518,-0.09429032854711893,0.14425103848480297,-0.07099335483118988,0.27578707196326874,0.02685745087554197,-0.11779765555311944,0.13052276768829082,0.02243718444742203,0.09455517197730662,0.04162415633424945,-0.028836631644821243,-0.40218503384999127,-0.06760920333266689,-0.2603811437250425,0.10147840359740452,0.03314502503781442,-0.17849394763934315,-0.21135737747923816,0.15020215270278528,0.003940843988999368,-0.10964285948571853,-0.16522352196006856,-0.09726627246731098,0.057648460919557123,-0.34889135318117453,0.0843550917567589,0.00369027808727114,-0.0358722449060732,-0.21126670895543925
Left-Pallidum, nan,nan,nan,nan,0.08913923994410385,0.16533295664210007,-0.019531149129454074,-0.14539711841102185,0.0222100105098721,-0.04972615409496075,-0.0556667336506916,-0.008859398115851692,0.06627910416057489,-0.18458299562928696,0.0838315676349953,-0.23669727373481123,0.030813164124750263,0.12114142016829997,-0.07919387706428334,0.029669743237137235,0.05557340836862045,-0.013650771100985212,0.05032807478528105,0.04700498796147796,-0.12782931786647844,0.1408697152685744,0.00012179079605407572,0.0310615626839287,-0.007242237690305868,0.030010791761256022,-0.041039627267355626,-0.06150206831844827,-0.019220603208653285,-0.041486112789081694,0.030823770184554462,-0.1697318277288569,-0.05418683001938648,-0.046707970852448114,-0.08236966473399959,-0.05434224952035152,-0.027379381189962214,-0.07352697805558976,0.0630130169634956,-0.1449493998302643,-0.002354212740152967,0.10063031378200524,-0.015738367801617255,-0.0536444234660483,0.1649057214623793,-0.2954881384123131,-0.09900529631874766,0.15926456517319834,-0.07930699222317146,-0.030972827454272017,-0.007148711319383843,-0.049150822500224484,-0.03271905824144667,0.07185340153918049,-0.1144599245172313,0.13015700957493723,-0.03238285933800977,0.05268199574049338,-0.045168232233216934,0.056843968866096335,-0.19484404187990073,-0.12962543013510824,-0.15313242970747584,0.0007761682283813159,0.08191193058270947,-0.23783745774624776,-0.040236115208780614,-0.08169488138563397,-0.09040511591168941,-0.14088943966539075,-0.13068591224089884,-0.01928000998627912,0.07725194827554224,-0.1747955677873205,-0.02942170188629863,-0.01852448027264492,-0.012475099025672407,-0.08584427779245846
Left-Hippocampus, nan,nan,nan,nan,nan,0.07650315311277994,-0.04131602305753941,0.2168168450517699,0.15332611570767923,0.16088856034011562,0.08388795183105506,0.003599482164696958,0.005442060106556814,-0.0018969072753942794,-0.18497079311800493,-0.14131881105612384,-0.06059286492639638,-0.03769254846283063,0.07654212671577096,0.09322179956994517,-0.07817823195580423,0.08607584469423542,-0.12614226758884817,0.1066324598350452,-0.06028687880048239,0.08260045965861888,-0.14862584765229192,0.07872496900463753,-0.0025181629381404147,-0.1311462066834373,-0.20601276481045583,0.010030086879683008,-0.09856529204018658,0.048151737340851986,-0.14281156772650003,-0.20252511141998478,-0.17779276796480067,-0.1885975462693224,-0.14499502495773958,-0.05339712216051158,-0.2033663855592689,-0.11729169552933985,-0.06294485241487556,-0.1923684045563679,-0.05839186489793131,-0.01410487921012937,-0.1495884032375851,-0.04091965765564909,-0.16467323394407057,-0.13851954447254908,-0.03509459989941703,-0.000835269805552938,0.06071464316344311,0.09203354834654486,-0.03925635855946379,0.10968513115677925,-0.06828057617795154,0.10151557863272789,-0.04502721047990749,0.11259762418445159,-0.10638049541902506,0.05804739902170153,-0.026549863241232027,-0.11786113249445238,-0.12251411492637429,-0.03051413133989953,-0.07914476607298641,0.0915749422063153,-0.17294653519723185,-0.18136517332313098,-0.13032878132839476,-0.13067397440956005,-0.14848194164825615,-0.010897718575220386,-0.14798805289418435,-0.09784203241311763,-0.1964075783126464,-0.16305969619531158,0.03252396145535526,-0.031645872291503674,-0.10911740414365159,-0.08421669969370746
Left-Amygdala, nan,nan,nan,nan,nan,nan,-0.07618020315051474,0.32446008088077294,0.13118680017063897,0.14863638461340498,0.07313211828446284,0.01170809694583554,0.03257669038802699,-0.05047157823591344,-0.21563676564749576,-0.047143448790525906,-0.031271739359073805,-0.11476354905404453,0.11606123548120532,0.10117281674067323,0.01396699430931849,0.07083504126907716,-0.04539446484629372,0.060359566859649424,-0.0837137989309663,-0.028577359145402492,-0.1411863469832101,0.09167758512408118,0.061521681273791116,-0.1925429557888558,-0.21082623577305104,-0.009968214388253932,-0.08974825176311578,0.0270087102067193,-0.15416158934626956,-0.1834270652204875,-0.20311401434271587,-0.07950379760067196,-0.10192482480004825,-0.03372536179737681,-0.14339909341431584,-0.1423429565311512,-0.034329938215582265,-0.14986432233529284,-0.0033106458342810376,0.06567781628713029,-0.0826505190347483,0.0644565526094343,-0.17613018002810288,-0.0022435048375571707,-0.006853378713666934,-0.09335319687225192,0.08655395785375027,0.08314211758873749,0.01789843931989678,0.10059664930392843,0.005547931183435394,0.038718741862668146,-0.0890673190417866,-0.0033158338833642704,-0.07430313075363935,0.006602945782380494,0.07513389908620671,-0.16556689851413567,-0.15469009505664427,-0.06606033609188444,-0.09575159034395858,0.07950384953737404,-0.19540596117216308,-0.14121808566366303,-0.15834155349684084,-0.027138997689787833,-0.08570978256020755,-0.015199716008961132,-0.08335453446254111,-0.12214195627607612,-0.16148142187371473,-0.1346331695693044,0.013387703156713272,0.023472771360432985,-0.05677986974414308,-0.029967752185616835
Left-Accumbens-area, nan,nan,nan,nan,nan,nan,nan,0.012712093995114167,0.05098134598511029,-0.04224999826053582,-0.008207487768556194,-0.028002512062270987,-0.02735132263301063,0.09986143031565513,-0.09991861368324699,-0.14755425634189326,-0.018980466730312978,-0.0017560390995863013,-0.08311235803824366,-0.14539277318838362,-0.01989027178429454,-0.1733532089140125,-0.03693050520864193,-0.0426292977318715,-0.07438288378786147,0.0037482880193622395,-0.04290237178112416,-0.017986847037794018,0.01760224893716871,-0.09268837405879639,-0.1140964198101919,-0.017563033645087975,-0.08856664244241462,-0.04115042696872274,-0.08203871053688344,-0.13460938861017524,-0.0989017177809506,-0.08723943882371965,-0.08572935488211822,-0.011026157192232149,-0.05380882858227863,-0.07577724718956771,-0.12587029968998112,-0.13001430583145787,-0.007329986555385947,-0.19604517019880943,-0.17887316845753648,-0.13186823708615328,-0.1414573921366227,-0.1796727848700406,0.017387366571787487,0.0003171761838812558,-0.04588355131030594,-0.12327410706303371,0.04130349052009395,-0.12501686221666442,-0.038503066427431704,-0.023540221961959512,-0.09153833965355267,0.00907968218312835,-0.09321646156612685,0.015538041671397555,-0.02429976657923917,-0.10026353840040333,-0.07126197043943075,0.046053845251294516,-0.06926231473678854,-0.016424683361783175,-0.04261584828024394,-0.14550738670514607,-0.061183650282841985,-0.09660583324158706,-0.17334926517931118,0.03401079622304014,-0.06502007961348581,-0.03868636811191536,-0.20244496146678576,-0.09551508632344798,0.0580718362155038,-0.1123618699559861,-0.15880062937171743,-0.17849911026893805
Right-Thalamus-Proper, nan,nan,nan,nan,nan,nan,nan,nan,-0.07995189436646052,-0.0223796823125795,-0.11476900975258815,0.23290550869631677,0.2972372043605239,0.009968557485439632,0.3494262997421668,-0.17209435809889012,0.08795992595180997,0.30934182557757434,-0.07920315490019825,0.13628532288728112,0.16435873124977698,0.04701238646944372,0.07063728971482225,0.15994327253024782,-0.045636887432502486,0.30418770558686714,0.02444757176424393,0.12959746615233952,-0.030821795235564553,0.36178335185509153,0.05839615313347134,0.05445515732328103,0.05234877661611078,0.023657984485708057,0.456493715019116,-0.03294148924707229,0.3623323376345658,0.031406182706311785,-0.12436532524280847,-0.0567402864088939,0.03385588668295082,0.3314593706643559,0.38888301861683033,0.09188090468507105,0.0591490733804392,0.004990541833669268,0.19541243628543736,0.24260315493073695,0.37199521900313687,-0.2231468763227397,-0.03126055732204988,0.28550691220608737,-0.08914852086618749,0.2018346065425097,0.03312845994267552,0.05680384319777305,0.022579337055033757,0.237580942075504,-0.05519180657994888,0.3182266954449835,-0.0731499070946952,0.09604728241322187,0.08870873585245706,0.315270124451459,0.03809540490687618,-0.09130458446222461,-0.059231912867453204,0.08143718163577225,0.48205010145674293,-0.1938598890289242,0.3659017363198795,-0.0013885050419529465,-0.14789648517711998,-0.1571008881141439,-0.11018093765138731,0.32144597731899277,0.4022559705955833,0.05788052691131886,0.002559027415638633,0.06752779017842668,0.13437877403909035,0.2553512058283484
Right-Caudate, nan,nan,nan,nan,nan,nan,nan,nan,nan,0.08663896911457517,-0.010160968187927307,0.1326928612936334,0.044740344137200946,0.07263540797992198,0.10618184533411457,-0.09922168987788825,-0.13675328893909705,0.13162487547747548,-0.06195001667900125,0.06273218632483733,0.03039016124883869,-0.05251212143695711,0.1872999572130664,0.08672228323061595,-0.049817529932589165,0.1341969681430911,0.06442840948924775,0.04909482572561241,0.06589166684266774,0.10590005844865144,-0.18079688933900148,0.023721181213207997,-0.046397124333634965,-0.02279721723204634,0.0865535545285262,-0.04601003441696721,-0.04541120721153546,0.09591644345205304,-0.01688586188310733,-0.13110985221409321,-0.05973677115923895,-0.016173189869289437,0.09815546309269828,-0.14505144072847406,0.048850642249671006,0.004822187201801764,-0.0469956866049256,0.06320581529348676,0.09855299364690685,-0.10664843270980058,-0.24430741865462943,0.19397838796305192,-0.11406320608149778,0.028927649813596367,-0.06725423441530647,-0.11996126825629387,0.12617989648779002,0.1692139985195742,-0.14257473504570295,0.18059328667323937,-0.0223124673286875,0.015634932303610655,0.015429114200825855,0.04637210955800006,-0.18266221833616364,-0.018085358615324773,-0.04585025685447238,0.04152294183778071,0.15127911583915576,-0.0959266630045054,-0.039368465621668666,0.023148450004878852,-0.015633782879610342,-0.1989154474998498,-0.14112481837221505,-0.01262867209466042,0.16707960604044705,-0.1379801810714574,0.06580014817647264,0.02937937203370934,0.020454463847257374,0.055079722697320296
Right-Putamen, nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.04321356237642552,0.12276226111806955,0.035555483436653074,-0.030768799564309925,0.05718361311348471,-0.34020624828267443,0.03660894077532042,0.12094356679195002,-0.034627654001085466,-0.008150631447284945,0.23618200836054362,-0.0248695007400859,0.2819180744083058,0.015230571390997094,-0.129750111722009,0.14546479130925494,0.03693333827302319,0.12096340326882063,0.06558501419752591,-0.014563375060772163,-0.32695223896709874,-0.018395517156813552,-0.1179593533763954,0.00541895403338717,0.05387613995230204,-0.10107811874495498,-0.1840984651551436,0.2623196999629794,0.005815496130192509,-0.10542562807756033,-0.029661029282777245,-0.007206111960003698,0.03443689198805041,-0.21734525512452996,0.11586888024756968,0.00014222262483414073,-0.1173977847327305,-0.17344984112001238,-0.007426832471745879,-0.34361145930035353,-0.03533128322788605,0.10174097826828547,-0.06060725411569442,-0.10106209095062983,0.16424661465879958,-0.06828122946441162,0.25118915887399945,0.046652743235864144,-0.15326462930502519,0.15173526629151773,0.03728449887031751,0.10287734250200833,0.027344495676435376,-0.038660293491057034,-0.39015910938207665,-0.05941646601350569,-0.22566814170103164,0.10272899741927043,0.06000061869106452,-0.21739503665341361,-0.19469923850617876,0.17443710558939268,-0.011203095388057258,-0.11189411998542217,-0.13755557195457463,-0.0757120962410484,0.023119104425758902,-0.34549209636615125,0.10735708843595065,-0.016714805589366204,-0.06973183576141655,-0.17902263529284948
