# File generated on 2024-02-06 23:07:37
# Number of participants: 1354
# Number of patients (schizophrenia): 677
# Number of controls: 677
# 9 datasets were included:
# - B-SNIP
# - SRPBS1600
# - BrainGluSchi
# - CNP
# - COBRE
# - MuensterFOR2017
# - NMorphCH
# - PSY_IRIS
# - SCHIZOPHRENIA_LONGBIAO_3_Dataset1_set750
# P-value.
x,Left-Thalamus-Proper,Left-Caudate,Left-Putamen,Left-Pallidum,Left-Hippocampus,Left-Amygdala,Left-Accumbens-area,Right-Thalamus-Proper,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,ctx-lh-bankssts,ctx-lh-caudalanteriorcingulate,ctx-lh-caudalmiddlefrontal,ctx-lh-cuneus,ctx-lh-entorhinal,ctx-lh-fusiform,ctx-lh-inferiorparietal,ctx-lh-inferiortemporal,ctx-lh-isthmuscingulate,ctx-lh-lateraloccipital,ctx-lh-lateralorbitofrontal,ctx-lh-lingual,ctx-lh-medialorbitofrontal,ctx-lh-middletemporal,ctx-lh-parahippocampal,ctx-lh-paracentral,ctx-lh-parsopercularis,ctx-lh-parsorbitalis,ctx-lh-parstriangularis,ctx-lh-pericalcarine,ctx-lh-postcentral,ctx-lh-posteriorcingulate,ctx-lh-precentral,ctx-lh-precuneus,ctx-lh-rostralanteriorcingulate,ctx-lh-rostralmiddlefrontal,ctx-lh-superiorfrontal,ctx-lh-superiorparietal,ctx-lh-superiortemporal,ctx-lh-supramarginal,ctx-lh-frontalpole,ctx-lh-temporalpole,ctx-lh-transversetemporal,ctx-lh-insula,ctx-rh-bankssts,ctx-rh-caudalanteriorcingulate,ctx-rh-caudalmiddlefrontal,ctx-rh-cuneus,ctx-rh-entorhinal,ctx-rh-fusiform,ctx-rh-inferiorparietal,ctx-rh-inferiortemporal,ctx-rh-isthmuscingulate,ctx-rh-lateraloccipital,ctx-rh-lateralorbitofrontal,ctx-rh-lingual,ctx-rh-medialorbitofrontal,ctx-rh-middletemporal,ctx-rh-parahippocampal,ctx-rh-paracentral,ctx-rh-parsopercularis,ctx-rh-parsorbitalis,ctx-rh-parstriangularis,ctx-rh-pericalcarine,ctx-rh-postcentral,ctx-rh-posteriorcingulate,ctx-rh-precentral,ctx-rh-precuneus,ctx-rh-rostralanteriorcingulate,ctx-rh-rostralmiddlefrontal,ctx-rh-superiorfrontal,ctx-rh-superiorparietal,ctx-rh-superiortemporal,ctx-rh-supramarginal,ctx-rh-frontalpole,ctx-rh-temporalpole,ctx-rh-transversetemporal,ctx-rh-insula
Left-Thalamus-Proper, nan,0.05627150708937273,0.9924878536944046,0.00564055896999114,9.049605917455281e-05,6.746384239294842e-06,0.4775445342497946,7.728419641467766e-07,0.01807612933917575,0.7206526448805897,0.012505840545974516,0.0003484605468122007,1.0296880182936911e-06,0.41478416931950424,2.307868650625081e-11,0.013676122924484634,0.45073547435055394,4.3862138976820964e-10,0.1188458697598392,0.0020740691673078143,0.13154839663860263,0.5887629507280743,0.11387936119953943,0.000476073654821931,0.15625662064605633,2.7370799301255195e-10,0.36480254479867713,0.06914221470923358,0.7156467027232305,1.520432098690717e-12,0.25049091574372867,0.875246407025966,0.8959672656955942,0.06806437510072126,5.6110631871415674e-21,0.12086009779850194,9.32082830274766e-15,0.22708634137989672,0.0009762830342380864,0.030945472968390404,0.5619232170827211,3.719635300746232e-11,1.0913883004001419e-14,0.04423896304370749,0.3046099424754544,0.8310340144715755,2.426012770206026e-05,3.261970339403828e-05,3.5683716669837178e-12,0.034477091928971144,0.7193405987856789,4.0000631905041604e-10,0.14750946502939244,8.286219893164912e-06,0.2893248047297426,0.2512989125723894,0.07229967512971985,4.5298381637183264e-07,0.2382160047489476,4.3675501120841063e-10,0.026646146038714597,0.40803003029186724,0.18290578044203729,2.194299397160961e-11,0.13379566359387346,0.06357574199626,0.19718583097432685,0.0726145140281948,2.7415908472908414e-21,0.021575999154203333,4.182355735876015e-15,0.17703607911013003,0.0012576340496387515,0.010450580837269005,0.025354086928269997,2.0865424808077998e-13,7.008432040548775e-12,0.0018570217955397148,0.2718472005019253,0.3956334936767729,0.017192865148778567,9.413322248249204e-05
Left-Caudate, nan,nan,0.16641332110716686,0.7688094792001288,0.12541805115794877,0.009185002410454196,0.4802736309008916,0.5203719147801771,0.7211767406637268,0.11629631860550398,0.7896578722453302,0.01299032801417391,0.2334417401065383,0.6953293642684157,0.6656745706192788,0.025343122176647775,0.00024931686266753845,0.017824972178126963,0.05457202767578832,0.5683109396186349,0.1125010173887736,0.05371808596831796,0.0870577131595886,0.17488082094911445,0.09273100212566324,0.0658722985139631,0.9554892867968905,0.6247832657949363,0.7930225839050893,0.181140596283439,0.0002741477240943063,0.12809963771256486,0.16054435967463052,0.8260911365684026,0.40935620200279244,0.3598903183465295,0.1345234840828026,0.49576786201546363,0.8629484720320417,8.537442464049872e-05,0.004764156801497924,0.7814888747187938,0.048045115833298985,0.00208640436328807,0.7052662174959652,0.4928087357881116,0.6882343907604451,0.30858962412573504,0.05266478275923181,0.05059017472502141,0.0008876290258215071,0.005877057535984744,0.022455089067013514,0.8438023542436512,0.2909384084882845,0.10875512269261008,0.008582312193767419,0.02698347676157192,0.042674720677283284,0.013668307723959038,0.20486666121709557,0.5588713272285761,0.9360636133773885,0.26385496897133776,0.11133677593635499,0.6508795904712377,0.9815327051822544,0.5917648007305154,0.10877819873959646,0.663452268789362,0.29701085869742644,0.5680024908017078,0.40119693531058687,0.03381999920888369,0.010221076821373734,0.9313879016837323,0.01317492926496285,0.008688604067120116,0.8662909366998937,0.8387293510699021,0.7605042901887946,0.04603074432968179
Left-Putamen, nan,nan,nan,0.7298539878193981,0.0020845350143602836,0.004930459128146159,0.7988457039463546,0.8331434709815205,0.025829660295174,0.005468913902464954,0.4037051354243213,0.025419113284089828,0.7383524226902836,0.6997561436582393,0.24908080086706538,5.578185378547833e-11,0.8137651406144896,0.08524197648976918,0.9065445795925628,0.6322492394972471,0.0002051485688721203,0.32041776709290065,3.6757798709294e-09,0.9274086386615461,0.041593275951895756,0.03242071123013512,0.35182844305015226,0.042519472380253893,0.39727025336192645,0.34434818807535217,5.611793216793513e-10,0.6389043955095417,0.03518409542965889,0.9112762725287681,0.8374581054831136,0.012366057729875172,5.917407964470097e-05,1.1959232972311376e-05,0.9123520862936122,0.06607875293493326,0.24791842673203635,0.0646038693199838,0.2370126977768817,3.5011395315455165e-06,0.02717034587618321,0.3357529898250665,0.06721583885668908,0.019933909714340763,0.565639589858782,2.4870336749870134e-09,0.35025167507962796,0.0490416406855141,0.29943267383415284,0.08246713446927251,0.008109707370123023,0.19241291280173092,4.6340638632726914e-07,0.6207970001904928,0.03011232562619041,0.016416486224939526,0.6803958581762242,0.08211092515311368,0.4434777338932334,0.5931908454404689,1.7495966449382867e-13,0.2141099915815364,1.7373688025064889e-06,0.06259344992195766,0.5385089039519324,0.0009861134899973962,8.453395627565008e-05,0.005897430832201396,0.9421506606752629,0.043104228101578615,0.002256323600030592,0.07337513528873181,0.2887264697606804,1.2564721731505605e-10,0.12138354308648423,0.9459511155568445,0.5084413819093212,9.804641477362514e-05
Left-Pallidum, nan,nan,nan,nan,0.10180565514658015,0.0023612288188801472,0.7198944467200414,0.00710765261066021,0.6812990781300194,0.3581566832176044,0.29991478244694353,0.8706256366498888,0.22348122935990064,0.0007191965602892096,0.12389319651175507,1.1145654038014683e-05,0.5705972650920408,0.026121273774206134,0.14552778487150725,0.5856640164812346,0.3075984806414929,0.8021325626109809,0.35564048012992755,0.38777146329745205,0.018965113967588636,0.009792635808515613,0.9982151485855137,0.568168496588243,0.8941831592376881,0.5809869912804749,0.4502193034263121,0.2571058875707466,0.7230120165567598,0.4452688393215405,0.5709148008472382,0.0018508749648204778,0.31785832197063085,0.3912013461621847,0.129933031539195,0.31669577643506647,0.6135149802619155,0.17705710859500723,0.24710682616518673,0.007761177517629134,0.965493284148105,0.06400120729186157,0.7725252744811761,0.3209812816649821,0.002472725595411643,5.2332812711275955e-08,0.06932031479893744,0.0034794740273108096,0.14549352753829614,0.5695562730824758,0.8954476459869596,0.3664939712134402,0.5470335354063405,0.1869774542617872,0.03575565348902365,0.01688572492367228,0.5521292093017524,0.33359492361174403,0.40573477562453686,0.2956315153848012,0.0003529495448454257,0.017306436317812975,0.004922607945690165,0.9886112183681792,0.13198533631183665,1.3538641383129916e-05,0.4587605502181398,0.13349425666936995,0.09685216869255195,0.009757655118625284,0.016481673134498474,0.7224306549484374,0.15624434634382617,0.001355227142595083,0.5887359614138774,0.733328166020111,0.8187993522413879,0.11328794983167785
Left-Hippocampus, nan,nan,nan,nan,nan,0.16015290961969506,0.44710424191214704,7.228834848606829e-05,0.004899731752360598,0.003181276761892094,0.12370595009501778,0.94724344656239,0.9204242858231189,0.9722002052760134,0.0007030118849096686,0.00927224158977281,0.262694822481217,0.48881889861897365,0.1588621600899619,0.08494432786217013,0.15135357761856616,0.11048725046713219,0.019728992986821032,0.048045576369613194,0.2684201120860062,0.12719806746133272,0.006222221357560264,0.14729690664699113,0.9631313437584413,0.015875646497219273,0.00015704367094967602,0.8535935000666085,0.07040064105668775,0.3755731606698749,0.008619195640190867,0.00016773308532225855,0.0010264483047990234,0.0005398522067653434,0.007591444928493703,0.32678653299700744,0.00016764847814495162,0.03142823962087565,0.24600074205974068,0.0004164351462129965,0.2812175482957449,0.7954363404919392,0.006103703157773308,0.4510981470222091,0.002517363176911336,0.010962517556135398,0.5187313108190026,0.9877537272637856,0.263713843402094,0.08940810785910965,0.4708827529537438,0.04267398547428734,0.20781773651470142,0.06077615659320541,0.4081750652749211,0.03817232674874538,0.0503605346478316,0.28424880366057975,0.626001997471826,0.03015007815338237,0.024272241192557265,0.5747234251262867,0.14637114678439822,0.09197971919428419,0.0014615912955444554,0.0007934938731435645,0.016356589618120077,0.01642871726318671,0.006246507282454345,0.8413944826057936,0.0063093492950708225,0.07244071028144244,0.0003204110815435907,0.0027755754696324594,0.5502778429828397,0.5587521502123782,0.04528140707417534,0.12143792200625234
Left-Amygdala, nan,nan,nan,nan,nan,nan,0.16105707250654686,3.0531110378651354e-09,0.01598124235314277,0.006310374003730121,0.17917576552624123,0.829689934529574,0.5490366097724286,0.3535550163065837,7.910246229384622e-05,0.38466490887843496,0.5638286078814843,0.03525026454030093,0.032389636703407505,0.06245526054316608,0.7975705855447166,0.19254555618729804,0.40200014492513325,0.2646674647035201,0.12423093829638467,0.5990623121164934,0.009512181804125639,0.09208728635141362,0.2582466291417994,0.0004042766580429412,0.00010756168863654114,0.854779049836478,0.09947068998867739,0.6196030009108544,0.004634169039712009,0.0006654313877801886,0.00017957228970069558,0.14388082399863503,0.061090987454693206,0.5352524076364219,0.007930096509929934,0.008964051527607137,0.5280028785887001,0.005873054907933073,0.9514103166730121,0.22586753893190448,0.12852317793295262,0.23594800587522674,0.0012433094646084287,0.9671101321180534,0.8997181307732851,0.08666133622065651,0.11068105330551684,0.1259145188700097,0.7424934611281409,0.0637950150779199,0.9186772226754314,0.4762880505869189,0.10191888525060955,0.9513504109214531,0.17209443167622226,0.9032943500831992,0.16746242193935354,0.002377523912012048,0.004460822254598491,0.22513497102887917,0.07895780123104935,0.14376191833226382,0.0003290666542636871,0.009135952095878877,0.003559596401180585,0.6182703126992556,0.1150707774279941,0.7800342566140729,0.12384388300351276,0.025023149278092294,0.0030696319773537554,0.013343924886762842,0.8056714903000876,0.6644995439808414,0.2964219310709336,0.5815830626848741
Left-Accumbens-area, nan,nan,nan,nan,nan,nan,nan,0.8144553653899567,0.3444512545103324,0.4376077314064354,0.8801534859044077,0.6068163499858242,0.6142856217288429,0.0636987891324237,0.06559361005488841,0.006342620048928678,0.7258065014155004,0.9742335952627728,0.12713447030436525,0.007508351612681779,0.7145876271244291,0.0014486561388755387,0.4953456016627875,0.43373754989713875,0.1718007489340092,0.9450257790915915,0.4295219582758294,0.7409767559624976,0.7459585193006275,0.08731231216024771,0.03481880843055629,0.7470622207541426,0.10317967503889805,0.4485582368724571,0.1299363482764813,0.012191584966213916,0.06705446317458785,0.10776135920958703,0.11454265533029766,0.8389800925711305,0.3189858722846883,0.16233174912599216,0.02047029408515831,0.01601282727993859,0.8926094794079116,0.0003214182134185761,0.0010174952696427875,0.014998327653450147,0.009440054270522039,0.0008857744739079132,0.7486988749246082,0.9953426148799855,0.3995538933925856,0.023340060647070903,0.447161230790887,0.02155628865066511,0.47743440745468646,0.6653742484786227,0.09276610547657875,0.8672543644461361,0.08696040578334593,0.7753845910287908,0.6552224846635708,0.06448388404366169,0.18914912513392976,0.3979244135764989,0.2029186985387616,0.7623367071224434,0.43230912848607383,0.006864144544248658,0.2579814429063427,0.07525266589003013,0.001416423033106245,0.5311757734584707,0.22900440849412304,0.475724140172076,0.00020468385094816297,0.0778369511240611,0.2858943005311671,0.03884832314071868,0.0034918135601696015,0.001012438889390725
Right-Thalamus-Proper, nan,nan,nan,nan,nan,nan,nan,nan,0.14137457846329032,0.6800276297155711,0.0320658384473727,2.031492315966449e-05,5.376183047995336e-08,0.8545596614346962,1.518104795055635e-10,0.0015371073865971465,0.10634929398745706,1.582853658646986e-08,0.1456461522503531,0.01243438765337614,0.002543133425243459,0.3881556564012246,0.1939937717744906,0.0033452458821007034,0.40136889716815005,2.776350243430108e-08,0.6534049257107263,0.01716267728322454,0.5696710233442652,4.009476757064774e-11,0.282929051986969,0.31460989327780225,0.3348047732546824,0.6635116371350246,1.3007638103457535e-16,0.5447459644853287,4.117496022320102e-11,0.5642802172242561,0.022539377249342685,0.2968572534322876,0.534238078538817,1.4876829316816743e-09,1.1038789275225874e-12,0.09183323461981803,0.2774419391127749,0.9268971631002032,0.0003407886951188746,9.032414631956408e-06,1.0898750321229017e-11,3.948835884464901e-05,0.5656171984278204,1.7109852573707612e-07,0.1018042481956791,0.0002193134421963998,0.5426394762061888,0.2966077877064512,0.6777538945460715,1.315877064201745e-05,0.3101879683253633,6.24096711272673e-09,0.1791873622174615,0.07763712501280805,0.10322195433835792,7.863800672323908e-09,0.48437679835120817,0.09239337766431725,0.2764300467941168,0.13485173283917304,2.5815155527655985e-18,0.00037692351741258303,2.6591726249862e-11,0.9796651778483292,0.006657656720450748,0.003976521596172612,0.042746212834095756,4.476651528118334e-09,1.9581391004162749e-13,0.28811667220509124,0.9625234673038587,0.21417180542424438,0.013694661312024623,3.018602758582962e-06
Right-Caudate, nan,nan,nan,nan,nan,nan,nan,nan,nan,0.10335899219158134,0.8514048435411155,0.014913430712924027,0.4101637292477963,0.17612641685240515,0.050730716371223346,0.06669035031255881,0.011685006957254367,0.015661709201300167,0.2555412646174044,0.24942502103587477,0.5764724352746948,0.3346628661198854,0.0005948563692145122,0.11138149835501474,0.359444734709392,0.01378763737352197,0.23686708439078502,0.36699769823200146,0.22569694389071565,0.05117252943816133,0.0008668676344378639,0.6624635101828502,0.3913987887607451,0.6748853408737596,0.1114322683283679,0.39372424954201435,0.402757791811051,0.07821339181685845,0.7562624359450906,0.01604323369957605,0.27104847919794495,0.7661930168437404,0.07098851998220347,0.007128340749702597,0.3686574865780907,0.9293195572511379,0.38675914683642154,0.24394000444759203,0.06899667561881703,0.048965421865551674,5.842867592624339e-06,0.0003721039655901084,0.03636707533834345,0.5953742921234637,0.2159287822226893,0.027779785910143344,0.020559734171765515,0.0019213550228158562,0.00841886042701513,0.000934934819614655,0.6820053906691537,0.7735493791038763,0.7768608635186991,0.3932852522356425,0.0007095618236125318,0.7398969879043225,0.3958067429116593,0.4455208293878017,0.005466233527197662,0.07496693569258478,0.46770143791541086,0.6701477283071475,0.7734235662380273,0.00025528031912315085,0.008988889705537037,0.8162292767005312,0.002174051660248894,0.010851136808129934,0.22576157265491725,0.5872859674644624,0.7071811103481722,0.3092927293567279
Right-Putamen, nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.4250464456980846,0.024307471522103292,0.5133895831559264,0.5715698298796296,0.29342299356474155,2.362555070019703e-10,0.4991233545784751,0.02612990303636849,0.523926444970326,0.8804440292389564,1.5287993837163198e-05,0.646856215009431,2.578428492954542e-07,0.7787830312328043,0.016872649219308092,0.007512494293732153,0.49678836025558204,0.026256157078086723,0.227588268367657,0.7880102351768802,1.8019080659054594e-09,0.7352113584615607,0.02985796365891345,0.9205868953063787,0.3194329416121049,0.06137174585448185,0.0006004869694487472,1.6111923240551514e-06,0.9149360580310018,0.05111671590164048,0.5834103525247092,0.8944591188529563,0.5259977576733901,6.046992015572472e-05,0.03320213908523868,0.9979133954714167,0.029903241445405643,0.0012540029163139953,0.8913980104580044,1.715309199042609e-10,0.5140067430061883,0.061881605917381496,0.26555579317871797,0.06218003392251989,0.002563616418876423,0.2092069567874056,4.250867180966934e-06,0.3899923845817752,0.004792263863046048,0.005330490280055878,0.4931942034071948,0.05801812998266761,0.6149748047830541,0.4741971567186768,8.47855304893374e-13,0.27427525564264293,3.312995355496509e-05,0.05949534650070293,0.2650204907846391,6.054122540651276e-05,0.0002734611460398241,0.0013848316627273454,0.8367380819994346,0.03858906113447351,0.010813430624890197,0.16339306770938875,0.6697539245875523,1.7872484715233218e-10,0.04881790219536899,0.7586814795399501,0.19743898956015504,0.0009511542114055575
