# File generated on 2024-02-06 23:07:56
# Number of participants: 138
# Number of patients (schizophrenia): 69
# Number of controls: 69
# 1 datasets were included:
# - COBRE
# P-value.
x,Left-Thalamus-Proper,Left-Caudate,Left-Putamen,Left-Pallidum,Left-Hippocampus,Left-Amygdala,Left-Accumbens-area,Right-Thalamus-Proper,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,ctx-lh-bankssts,ctx-lh-caudalanteriorcingulate,ctx-lh-caudalmiddlefrontal,ctx-lh-cuneus,ctx-lh-entorhinal,ctx-lh-fusiform,ctx-lh-inferiorparietal,ctx-lh-inferiortemporal,ctx-lh-isthmuscingulate,ctx-lh-lateraloccipital,ctx-lh-lateralorbitofrontal,ctx-lh-lingual,ctx-lh-medialorbitofrontal,ctx-lh-middletemporal,ctx-lh-parahippocampal,ctx-lh-paracentral,ctx-lh-parsopercularis,ctx-lh-parsorbitalis,ctx-lh-parstriangularis,ctx-lh-pericalcarine,ctx-lh-postcentral,ctx-lh-posteriorcingulate,ctx-lh-precentral,ctx-lh-precuneus,ctx-lh-rostralanteriorcingulate,ctx-lh-rostralmiddlefrontal,ctx-lh-superiorfrontal,ctx-lh-superiorparietal,ctx-lh-superiortemporal,ctx-lh-supramarginal,ctx-lh-frontalpole,ctx-lh-temporalpole,ctx-lh-transversetemporal,ctx-lh-insula,ctx-rh-bankssts,ctx-rh-caudalanteriorcingulate,ctx-rh-caudalmiddlefrontal,ctx-rh-cuneus,ctx-rh-entorhinal,ctx-rh-fusiform,ctx-rh-inferiorparietal,ctx-rh-inferiortemporal,ctx-rh-isthmuscingulate,ctx-rh-lateraloccipital,ctx-rh-lateralorbitofrontal,ctx-rh-lingual,ctx-rh-medialorbitofrontal,ctx-rh-middletemporal,ctx-rh-parahippocampal,ctx-rh-paracentral,ctx-rh-parsopercularis,ctx-rh-parsorbitalis,ctx-rh-parstriangularis,ctx-rh-pericalcarine,ctx-rh-postcentral,ctx-rh-posteriorcingulate,ctx-rh-precentral,ctx-rh-precuneus,ctx-rh-rostralanteriorcingulate,ctx-rh-rostralmiddlefrontal,ctx-rh-superiorfrontal,ctx-rh-superiorparietal,ctx-rh-superiortemporal,ctx-rh-supramarginal,ctx-rh-frontalpole,ctx-rh-temporalpole,ctx-rh-transversetemporal,ctx-rh-insula
Left-Thalamus-Proper, nan,0.4033673683488128,0.9673558914202183,0.5871046450111204,0.04854983363604755,0.12030882618472066,0.1402628129678397,0.08573008739609765,0.11236258544923713,0.8147996790204268,0.5507245388770141,0.027762007794731643,0.14518800249373903,0.6144477519330676,0.03992808099679193,0.4815563520768773,0.08179207054732619,0.0010831005615488426,0.010720274993815324,0.8716500652819597,0.07234373056204307,0.37344814887322,0.04913791745662124,0.2806428279553512,0.4764406431382644,0.0005595746987488732,0.779048044169161,0.990681231989082,0.507446287746941,0.0022785212329667417,0.26854806184726615,0.6835711044725794,0.5441121834102864,0.2603794785230777,7.649930721978049e-05,0.6452823928537816,0.0004101272504717716,0.02299011007544152,0.19192950452372382,0.2429393976847321,0.3765380509974735,0.006687830055045554,0.007214172549027665,0.9958435176250461,0.9154606969438442,0.15815953929784238,0.0017523148469231883,0.014424559364529028,0.5674001876759176,0.30115081223464424,0.322822986787462,0.0015468281145116591,0.04057513844368188,0.2194687078162083,0.21531948751197172,0.6220699179604341,0.06967883655035535,0.9681958258342824,0.21473534816527132,0.051450443546060945,0.9801127880900736,0.7263546564252445,0.47631107336164646,0.0024162302194454407,0.5109869423883207,0.06086836958691533,0.19955113165900842,0.43105588828607067,4.4883235146554945e-06,0.14547830839378637,0.001533345113559369,0.06369642634213867,0.26048906537081307,0.9706379400095669,0.7363283414088826,0.000787965097373634,0.019639631592304918,0.37557861327120967,0.9963048053519009,0.6461009630577086,0.004072113135487497,0.20595298164220058
Left-Caudate, nan,nan,0.1619109141296094,0.7163123058304077,0.028725263560755776,0.0017738969277163413,0.4996208181022582,0.47142125933367807,0.5848331465124852,0.2713814341367126,0.9009644480766466,0.003413612648538683,0.10183828771199313,0.9240986881733415,0.8037375357497507,0.8247677433009852,0.4714438457946132,0.2717550576951904,0.27659482328623436,0.03260017571413659,0.880323837091946,0.3321004413921228,0.23125115698391654,0.13088202381531092,0.33483725120455266,0.0029188511883886,0.13947657821332188,0.09684441453280843,0.3462291181096935,0.914546513770051,0.1857588460617483,0.5339400430609674,0.4229078535051022,0.5688498957996982,0.17734272878591256,0.26522397682073573,0.6951639731462065,0.9443130142542951,0.13797395954925004,0.8017695222728554,0.37759179664581577,0.7950164164869781,0.008421650270178624,0.03131474631145715,0.17249623334451528,0.33389450907862406,0.3664464685668578,0.07325184050667705,0.3809412386587798,0.7093785758607041,0.31716245748669064,0.14376777701921326,0.46421061290141796,0.008247429022651251,0.942577575515269,0.40343730434233216,0.2308041794129719,0.11909099324333886,0.502865837821282,0.006084729080205537,0.09807072107130478,0.023998851980670022,0.07623976465142032,0.6086732396762582,0.8580447158769118,0.9681730663547669,0.8478347089519243,0.8241234443443364,0.1114232052306067,0.34454481436819084,0.7938593069718615,0.6775857877720264,0.07204204952691348,0.8919577248272909,0.2886542165754639,0.5338461756344935,0.003309887149142958,0.43996670341373834,0.06577027192080212,0.47265604842509723,0.03854071941133668,0.02342204174110689
Left-Putamen, nan,nan,nan,0.8712755185523626,0.0721637394498433,0.054579762141403185,0.33954572642352354,0.6675374262404615,0.18050038497488674,0.1470609235460925,0.3206393564684258,0.13547526070525698,0.750789373720878,0.900488283595155,0.7703768454984735,0.05709047454455484,0.9792018935141962,0.09966348439582604,0.3379787448520708,0.39286078639237965,0.3642339818446183,0.6040322461670391,0.024439858290234033,0.8583167591710317,0.7802252708883325,0.008680266301539855,0.5450339717072534,0.4314489831902101,0.20404957713564623,0.9729586096999971,0.009754139307409593,0.38115413820160005,0.060487038635511824,0.7863275994751633,0.04640449881020951,0.14328783927724276,0.9979958916134806,0.14170364027716623,0.9304745153279019,0.8148070634536378,0.5468297081356781,0.8726613088137031,0.2793102083442153,0.03642436309465817,0.6134801118659767,0.7440518066911004,0.8371033620791594,0.6868686107816396,0.14235900172626612,0.015776607446705948,0.23870509803690318,0.14737181100275998,0.9178920492427771,0.6411766592120072,0.49922816209840637,0.3561120516060551,0.07827681541294394,0.5926477468989976,0.9781089264987756,0.01829353841871838,0.030696314870131657,0.36019070981534096,0.7316670356804256,0.8850863924366351,0.001200208202997218,0.3772078473781115,0.0005362180120529988,0.6939725481729515,0.08370100236628587,0.11204425003033838,0.44458162336393203,0.1293590128209298,0.9424047270347046,0.7220222693326759,0.02652858865565904,0.9079799276212559,0.47341207332437096,0.005010562085181921,0.41406470589595856,0.8532519001485377,0.08814062022198567,0.8518520739993731
Left-Pallidum, nan,nan,nan,nan,0.3382231846704715,0.20663217930533379,0.28713888051646597,0.5707056273699713,0.6688389569429762,0.6468381121593674,0.23200355269513107,0.7334620789893531,0.768228537373099,0.7908888829830742,0.5240506501180233,0.6382467967038612,0.18731506452256483,0.32676850099072763,0.21123402565189103,0.5121777009655533,0.3824084042504666,0.7616695911514817,0.9915850438262545,0.0969548891715638,0.6414810836850848,0.20796421546350072,0.9081100315823525,0.7809282554586672,0.5880415718372838,0.2501679849449036,0.39305755600721926,0.8318820934006144,0.9557578295674269,0.3243308541071719,0.22525457398010826,0.7120337686569869,0.14477635957645832,0.7908567810376745,0.20134611089794466,0.15177923123779977,0.4175817705602861,0.8042806139603046,0.947932762071598,0.6530901538653361,0.5207426100500994,0.9836949364998037,0.2559856488805518,0.8204684733702019,0.9198796817510988,0.35124517040995695,0.918573731436112,0.23185889179499042,0.14194707505083698,0.8770339222072873,0.40429361233776595,0.984138753955591,0.5898663496906897,0.07691731960956427,0.202449082615727,0.28960091142533595,0.5805197101334263,0.6229126567816279,0.7118156134338677,0.28099048553381484,0.22760762767060677,0.35100989698618656,0.10117735410392432,0.32487183919706253,0.04138410550441524,0.31623023993964333,0.42134031796242954,0.9143875611856231,0.37880875177767037,0.733522965657933,0.7348449322349822,0.28570614086989055,0.9526009168235904,0.3659541943950103,0.40294710151721813,0.5255275965332522,0.8736850235938557,0.4957638613570793
Left-Hippocampus, nan,nan,nan,nan,nan,0.3049372836838184,0.37651392418906393,0.10326673174665756,0.0036275618900718748,0.11900889385291875,0.6386146083644111,0.2837153008099216,0.25291448228562047,0.145713551888733,0.0019383331615505002,0.2716996595218798,0.05788117536733499,0.0022107254126546056,0.928816461541517,0.6970160726686259,0.08195124575944607,0.4780828127651887,0.11944730481110617,0.14009098154422023,0.6273027656330956,0.3010790257352514,0.6734760713322527,0.8170929917647325,0.14533754851029732,0.13907357156811162,0.03238322635323034,0.6419926615166244,0.2896229741066214,0.8114393176052821,0.1356878085838788,0.0016676588275570537,0.005955421541437096,0.013913037423115096,0.922930218739371,0.25810850530112256,0.012972968667069412,0.00022103762469019851,0.39275086083442323,0.0001360669580931978,0.47422361799213697,0.6247823041490068,0.2998194622312704,0.6743341916948229,0.002163964419951221,0.060549565095621795,0.16404030456282542,0.0003962785548842489,0.14507558619626357,0.3783500022650691,0.15854143223698142,0.6109219125047236,0.04870161635434857,0.05136487696734968,0.8109469057064336,0.3127151327715737,0.8629714181981901,0.8161679955350974,0.5192623939158674,0.14039762932277255,0.012959437791550022,0.30748362383617134,0.13586425124220744,0.696300679784573,0.1191983233721033,0.007791601487837948,0.010673053712719231,0.0138245358622935,0.5829732079360312,0.3657352144971565,0.010760036081594105,0.003516701323042393,0.0027308284957094863,0.004314264318457023,0.935685888929302,0.984914773346361,0.3947724401669398,0.11753041671287466
Left-Amygdala, nan,nan,nan,nan,nan,nan,0.9947839984937112,0.0663561919898101,0.0008852646034614558,0.027941933383137007,0.8770769593271718,0.4565006815060131,0.4011242030993576,0.20824122997499755,0.020367222961872985,0.5541795327172669,0.5026200857676744,0.013744359312445628,0.5705077789880191,0.22761595349402533,0.27565111127863506,0.26884278895932484,0.14302639963421768,0.7577942509045026,0.4819435130084363,0.028069596696321045,0.4450650739894223,0.016636835343915635,0.7930402930228361,0.02234683280537727,0.08813652505447325,0.2867864848884261,0.5663144013926524,0.4149716020793984,0.09483331324607999,0.00209705536300504,0.013326032283543243,0.03335757855664113,0.5283415122036852,0.6064923911919826,0.6057830952270646,0.009501771510708473,0.9601831264501717,0.004074720447941098,0.35358549656945415,0.09646412633691497,0.05961499941554017,0.8536907260291005,0.007037210555061153,0.1464099672679823,0.7939565593702217,0.005156417341998583,0.014188492490657564,0.21254693229647725,0.6466747245383931,0.03603811438752332,0.08508969834391851,0.34803553715647484,0.3758455013722519,0.11404204073450033,0.1683119220026884,0.09179044473988436,0.6343342333239196,0.08921123964881375,0.08414232818475839,0.5341831484105595,0.1564413924023934,0.4699818378104942,0.04542494935407971,0.012916992650176698,0.0397004310604211,0.02376193728512659,0.23875738962256277,0.9157278535174298,0.42131165716766283,0.024358306470279353,0.05889735735589753,0.01326251302949746,0.4764188471769679,0.09150457890732791,0.11678851174965668,0.08460905646239374
Left-Accumbens-area, nan,nan,nan,nan,nan,nan,nan,0.11051443499242744,0.6841000394650316,0.42381014601942324,0.023097610143889946,0.2897087927812473,0.8469055407523739,0.678980648319691,0.00015257976655989167,0.09218254490807128,0.028106018289190526,0.11070942898716588,0.2448969389811743,0.23428805371690686,0.024577382143868263,0.07792417046376172,0.061829362332637756,0.07262700575521155,0.16170683502828828,0.09385336604936237,0.05437237654135182,0.0875259091443025,0.47464767059659363,0.39263152432550086,0.011963287688673052,0.1924190109885096,0.07230186515987987,0.17482589383583483,0.24357942150473452,0.0055423078906102876,0.14444834536590206,0.02012200406386854,0.1561919341138916,0.0869804240784656,0.10439828791659383,0.08943844887101972,0.02457333636525538,0.001041539538639814,0.7194109414504513,0.32557703314904096,0.03622612752405,0.016694324990773123,0.00016437315053626276,0.081593022049908,0.37778955480848264,0.1211103933479407,0.9040133423503995,0.2605504165748084,0.08849899594328973,0.14369768190193064,0.0023895889206145757,0.07056603027465064,0.060140268912673184,0.06622213291131147,0.1470329673231304,0.05924043825189903,0.6771146132042767,0.6186664616330251,0.021138572251633733,0.11645141387488284,0.0024783661035890823,0.07612851909004713,0.4961208841829172,0.01027663517702376,0.2640074545960731,0.009647014185950127,0.03022179551736685,0.06266112224618135,0.05959472197226872,0.4589863865085463,9.488094862534768e-05,0.11180467012202053,0.6060450139096973,0.7769285731592681,0.006924356440071345,0.00939201101902048
Right-Thalamus-Proper, nan,nan,nan,nan,nan,nan,nan,nan,0.16064861966467675,0.47635905546155677,0.5331335661607313,0.06182557531326403,0.052169920607664566,0.7613653042398134,0.18611599798015419,0.40963458450169066,0.4949795653219309,0.0013924885982807618,0.016531734697186634,0.9130596584758813,0.28004226930907683,0.40340909945942627,0.1757156514767947,0.37965796535519225,0.6926355420768358,0.0005047934941253268,0.8694128992236085,0.5238880440793512,0.7024460853890512,0.004156382866391229,0.4411812956388643,0.21342636389165873,0.7046079893034853,0.3718917932986944,5.2837509893384394e-05,0.3522935693100485,0.00021580696629251863,0.7000326747438068,0.16811779142917352,0.5480236575101458,0.7350737796587838,0.014736063569024637,0.0372167529943437,0.7500373015542259,0.6467916744642686,0.1096524365167781,0.01829780767547325,0.04238367572757366,0.3260032890767185,0.17104454757368603,0.763628345233121,0.004195616384731561,0.06827279237812808,0.06224615620314956,0.8041425071264512,0.7924567206388815,0.3319225041771523,0.46916819216169114,0.14760593925396748,0.013359543505913195,0.7925413506687269,0.6240350904425598,0.19036699738841623,0.006466435307330712,0.5649443095462283,0.01647832658016349,0.11511624586111502,0.37104359832900435,4.278433287001077e-05,0.04038302379252006,0.006537701103106521,0.5842586760913344,0.061540785414253195,0.6854025911876354,0.30457453637301934,0.005097264599154096,0.023681164541116406,0.8508892975025658,0.9111870527943279,0.4505087861557333,0.026050749881146723,0.20719157436352562
Right-Caudate, nan,nan,nan,nan,nan,nan,nan,nan,nan,0.30669104510901457,0.5640270642630807,0.004648065585842768,0.0891507375149802,0.9809152340258327,0.7345433860315618,0.20899260575002468,0.3949106137247086,0.2548368689669569,0.7487599947726962,0.02394415864763294,0.354071924142787,0.14350078738040897,0.027839638049779954,0.060101129259756775,0.7225606734955243,0.008145073048285526,0.30579669341222093,0.07025195649807608,0.040764097877685646,0.6349683575131551,0.3537146350432987,0.810296295720089,0.723662636349799,0.6411726854217678,0.2931817666040466,0.8909374835550647,0.8791699474157937,0.4938933232944447,0.1162266212756557,0.6737950367424554,0.8118869159565514,0.7927152990678945,0.05035607411132882,0.1691172127041839,0.8201626784489555,0.5568864167473011,0.5628804992337146,0.027935604321975928,0.7035570504403126,0.6558174173579763,0.10173476307596047,0.11703296381837207,0.584565002391541,0.005845133185365331,0.9941014003259908,0.40654103422462895,0.21251904166510063,0.014908695312223405,0.4874942558254767,0.006700096137154674,0.21171520534850077,0.03574310329664808,0.01818564523575477,0.671761666640334,0.4293678787455891,0.8279778605125625,0.7752599063609877,0.52150838107221,0.20321448004790277,0.31354212379264135,0.4267634571346848,0.7439745896904112,0.0023797534909000845,0.6755591400220233,0.4985450684768026,0.7536483771814515,0.018174604701123268,0.2711884784445162,0.1810740679627861,0.23373214313093255,0.0413740147141527,0.10083475105714072
Right-Putamen, nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.18367610237075874,0.30564432510998557,0.6202859939799622,0.5931051839162069,0.42575929214318897,0.015997203033257183,0.8750170504162617,0.1442512438715828,0.7087658166876212,0.33719100938067836,0.3555006503703174,0.6311182930635063,0.12450426453083827,0.8345272182584609,0.6580341527174347,0.014866401480040934,0.4860693581510852,0.2806405867642065,0.26536233622674427,0.4979845058271125,0.012895606731051673,0.7243674232066803,0.05977371377986539,0.7229793850766051,0.03706299114821882,0.13375279555971845,0.8834913652950642,0.27505286155297465,0.9215232427261256,0.7368500688850264,0.6017455063758025,0.8713156268532964,0.4202411526730625,0.06527560493009142,0.2626962641435332,0.8800075440350442,0.8513017460414398,0.4345107577631808,0.13737898969537973,0.006063314637256131,0.19109027627982716,0.29230810620793013,0.9968586427141584,0.41676605997749205,0.7379332719776295,0.33988177997976254,0.1888779402924952,0.7456270202480395,0.9212457800744447,0.015814115235559763,0.04144239618306017,0.3980720323317476,0.35248795090013785,0.6253819558339433,0.0003855273629326089,0.5670966771851094,0.0006437242525271376,0.5962120220867138,0.07150585069725661,0.0689052326029383,0.4137879396298263,0.31037073197836257,0.3785321280097873,0.4703900183831432,0.03555029803166023,0.8267252637429996,0.48864806098093094,0.005849679256639047,0.4096061423320553,0.6487035272459314,0.3068487332696197,0.9366567661049556
