# File generated on 2024-02-03 12:09:17
# Number of participants: 118
# Number of patients (schizophrenia): 59
# Number of controls: 59
# 1 datasets were included:
# - MuensterFOR2017
# P-value.
x,Left-Thalamus-Proper,Left-Caudate,Left-Putamen,Left-Pallidum,Left-Hippocampus,Left-Amygdala,Left-Accumbens-area,Right-Thalamus-Proper,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,ctx-lh-bankssts,ctx-lh-caudalanteriorcingulate,ctx-lh-caudalmiddlefrontal,ctx-lh-cuneus,ctx-lh-entorhinal,ctx-lh-fusiform,ctx-lh-inferiorparietal,ctx-lh-inferiortemporal,ctx-lh-isthmuscingulate,ctx-lh-lateraloccipital,ctx-lh-lateralorbitofrontal,ctx-lh-lingual,ctx-lh-medialorbitofrontal,ctx-lh-middletemporal,ctx-lh-parahippocampal,ctx-lh-paracentral,ctx-lh-parsopercularis,ctx-lh-parsorbitalis,ctx-lh-parstriangularis,ctx-lh-pericalcarine,ctx-lh-postcentral,ctx-lh-posteriorcingulate,ctx-lh-precentral,ctx-lh-precuneus,ctx-lh-rostralanteriorcingulate,ctx-lh-rostralmiddlefrontal,ctx-lh-superiorfrontal,ctx-lh-superiorparietal,ctx-lh-superiortemporal,ctx-lh-supramarginal,ctx-lh-frontalpole,ctx-lh-temporalpole,ctx-lh-transversetemporal,ctx-lh-insula,ctx-rh-bankssts,ctx-rh-caudalanteriorcingulate,ctx-rh-caudalmiddlefrontal,ctx-rh-cuneus,ctx-rh-entorhinal,ctx-rh-fusiform,ctx-rh-inferiorparietal,ctx-rh-inferiortemporal,ctx-rh-isthmuscingulate,ctx-rh-lateraloccipital,ctx-rh-lateralorbitofrontal,ctx-rh-lingual,ctx-rh-medialorbitofrontal,ctx-rh-middletemporal,ctx-rh-parahippocampal,ctx-rh-paracentral,ctx-rh-parsopercularis,ctx-rh-parsorbitalis,ctx-rh-parstriangularis,ctx-rh-pericalcarine,ctx-rh-postcentral,ctx-rh-posteriorcingulate,ctx-rh-precentral,ctx-rh-precuneus,ctx-rh-rostralanteriorcingulate,ctx-rh-rostralmiddlefrontal,ctx-rh-superiorfrontal,ctx-rh-superiorparietal,ctx-rh-superiortemporal,ctx-rh-supramarginal,ctx-rh-frontalpole,ctx-rh-temporalpole,ctx-rh-transversetemporal,ctx-rh-insula
Left-Thalamus-Proper, nan,0.03650028969407006,0.8875717736851054,0.9539202028487891,0.013715405577491685,0.01510668573664999,0.44812042818253073,0.8395580200004783,0.0578099534155589,0.6181706754116396,0.464094915204324,0.16598979163351021,0.001240449628981901,0.2549723423128855,0.0011534551789532741,0.3979659648346666,0.2799785615958344,0.0001311388568521598,0.7309645726984573,0.05472081486457345,0.41716976325847444,0.24012352315838856,0.22896760275560019,0.019128284547905394,0.009467186548065849,0.000867284086282501,0.04058645858154323,0.31763959349608883,0.9529329244825293,0.0010005141107826932,0.22909911478691708,0.14542784781103657,0.7475199983420289,0.26716150136572847,1.2174133933102696e-06,0.6490565140080241,0.002470803773685842,0.3846726586377638,0.10449918657406293,0.5138095818905974,0.43293868909335465,0.00015060363374320442,0.0009472794772551417,0.30832428805934775,0.8872390866990814,0.4293961916840605,0.007742216390754765,0.08162044033803983,0.0011345055080941846,0.6265152681329412,0.6249960954127061,0.00015208792106746286,0.3469796479761357,0.007896190692994721,0.7945494669862583,0.18600241719255392,0.2441933992421476,0.011151238771248979,0.7376180697294573,0.0020823293469373286,0.016656470084498637,0.0922853244679815,0.7511606565136889,0.00024287458270400418,0.010778341820463892,0.15248517668791964,0.6157792587072928,0.2822416943190338,1.1403067685830083e-05,0.09163183619836082,0.0006001079561196098,0.2011817742995346,0.642162259549063,0.8571999599785317,0.4445427534978029,2.2385596795176533e-05,0.0001758767565266561,0.01295080114252804,0.7812534706312174,0.11803250695044398,0.0021653668427888337,0.007249656562894909
Left-Caudate, nan,nan,0.17360452553006686,0.9598745253836465,0.6805487070110626,0.912601063341811,0.15980590749529086,0.11962150419547612,0.10873495760811122,0.22796208731738216,0.7702004179662331,0.3554423845798039,0.40484279010690494,0.07494665290832869,0.8786645265468479,0.21392917715583692,0.000667663839527073,0.12392980165889886,0.9000251807829672,0.334203646662947,0.26486411506146784,0.8140889661394551,0.7347859099792806,0.2913855529363843,0.02863153974815109,0.2401460042554532,0.7533261177585023,0.30233011391627285,0.19500885759783346,0.5247286358842045,0.4031296262581465,0.05301093198581991,0.216523975400804,0.5483073311871839,0.16609387539429168,0.6257028377137841,0.3630582386900869,0.7006528004580509,0.8508983344563474,0.02553183934536748,0.07775380595768949,0.05015090088541383,0.4219932319715114,0.8726859946361896,0.3868278393043363,0.9009211335843865,0.7319696488394285,0.026641887032838988,0.11943242685704507,0.6707701451125734,0.1137201330213544,0.595884554850747,0.5955086862598737,0.3514118060780843,0.7430573541257064,0.8177063551261421,0.7887063016732574,0.21586952412076718,0.9282746854798162,0.9482946241403689,0.6494322978836169,0.7745302044595728,0.2539761965436927,0.5230417649060934,0.07568555750815831,0.726276467071011,0.7030889101613031,0.30398265764575216,0.2158746263481746,0.4252039558514753,0.17036622069735896,0.6463469099549362,0.6937999089471256,0.41585191737700433,0.08922399077898766,0.05813025456102122,0.14251025946904924,0.43528441761478753,0.34822073396750575,0.0708651376234936,0.20922124007517828,0.06924320938420135
Left-Putamen, nan,nan,nan,0.9956854469393162,0.06011080134090602,0.722788086221098,0.06014568145488446,0.9944294448789373,0.174140438843012,0.407477271667844,0.6691754099371177,0.3534265844798945,0.34681192911697256,0.2836768222715824,0.7662842150245659,0.03345708695906399,0.29577128877787107,0.5194366779844695,0.36400173791420876,0.8836075329068809,0.6462449997602087,0.6077849836845644,0.30889237777303846,0.4734596859415615,0.06530208321371511,0.4339648512065948,0.8133922872084351,0.5134176478038806,0.15360401624231096,0.17429552046474872,0.11626693826269939,0.30189854083290524,0.651742196852621,0.9440619503821516,0.3838553611616935,0.37234864200677675,0.25346943223570423,0.4783363097906538,0.3239293661896072,0.8292482113341426,0.38740069311591385,0.5758694787256496,0.39183353263550647,0.46007652476504024,0.4877708434612572,0.8840783307553701,0.9020730522431692,0.6128451840307403,0.3501629143887276,0.05201789051942615,0.9885734479135997,0.2580472562878431,0.8764901793725137,0.39752738869568893,0.5471973841487112,0.26925230072056056,0.09689838204176542,0.5328345922038005,0.6048934664406758,0.6415297647411684,0.3497229639688306,0.211149688707209,0.7052285401973055,0.19320907541319368,0.10249860161682935,0.6991547412377315,0.7754926086677223,0.7799536250338875,0.682508126759884,0.2117695342252034,0.37295252146137703,0.514127920282331,0.8307837448293798,0.8742887344790958,0.3137857152549101,0.23650179948340785,0.25417492539644315,0.49725584678740353,0.9751903969067413,0.06559908745373237,0.942643104594463,0.7743825729351734
Left-Pallidum, nan,nan,nan,nan,0.6648875365813902,0.7221775566357473,0.09373612310919437,0.6352014040638176,0.8884897449406262,0.7939387729613727,0.013145007267820938,0.9295143146580331,0.41477673588973607,0.06550929742671527,0.5167221256226909,0.027463457479318207,0.09185455745948225,0.020414582031309265,0.2983394837013616,0.7011495918160202,0.3925874204859279,0.44212366229978706,0.8382910455774624,0.6551950571532061,0.006818152680846408,0.08553121183029488,0.012598998318885996,0.8246168633769594,0.783981521791505,0.7394785390689866,0.9609963774443295,0.012170264270188871,0.8189021296761019,0.7510581716861042,0.13076376931528333,0.08403005534968996,0.9812401675802577,0.23387590962688587,0.07958020394589836,0.29694745394105954,0.3166092424611418,0.6123328069188394,0.6051106336160624,0.8782041268527861,0.8051185933065719,0.3186099591112788,0.0018318689723415954,0.569083276769583,0.06658596666290321,0.012486554306928212,0.05305676575384695,0.01930732361633782,0.6762180025808308,0.7976777243068842,0.3232563988550523,0.22285264739584712,0.6310175863244287,0.6420200733391019,0.08705099212038102,0.04264955179486061,0.00170657758577466,0.8475522770546301,0.8118358289401149,0.4538547454560955,0.8422120963512698,0.04665608051856094,0.9865163491431697,0.9750604877013311,0.16100806808499707,0.23494496123226705,0.980131885768896,0.4111500778782947,0.0422749326684663,0.0863476362617804,0.04049617991975699,0.7929578419577847,0.10477006210096339,0.8660702866034626,0.6011104048746665,0.9121642702698927,0.041454791600138034,0.7767181890761286
Left-Hippocampus, nan,nan,nan,nan,nan,0.00042382228334990124,0.5765028490040833,0.017053244453880338,0.9359128674115542,0.031460397721048514,0.9339036519848258,0.005641256553928615,0.008671799741862718,0.6629319787480537,0.6505600989914204,0.21158749574945418,0.7836138469909602,0.2891644707359089,0.8556613567333797,0.10295588489358772,0.9581886526105126,0.012215162109744812,0.15316674287465484,0.350979637160325,0.6483595886513547,0.5789495399568332,0.7643893561532675,0.018523271920970422,0.9940324920640806,0.36841677493742453,0.6685974635198204,0.15499262090652752,0.6716025940259039,0.8742757833239696,0.366830124757931,0.04081203244964589,0.971285829910326,0.048193983394209806,0.30466088579745726,0.716336792038619,0.14493381015933138,0.3510131321498712,0.03249192431284115,0.47733813562499894,0.30117471207288976,0.8911847890522727,0.432320465336832,0.45411943647522635,0.4987267531720244,0.5621131945245316,0.7343263054759218,0.3081382593655193,0.34805992611460035,0.1139502408115115,0.9052069740345982,0.002536436015081044,0.10706753844350718,0.17946073347909824,0.280614288002717,0.5113077060625077,0.8186914593810843,0.033427804608498854,0.34548847962528406,0.64451466494107,0.9916601473740729,0.1384293027341072,0.8761048023851068,0.4969218190541064,0.3852097145701556,0.0695881936317841,0.6066513983537071,0.03606063551700031,0.7187336983369045,0.38764223281793353,0.90641842435775,0.2788118189767458,0.2569132377742852,0.6546483020889946,0.9048741119912647,0.32413485818635945,0.309180340951282,0.9969850659615895
Left-Amygdala, nan,nan,nan,nan,nan,nan,0.32265597918148625,0.013338700826270585,0.7918662108328003,0.3522520901417143,0.8411328953569167,0.03430126753903994,0.09731407036106691,0.6037792396781034,0.5071182817093917,0.7285661914083581,0.5495432750606555,0.611438006845003,0.049911335456845625,0.5287121745714823,0.48922633943977223,0.0638741810716848,0.8647477649762597,0.9168238606261978,0.7313076291480035,0.6680282045536148,0.6176163566511248,0.013301518768947302,0.10012902559630975,0.9728680065781297,0.7105790590725318,0.6128068476267843,0.6976866684348182,0.8547316280530103,0.9115250998665876,0.5520990457944895,0.3077316334702502,0.48553720666227596,0.5002120008609805,0.3440332124695866,0.8202357760062241,0.5142915669008725,0.3992926677706129,0.7419810868667258,0.03432791868587146,0.671787280403213,0.3947313180291301,0.14493847413698255,0.6614949739227287,0.6962038843561978,0.543162211230529,0.3902970678453511,0.01664805414222934,0.9382199057621909,0.302536497552896,0.015019728331064746,0.5823061936628042,0.716907305003244,0.6801279767205104,0.2173718200246726,0.8957376061116938,0.026549455116773493,0.7375351413251439,0.773854146056454,0.6893629848769205,0.2465646041216129,0.7674869116870103,0.9184199591877753,0.9796044203547434,0.6385385951757301,0.8199954424145616,0.14333262964831334,0.7314003272541856,0.0770067454977333,0.19694252430429482,0.9190475854969276,0.6870698396139356,0.4433977085110119,0.6074968583577732,0.48715079265824335,0.983781924242886,0.23911195380109676
Left-Accumbens-area, nan,nan,nan,nan,nan,nan,nan,0.3256233287333231,0.030805727717306497,0.053662216657010424,0.1492702824066714,0.39835366306464837,0.4533153983438777,0.12289245176106822,0.8404616050282384,0.5672382153756366,0.8558129165389494,0.6038924834814392,0.6227857165765629,0.8365190123573256,0.6822956169438774,0.5842117624124883,0.6397260839283189,0.9783337165879099,0.1509309897533646,0.6362080114806556,0.27169436518035944,0.16074189029167135,0.44702885911648405,0.19378988678885478,0.7730507270190965,0.20109933448273679,0.8771163216981248,0.3008322650538369,0.31637585021258696,0.5018426672860535,0.38449898960567275,0.21164904212536578,0.7055235251236281,0.35125723567842926,0.7800393627124094,0.9707970513473062,0.6504758390392038,0.7300805661923931,0.908830003129574,0.5721745232588695,0.19562601278177688,0.8113046640886055,0.6956229416845423,0.5645638891619758,0.40934240259537924,0.7114306223959803,0.8107944158986033,0.30235734812490767,0.7412649550074135,0.8223667313859335,0.6196651556877546,0.8951148268261815,0.13783435083078188,0.4917980679201661,0.6295404298650724,0.16362599800323702,0.8759895602045107,0.3227719482657808,0.14223707301550975,0.14243315764246584,0.6247521839802467,0.2578411224707423,0.3407585583652428,0.8639781386525565,0.06049548855869664,0.2135420178483934,0.5583990407423398,0.04515557858781054,0.6575208123041011,0.49323842513033933,0.6910656001061193,0.24660908165260462,0.4169566739022377,0.7429795069682816,0.2855261807319555,0.5052888146944425
Right-Thalamus-Proper, nan,nan,nan,nan,nan,nan,nan,nan,0.14082714755249146,0.7625162150219352,0.28199979175590323,0.2612236869487243,0.002631838359563025,0.5341131086621935,0.0038523967045155432,0.5344196371668966,0.7564000828506774,3.1199258276333043e-05,0.5157575608773266,0.14607536160217777,0.9000486652236354,0.6212874908674839,0.031735212767924355,0.05047637820225011,0.03466428536580229,0.0010377778024963373,0.09512341303311662,0.3709876066987865,0.7929461549481683,0.0009499125249844983,0.14394436559934903,0.16106144587490373,0.840928911934902,0.04442921758009557,2.2461578425517115e-06,0.4261520122917861,0.0024379939685852127,0.30710524657384625,0.17824417859165992,0.6651079729017295,0.7961128986956981,0.0004664214343682465,0.0014367886074132133,0.32709834400662063,0.211526958387735,0.5485819534957814,0.0013093410141083353,0.06537156806630078,0.0012513996287540712,0.9889062895769605,0.4344563775808892,0.00025299880111276515,0.5027133325416925,0.048297219208336656,0.7578344253276188,0.34888959239680806,0.14052148859307137,0.0273333758268109,0.6819613875746542,0.003554375712204797,0.05063756099441549,0.28408073313714205,0.5688656209345532,0.00041643015231807967,0.0493551739292576,0.13587479987839807,0.6609551334739758,0.03517640751475486,2.6482568478075575e-05,0.24930375914301048,0.0010819064810478896,0.22469692329897184,0.6176321285663551,0.5010726163611152,0.4729692963082377,0.0001754585952461467,0.0004571274710202787,0.03997949559889819,0.16379130081380158,0.15056373924474414,0.001639820729901048,0.012385790858430732
Right-Caudate, nan,nan,nan,nan,nan,nan,nan,nan,nan,0.659591394028574,0.9537010764661267,0.6558731334486259,0.346733507073296,0.35349373795560635,0.8010248342814257,0.4993795615477571,0.007771634436291097,0.3731763478886192,0.9047988526988952,0.6585138235438446,0.10905352627262366,0.5818597302381912,0.9804437469483271,0.6404077534892182,0.12320545483724997,0.434671079162845,0.4532109842416072,0.10410329423151968,0.22121690355332715,0.5154256474833744,0.7130935876366947,0.051882899817466306,0.13675476384019486,0.6520883219488915,0.33640392892403714,0.5972920906046033,0.4486447015148757,0.4409843989339338,0.771404745499765,0.05591865279738429,0.032463352767564894,0.4648346998810007,0.583876752702261,0.8328539050140877,0.9969254554954676,0.6466558038500752,0.9962990910724536,0.026275522950444368,0.13564611218777217,0.2654697397501084,0.007296683081912926,0.11104246669614593,0.6616141891138656,0.6894771368628809,0.2265041832783938,0.8191899249188429,0.7805065054643309,0.3457017588677822,0.45296546732991727,0.7217215557306614,0.8937425020268817,0.8865187918424451,0.40378360064839247,0.8336261394425192,0.696373525741118,0.2523630821845935,0.3279498589648151,0.5924377963923668,0.3861752364843144,0.648502235675535,0.4298268948721966,0.8566354857346761,0.7675501361326057,0.064423580653311,0.058159585810839055,0.2954160179201145,0.08084753922840154,0.4906484286227122,0.47259568656210393,0.37925185872983314,0.07513326490584166,0.09657843504634409
Right-Putamen, nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9529452195013121,0.34230759449613923,0.2631440802353903,0.07116966588662275,0.40534952553781345,0.07964309201705677,0.28011971780226735,0.37543811231092517,0.2359038720186499,0.8639475694460259,0.609314956575199,0.44899027295513494,0.41752164274793657,0.39309552049565655,0.03354420660058074,0.38347364788728955,0.6507207799352621,0.25244307408916267,0.2353526211344263,0.2801363856217107,0.05769119618792462,0.20575510937678104,0.9674199942327495,0.44797265276973397,0.2041553746136723,0.5086712547930249,0.3373475056704932,0.74591963017219,0.20363315745417568,0.8703474998385399,0.5417582899876994,0.5663260880557218,0.490072142734963,0.5033729425058026,0.46467286997115964,0.9282117255793602,0.9934070963591118,0.3948637583943232,0.2853302754837168,0.23149729563886842,0.5633058837957072,0.5108284902867257,0.2629683067203211,0.28497768618771463,0.7270832943716841,0.4151617778026182,0.4266412791944437,0.7288091129967462,0.22911268793102346,0.6009149844552367,0.18011154862076062,0.5044828681480258,0.6337745646847535,0.313856084230686,0.08485754103396743,0.3256453505846929,0.6351769493169019,0.23888850024423566,0.5615179660495124,0.13727591785501242,0.3837241858095266,0.7432271406027431,0.9583185523110598,0.34052060519324934,0.18100732098673958,0.5610521856265949,0.28983438154311286,0.252015674187364,0.8640971856276731,0.08411958274542694,0.6905579929162229,0.5312289565360777
