# File generated on 2024-02-03 12:09:20
# Number of participants: 72
# Number of patients (schizophrenia): 36
# Number of controls: 36
# 1 datasets were included:
# - NMorphCH
# Effect size betas (regression coefficient of the linear model including: dx, age, sex, intercept).
x,Left-Thalamus-Proper,Left-Caudate,Left-Putamen,Left-Pallidum,Left-Hippocampus,Left-Amygdala,Left-Accumbens-area,Right-Thalamus-Proper,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,ctx-lh-bankssts,ctx-lh-caudalanteriorcingulate,ctx-lh-caudalmiddlefrontal,ctx-lh-cuneus,ctx-lh-entorhinal,ctx-lh-fusiform,ctx-lh-inferiorparietal,ctx-lh-inferiortemporal,ctx-lh-isthmuscingulate,ctx-lh-lateraloccipital,ctx-lh-lateralorbitofrontal,ctx-lh-lingual,ctx-lh-medialorbitofrontal,ctx-lh-middletemporal,ctx-lh-parahippocampal,ctx-lh-paracentral,ctx-lh-parsopercularis,ctx-lh-parsorbitalis,ctx-lh-parstriangularis,ctx-lh-pericalcarine,ctx-lh-postcentral,ctx-lh-posteriorcingulate,ctx-lh-precentral,ctx-lh-precuneus,ctx-lh-rostralanteriorcingulate,ctx-lh-rostralmiddlefrontal,ctx-lh-superiorfrontal,ctx-lh-superiorparietal,ctx-lh-superiortemporal,ctx-lh-supramarginal,ctx-lh-frontalpole,ctx-lh-temporalpole,ctx-lh-transversetemporal,ctx-lh-insula,ctx-rh-bankssts,ctx-rh-caudalanteriorcingulate,ctx-rh-caudalmiddlefrontal,ctx-rh-cuneus,ctx-rh-entorhinal,ctx-rh-fusiform,ctx-rh-inferiorparietal,ctx-rh-inferiortemporal,ctx-rh-isthmuscingulate,ctx-rh-lateraloccipital,ctx-rh-lateralorbitofrontal,ctx-rh-lingual,ctx-rh-medialorbitofrontal,ctx-rh-middletemporal,ctx-rh-parahippocampal,ctx-rh-paracentral,ctx-rh-parsopercularis,ctx-rh-parsorbitalis,ctx-rh-parstriangularis,ctx-rh-pericalcarine,ctx-rh-postcentral,ctx-rh-posteriorcingulate,ctx-rh-precentral,ctx-rh-precuneus,ctx-rh-rostralanteriorcingulate,ctx-rh-rostralmiddlefrontal,ctx-rh-superiorfrontal,ctx-rh-superiorparietal,ctx-rh-superiortemporal,ctx-rh-supramarginal,ctx-rh-frontalpole,ctx-rh-temporalpole,ctx-rh-transversetemporal,ctx-rh-insula
Left-Thalamus-Proper, nan,0.03198763772964549,0.07560970447113646,-0.08478032764862224,0.07101927673103407,0.05177481987894955,0.08368109402657599,-0.07131178302533987,0.03866526582664124,0.07070528471944693,-0.0921871115724114,0.07464873080212023,0.0901738273349337,0.00615099907652996,0.08283954440536015,-0.010070985122586749,0.04747805683712432,0.009614255297195973,-0.0025460213802299125,0.057396490732700416,0.03559216285432948,0.03187229924987643,-0.014776471914850844,0.014122013848141006,0.017608653941598558,-0.025578946772744752,-0.006094589650863313,0.021219416310199114,-0.04486311404845085,0.1151106438899584,0.09558037702978935,0.019959534695013256,0.05803740101440556,-0.06339874764711864,0.11097281387748704,0.006621540684685397,0.12283394966613409,-0.003521230857524102,-0.01822366161488258,0.017413980710935684,0.010541288744493787,0.10370553285053835,0.11648780380196648,0.10437160479192026,0.017294972981964425,0.010909566788687354,0.06211382143335926,0.07198054355727777,0.0840755815048235,0.02449251846209093,0.049691044280464614,0.0418758887960162,-0.07746790667969734,0.031513643846246546,-0.008064330994276631,0.03161592520952693,-0.018325467625442144,-0.00235845906622644,-0.030607381369593508,-0.007925251871598522,-0.027068393075915527,-0.0162413826955289,0.015346388211881272,0.09380102599289371,0.10895115163289466,0.0015569552439331064,0.02272336886299959,-0.07232836966908653,0.11919668998276879,-0.03539366580026681,0.10240997502057615,-0.033795395396431935,-0.04081728558096057,-0.017057213049280415,-0.003799284773344565,0.08322953179861589,0.10282947380243629,0.0995756751619987,0.02160281071019638,-0.0514146695232628,0.004802469498471315,0.045278767916313606
Left-Caudate, nan,nan,0.07740667342212657,-0.04338585563075534,0.05637680625366941,0.0520614507090623,0.0689353955841398,0.03674167047208541,0.013351757847020425,0.05922202813009315,-0.01114629606404937,0.0776995183510947,0.1451352602457082,-0.004703277503171207,0.025258192065230212,-0.036472555860857694,-0.022041297050802867,-0.015371586879499183,0.0009347116533745736,-0.0096013352784083,0.0353581515850029,-0.039498491356117785,0.05393308973549619,-0.02225458818906446,0.025679550901996428,-0.059855089216389656,0.02074200022295981,0.029753776975771695,-0.0007606285286559608,0.0717750347418185,-0.006578075781712859,0.02833882906800346,0.056768543034498666,-0.05539052125939817,0.05127280529418258,0.015441918776368961,0.03709144945239968,0.060557454528007544,0.08598796799627893,-0.005474665034146894,0.04884861876726044,-0.007046459511444807,0.08722426851797382,0.00789840920445832,-0.0025987593072011182,-0.03671115744718112,0.037491038810211,0.054181738052018244,0.010285148903091715,0.023542497811416378,-0.0040441934502470555,-0.013948032855407747,-0.037813078665054296,-0.018411437731270564,0.012510350217805397,0.020037085133639044,0.03873876052167861,-0.04698501769913536,-0.014372737473067835,-0.053057227447215576,0.03311467346578161,-0.011654671559752763,0.005375868935519357,0.07777413380694244,0.056424618187344885,0.07821396935490692,0.015040166384288843,-0.05025926405013155,0.09168223461663104,0.02116370656792193,0.055353577051797526,0.01670049138762532,0.07970424599928293,0.03016048144049062,0.07501298423698903,0.005778670587227121,0.06738652535467483,0.022956620002699088,-0.028468636769252476,0.011351950042227912,0.05441961269738507,0.05569661171428263
Left-Putamen, nan,nan,nan,-0.03997658936762746,0.013526923740172234,0.00864685176219973,0.026265603128877314,0.08662874413268308,0.06844177682283976,-0.014032613438153489,-0.055549539334188706,0.05576160485224318,0.07577730108406722,-0.06209734108340318,0.03663197050183019,-0.08367107769649915,0.049050253801159155,-0.0032139944930640626,0.05868684065296121,-0.006779934860064711,0.07623152626670797,-0.026403857990072815,0.06231207833784187,-0.01930347923829704,-0.009756815035695535,-0.033742506019708976,-0.008942401536991768,0.04496199394148297,-0.004853672167738301,0.042687150527214515,-0.00631085550484011,0.020027487501973435,0.062376610400977715,-0.043468913768261286,0.048443338832576364,-0.005784073548423651,0.006595592363279556,0.07576095430860319,0.04213942291369706,0.036439417499783945,0.042970621726418155,0.013492316360141327,0.07340834463950355,0.01912623055148711,0.001307143490131972,0.055294917756029745,0.03702720151623561,-4.424598936326161e-05,0.05158546730310943,-0.04177204482382387,0.058059466039545135,-0.005441546738548168,0.037202946359905835,-0.029443450012327867,0.03032582369006334,0.015741264635184694,0.04249042158355508,-0.03022082410286877,-0.022935320644439643,-0.034564424392847966,0.007576861713737137,0.02576275921224871,-0.021823261798881815,0.029259777281797975,0.002102757363754146,0.03752858939893807,-0.009186187640996926,-0.04192753051551549,0.07061392301384063,-0.019201275290600138,-0.007686819303555775,0.026016364425089467,-0.012476518580388918,0.02562407044542534,0.03827573472034079,0.006495553558263301,0.07711059444037736,0.009381158076485634,0.0017174805252561708,-0.0016081396044547865,0.04796740977702535,-0.01022346132293351
Left-Pallidum, nan,nan,nan,nan,0.0032603471890035513,0.029469006115993752,0.014703161440396009,-0.07187926945567116,-0.027116325186086115,-0.02947007532060948,-0.0504159654896724,-0.0038141410675449866,0.03819293628183001,-0.05929586910168588,0.05954700863409793,-0.09400867182610491,-0.0406958716262633,0.05303361287128257,-0.051526416353869925,0.06867073824768372,-0.0005387054451617163,0.058310046864644006,-0.015131596521814202,0.03815552411632735,0.049980947001590476,0.01877390019481672,0.038128141240042025,0.014068174492229047,0.04893918819121789,0.056949468098187905,0.009464500276596448,0.017398556991614328,-0.006560075957271112,-0.0024640181006393056,0.07050399265819161,-0.05533706879533523,0.022399761128899184,0.00907622580350203,-0.019485965690677048,-0.028730674446902475,-0.009584687043084768,0.0020702374015738744,0.08205608465691762,0.03628729925276195,0.012557971372754786,0.05801194039548523,0.027077396433868393,0.018752138698881617,0.05050032986579057,-0.03937975521195716,-0.05171027763308302,0.059639125064450405,0.04150079397134781,0.07602091915778007,-0.04320562164778444,0.02144903922519184,-0.001127145466856015,0.044688634635036806,0.048862714987416685,0.03877011728834875,0.040876273723831506,0.05413424490343666,-0.06035619916220875,0.0550424342038407,-0.0196930545565732,-0.09352320819988719,-0.04206865407451227,-0.012633086516820097,0.04313778438523278,-0.06004087113313819,-0.006604423922089095,-0.0045663180584356484,-0.029596307753839715,-0.037316179280048184,-0.017190607803679085,-0.008223706593966176,0.07986771096242869,-0.00679957294253013,0.08514776233996728,-0.004829017112728152,0.004295308760332671,-0.015551982850151271
Left-Hippocampus, nan,nan,nan,nan,nan,-0.02260270141366535,0.053035646757558105,0.10335877499707591,0.06650605797648441,0.0351424418565984,-0.01155047113195201,0.01903780751179419,-0.004702318581162413,-0.0009646228121044088,-0.08899622522739817,-0.01470947694377719,-0.049982968952488015,-0.009260531047259608,-0.008808350998938994,0.037417101354615,0.02931954453214104,-0.021656359332324154,0.03773330321464544,0.04467002095319081,-0.00329936584403713,-0.0017986821839367922,0.027773813460717896,-0.01665954019550591,0.04705418272683801,-0.055040277098676656,-0.08124385178923439,-0.03114355956924347,-0.017089753736406494,0.01819586208404775,-0.03286784529482125,-0.05501187471017802,-0.07444270327492351,-0.017775850349908195,0.012499276230543302,0.0010568000219078548,-0.05181809611542217,-0.024148692948682514,-0.04706366138621948,-0.031190146369967454,-0.029523391343838037,0.011752305257901904,-0.07932938885541985,-0.0909988781718643,-0.07346027201328122,-0.017520376418366065,-0.04942183198077722,-0.03922584987523386,-0.021253690586434375,0.004098974611016881,0.012375921467117527,-0.01117725610345642,0.011110009841641308,-0.012753547311169894,-0.0055729700837855965,-0.01467127054979197,0.0246913269422919,0.03786534360896171,-0.006377763018113648,-0.06791435461572268,-0.0527674077382495,-0.04106153407881693,-0.05310454149761448,0.01432149651925732,-0.023779525283393183,-0.05227524316611326,-0.06767302276096401,-0.05283489343996973,0.02618014169378983,-0.02521347753349573,-0.047659380249007954,-0.05767352950827056,-0.04851595272171012,-0.04066290183624379,-0.07826739184512992,-0.013063121678791369,-0.07726722581700454,-0.05150037782770143
Left-Amygdala, nan,nan,nan,nan,nan,nan,0.10059271025876439,0.09596356649066615,0.055332079485907654,0.016873777220715237,-0.003405667832315386,-0.033349140052509434,0.008478018767129291,0.052355010721722134,-0.10154536761020265,-0.03143373968998296,-0.014965460007949433,-0.01333129249690736,0.032858241166333534,0.028371184327745994,0.03203780423332142,-0.004566569710833026,0.05230000862744491,-0.011482173267384136,-0.02479472626340684,-0.001484202053583826,-0.008551606346383842,-0.02177883081089785,0.04803044906235175,-0.050316223300823026,-0.0930148045324509,-0.040230381788409326,-0.04450496105641819,0.012086488590257268,-0.06591862833163716,-0.034078489418613626,-0.08581861328208817,0.022558422032082224,0.0051143417138546894,-0.0014201629458075735,-0.023804583897808866,-0.02553677331255006,-0.015832187280621378,-0.04747379672209281,-0.024952807161934314,0.03966135096154109,-0.06221300104843624,-0.04519808353487115,-0.05092027742486863,0.0037127759088316534,-0.003230386088625167,-0.025849716378102808,-0.00800340622677656,-0.0007412809633250597,0.003603213073199971,0.002284613515704924,0.049200790714091405,-0.031136466544703666,-0.034086001771157934,-0.00867517554475502,0.04320025544242155,0.011328761245594125,-0.02400358348095597,-0.06252469670955331,-0.06812257059421763,-0.07603831342743628,-0.05532051650940637,0.02775900666724059,-0.04234539933119801,-0.02529606979115444,-0.0948138947878649,0.016386488865340488,0.025389614545740513,0.00013919472557846524,0.001521843191445845,-0.05372703575717658,-0.05037458230614688,-0.0615997584346576,-0.008534858891183049,0.028784293847701793,-0.043405617441256567,-0.05463031549817282
Left-Accumbens-area, nan,nan,nan,nan,nan,nan,nan,0.07303713112610064,0.06405878099711321,0.0018965207211421539,0.011627642569150684,0.04852025665727546,0.0577225865856189,0.004958583429534399,0.05199659581842203,0.06092328545516638,0.06510237615786396,-0.03429907265108212,0.06277181962690676,-0.008361983102272283,0.036189029422660716,-0.025543582482540995,0.05102077213997139,-0.009844058243020311,-0.0204964202992091,-0.03058398728725852,0.03209844316200633,0.10900545511912857,0.05519907474275115,-0.008237591159164089,0.049419502576751186,0.09202175890946455,0.08405654430860737,0.017398547641299045,-0.026769251125788294,0.041902455957163215,0.010254715428904309,0.02900446874529976,0.03637780799882093,0.06903044317157041,0.07039686522746871,-0.045668263000233265,0.035129089406201484,0.03792254484898382,-0.02375220837368778,0.05217530764688014,0.043589588353606004,0.052396342834774,0.004749932019667555,0.02317473905108961,0.04696652502297831,-0.041604198600051316,0.06102221469690012,-0.03302373793236137,0.062325895507913585,0.03115980070846032,0.0034355223208929206,-0.021134991474210586,-0.018191701152671182,-0.0374017223162701,0.03776322122920854,0.0982498286553841,-0.000698205064135828,-0.0318883906479721,0.08043177457652652,0.09070505656111565,0.07117864576454135,0.025535660962286027,0.0054112552446029675,0.03439835818660208,0.027134931953823615,-0.008889151679133947,-0.003406051457244934,0.08848203860193193,0.07863914414442068,-0.04031381643543809,0.03678438876133164,0.03452631869200505,0.027638422808179918,0.07048025935324882,0.057722430836481806,0.007144166287328794
Right-Thalamus-Proper, nan,nan,nan,nan,nan,nan,nan,nan,0.034530392435973604,0.07133469320414278,-0.10299322034194869,0.07853143765064355,0.14145808993921608,0.021828820509725934,0.08508775406761016,-0.021903412926894326,0.05779930179781728,0.03430133480952817,-0.0025284742233967253,0.0716964317581281,0.046155622672259776,0.02600596862000767,-0.023455683988403482,0.03431380161606475,0.0420023348858647,0.011191593167922613,0.012425740867420322,0.026890578137509086,-0.008111634892307573,0.10052032973702242,0.10971921063676275,0.05758264775361321,0.09517238389553323,-0.04054241936034598,0.12184600890561624,-0.0066749309650706344,0.12750064825497703,-0.01471755948773075,0.005226811000990353,0.024232583890385854,0.007294247064109242,0.10066348366592992,0.1269184092930585,0.11398741793557939,0.03181731118559448,0.016907496587245628,0.09170224213993783,0.09168679143724627,0.11651502159847243,0.00796883203422855,0.06515528958857726,0.05308306291067694,-0.0805858739826475,0.060820362673856224,0.0009168163069168794,0.027604895016506675,-0.03135678580460105,0.019441147622471188,-0.029154884325246468,0.018415570348884008,-0.023809544248638414,0.009630459826171554,0.04357502710023464,0.09323089122812275,0.10151065205598579,0.004546636991539731,0.035003316718687616,-0.05464013098833786,0.13415259190875836,-0.05858076120679858,0.09632922868397614,-0.023322167249964457,-0.032778647052837735,-0.0027307966678470487,-0.003946676813685952,0.08047477625199574,0.15569190390476942,0.10284777864541149,0.036237141197927036,-0.023760955615409283,0.03217651417215683,0.07701890074543558
Right-Caudate, nan,nan,nan,nan,nan,nan,nan,nan,nan,0.07495001292512575,-0.010598863709629732,0.0709160315706092,0.11853473128450193,-0.018260149442930546,0.05392796520331043,-0.0026327808499151924,0.003064762968697327,-0.014555193971361968,0.03334079701226253,-0.010573563188718979,0.046143342279856475,-0.025220592702802122,0.06642479275831659,0.0016338382479921649,0.05160032588498087,-0.04034543975925013,0.012259117485733866,0.04749891313868135,-0.004015889908726915,0.09311740680636078,0.018929845139480633,0.062390454701832375,0.06363772909100418,-0.04813027520022318,0.0871105233344132,0.04199571544058603,0.06410795611187631,0.08654865897295007,0.07122736705194568,0.05750108653564862,0.06646730686885899,0.01369762070691706,0.08491945187431994,0.036161219863108204,-0.024548103081361114,-0.01525385190943356,0.048681473341282665,0.08619495230293095,0.040253712001280355,0.004207088144280463,-0.016703888836258292,0.011080830846265684,-0.013086413267421007,-0.042442677349672574,0.015675125596546047,-0.01540192058754364,0.024968816958126194,-0.02724027044453755,-0.014979946245643957,-0.02207055996834192,0.044158573717718634,-0.032998329133915594,0.01974159372109069,0.09396597230625106,0.05170204792565112,0.08516695706493597,0.027687400816214305,-0.039473958855809864,0.12924024305094534,0.013100405547977827,0.07382880697020508,0.04624325632167398,0.040917707413196856,0.04313702311237308,0.05254541845352101,0.015146709659000527,0.1019705654233385,0.051211205955936194,-0.03199743204846848,0.028815771974942672,0.08808345122419797,0.06699768443991719
Right-Putamen, nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.04111396751997085,0.04942237288110259,0.04918262813333799,-0.07805812990832428,0.02093978719683696,-0.06096386609089769,0.04073557715464744,-0.007899338530072323,0.05095032786599981,0.014881112192094655,0.07784114771511662,-0.009589738650882381,0.06301773887023154,-0.018450136070428193,0.004581017807462337,-0.017087158859032416,-0.02409832932577889,0.05171984005713052,0.03018850376712676,0.029210359734345544,-0.005004082259971063,0.03301039272079755,0.05699986636724163,-0.02438924241529384,0.030963251404330757,-0.013286317820532504,-0.005956539714911218,0.05754803786933161,0.022151314413778527,0.04328051654498849,0.04535426508137153,0.019753268155255032,0.07963758155364976,0.004347137097954563,0.012704385033959488,0.07311664902976991,-0.014688359467608438,0.012150146008285534,0.03820999589636745,-0.05014636345686483,0.04703863782248275,0.005229484905518047,0.012594896150093163,-0.014971050594149672,0.05553472438456985,0.0060765924260033155,0.043381193081364455,-0.012509488985760606,-0.028678594742539264,-0.023839851237390713,0.0047988041178004285,0.02587924385484839,-0.0010949875490737563,0.007115942141109102,-0.004607397163874715,0.03639086689716124,0.0015201730634506869,-0.02091587945741107,0.04324912718271287,-0.02691140553459764,-0.03219762891664971,0.0029657495941575163,-0.024259591567374082,0.023365978812198377,0.020848168480601646,0.010815280319128763,0.08644793973628397,-0.0039110804051583035,0.009985849040724193,0.026397246899827514,0.02784563591431918,-0.001144739169219018
