# File generated on 2024-02-03 12:09:20
# Number of participants: 72
# Number of patients (schizophrenia): 36
# Number of controls: 36
# 1 datasets were included:
# - NMorphCH
# P-value.
x,Left-Thalamus-Proper,Left-Caudate,Left-Putamen,Left-Pallidum,Left-Hippocampus,Left-Amygdala,Left-Accumbens-area,Right-Thalamus-Proper,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,ctx-lh-bankssts,ctx-lh-caudalanteriorcingulate,ctx-lh-caudalmiddlefrontal,ctx-lh-cuneus,ctx-lh-entorhinal,ctx-lh-fusiform,ctx-lh-inferiorparietal,ctx-lh-inferiortemporal,ctx-lh-isthmuscingulate,ctx-lh-lateraloccipital,ctx-lh-lateralorbitofrontal,ctx-lh-lingual,ctx-lh-medialorbitofrontal,ctx-lh-middletemporal,ctx-lh-parahippocampal,ctx-lh-paracentral,ctx-lh-parsopercularis,ctx-lh-parsorbitalis,ctx-lh-parstriangularis,ctx-lh-pericalcarine,ctx-lh-postcentral,ctx-lh-posteriorcingulate,ctx-lh-precentral,ctx-lh-precuneus,ctx-lh-rostralanteriorcingulate,ctx-lh-rostralmiddlefrontal,ctx-lh-superiorfrontal,ctx-lh-superiorparietal,ctx-lh-superiortemporal,ctx-lh-supramarginal,ctx-lh-frontalpole,ctx-lh-temporalpole,ctx-lh-transversetemporal,ctx-lh-insula,ctx-rh-bankssts,ctx-rh-caudalanteriorcingulate,ctx-rh-caudalmiddlefrontal,ctx-rh-cuneus,ctx-rh-entorhinal,ctx-rh-fusiform,ctx-rh-inferiorparietal,ctx-rh-inferiortemporal,ctx-rh-isthmuscingulate,ctx-rh-lateraloccipital,ctx-rh-lateralorbitofrontal,ctx-rh-lingual,ctx-rh-medialorbitofrontal,ctx-rh-middletemporal,ctx-rh-parahippocampal,ctx-rh-paracentral,ctx-rh-parsopercularis,ctx-rh-parsorbitalis,ctx-rh-parstriangularis,ctx-rh-pericalcarine,ctx-rh-postcentral,ctx-rh-posteriorcingulate,ctx-rh-precentral,ctx-rh-precuneus,ctx-rh-rostralanteriorcingulate,ctx-rh-rostralmiddlefrontal,ctx-rh-superiorfrontal,ctx-rh-superiorparietal,ctx-rh-superiortemporal,ctx-rh-supramarginal,ctx-rh-frontalpole,ctx-rh-temporalpole,ctx-rh-transversetemporal,ctx-rh-insula
Left-Thalamus-Proper, nan,0.4377776964493555,0.08025515487841163,0.04862723286838836,0.15075991111416095,0.30188157779022606,0.058402240579552386,0.02927453379456944,0.35955645720144314,0.100506807628061,0.03425183378282313,0.13339670773435422,0.07256330855381489,0.8858711260465605,0.07404895007108299,0.8307116438462646,0.3051834709585284,0.8379152271787189,0.9563914428131864,0.23400729776962403,0.4329978360840513,0.48979426536074966,0.7315027557567362,0.7799535896798109,0.7105382983457982,0.5941607663084841,0.8976436540291222,0.6612940529819877,0.28491358182796744,0.03457878711907869,0.046710194207839874,0.6664989829763974,0.2258457326376653,0.16287845076614857,0.05735731238011877,0.888560165454847,0.025794864108979566,0.9332873222823951,0.69100255779394,0.722801192679117,0.8397497320069757,0.035920164237794074,0.026795283726331838,0.021876271396128077,0.7097798651314784,0.8130198285718457,0.2175970180916008,0.1311235036301947,0.07322213156491147,0.6029538124433267,0.29284339620315886,0.3842347384003959,0.08708568396178228,0.5249002398830738,0.8607111067798446,0.5205612231810649,0.6600869829090145,0.9624602858352687,0.5066955334113109,0.87159084317237,0.5711018193277744,0.7428707322897806,0.7324056733434517,0.08142558234174967,0.015874851424462245,0.9728363307572261,0.6254143661379947,0.1243301306290027,0.037354770797770595,0.46148298906609464,0.06009367072670236,0.4224324044224451,0.3746428025225911,0.7277074801043688,0.9421804270979498,0.08679032782641115,0.0458119569256439,0.03370114522841645,0.631159068757349,0.27460298438948216,0.9218475719075592,0.3394874893593558
Left-Caudate, nan,nan,0.057893610750331725,0.31125903212061445,0.2287083967472562,0.28598165195637654,0.1282508238503707,0.4061819402539134,0.7090750688229481,0.14249249778456885,0.7996209369602985,0.07969097262511775,0.0018048135258755126,0.9188854751598918,0.5710456030864548,0.44286295060138303,0.5880448669300988,0.7526353890818858,0.9844628499352293,0.8470295254996755,0.4073865114567833,0.3983809440613749,0.23445941800544456,0.6482242918769318,0.5832324488921861,0.22247546842821386,0.6630840713660684,0.5122034616183049,0.9859791331427898,0.1378448819476738,0.8842362783117198,0.5262431936630059,0.18310538928008013,0.24290066000387542,0.33018916148076893,0.7439480205100767,0.4707095824425861,0.1726389097588905,0.058759283620013834,0.9065040816207609,0.27356182889156183,0.8825025609521959,0.07360189594305495,0.8675434795463861,0.9556325618646523,0.4178895769096387,0.41424006209179876,0.2771847716640364,0.828933141077617,0.6340329085793539,0.9268987625527385,0.7740766369163571,0.4118459841871598,0.6989538176499774,0.7775416908556814,0.670052054098986,0.40238532905401503,0.3244620376915901,0.7539087723657081,0.27434980973255696,0.49701093809331276,0.8050144170284028,0.9008736829125518,0.12049808789964848,0.23099965803311856,0.08197928365017937,0.7442680406756648,0.2810309971617229,0.07986279706003101,0.6686760822613707,0.26577102654989104,0.7172775329248086,0.08446923305166598,0.5134473260028506,0.1143491606394576,0.9029546741083122,0.16846876132150332,0.6265872466619933,0.5538574934908065,0.7999317991836233,0.2201627125936973,0.26816762287693124
Left-Putamen, nan,nan,nan,0.3459656525396294,0.763800227974261,0.8507633890214316,0.5747773181909391,0.04496559111907119,0.08374751726302944,0.6439591756425012,0.1930767172065013,0.20845373541016876,0.09326579393850945,0.17329037573257053,0.4187119418949937,0.06226829307313727,0.28145861998684685,0.9473464668643572,0.18190035563765036,0.8849468163453925,0.09146760018163533,0.5586588596095973,0.19248218612961782,0.6811517321272584,0.8272058567853977,0.4851352797122013,0.8488892646034297,0.3002437692202745,0.909411776784887,0.3952878202689748,0.8751136094452141,0.657717660880269,0.12545388193426898,0.35975608990530705,0.3350770723595212,0.9032171947028795,0.8864100871722638,0.10574528278228192,0.37338154221927045,0.4307246611772708,0.3582975895594509,0.767484578918763,0.12766390093728858,0.6656659325891467,0.9769701362967675,0.20254246584249258,0.428378498478699,0.9992114845239635,0.2917436371303771,0.3496149500247858,0.20293755226071217,0.909758123777456,0.3879927009989057,0.512270043214057,0.507702633857942,0.7225643247431026,0.37557181933392514,0.5184369654725398,0.6192329547992719,0.4760476071307257,0.8760725726521543,0.5868774398755834,0.596396628058359,0.5544710294147666,0.9601063494402332,0.39720871268476765,0.8386357851376508,0.37919033756941367,0.16693788534956489,0.6832784037708388,0.8721056325692187,0.572540945341317,0.7902679258543432,0.5737301544149931,0.41517810555202017,0.8851534982073874,0.12203732749281036,0.8344302800240797,0.9707555633990446,0.9716054442930748,0.2946619424742336,0.8252164270652255
Left-Pallidum, nan,nan,nan,nan,0.9439539120488375,0.5257081412274782,0.756449882449358,0.08801744443669583,0.5330382774751503,0.5145114019286362,0.23838536049226258,0.9349422047713916,0.4139169128196548,0.19521578073079024,0.1728438650440166,0.03660057276209012,0.37132599159046253,0.24135730799065633,0.2566909454014875,0.13322774827697376,0.9891182226545139,0.19501194933473598,0.6999895121028424,0.4100089926385512,0.303806431817554,0.6820971269703178,0.39093470646956896,0.7573782928414481,0.23782857093780238,0.20759193721898817,0.8427873767015719,0.7200525214618083,0.8903183487709808,0.9566165232462763,0.1458529101820365,0.22527150558331527,0.6663238052585152,0.8265467364006329,0.662828515417387,0.5343005171808718,0.8449727385860637,0.9625556659052967,0.06794092057692877,0.423796971260474,0.7756819200910918,0.18533177250556176,0.516999661194242,0.6924130444083679,0.22457270054997408,0.38256847000476524,0.24768550957195928,0.1832605715813619,0.3573404767753241,0.09488791115996319,0.30888657654287105,0.6521986099378893,0.9777575219310776,0.33076641321951505,0.3039763252523911,0.39480701098013304,0.3770565163442461,0.244982580972161,0.17403281638057763,0.22265637311673966,0.6701103270043762,0.043700220680242374,0.36938142390264717,0.780311562332134,0.37139488321580105,0.17214826818467088,0.89416322735262,0.9106699350278534,0.506904174098427,0.41422566152284346,0.7150880565025535,0.8483027624570574,0.08013007245771551,0.877658747692347,0.05932367403393442,0.912914058236604,0.9182434975711551,0.735808161586831
Left-Hippocampus, nan,nan,nan,nan,nan,0.6122687371885922,0.26064449059104394,0.03665219812879793,0.14236569370426677,0.44948684170095443,0.8072340550093443,0.5946747039220657,0.9220895893048924,0.983903307206993,0.0712612226042866,0.7508415180308379,0.28804978260319253,0.8464367075124601,0.8745324072846394,0.4052150458605449,0.5317788313581759,0.6488460877596625,0.3842602294689803,0.3272334977956324,0.9470225265432812,0.9686722280660549,0.5737871743565293,0.7125205459497015,0.307033485385085,0.2482895529277798,0.09577819838272368,0.5207309055422341,0.7134617171992976,0.6950728676368443,0.5167851441358782,0.23540525176089666,0.15344555508381225,0.701849763572977,0.7954835096368946,0.9834466228299746,0.26493825537808907,0.6236132550921718,0.30200244039455215,0.53827533639297,0.549081295701686,0.8122884077526566,0.09318889013506715,0.05294216627530526,0.1392625983575152,0.70611625121879,0.305425651571911,0.3843043195795812,0.6997873316767014,0.9246717839399913,0.7881677836880591,0.8147207636866112,0.7987890060681634,0.7767647962805464,0.910838370221127,0.7487989150510996,0.6098143417626838,0.3956164513419943,0.8882847718744988,0.15992990780520933,0.29695261042362825,0.38753799131744116,0.28857960471113664,0.7530005961278283,0.632478747593764,0.2759412309053456,0.18498113093444865,0.24487319829562812,0.5860058714363281,0.6261505252806236,0.32246550970745447,0.21705082452279545,0.29462262755748375,0.43159492669411625,0.12219472497503589,0.7960513429279699,0.09703036550580013,0.31081273360852796
Left-Amygdala, nan,nan,nan,nan,nan,nan,0.04329201772687043,0.05139767160708649,0.2245283150707378,0.7218873988457984,0.9412901924911825,0.46258702361975246,0.8529935074569004,0.2981891339809422,0.020059179758906257,0.4983562997769786,0.7522890061780626,0.7510595391820858,0.5654626582497664,0.5386119968690068,0.48456935206744156,0.9234999763700737,0.2323411383965524,0.8018921317760354,0.6232522784532863,0.9730479863186559,0.8558547644676222,0.6397242914976399,0.31362765264295667,0.2769229949544514,0.044361519986054594,0.41594900538138757,0.34275125769869996,0.782929581014067,0.17158951648790385,0.4580613109776732,0.07147279002648163,0.6142372173194597,0.9150527911157603,0.9771444970022167,0.6189222881231653,0.5747805822650881,0.7164961631249513,0.3183412878023627,0.6335870179677479,0.4345852394088213,0.1749987448610184,0.3656761099955409,0.2642239928896787,0.9351143833618465,0.9457741661656229,0.5460471312743911,0.8863782878269619,0.9864251940295068,0.9378711621255658,0.9612616103719066,0.26735776078951706,0.4873318585127129,0.48798152655931426,0.8440759978061502,0.3714914418633506,0.8055968959895424,0.6175392375944648,0.17155386050511007,0.15002033891052094,0.11447729385948746,0.24729939466759654,0.5227681209343911,0.3684818731094135,0.5882801748278708,0.04467317674166578,0.7072289709984054,0.5910093717520644,0.9977071666651466,0.9750780268994329,0.2276118703790933,0.2534790640325939,0.18928367915911615,0.8684835506003503,0.5843015068916408,0.333465747572086,0.26477259990880475
Left-Accumbens-area, nan,nan,nan,nan,nan,nan,nan,0.10506593631873042,0.16138448450584766,0.9678056876736492,0.8094150363728874,0.3110396414038355,0.2520440047999657,0.9123994721182382,0.19874930435110558,0.16278689874738592,0.15727494446481993,0.42861952279181115,0.1685056860687586,0.8532508294386234,0.44015857795396285,0.5597926519384988,0.2388761052360815,0.8293865325022974,0.6904028538736493,0.4523843816173214,0.5267993668828885,0.017247316524518715,0.16670416057290338,0.8446422412710831,0.286280987532576,0.07168430263978122,0.08730500109537577,0.6715547002929826,0.5485101507359095,0.33640177908075997,0.8253351059790768,0.48090790134959516,0.4430839720545381,0.1621089259474539,0.1394043989697552,0.3014670248454067,0.42993242875729576,0.37602672961116745,0.6803767621997245,0.3253606292619391,0.2619726898591237,0.2750164713501572,0.9056045046843593,0.6115113840190156,0.32464895430305607,0.3245406361720551,0.1857344535904468,0.4598478674523129,0.1553432021569787,0.46995977603476513,0.9358652967828536,0.6472598874156403,0.7159118793731479,0.36663321781043534,0.4769232120673994,0.025519151693718375,0.9868803325566365,0.45863537524751763,0.08547503506080395,0.06923464240573829,0.1404243482504564,0.5335963883859655,0.9042059986451301,0.43739563854578933,0.5608365335844436,0.8284745966978608,0.9428337429232463,0.07812840226077336,0.09912904666908937,0.37858457861887973,0.41242929010894647,0.43913412173579214,0.6414267978745565,0.1937108378151458,0.1641344868583703,0.8802121271778601
Right-Thalamus-Proper, nan,nan,nan,nan,nan,nan,nan,nan,0.41642970843335947,0.09454325020911387,0.01616731742212173,0.11767573118126423,0.004789220634691146,0.6271472057779379,0.0874299691007765,0.6444502731497792,0.22616528316425402,0.47403269513415025,0.9557317155467391,0.11821891233246701,0.3167489449545182,0.561831164075053,0.5946668336058999,0.49374388347249776,0.37445681669267605,0.8164976474501399,0.7940638623359642,0.5782648422353748,0.8522946254620976,0.06856659895034455,0.022675779608668407,0.22140583898167257,0.05423601838926037,0.38285054786562245,0.03358977222678236,0.8866293912413545,0.02296961197145601,0.742524230154681,0.9114248846038712,0.6255755169260812,0.8913298717369342,0.037998607988346846,0.014937155538711479,0.012053266978839041,0.48866466413048315,0.7078365622280332,0.06441156260400797,0.05022605249936306,0.016196140987891357,0.8617456490334581,0.1774564802770227,0.2820284422104798,0.0747173216998056,0.2029758960339588,0.9846833210606605,0.5776246765520943,0.4462945884495346,0.6990680336959071,0.5432887881105307,0.7075252041723967,0.6210021711780747,0.8474203267247464,0.3256089553945267,0.09338069799677697,0.022932853150608012,0.9213782244339146,0.4583794657079282,0.2534578403512578,0.019397450867742753,0.20426609819642455,0.08188096577638874,0.599793887701823,0.470747746221709,0.9566455400604946,0.940206808807377,0.09666243565439168,0.0027915001738682125,0.025932833894730462,0.4248950061960256,0.6183618818346863,0.519504734982022,0.10086467473887412
Right-Caudate, nan,nan,nan,nan,nan,nan,nan,nan,nan,0.06485334433569029,0.8082082870883863,0.11615475641068981,0.012765200218285385,0.6976849189287677,0.22671540917471164,0.9537617693070878,0.9427016095698532,0.7676602683188185,0.4875968656679933,0.8283341411569474,0.27721410606844543,0.5832473719051654,0.1483790868546518,0.9730815331530651,0.27228038032643237,0.411223416089038,0.7994302873838242,0.3081316398098291,0.9255932966609521,0.06215286324218642,0.6770083489710186,0.169141242459758,0.14696456920230622,0.3199107001913631,0.09593740215447587,0.3725290991901373,0.21316129346757437,0.04833493827297648,0.12475738423016192,0.2139522124338017,0.1395934176712245,0.7767373740607455,0.08622359180165393,0.4399467978081095,0.6092394133973129,0.7432020590442854,0.27574775461085005,0.06960992127165626,0.4106899904673581,0.9300813391677083,0.711300170890867,0.8217210232615908,0.7785892614702,0.37532961797129427,0.7304294871841102,0.7508956593266035,0.5944167620080454,0.5725981109147092,0.7481047326214796,0.6547278573364911,0.37197579130962743,0.49922787015068315,0.6517329856907852,0.06757041098548217,0.2893012293808548,0.06018460168065004,0.550336925716207,0.4094273295622224,0.01575484361576558,0.7946217860164662,0.14816117373769788,0.30646842397407825,0.3844033287575527,0.35002603651101594,0.2521855545441747,0.7543385610883061,0.042053955872833934,0.2696854286290535,0.5063453277281735,0.5448095129359889,0.04410770638655184,0.1783242734500961
Right-Putamen, nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.34749197969684265,0.2885241020694812,0.294864721416482,0.09097658559736409,0.649634562174519,0.18170579470261053,0.39072511376611463,0.8694915701925856,0.2654088665135596,0.7488239655695387,0.09781452512059204,0.8321154217308753,0.1933203195429381,0.6946564987881789,0.9201419606153973,0.7200960796522743,0.6115139410045356,0.2586097577345009,0.4938144840431019,0.5531637174955679,0.8993323356332825,0.459397067270904,0.1518592795913729,0.601973972517055,0.5316758240676244,0.780224997478711,0.898008577396674,0.22899236862670616,0.6465168158384738,0.36889091122008666,0.34557563694078364,0.6676748437918281,0.10058820530162656,0.9236571073834049,0.7829050932844421,0.11688759980473296,0.742900117856482,0.7823164678142569,0.44535010209483417,0.2611381057128081,0.323346742835244,0.9135831290291538,0.7781752579947715,0.7483449230779314,0.24766986754800915,0.8966471646931746,0.36843848950429703,0.7943340275925471,0.5413279733161593,0.6224068410047732,0.9233455480839436,0.5989160294736999,0.9800989629208503,0.8825677869848605,0.9147136196437468,0.4257866950838938,0.9728163036902682,0.6593570444863247,0.38780326219851113,0.5650933468521608,0.49375829428302265,0.9502886298716025,0.6150649415927378,0.6255444110444175,0.6649707273491203,0.8173262338686074,0.07867151724239271,0.9324379364230063,0.8308171924083235,0.5762495948074058,0.5350047627096729,0.979878016784725
