# File generated on 2024-02-06 23:08:10
# Number of participants: 132
# Number of patients (schizophrenia): 66
# Number of controls: 66
# 1 datasets were included:
# - SCHIZOPHRENIA_LONGBIAO_3_Dataset1_set750
# Effect size cohen d (regression coefficient normalized by the pooled SD).
x,Left-Thalamus-Proper,Left-Caudate,Left-Putamen,Left-Pallidum,Left-Hippocampus,Left-Amygdala,Left-Accumbens-area,Right-Thalamus-Proper,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,ctx-lh-bankssts,ctx-lh-caudalanteriorcingulate,ctx-lh-caudalmiddlefrontal,ctx-lh-cuneus,ctx-lh-entorhinal,ctx-lh-fusiform,ctx-lh-inferiorparietal,ctx-lh-inferiortemporal,ctx-lh-isthmuscingulate,ctx-lh-lateraloccipital,ctx-lh-lateralorbitofrontal,ctx-lh-lingual,ctx-lh-medialorbitofrontal,ctx-lh-middletemporal,ctx-lh-parahippocampal,ctx-lh-paracentral,ctx-lh-parsopercularis,ctx-lh-parsorbitalis,ctx-lh-parstriangularis,ctx-lh-pericalcarine,ctx-lh-postcentral,ctx-lh-posteriorcingulate,ctx-lh-precentral,ctx-lh-precuneus,ctx-lh-rostralanteriorcingulate,ctx-lh-rostralmiddlefrontal,ctx-lh-superiorfrontal,ctx-lh-superiorparietal,ctx-lh-superiortemporal,ctx-lh-supramarginal,ctx-lh-frontalpole,ctx-lh-temporalpole,ctx-lh-transversetemporal,ctx-lh-insula,ctx-rh-bankssts,ctx-rh-caudalanteriorcingulate,ctx-rh-caudalmiddlefrontal,ctx-rh-cuneus,ctx-rh-entorhinal,ctx-rh-fusiform,ctx-rh-inferiorparietal,ctx-rh-inferiortemporal,ctx-rh-isthmuscingulate,ctx-rh-lateraloccipital,ctx-rh-lateralorbitofrontal,ctx-rh-lingual,ctx-rh-medialorbitofrontal,ctx-rh-middletemporal,ctx-rh-parahippocampal,ctx-rh-paracentral,ctx-rh-parsopercularis,ctx-rh-parsorbitalis,ctx-rh-parstriangularis,ctx-rh-pericalcarine,ctx-rh-postcentral,ctx-rh-posteriorcingulate,ctx-rh-precentral,ctx-rh-precuneus,ctx-rh-rostralanteriorcingulate,ctx-rh-rostralmiddlefrontal,ctx-rh-superiorfrontal,ctx-rh-superiorparietal,ctx-rh-superiortemporal,ctx-rh-supramarginal,ctx-rh-frontalpole,ctx-rh-temporalpole,ctx-rh-transversetemporal,ctx-rh-insula
Left-Thalamus-Proper, nan,-0.6860733976354199,-0.052048623619130784,0.11191892372123657,0.21546557175573353,0.46901951591946256,0.12111336571328105,-0.4644259414045961,-0.7654261559534397,-0.07589324331036565,-0.18393360407913042,0.24704816783346215,0.3036724838398501,0.2354825606332675,0.7941002481688509,-0.548786255530813,-0.15764874552724462,0.23488824666277297,0.1935563391492371,0.25267092933364227,0.016194813094444985,0.16855966154249424,-0.0032429362686592976,0.09926843938492338,-0.04370033903732703,0.3651122076554922,0.16660376997542126,0.39554252946477275,0.014743296119340128,0.516395559420268,0.1048264956510136,0.040871783506865295,0.09565886058660833,0.10360634803545296,0.6748032265313493,-0.26797261008631174,0.4077651685780035,-0.09073475501258374,-0.15757676720563715,-0.4665566327977431,-0.30161903283653696,0.375571587345908,0.7556391441527036,0.18907658490280055,0.14324032793656352,0.24146374472755902,0.23911833120092446,0.5655824612612516,0.6511294731676139,-0.35816768538602795,-0.11026577704289155,0.26313348280285526,-0.05320309538637679,0.4069038392292887,0.032398276951583156,0.017603749181326078,0.04174820062297498,0.16485313404834767,0.13214595155433165,0.4819554736847431,-0.026313666464961086,0.21377768811090286,0.12224175106390668,0.2497650804002096,0.36829304204589786,-0.07770551546383585,-0.043731811505254306,0.0032881432106303837,0.568473088825356,-0.19696862845907562,0.41849049879303957,-0.03140171143465153,-0.13109197537472517,-0.2944115635435987,-0.3818373351820949,0.20515600442914453,0.5419750726877783,0.41026638557466005,-0.00031291824196045983,-0.0590707993321111,0.11788815050343676,0.39431372179513124
Left-Caudate, nan,nan,-0.24037870313220971,-0.008449776849254308,-0.23831894176429116,0.0024330973816368813,-0.12456227053735434,-0.7495330900428511,-0.4014493525746597,-0.2670844913263022,-0.48307618884154924,-0.22961578299396596,-0.2779572606660915,0.02637079379988878,0.016421477515376003,-0.4163484153196719,-0.4205834999498844,0.5913099540195109,-0.2847405162381698,-0.18944906782022644,-0.31733847017776673,-0.3010507130727917,0.05483818520428026,0.2321562013189877,-0.31138592214922334,0.0655548735745937,-0.03754719080754018,0.1144683928116658,-0.1735454887830435,0.11517297912223602,-0.2775183211685683,0.0901734063630649,-0.10405976435500866,0.20795113159193798,0.24767807075210563,-0.1730432069068596,-0.16407146926045574,0.014401505670610649,-0.09817431664952325,-0.4079632175195533,-0.15905611940277928,-0.11354029426660196,0.050997630572889974,-0.26427224243921915,0.3013169198965368,-0.057479577159064627,-0.3290423318099298,-0.2029718802625283,0.18213710684165976,-0.498920137956885,-0.23133587206129358,0.5628519430405612,-0.4851757979649393,-0.0708851895352438,-0.16804608771743224,-0.21117325910165566,0.22462932604330077,0.36234624482019406,-0.34457977363853187,0.34573443309216473,-0.1142550778599452,0.06462233017987598,-0.26624805686560765,0.07448871238490752,-0.174996774437076,-0.16553916779859748,-0.1977295860765798,0.16450848815638267,0.18306554839417677,-0.055387379959136895,-0.04439563028383494,0.12369217431012418,0.1246028726765654,-0.2605223563721145,-0.16688536196625461,-0.05135192059106034,-0.10686829707578183,-0.27624166163863834,0.3084304504325556,-0.21547563694194913,-0.31298461463418303,-0.24698367787913852
Left-Putamen, nan,nan,nan,0.08713320084592963,0.031884237906313145,0.1362432011239156,0.04938594672669985,-0.08401334361336137,-0.3388155933951391,-0.21320003196535758,-0.17101874358194388,-0.036994345215282984,-0.1641409567961275,0.00572882262570669,0.4329726876147526,-0.5140430479115576,-0.14345764190408708,0.18261688705066614,-0.010069449124062832,0.14573408779320324,0.0052132673243632105,0.06159363601790622,0.05608981949341042,0.02468843276627318,-0.054160554867789534,0.2633107385202486,0.08458369457833519,0.19421833746054282,0.28055327988868867,0.11841745859789013,-0.09144299372353205,-0.02597176663197678,0.04289499479631151,0.21422810967912545,0.1974617370746733,-0.00679435848948642,-0.19293691625692586,0.0666153612338398,0.08728823796604845,-0.25097684605574916,-0.06725425143662825,0.04000848082602269,0.2127338497721949,-0.1940775741998835,0.07790961597678374,-0.17221776990203924,0.016069027234814712,0.0373353709918784,0.27707888730503316,-0.3341658900098673,0.019427882035784952,0.19358337577740858,-0.3260021026732403,0.2165173715514165,-0.002856685095005579,-0.1469509959390797,0.16785722355758748,0.12041599652418349,0.08493124441646452,0.35403654846661936,-0.003808329598037214,0.18131101801569804,0.2515946374564729,-0.07976543597897953,-0.13724831716316752,-0.07457233457317466,-0.10362350697244638,0.15624853949831127,0.1960320910047273,-0.17158013469946878,-0.186507055975425,0.033402955063615486,-0.019087824487114397,-0.21037168743331547,-0.26300062711861744,0.12978497563441913,0.31902308967725634,-0.11589366249905045,0.12165168206686991,-0.3260952241220186,0.24989464130731515,0.017308340487995736
Left-Pallidum, nan,nan,nan,nan,0.06921058143400693,0.29638443092029804,-0.16811435105602326,-0.05095921847500445,-0.14001072875911325,0.0720038867034058,-0.09454347753130407,0.02562436795449967,-0.05187676768697936,-0.262736812346987,0.5978605226512687,-0.44134675035667925,0.020188329006576217,0.4011590822241645,0.0025004331431369314,0.1236838742586192,0.1418789880996156,0.16414025534542348,0.2664405625754556,-0.016938120094705432,0.13857405454102212,0.4752390986109705,0.23531595448389014,0.3361457789475737,0.09185655314279012,0.04022415590902752,0.1536731428408376,0.1749033311169443,0.06793248229853802,0.24207758976825586,0.2087090699335836,-0.13058418433089033,-0.04147367712424802,0.051082891357391316,-0.017430424412541567,-0.12458829817304141,-0.015265944859352619,0.007629735717408187,0.3741185483951438,-0.10102615709868717,0.276262145328488,0.1089489817021707,0.11238161534511337,0.01434929740505174,0.4651260797041359,-0.4741287274771633,-0.24247837130900204,0.5609801536476924,-0.18274796854104172,0.18746204643390663,-0.19132643966351778,-0.08160951770828169,0.19201001250367175,0.12665777602748668,0.18788194593012758,0.5108316753777942,0.07705446395557963,0.06979666049159895,0.14944244765318654,0.029092843099699128,0.00421451012298601,-0.025752581666161824,-0.020315943353642656,0.3780951998610448,0.3191781882019804,-0.11259557336200593,-0.004431086568986718,0.05762816921307141,-0.22153616599560544,-0.3682112568194664,-0.4316097411644481,0.2565163105186159,0.34474529766076195,-0.06279099284229456,-0.01955482281075803,-0.18256634797061894,0.06548884354869801,-0.08480952326403388
Left-Hippocampus, nan,nan,nan,nan,nan,0.11140561390434137,-0.06312500022567392,0.26380161031395394,-0.18984173984156566,0.06819317816391128,0.16599659263317756,-0.07713548372433253,-0.03682869325947952,0.18403043487219936,-0.35446787209777103,-0.3173384318185894,-0.11410215108258051,-0.06812686830736056,0.057259562776836206,-0.10036431652641152,-0.15160235709560366,-0.028383098485395608,-0.1539396297182777,-0.0683646795802835,-0.16742947087587984,0.12915260017117086,0.05796745268614142,-0.03863013567724216,0.010393094964071564,-0.28454479715224495,0.012601026713550316,0.19665475406118035,0.2707429866500685,0.1903540654505252,-0.3196927609634436,-0.29081529804609385,-0.3875292994389108,-0.3906503431322065,-0.1593772524818245,-0.17810793267275388,-0.47860868506572857,-0.3760782783391317,-0.11486200540045038,-0.3605427686851949,-0.15169045907254952,0.0992900756969235,-0.009602296000811252,0.15110716906767263,-0.13585590596962963,-0.46997997765978566,-0.18937526581998984,0.09465891900672158,-0.0104213910596147,0.10452876477641854,-0.10482232349212921,-0.12387488997521749,-0.10123473814332624,-0.005632237654490906,0.09982272667398416,0.17718234435532756,-0.18550840283608946,-0.15951306863954914,-0.08308240590272349,-0.3225169007293698,-0.06882618325192584,0.2303629821487344,0.03520557232355533,0.21411990421397142,-0.3409198732140834,-0.29679982330403454,-0.394116769284566,-0.22073075798038644,-0.19897534753076743,-0.017196388084614603,-0.6666256916253039,-0.23590805316109334,-0.15775075929336516,-0.29892517083645387,0.5062549614045868,0.046052216937979173,-0.016345652704574824,0.10240409340312312
Left-Amygdala, nan,nan,nan,nan,nan,nan,-0.07846748856197058,0.5731883960776487,-0.09164894544348064,0.20780584230181226,0.040026114303875183,-0.02821881966699402,-0.07683697004162242,-0.1523650482886658,-0.2729038181188886,-0.1820979843166499,-0.1078803178773265,-0.23045954689577772,0.058393059392247246,-0.10601111795555283,-0.10850468843477111,-0.3178223770058265,0.008864285458998467,-0.4025581854803249,-0.36956606373167483,-0.031459332197451395,-0.005225450633043293,-0.16933104086674267,0.2632132139257591,-0.24240801405048643,-0.07895935340612953,-0.10731443429931167,-0.020095520370704927,0.013048436239385107,-0.22805458616338628,-0.0773920570240958,-0.35782552090898184,-0.1343023246751627,-0.029023691931649387,-0.32870963879375326,-0.4183721845064937,-0.310613118718839,-0.09455462983014283,-0.2954292901980602,0.07107761734100089,-0.0770873470961621,-0.10571084756580411,0.1091095318477594,-0.28874529525723985,-0.2231556531926969,-0.05318258665497317,-0.15454318058783592,-0.14390326958633057,-0.003103448604101072,-0.18653703178027342,-0.3569088263323284,-0.03639379549869179,-0.44933232455686944,0.049740715282995264,-0.04940932702800417,-0.10167625566773295,-0.4081101942614224,0.3117458524496568,-0.30485875407166035,-0.02814365059736939,-0.06465389139639238,-0.05822266492864873,0.16555469799559727,-0.32785962081587655,-0.010652556836464369,-0.3686513055034253,0.07964056741237169,-0.05716208783406649,-0.17694851016126925,-0.3982188216667378,-0.1122276756148311,-0.16886785117814684,-0.22593724661031836,0.38748871945629393,-0.1341843414486175,-0.07856485990013337,0.34046892125628897
Left-Accumbens-area, nan,nan,nan,nan,nan,nan,nan,0.09853119213618278,-0.16021982438785803,-0.037869999448738347,0.03522222205651476,0.0012319198495515777,-0.242399501258166,-0.11778737049298633,0.02145088516554403,-0.648337024574181,0.05994723807665387,-0.028801670236002285,-0.18253815892417785,-0.23083982462886588,-0.07915981619733306,-0.3426405480561096,-0.0613828600379771,-0.2507602279123705,-0.3239070062588415,-0.08507566910502505,-0.18126592600997,0.06797020479231759,-0.02017269747030172,-0.16561948175142385,-0.06340437395248281,0.1744514387366972,0.08372891247191237,0.0031349596505627388,-0.05103781984215713,-0.17097684617480705,-0.21547949910478872,-0.13423973402297465,-0.2409936360861407,-0.22015846187015004,-0.22368453994844245,-0.4304592017054122,-0.20581112902952586,-0.31912376985463436,0.22575885355911554,-0.3599102184320368,-0.1571563530495506,0.0330490699495558,-0.055628098719428413,-0.738626411085347,0.1630114436808802,0.0006162417805971602,-0.2658166652372905,-0.3131078352514405,0.07326147070536237,-0.30943748525751147,0.05200622021470894,-0.010463026458216042,-0.3888682646734607,-0.047971476292000936,-0.22403134271980527,-0.07327194071856215,0.11512215642671583,-0.22885604624585404,-0.18895065328934724,0.22141689151648852,-0.11088660209273976,0.12091405102521192,0.017015859247646974,-0.1909382676724995,-0.30044015081650544,0.025054335464611454,-0.4900910928264277,-0.26102397733179383,-0.3193336254191138,-0.1625731664972327,-0.3162428845132714,-0.14832688872374128,0.37379671777337226,-0.500709034500117,-0.2754852652587054,-0.17673890826230437
Right-Thalamus-Proper, nan,nan,nan,nan,nan,nan,nan,nan,-0.6730267581226502,0.11173586669213605,-0.1832090368199309,0.2838509944091869,0.2511146360097293,0.1906026766102357,0.6730687275030112,-0.6194722261276516,-0.0623754585605311,0.1546516613846679,0.10968020477776726,0.2248049988731779,0.11461043183677556,0.1696604564188141,-0.1234772429493515,0.03802538582178139,-0.09414446483746741,0.3526507480893737,0.26600542837452346,0.39786229981268706,0.016835314631418755,0.3718736350059429,0.09699308845489409,0.05714129313185727,0.1622669740606306,-0.006191303352443546,0.6624101739990507,-0.2564043869637008,0.4477107955306434,-0.049987713886823486,-0.19877755115806223,-0.42412650079908204,-0.3680042919776924,0.3573477094744276,0.7989466036991165,0.1110163208311716,0.3432206666155109,0.16938878374891275,0.28263721644565015,0.5469710318015341,0.6272137380795269,-0.48202731303193347,-0.13469693174654326,0.2216209638840105,-0.16670396393417383,0.3769554933808224,-0.0688089834014738,-0.038029804514104586,-0.09458849592606641,-0.012024435711145937,0.10903962186158767,0.4248203900078116,-0.07466132078705097,0.059182154105286905,0.146689721627354,0.13761323885364227,0.23317039576260334,-0.1022012274553231,0.04445176876707218,0.021155167025719877,0.6226240705469019,-0.3693984103213123,0.5164204135982211,-0.03250978411529919,-0.25306900930352266,-0.34311021097320393,-0.5066775608034317,0.17826954943801285,0.6871075344477736,0.33731827167671413,0.1672906441225197,-0.11737020624878228,0.20983115691916362,0.5056078108557863
Right-Caudate, nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.2044940362870972,-0.3224215111278382,-0.26337758507239595,-0.2867312057608363,-0.07108381608111974,0.2106851255870829,-0.7866301941357521,-0.15130350346823063,0.4791240234419631,-0.2590872473213416,-0.10680837974301491,-0.12924967476016458,-0.22817937183006987,0.18809912007974242,0.21735471935734801,-0.3405623515937132,0.12380975649284166,0.15236290520597323,0.11941686693747974,-0.19069060295325246,-0.004994253098116247,-0.3190211458933848,0.0849426090677858,-0.11864764115550581,0.056747821815508276,0.2597577490383402,-0.2681838294353847,-0.2372232574099365,0.1677013043620551,-0.06984958436921665,-0.3662078805618969,-0.018853954128852792,-0.13488823157979832,-0.0661350943111588,-0.3612110736114419,0.4928128514620455,-0.27487135685478453,-0.2680475615200372,-0.23470288809800013,0.10410073751542623,-0.5879131050731035,-0.37531198451270475,0.4492360941624717,-0.33776602311954623,-0.023697249660368593,-0.2302034167829301,-0.27635854566282114,0.16440632431771846,0.3939605936458415,-0.3381771058574173,0.37190339661088606,-0.01710170172630837,0.06063899693974791,-0.15175601198902972,-0.18459198465086218,-0.3795043255969479,-0.08822728940870203,-0.3121993682979079,0.09776433495652521,0.19836534604718525,-0.29210295274770226,-0.1576453718433691,0.12825674635290044,-0.10141959065994646,-0.3772954797360408,-0.2587246335427909,-0.12755803694992698,0.015786872164809305,-0.3938079759203593,0.4407002864370136,-0.16412265076285232,-0.1901173588820494,-0.31112392175748577
Right-Putamen, nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.22249253755523754,-0.12021358113894702,-0.21263704056059152,-0.009785211257285759,0.30237457654340927,-0.7214930261661507,-0.12230282882670959,0.23862365873467603,0.03534942735754651,0.2556508510922311,0.10876252038884116,0.07541699470004581,0.13953538304862775,0.19752030538971038,-0.019903005236886834,0.30387257123138955,-0.04195962761850707,0.13737658593756172,0.21270519687663988,-0.12725401642967427,-0.18929662939368835,-0.05758408658883021,-0.001599399684005677,0.17862673782019892,0.11699966429957893,-0.21534970085495528,-0.30102791657300015,0.17481326871862832,-0.032398713588828766,-0.23084772344944898,-0.2582460664687084,0.2604008534788996,0.20898719732898546,-0.37914776598398653,0.27705978030404094,-0.22091785703129052,-0.017682779838249625,-0.08404091188012516,0.11815955567522339,-0.5757933021024129,0.014355840961800263,0.2532001637337945,-0.24449544845281826,0.14169762202578495,0.05695603997101411,-0.03507077518183198,0.28274115183281734,0.21926341966230303,0.12800026606135714,0.40695359938446524,-0.04871754693575221,0.11283649087454514,0.18345055025679446,-0.29694981003706433,-0.18179253853782573,0.04846448717628611,-0.07319389096137245,0.21207374449802413,0.06998658998436169,-0.3591547368845932,-0.21357019735959684,0.15415774864388948,-0.21616581320596423,-0.24347605723733037,-0.42447604016990037,0.13240462757538232,0.09687940312039779,-0.3487641647874655,0.29574459814639126,-0.2974276501889083,0.15259233053864718,-0.13596020744117654
