# File generated on 2024-02-06 23:07:45
# Number of participants: 288
# Number of patients (schizophrenia): 144
# Number of controls: 144
# 1 datasets were included:
# - SRPBS1600
# P-value.
x,Left-Thalamus-Proper,Left-Caudate,Left-Putamen,Left-Pallidum,Left-Hippocampus,Left-Amygdala,Left-Accumbens-area,Right-Thalamus-Proper,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,ctx-lh-bankssts,ctx-lh-caudalanteriorcingulate,ctx-lh-caudalmiddlefrontal,ctx-lh-cuneus,ctx-lh-entorhinal,ctx-lh-fusiform,ctx-lh-inferiorparietal,ctx-lh-inferiortemporal,ctx-lh-isthmuscingulate,ctx-lh-lateraloccipital,ctx-lh-lateralorbitofrontal,ctx-lh-lingual,ctx-lh-medialorbitofrontal,ctx-lh-middletemporal,ctx-lh-parahippocampal,ctx-lh-paracentral,ctx-lh-parsopercularis,ctx-lh-parsorbitalis,ctx-lh-parstriangularis,ctx-lh-pericalcarine,ctx-lh-postcentral,ctx-lh-posteriorcingulate,ctx-lh-precentral,ctx-lh-precuneus,ctx-lh-rostralanteriorcingulate,ctx-lh-rostralmiddlefrontal,ctx-lh-superiorfrontal,ctx-lh-superiorparietal,ctx-lh-superiortemporal,ctx-lh-supramarginal,ctx-lh-frontalpole,ctx-lh-temporalpole,ctx-lh-transversetemporal,ctx-lh-insula,ctx-rh-bankssts,ctx-rh-caudalanteriorcingulate,ctx-rh-caudalmiddlefrontal,ctx-rh-cuneus,ctx-rh-entorhinal,ctx-rh-fusiform,ctx-rh-inferiorparietal,ctx-rh-inferiortemporal,ctx-rh-isthmuscingulate,ctx-rh-lateraloccipital,ctx-rh-lateralorbitofrontal,ctx-rh-lingual,ctx-rh-medialorbitofrontal,ctx-rh-middletemporal,ctx-rh-parahippocampal,ctx-rh-paracentral,ctx-rh-parsopercularis,ctx-rh-parsorbitalis,ctx-rh-parstriangularis,ctx-rh-pericalcarine,ctx-rh-postcentral,ctx-rh-posteriorcingulate,ctx-rh-precentral,ctx-rh-precuneus,ctx-rh-rostralanteriorcingulate,ctx-rh-rostralmiddlefrontal,ctx-rh-superiorfrontal,ctx-rh-superiorparietal,ctx-rh-superiortemporal,ctx-rh-supramarginal,ctx-rh-frontalpole,ctx-rh-temporalpole,ctx-rh-transversetemporal,ctx-rh-insula
Left-Thalamus-Proper, nan,0.03055728630300807,0.2045629083356738,0.024850170745114204,0.6194459130457056,0.05448852859193486,0.47695924134812884,0.000328268753371278,0.01181695530243412,0.25554388736000044,0.33696450724470095,0.8707690344621722,0.577497405554783,0.2524436390016682,0.005493998184625887,0.09976913921601016,0.024393449917224745,0.009658267265640489,0.08205254337244089,0.13239871449107696,0.3359219588726692,0.3538394999819685,0.463282593460569,0.05429507709060871,0.9218287864732989,0.027261479799644307,0.5899230487167697,0.22450207803619315,0.13878270356433706,0.0005175182532516307,0.40765977611687,0.9335234174225955,0.23209021463405788,0.850952772399994,0.00047102430833365354,0.6626969648852972,5.47094458272777e-05,0.6861101652541695,0.02873278331611638,0.42039341050109735,0.6738448120826852,0.002394106286869993,0.0011577246952950003,0.7371865314920263,0.7534060991784398,0.23084806539018413,0.4460175232281257,0.5824545767219886,0.03378359027075452,0.04433201170176417,0.25279027343628785,0.025854403009372518,0.13879784992870395,0.07177806702261859,0.38364573935527646,0.33893883102322575,0.9609546414543677,0.007372639669999663,0.5371270062580418,0.017072475294709018,0.8116522115453221,0.33058419026458497,0.6547915354002543,0.0044987575614351535,0.3037866978499853,0.6594911842392885,0.39643111092930583,0.7477701204523182,0.0007585080857820651,0.30443597545766604,3.646164358592286e-05,0.5925662459922432,0.05064157311823738,0.21843492645503454,0.9377013020441121,0.000165820507434588,0.0014464882597321298,0.8339629332547307,0.9659378844422291,0.3869993261430049,0.5168232417577755,0.42885215485603023
Left-Caudate, nan,nan,0.45058122825508806,0.27384770600156216,0.4710610621237479,0.9900785424660432,0.48013040693195264,0.3513930035605195,0.2862350266385088,0.8105459385372451,0.1320449065617769,0.5269933559483746,0.3660933332142632,0.8416080614279078,0.8511003703616031,0.028130894925441147,0.04162819066151454,0.9107766021405134,0.04348667943784673,0.10575602568771457,0.03190031689040592,0.0034569182952701527,0.5717536102257511,0.38003555678461665,0.1666209906648099,0.29631837264218047,0.21904814170799855,0.26152954435510184,0.07670469259429549,0.13850768764857158,0.00024149391271612364,0.1103173577055281,0.0034612375757464473,0.029929445418326133,0.7553739224812391,0.3921158034407046,0.571290264662107,0.15406062201828025,0.31586331965563247,0.0017647467115504219,0.1677066502009807,0.4510852862676362,0.43671459700057313,0.003157658649041504,0.5988734442010353,0.03214772571457979,0.012988081172630483,0.12198484841312035,0.9295212253951453,0.04295773795746898,0.05048864363619268,0.7698939973168983,0.01804894880923185,0.024700919751306397,0.1294904556296637,0.009268586425735298,0.8804242691264006,0.8207782538066414,0.14337776919854023,0.24194898203227835,0.2095175036231612,0.3558946095323393,0.3269843485729118,0.6693869663581123,0.017834147909232205,0.7615211166445808,0.3750094385766326,0.2113124137865835,0.45724348722328756,0.26206507986766214,0.8861378603717721,0.07662424821035337,0.09469024754764532,0.1548098703821351,0.4739586991167075,0.9243635895707625,0.6394909384413792,0.0017816447971395308,0.4486325131072454,0.18198036875461748,0.04946317047948101,0.24649642720704837
Left-Putamen, nan,nan,nan,0.697994340979815,0.19605386875649786,0.5942438869925275,0.8775377257229395,0.3182165133070066,0.4546168447880853,0.23852907966774256,0.37369208113472097,0.07192268515566043,0.16862161481442503,0.8263772101159574,0.24749359066391077,4.19303500875e-06,0.8493431610279683,0.663419465748655,0.5013870943628281,0.014232884543160197,0.3796674397247075,0.12398143204276688,0.2656290075487427,0.44635688129672424,0.4459121708114898,0.597856597195824,0.5715356621136146,0.49147134599991027,0.0941165456312337,0.7908100584630234,1.9104944698103686e-06,0.33003979167635955,0.0017049330403327966,0.23366412937264333,0.043699676627928966,0.039571567075906755,0.006336835173364223,0.9669882679844071,0.08685309169679681,0.04978845626465047,0.2958033522384228,0.08484544804978382,0.15160335905705696,5.602842075719079e-05,0.01750886120803003,0.9752256235931012,0.000477970921717876,2.225202302149757e-06,0.20371091909078745,3.1695383735580983e-07,0.656134021790804,0.6851958034593043,0.27355637413336603,0.0020794204967405357,0.9964143477043399,0.04664196781152446,0.5341558250436069,0.2397558278197546,0.26905541976005454,0.3646145700681954,0.8137418132923643,0.8576116624726472,0.11015896767543724,0.46495674286797684,1.1512510871287306e-09,0.30083287905526507,0.0004953264628114604,0.7439197947615164,0.03134424618235447,0.0019200366605710121,0.006017936272377632,0.7715818069824721,0.29087655771785004,0.1670498180938504,0.11879731771704087,0.018451850153196073,0.1428377329134195,5.392446805847718e-09,0.005569795055568522,0.345618684427516,0.0025157996547841574,6.174260915004427e-08
Left-Pallidum, nan,nan,nan,nan,0.678047727847146,0.0804454065702462,0.20003310160800988,0.015094537360980759,0.5269187925167198,0.5160649301096396,0.016346059314628045,0.6651524303925876,0.9043450716817052,0.6394362055274456,0.7020331902584185,0.10032850901968322,0.813139032413783,0.6145409217232771,0.8724716526123965,0.23422044433803998,0.2918639391893595,0.5318063060457483,0.5726569064794975,0.9514936609552876,0.27628815607397217,0.9809757525097103,0.9253617898675923,0.3948515922499326,0.018467819824277188,0.7728856229594754,0.05567900103771704,0.5643531407609492,0.1322009130635068,0.4702422701554181,0.4224407644443159,0.2193905361780956,0.3437299014569093,0.47287674471213204,0.9001046302081837,0.29497234078360807,0.9655009244157509,0.2940538512530969,0.3353280316166055,0.010070905565110137,0.27451379388429803,0.48483281718826265,0.4081327612226775,0.054015819537661214,0.21914456683456468,0.02266934082522707,0.724611425988654,0.7693033762893637,0.5630394945784039,0.13097213915550812,0.260719222407849,0.8992774258548197,0.14355268476587396,0.798384264261009,0.21686523155247395,0.9235805996743955,0.9938114952781507,0.8237727975777267,0.015430591285142198,0.5033709167810682,0.011191486686859889,0.4749023650122337,0.10729341151597835,0.33886264242764885,0.7662755974417124,0.09414826092165071,0.7059029885080697,0.2564135218751834,0.7005741903251239,0.49338270636055204,0.7986367842811448,0.6299311978375004,0.7936429492431634,0.00469863743287539,0.03223239708638604,0.24417393264213147,0.19183713643538924,0.08509728435120206
Left-Hippocampus, nan,nan,nan,nan,nan,0.15091401528493092,0.8174959422463123,0.08129388140293746,0.8382406208489369,0.576488638059864,0.46200136192360963,0.011345503400569674,0.01327528633082247,0.009729460779501344,0.00448399941357223,0.022856415258451224,0.20296902804898154,0.7993360174179778,0.0780161866538126,0.2494733433218481,0.3847240028774044,0.03029840355209036,0.8125446303184084,0.8870050094468575,0.009205886539355801,0.6110964413081648,0.10862677936685321,0.12498063546404937,0.12659229650707687,0.09233091289995307,3.655589969652574e-05,0.2780391581166174,0.0027161261963423397,0.7158256838076449,0.001274415593155351,0.022170825860237105,0.00936054663345036,0.5438350429179941,0.02679700725975297,0.10379070781679278,0.11822332062676683,0.19173346453695664,0.0023527988329461414,6.605292191048809e-05,0.5875730947684937,0.14426381475814262,0.007342886562862588,0.0009890231126899601,0.007125879829590281,0.02105091666536194,0.31673161690464363,0.8467610228777626,0.161716585427287,0.19571762837284254,0.47197441041885424,0.04043606601523931,0.8325161716972445,0.6529546573004654,0.016276125714759903,0.5631212136632873,0.21037202335995067,0.09530088038809884,0.015570542374475548,0.008550959020467175,0.00233875409075489,0.46994624818285635,0.033125071614451294,0.31344446249771785,0.0012376424949813987,0.025625717344861198,0.03858435925772528,0.4599905964556793,0.01193231998482437,0.1601646483711863,0.2636864574658246,0.13441741803302257,0.00013156447837821758,0.001538375579129888,0.27997546678252205,0.12277879327942472,0.0002808871352973571,0.0034067848569437494
Left-Amygdala, nan,nan,nan,nan,nan,nan,0.23465440533085735,0.0011550400653831808,0.6321364740562285,0.9249331402660224,0.6034906083463438,0.13582006328854448,0.1080006322357436,0.0877512743607224,0.03252749863359224,0.17999753937400287,0.4739590462644201,0.5873069276545542,0.050792611100261044,0.9383365967738306,0.9297395385387102,0.4334990643783041,0.05895444046545813,0.6137408207795183,0.09324276141958446,0.4337365099379167,0.0027244230796016978,0.1650060699068658,0.10755967859734376,0.134843158451462,0.0036966117291685544,0.5745916278346339,0.04096974984646019,0.24140032066687545,0.14982098131858088,0.11266156242318297,0.13148840395377148,0.17475056016985896,0.0005765818041019516,0.3722772291264974,0.012472446101104042,0.920291466113556,0.035425816740172346,0.17383355545378673,0.06947798212769454,0.2846516617086542,0.3171841418795817,0.22624352699270464,0.04165614408855628,0.3097976947038393,0.8193424915188221,0.9388918534736498,0.3729132155283791,0.9836498517985863,0.5012589244606015,0.8040984261113083,0.12719028388662626,0.9159980715323636,0.00803565191400323,0.24310954785551964,0.00216739995321341,0.08316714223649169,0.5470815330374971,0.027922248139849778,0.04849121811445219,0.23379271582721592,0.202136548477487,0.034413252417993076,0.031671961792277346,0.10938947979132432,0.13868558153761099,0.5748075179289904,0.0014993017878779007,0.17456814238813959,0.0946800862130399,0.641080284396568,0.015609379237149201,0.13514643044053753,0.7773358067225371,0.29080101174061324,0.02869351083476458,0.0942095798054384
Left-Accumbens-area, nan,nan,nan,nan,nan,nan,nan,0.7564885258360043,0.02136479699114893,0.7483779675484427,0.1100265517828682,0.3436595938055206,0.7084445758886603,0.5642049044997016,0.3568551144350697,0.21324037715765387,0.8230855441926634,0.85710778616595,0.1711429806565367,0.06844224435624768,0.9700002645300261,0.0010087022411754693,0.6417340439607937,0.6065399955701714,0.5251217162001061,0.501253040854141,0.5233516657411198,0.6741967668678546,0.13501855306930263,0.4011759567518004,0.2313553331030434,0.11600710931360647,0.13942446158725605,0.36599446895115206,0.24591275434446677,0.2676871581941262,0.6178411308774131,0.16872337794759873,0.024748028316275806,0.4879404891423118,0.6888398005395785,0.8067502258429815,0.05483017925551526,0.5488365582884362,0.02212507927950163,0.26292109013250603,0.0002736374120184559,0.03554169544402566,0.5164784287557591,0.1327606254670162,0.64258931885527,0.5504669700412519,0.14497476401173015,0.07052818344497723,0.9425537923200454,0.03583492609001689,0.6050168345316271,0.5683690563802588,0.2872313036889348,0.35247734081387905,0.1682563075680256,0.8922310757304786,0.02295434464699647,0.5461206789102624,0.9499928136977361,0.016836455390544878,0.8220309903874241,0.19917147426786613,0.3541046872226612,0.17956374462490957,0.6205207700224755,0.16308786909343942,0.017399114372134206,0.24240219581883474,0.33905105618280384,0.7238338725568916,0.043004102374945855,0.22487209631208258,0.007123064791283345,0.41550360363651817,0.0004443245371841231,0.16455268760224206
Right-Thalamus-Proper, nan,nan,nan,nan,nan,nan,nan,nan,0.045499469054320646,0.40185216877929275,0.4696601227678048,0.23391542887202618,0.11678170265972855,0.646251704399109,0.0007157066076416854,0.19996019657710587,0.00037157644162968473,0.002118341080429542,0.5189943379624453,0.02147595776170716,0.0076624556769321,0.17432770959270108,0.35133199672130044,0.026184480480073637,0.5101750758403977,0.0031367773609879504,0.29455274696687644,0.004890107921902994,0.8042197363288996,0.00021573421773827333,0.6914750513006738,0.5005828446364933,0.7334992418049013,0.8628569636906362,0.0002648864738210337,0.7133053809535004,2.286148703387333e-05,0.2107522406760962,0.3371079416140169,0.9945315534158194,0.014999877815206465,0.0009708493166577972,9.486627760750103e-05,0.5868551224729232,0.4539296422919854,0.21695242610200746,0.2899496298300494,0.0706829169899169,0.00390292225477674,0.02719318370662963,0.17115686720641782,0.012862604906537518,0.43802261301966283,0.04182687318038387,0.2065404653563998,0.33973261349869055,0.37992747986507835,0.004965616962434731,0.1978423877478771,0.0028595587871235273,0.7298756772066546,0.030516241289452517,0.47454872810311743,0.0016912826353651877,0.14411205747641334,0.6774637407209521,0.6246754690774937,0.62184738887327,2.1970884945972484e-05,0.12799192145332153,7.660219733271608e-06,0.4226633400169082,0.054023320861506435,0.05965663284549422,0.2731257255475625,0.0004778000337849837,8.13624425401432e-05,0.25313944354757334,0.5471563119664079,0.8198229417044663,0.6999836568405613,0.0568900500348332
Right-Caudate, nan,nan,nan,nan,nan,nan,nan,nan,nan,0.32506178443084344,0.1776585854641065,0.6995384237195201,0.12882188584712845,0.06544068765697551,0.9776600113990299,0.13618789970176806,0.2565249501466331,0.7749548514854588,0.1133659772373524,0.05828991990128315,0.16774880501447967,0.003906051084495465,0.8407079375827244,0.47027314845529733,0.9923429929920677,0.4249904639459712,0.5634113976712234,0.6882800194097054,0.058177979665144035,0.13326457130909852,0.0002599785859088957,0.8731918089260446,0.029708810374064983,0.06021261071569702,0.512454141021879,0.2397021738808321,0.6476086551024505,0.18101716646194072,0.39805633478499935,0.014087068002808492,0.4409435326529767,0.14200713143236593,0.3314819889995768,3.862607081049508e-05,0.19719434372605985,0.2317353001638369,0.000594450837453963,0.11207960532479365,0.4219649879261743,0.036420565813920815,0.012440742942527864,0.8470873503361096,0.011565567169603302,0.06646385581891817,0.007365610555428987,0.0001936000646840956,0.7911647030836018,0.7039413741861822,0.2451671867774623,0.54494960014983,0.8567169286026043,0.08545851588861945,0.21610749821947445,0.5495663706494929,0.0002167693953104664,0.6701236994734372,0.10705526936812984,0.22528422081275476,0.30838145727105404,0.04705131807707373,0.7913117511558643,0.011152091492571056,0.20183749355896738,0.007424733290526455,0.6240616618209116,0.1686948631938236,0.7286008802187682,1.4836661791766495e-05,0.011281146878675263,0.7650295354007601,0.2012100986541139,0.11397236148448764
Right-Putamen, nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.09778582713358437,0.2713324741329207,0.1652977054359059,0.9674087049917326,0.1859096235565046,4.746795128296444e-06,0.49561236420550514,0.5872479576211038,0.1463404509844535,0.04132587811781123,0.1737818700032264,0.2767937181988778,0.1905766276225609,0.3124289451130619,0.14577156468628352,0.448115758303987,0.9351387913431908,0.2881207042264301,0.28023987389353155,0.7594836797076664,3.760491634418785e-07,0.7374944062891148,0.0007946961437764948,0.13170929163669465,0.23002305028134276,0.08808268178591334,0.020154182504706627,0.6021434594730903,0.09570041224039881,0.024788916668406775,0.43579495611734,0.165045434977238,0.051346108312978686,7.438628111359147e-05,0.09606175226618431,0.616200972564036,0.000514278050077601,1.679189479024088e-07,0.20044204084366088,1.621999897528458e-08,0.6925921080913464,0.7377486381902785,0.20702831130678048,0.004391418715094262,0.7681024951557613,0.12694993323963663,0.3845942775061072,0.27046211498624706,0.10163972870699775,0.4440523639134081,0.9100387706029572,0.48422510364042004,0.16814875752400332,0.6983677508604452,2.345674116929796e-13,0.44073971227002073,1.1522850763347157e-05,0.4765306560278767,0.23154246590486485,0.0006273633590850785,0.015396877864425382,0.9404009711267562,0.12335135195904676,0.030362272411241148,0.06999451540934216,0.027040273090552243,0.2866526412757345,2.6547659717042355e-11,0.012270171519025465,0.23528269556737555,0.007053342097060071,1.5374972728320795e-07
