# File generated on 2024-02-04 11:33:00
# Number of participants: 148
# Number of patients (schizophrenia): 74
# Number of controls: 74
# 1 datasets were included:
# - COBRE
# Effect size betas (regression coefficient of the linear model).
region,volume,surface area,thickness
Left-Thalamus-Proper, nan,nan,nan
Left-Caudate, 2.7962584284533767,nan,nan
Left-Putamen, 38.3440677737078,nan,nan
Left-Pallidum, 110.1461952444995,nan,nan
Left-Hippocampus, -271.9777539154145,nan,nan
Left-Amygdala, -117.53272783993148,nan,nan
Left-Accumbens-area, -45.26219626849514,nan,nan
Right-Thalamus-Proper, nan,nan,nan
Right-Caudate, 3.913047830442554,nan,nan
Right-Putamen, 20.14156515124022,nan,nan
Right-Pallidum, 107.0831826836916,nan,nan
Right-Hippocampus, -226.06861318616794,nan,nan
Right-Amygdala, -74.49802263706958,nan,nan
Right-Accumbens-area, -38.04825543245982,nan,nan
ctx-lh-bankssts, -179.11510922391707,-57.46755516398118,-0.058264403083859044
ctx-lh-caudalanteriorcingulate, -39.159916820316276,-21.158083540404675,-0.0052821433247449085
ctx-lh-caudalmiddlefrontal, -323.0504751926224,-79.45568516742495,-0.051349393379426816
ctx-lh-cuneus, -151.66446099025495,-53.03385364836209,-0.026961882499678194
ctx-lh-entorhinal, -103.15975220857352,-13.920238598677983,-0.08827129448875715
ctx-lh-fusiform, -682.9086769764668,-138.97659646451442,-0.05011203943628125
ctx-lh-inferiorparietal, -610.1727079578859,-175.36404849813533,-0.023590556901607294
ctx-lh-inferiortemporal, -651.1757214953323,-117.15547098507847,-0.05604906282525874
ctx-lh-isthmuscingulate, 12.867963980050629,11.107966678137938,-0.00972616790437269
ctx-lh-lateraloccipital, -687.3907132900605,-219.46326830850538,-0.016289285452465108
ctx-lh-lateralorbitofrontal, -451.99738174203384,-73.91904596290757,-0.08749322287869143
ctx-lh-lingual, -281.94014330807596,-98.8890547842889,-0.014753549359998222
ctx-lh-medialorbitofrontal, -231.07844461925086,-38.22627368829876,-0.06353402948682345
ctx-lh-middletemporal, -895.291152828178,-170.28662588370727,-0.0876731518066786
ctx-lh-parahippocampal, -103.64995263686434,-28.509470183040264,-0.033022855809132196
ctx-lh-paracentral, -121.60634771483657,-11.887400950196387,-0.036437330312560696
ctx-lh-parsopercularis, -52.36741342962033,9.365952310712244,-0.0498013741576983
ctx-lh-parsorbitalis, -224.29922826441782,-37.22233319640402,-0.10990545414807228
ctx-lh-parstriangularis, -118.6758947558656,-5.789558334984958,-0.06894017698963031
ctx-lh-pericalcarine, -88.9311183325017,-85.53708371899991,0.00544581421995601
ctx-lh-postcentral, -268.9521450676679,-42.571215075516065,-0.04815764796908902
ctx-lh-posteriorcingulate, -22.995090191753707,4.043733147446847,-0.017994652960730016
ctx-lh-precentral, -544.849605066491,-32.41112251583203,-0.07714326492875505
ctx-lh-precuneus, -92.19577004842168,-15.100749087093256,-0.016920782178730838
ctx-lh-rostralanteriorcingulate, -159.53040907444736,-19.703972554675445,-0.0874692168307129
ctx-lh-rostralmiddlefrontal, -760.7377983273071,-230.22315182104856,-0.02059831930208348
ctx-lh-superiorfrontal, -1040.4358483035464,-194.1686497532358,-0.05285256795459116
ctx-lh-superiorparietal, -323.6064809504155,-111.6865884598729,-0.008795320828088626
ctx-lh-superiortemporal, -700.4536302019092,-97.52108125512105,-0.07564727100458504
ctx-lh-supramarginal, -328.5134580226491,-63.20530023078888,-0.05703976035742454
ctx-lh-frontalpole, 22.75272054229214,-5.318627521199139,0.034734726952135954
ctx-lh-temporalpole, -84.4081942670795,-10.223922808505277,-0.060384730793299236
ctx-lh-transversetemporal, -32.333275466431445,-17.090095430501826,-0.003957833924325982
ctx-lh-insula, -180.78709896610903,21.565319943510243,-0.07927098416621745
ctx-rh-bankssts, -60.765257302302686,-28.99235546576514,0.0044100361348673525
ctx-rh-caudalanteriorcingulate, -51.63852419077987,-4.270888294627138,-0.029929146825215157
ctx-rh-caudalmiddlefrontal, 52.903711713727006,52.97080928350537,-0.034017243917694014
ctx-rh-cuneus, -91.60360387256529,-29.72694114508014,-0.0207210584995164
ctx-rh-entorhinal, -116.08558704083046,-22.602555362612424,-0.0608540637441758
ctx-rh-fusiform, -510.23114079287376,-86.25230482770199,-0.05974862681453977
ctx-rh-inferiorparietal, -1027.986221201167,-270.62388896368935,-0.027440563035889484
ctx-rh-inferiortemporal, -634.0239558723567,-87.50982425729963,-0.07333112626105093
ctx-rh-isthmuscingulate, -67.33221173144673,-6.154250064293699,-0.021988009241368896
ctx-rh-lateraloccipital, -588.4943467816597,-127.03861723711587,-0.03268332718723071
ctx-rh-lateralorbitofrontal, -468.51874636700774,-95.67854323079926,-0.05158398624683915
ctx-rh-lingual, -307.7584904576105,-112.83985349282467,-0.014406580173389331
ctx-rh-medialorbitofrontal, -233.03909231449578,-31.395842687164183,-0.029479173181349395
ctx-rh-middletemporal, -791.2083315710128,-166.41239525930717,-0.052268156607438054
ctx-rh-parahippocampal, -50.828308145365014,-5.628873601716084,-0.04849865744970977
ctx-rh-paracentral, -124.99905131603232,5.499795520066011,-0.0657735383387312
ctx-rh-parsopercularis, -96.63719056579932,1.9378267960044389,-0.059902622809734164
ctx-rh-parsorbitalis, -104.19395996178322,-21.672092317292336,-0.0527666645631807
ctx-rh-parstriangularis, -136.6550926661562,-45.35077466889035,-0.017716036178451654
ctx-rh-pericalcarine, -69.24114932462663,-68.38311413131385,0.00020737446613475395
ctx-rh-postcentral, -207.3419790195454,-22.773832946370547,-0.03904081304239922
ctx-rh-posteriorcingulate, -77.60839996006719,-4.852185576287539,-0.03208366804820821
ctx-rh-precentral, -481.1428275669157,13.82992107390776,-0.08041856964581427
ctx-rh-precuneus, -333.0648532388581,-71.42533932413467,-0.024817962273707375
ctx-rh-rostralanteriorcingulate, -44.02516076939928,-5.854167026236531,-0.027134883292787355
ctx-rh-rostralmiddlefrontal, -843.4235311478086,-286.9856010654827,-2.937925941059255e-06
