# File generated on 2024-02-04 11:33:00
# Number of participants: 44
# Number of patients (schizophrenia): 22
# Number of controls: 22
# 1 datasets were included:
# - MCICShare
# Effect size betas (regression coefficient of the linear model).
region,volume,surface area,thickness
Left-Thalamus-Proper, nan,nan,nan
Left-Caudate, -26.74492720337659,nan,nan
Left-Putamen, -159.91990836797993,nan,nan
Left-Pallidum, -122.9425111812135,nan,nan
Left-Hippocampus, -464.0130323040606,nan,nan
Left-Amygdala, -185.65086201538134,nan,nan
Left-Accumbens-area, -14.995335901748858,nan,nan
Right-Thalamus-Proper, nan,nan,nan
Right-Caudate, -117.12806463827518,nan,nan
Right-Putamen, -45.123333434566796,nan,nan
Right-Pallidum, -123.05273152950333,nan,nan
Right-Hippocampus, -491.69004523172964,nan,nan
Right-Amygdala, -169.08526255180885,nan,nan
Right-Accumbens-area, -40.93440781845827,nan,nan
ctx-lh-bankssts, -142.65087353189756,-33.86627195282779,-0.11263811179456176
ctx-lh-caudalanteriorcingulate, -145.76774826744492,-49.83067773805705,0.03034950147066668
ctx-lh-caudalmiddlefrontal, -465.36566443743317,-121.89543887873538,-0.05788614087976356
ctx-lh-cuneus, -415.13146536894715,-157.0396438075491,-0.042971247876248744
ctx-lh-entorhinal, -318.2872578754409,-51.27150083930196,-0.2309635289849188
ctx-lh-fusiform, -927.3871166722304,-248.27195803433557,-0.06746245640699065
ctx-lh-inferiorparietal, -1943.985397149746,-527.5242599370938,-0.07627041870019542
ctx-lh-inferiortemporal, -1538.527249772449,-350.4225522771815,-0.13638783748640154
ctx-lh-isthmuscingulate, -345.6528296347648,-106.18785066198771,-0.05382581963564179
ctx-lh-lateraloccipital, -813.467241902371,-162.72974921365494,-0.08022067103715727
ctx-lh-lateralorbitofrontal, -725.7888488954334,-165.15839913952067,-0.06035650992546152
ctx-lh-lingual, -591.8600216238813,-210.9413192305432,-0.03423161728581743
ctx-lh-medialorbitofrontal, -415.56994780493704,-164.24489247791004,-0.007312558392482427
ctx-lh-middletemporal, -1152.81216933877,-238.94764796757403,-0.08465845022862482
ctx-lh-parahippocampal, -188.5116876430493,-35.37710104764627,-0.1307495943083985
ctx-lh-paracentral, -296.15628352231437,-114.6986229238416,-0.034913377785195786
ctx-lh-parsopercularis, -241.5863210572199,-19.314030800263758,-0.07752913881529867
ctx-lh-parsorbitalis, -187.44085166127195,-9.14874835488461,-0.1264563031213911
ctx-lh-parstriangularis, -13.109467547929398,27.20288110366867,-0.05783334523561344
ctx-lh-pericalcarine, -286.97227180709365,-129.94385724241232,-0.052342139577239814
ctx-lh-postcentral, -782.8265980387148,-157.31974808217225,-0.07872545250609957
ctx-lh-posteriorcingulate, -143.8694715587485,-72.94148150830705,0.018164801056877015
ctx-lh-precentral, -1290.3653780202014,-179.27648572298256,-0.13833723067229414
ctx-lh-precuneus, -901.7060191637319,-339.4225333938461,-0.03258318573231665
ctx-lh-rostralanteriorcingulate, -362.141822331506,-114.85556129731822,0.02270056372237789
ctx-lh-rostralmiddlefrontal, -2326.310058140393,-520.8965671546009,-0.12103338313900465
ctx-lh-superiorfrontal, -2535.2757933597786,-498.7973375351276,-0.106892528974759
ctx-lh-superiorparietal, -1147.9459333790314,-443.04142111187775,-0.019634401255964898
ctx-lh-superiortemporal, -556.3603441921492,67.75837497200081,-0.12752993501515777
ctx-lh-supramarginal, -371.4348397073263,63.486417093994355,-0.09824655271994508
ctx-lh-frontalpole, -76.7658181527057,-21.556956731998984,-0.06613350280855712
ctx-lh-temporalpole, -322.1801670542075,-46.83001351732893,-0.22398446075477377
ctx-lh-transversetemporal, -20.03804746933344,22.566613198933098,-0.14634532485477023
ctx-lh-insula, -523.038467935584,-126.39014250204032,-0.06796983415229048
ctx-rh-bankssts, -344.5154582979252,-85.60268966585821,-0.1399967616841322
