# File generated on 2024-02-04 11:33:01
# Number of participants: 124
# Number of patients (schizophrenia): 62
# Number of controls: 62
# 1 datasets were included:
# - SCHIZOPHRENIA_LONGBIAO_3_Dataset1_SIEMENS
# P-value.
region,volume,surface area,thickness
Left-Thalamus-Proper, nan,nan,nan
Left-Caudate, 0.5694895182877242,nan,nan
Left-Putamen, 0.6323714994503347,nan,nan
Left-Pallidum, 0.5003562826240995,nan,nan
Left-Hippocampus, 0.01613684921893141,nan,nan
Left-Amygdala, 0.19329298319771687,nan,nan
Left-Accumbens-area, 0.10055889910731819,nan,nan
Right-Thalamus-Proper, nan,nan,nan
Right-Caudate, 0.8348107277902534,nan,nan
Right-Putamen, 0.8901254955078389,nan,nan
Right-Pallidum, 0.7459784909986056,nan,nan
Right-Hippocampus, 0.050927373714397,nan,nan
Right-Amygdala, 0.6018583068212913,nan,nan
Right-Accumbens-area, 0.013681213628586425,nan,nan
ctx-lh-bankssts, 0.19269676764090785,0.408662389979897,0.1232578801439452
ctx-lh-caudalanteriorcingulate, 0.912126095745674,0.926530630628468,0.8696183005653182
ctx-lh-caudalmiddlefrontal, 0.23368536834679232,0.4785883212559945,0.18271487091348
ctx-lh-cuneus, 0.04115597448529567,0.058477955939257545,0.31971596839278177
ctx-lh-entorhinal, 0.7903197362146077,0.7353130278128596,0.656238089843402
ctx-lh-fusiform, 0.019419760515185416,0.1576089380157614,0.014291065495770748
ctx-lh-inferiorparietal, 0.8584102667052764,0.826373932009584,0.12971336353887625
ctx-lh-inferiortemporal, 0.27712243870211906,0.540877920255498,0.04621699147406243
ctx-lh-isthmuscingulate, 0.9818077305343923,0.8733468296296755,0.34425421856039784
ctx-lh-lateraloccipital, 0.44312134213624,0.49364733411791717,0.4111144517427857
ctx-lh-lateralorbitofrontal, 0.9787053010366447,0.8319789309079064,0.7895366925882432
ctx-lh-lingual, 0.7040620086102569,0.707972915678365,0.6904993773350178
ctx-lh-medialorbitofrontal, 0.6831101545641773,0.805359934396173,0.6376209140796978
ctx-lh-middletemporal, 0.2100381471207455,0.48019129443732855,0.06093188255993654
ctx-lh-parahippocampal, 0.9542007934549342,0.4325702382224109,0.32206650892065203
ctx-lh-paracentral, 0.6194101645292291,0.4781322679769162,0.5807480607932006
ctx-lh-parsopercularis, 0.3756183264428452,0.7245887121211585,0.1703968236745725
ctx-lh-parsorbitalis, 0.703186652043504,0.8005838172767223,0.4611327335424039
ctx-lh-parstriangularis, 0.41311178324333886,0.5729446122661608,0.2442872700861998
ctx-lh-pericalcarine, 0.32428933733883325,0.2543731331480104,0.8183246056334194
ctx-lh-postcentral, 0.10423855436692088,0.28075622784786597,0.08510127561494209
ctx-lh-posteriorcingulate, 0.44829931136249457,0.300656817037532,0.18724041364594682
ctx-lh-precentral, 0.6805510830767251,0.8937648179413373,0.25984408551874194
ctx-lh-precuneus, 0.6972253502737698,0.2993234208271119,0.09876699943039065
ctx-lh-rostralanteriorcingulate, 0.5370623229639253,0.5266461201560944,0.3945518533745561
ctx-lh-rostralmiddlefrontal, 0.31175637720760546,0.4097693085841899,0.8127327009441434
ctx-lh-superiorfrontal, 0.693696557803094,0.8462804174064744,0.4216424938772102
ctx-lh-superiorparietal, 0.8811809788344207,0.5515347501256429,0.06744180712373446
ctx-lh-superiortemporal, 0.10476226570998566,0.24503138646035313,0.1370558480504309
ctx-lh-supramarginal, 0.47161895222815176,0.6279208347698788,0.23801290595154612
ctx-lh-frontalpole, 0.6850583479462777,0.38688717749932666,0.9810875163217045
ctx-lh-temporalpole, 0.3640593584045799,0.3056472929130303,0.41855998527410665
ctx-lh-transversetemporal, 0.5105575125004838,0.8200307302701504,0.3014584702128733
ctx-lh-insula, 0.8467876158439654,0.32265824066782467,0.13771028277961606
ctx-rh-bankssts, 0.02102590901125405,0.07482093692280159,0.02847718614689287
ctx-rh-caudalanteriorcingulate, 0.22247901911170273,0.19552713870814217,0.4431834756724117
ctx-rh-caudalmiddlefrontal, 0.12543963264454405,0.29028332694297426,0.10855912329382666
ctx-rh-cuneus, 0.6095376208887298,0.847882689595812,0.6791658580208395
ctx-rh-entorhinal, 0.27159278585049235,0.40523399387240167,0.7567567866915021
ctx-rh-fusiform, 0.05344032816854453,0.08070862229195747,0.05542138092237081
ctx-rh-inferiorparietal, 0.9278187001703014,0.6230589282570665,0.08625907306387426
ctx-rh-inferiortemporal, 0.4951992870848423,0.5426875680580365,0.433546613160392
ctx-rh-isthmuscingulate, 0.1892204631764305,0.2046481510268463,0.9711448058961822
ctx-rh-lateraloccipital, 0.10558714161947855,0.20624387068298167,0.5744751875363476
ctx-rh-lateralorbitofrontal, 0.9352705161906784,0.6214780692595208,0.3783042375280542
ctx-rh-lingual, 0.5540713375789745,0.8109877336184534,0.3577818239223075
ctx-rh-medialorbitofrontal, 0.26775753358975934,0.27748075398347377,0.833863152761116
ctx-rh-middletemporal, 0.31036715906074586,0.5424886552971611,0.07938643760005899
ctx-rh-parahippocampal, 0.41234783888405524,0.9319020694385629,0.14101678132083312
ctx-rh-paracentral, 0.40017089522259286,0.5379116351691513,0.7207515773752912
ctx-rh-parsopercularis, 0.39852767378036436,0.5536723037232392,0.6458421828985406
ctx-rh-parsorbitalis, 0.49640602739430095,0.7839775363341644,0.7560785046947787
ctx-rh-parstriangularis, 0.8839531102323502,0.935419293289544,0.5225741703099405
ctx-rh-pericalcarine, 0.6142771694590271,0.2888738543402116,0.6921920479236963
ctx-rh-postcentral, 0.8714368778610817,0.574530484329566,0.12392237512277468
ctx-rh-posteriorcingulate, 0.03873051144010221,0.028554265160786654,0.6776698054878205
ctx-rh-precentral, 0.47329186286608516,0.7102719340848769,0.18431771505658487
ctx-rh-precuneus, 0.9592663134189061,0.34619886957519874,0.005934535397716762
ctx-rh-rostralanteriorcingulate, 0.5973692365211712,0.8391234875202848,0.08598919807804002
ctx-rh-rostralmiddlefrontal, 0.6967043502731638,0.9562300358080322,0.64928112741932
ctx-rh-superiorfrontal, 0.9141626915052053,0.9093054325540922,0.8446086955345748
ctx-rh-superiorparietal, 0.751940309824177,0.8905515802694605,0.07756939348516971
ctx-rh-superiortemporal, 0.05310446196273566,0.1832696306039024,0.1435856915158848
ctx-rh-supramarginal, 0.4827454196205164,0.8326619700897194,0.05358718559525781
ctx-rh-frontalpole, 0.2859858400137887,0.8178768785614274,0.7124768547975097
ctx-rh-temporalpole, 0.7795733336029187,0.4514975442295406,0.056267580791045754
ctx-rh-transversetemporal, 0.8184621786834476,0.43085153306158785,0.8363864923524946
ctx-rh-insula, 0.5786287950228182,0.6548636201764322,0.5421905311068106
