# File generated on 2024-02-04 11:33:01
# Number of participants: 166
# Number of patients (schizophrenia): 83
# Number of controls: 83
# 1 datasets were included:
# - SCHIZOPHRENIA_LONGBIAO_3_Dataset1_set750
# Effect size betas (regression coefficient of the linear model).
region,volume,surface area,thickness
Left-Thalamus-Proper, nan,nan,nan
Left-Caudate, -74.92211577435397,nan,nan
Left-Putamen, 38.84432888697737,nan,nan
Left-Pallidum, -13.123422625248393,nan,nan
Left-Hippocampus, -283.19990295000247,nan,nan
Left-Amygdala, -100.94040581805359,nan,nan
Left-Accumbens-area, -45.88350731793482,nan,nan
Right-Thalamus-Proper, nan,nan,nan
Right-Caudate, -60.68339554190826,nan,nan
Right-Putamen, -7.341310596427549,nan,nan
Right-Pallidum, -33.32912113445648,nan,nan
Right-Hippocampus, -283.6822429071486,nan,nan
Right-Amygdala, -104.07194789896135,nan,nan
Right-Accumbens-area, -65.02622355728782,nan,nan
ctx-lh-bankssts, -119.28265758165774,-26.19430590077233,-0.04712979316766122
ctx-lh-caudalanteriorcingulate, -209.58749489652652,-57.417120097902846,-0.019236329906446383
ctx-lh-caudalmiddlefrontal, -201.7950845452953,-42.44549679845022,-0.027645331704290167
ctx-lh-cuneus, -63.907439707593745,-25.870626381122584,-0.002176159375156533
ctx-lh-entorhinal, 71.55335953136756,21.69429032729401,-0.04305878137601079
ctx-lh-fusiform, -295.00105999400677,-98.41729162068626,-0.04948543643085118
ctx-lh-inferiorparietal, -344.24335065913965,-37.61980626947862,-0.040398924481982235
ctx-lh-inferiortemporal, -697.3459802999878,-125.93426581943838,-0.07047145189820875
ctx-lh-isthmuscingulate, -198.31379790571597,-68.52024753621284,-0.007358987791262854
ctx-lh-lateraloccipital, -439.32350441906783,-164.7467347383046,-0.009897152443602696
ctx-lh-lateralorbitofrontal, -495.7924078124916,-137.20995158364025,-0.06310719191063935
ctx-lh-lingual, -282.502254911393,-165.41121365830705,0.0031681450363046236
ctx-lh-medialorbitofrontal, -186.93168361200097,-62.40853166615409,-0.015418252490280306
ctx-lh-middletemporal, -664.6135481240567,-121.95751984438277,-0.057178931992873314
ctx-lh-parahippocampal, -39.2928923088549,-43.67815771267584,0.06579999427274684
ctx-lh-paracentral, -80.24312308672158,-4.890163691528077,-0.03165862033499798
ctx-lh-parsopercularis, -324.1927502395841,-76.36067328876243,-0.05595714616229441
ctx-lh-parsorbitalis, -87.5468098875091,-30.659859958018643,-0.052552688339170664
ctx-lh-parstriangularis, -300.4383992097462,-73.16404689465836,-0.0669839911479333
ctx-lh-pericalcarine, -47.65657805892432,-59.77568532692931,0.02583941373328802
ctx-lh-postcentral, -408.3163502458727,-109.93571889312196,-0.031254458791107435
ctx-lh-posteriorcingulate, -220.1073124546306,-72.5082600741217,-0.01185573875758271
ctx-lh-precentral, -680.8275010131832,-102.45227480772195,-0.06328336046319803
ctx-lh-precuneus, -175.19999474623089,-54.239955470303066,-0.01380112614462927
ctx-lh-rostralanteriorcingulate, -184.76368901706962,-53.866477867289305,0.014211835970658039
ctx-lh-rostralmiddlefrontal, -543.0540889854619,-106.7425863251769,-0.061632028344710654
ctx-lh-superiorfrontal, -781.399149656663,-109.58811847301735,-0.07139674410552704
ctx-lh-superiorparietal, -303.4801527090962,-104.19282324959747,-0.014434999591223283
ctx-lh-superiortemporal, -895.7266229868542,-233.01577118714852,-0.036336032255994334
ctx-lh-supramarginal, -987.8338103500421,-312.65560250478535,-0.012443276375080988
ctx-lh-frontalpole, 2.6348379559978166,-3.306875638620353,-0.02977300014207825
ctx-lh-temporalpole, 12.376447648057464,6.613516042899193,-0.03366728982572932
ctx-lh-transversetemporal, -107.6374197443173,-31.077245059769346,-0.022444487476899286
ctx-lh-insula, -339.5794956587938,-96.38336977155163,-0.03309423500302332
ctx-rh-bankssts, -138.75759023271476,-40.32050077771078,-0.020791150723502416
ctx-rh-caudalanteriorcingulate, -87.08769872767789,-29.416996675889923,-0.0261539847128841
ctx-rh-caudalmiddlefrontal, -294.6886226274865,-101.53403570768506,-0.019387008108836812
ctx-rh-cuneus, -23.009416150367073,-32.528267370560975,0.025993550284622264
ctx-rh-entorhinal, 73.73138475075613,10.159152964175318,0.09293589981227887
ctx-rh-fusiform, -229.8794061798876,-75.40368338658548,-0.016994736752634975
ctx-rh-inferiorparietal, -1191.6923363482642,-291.10251488847916,-0.019234980890954375
ctx-rh-inferiortemporal, -247.98190006189583,6.565592027795676,-0.03461307990102984
ctx-rh-isthmuscingulate, -78.8878355682868,-9.283560740219437,-0.057823820032953346
ctx-rh-lateraloccipital, -266.1904196797972,-119.783311586465,0.005054246125726514
ctx-rh-lateralorbitofrontal, -404.5646063904889,-131.37258353304512,-0.04244802161785058
