# File generated on 2024-02-04 11:32:59
# Number of participants: 288
# Number of patients (schizophrenia): 144
# Number of controls: 144
# 1 datasets were included:
# - SRPBS1600
# Effect size cohen d (regression coefficient normalized by the pooled SD).
region,volume,surface area,thickness
Left-Thalamus-Proper, nan,nan,nan
Left-Caudate, 0.11894648811112271,nan,nan
Left-Putamen, 0.2970660155821626,nan,nan
Left-Pallidum, 0.35335865144410616,nan,nan
Left-Hippocampus, -0.49530383863864724,nan,nan
Left-Amygdala, -0.36282630067457333,nan,nan
Left-Accumbens-area, -0.24252872300763,nan,nan
Right-Thalamus-Proper, nan,nan,nan
Right-Caudate, 0.11591876605283948,nan,nan
Right-Putamen, 0.2789429633841418,nan,nan
Right-Pallidum, 0.4128867457476949,nan,nan
Right-Hippocampus, -0.632636820280789,nan,nan
Right-Amygdala, -0.20425544591810554,nan,nan
Right-Accumbens-area, -0.3193208385998994,nan,nan
ctx-lh-bankssts, -0.23178070680957705,-0.1723617772358473,-0.3626693283096443
ctx-lh-caudalanteriorcingulate, -0.21585335339588121,-0.09360458765473073,-0.32404564229262256
ctx-lh-caudalmiddlefrontal, -0.31448267250733425,-0.2387026056398522,-0.26413280762795166
ctx-lh-cuneus, -0.11338284931983954,-0.1298918818761505,-0.021417800800232978
ctx-lh-entorhinal, -0.11779785412748851,-0.0312360176828447,-0.18486922192685254
ctx-lh-fusiform, -0.17217587898743783,-0.07776320582051713,-0.3863989877303101
ctx-lh-inferiorparietal, -0.29675617098224,-0.18405953978591932,-0.24546166571987915
ctx-lh-inferiortemporal, -0.3659903303645966,-0.34825015497047335,-0.28832234503769216
ctx-lh-isthmuscingulate, -0.0758993187417209,0.05739501917270737,-0.3367257439298311
ctx-lh-lateraloccipital, -0.16265045690504396,-0.16247848083721003,-0.040034793380291436
ctx-lh-lateralorbitofrontal, -0.23729600453766675,-0.18164939306140745,-0.27319784461285745
ctx-lh-lingual, -0.3156494038260945,-0.2273193632947993,-0.24583072048601007
ctx-lh-medialorbitofrontal, -0.15519711482925005,-0.06761683375075567,-0.1495136606306809
ctx-lh-middletemporal, -0.3641093043917931,-0.19916294439778398,-0.4405206512387165
ctx-lh-parahippocampal, -0.22940636291662087,-0.03431291052643717,-0.2003749215344455
ctx-lh-paracentral, -0.04724352046980511,-0.057570548746033026,0.08221238341150032
ctx-lh-parsopercularis, -0.19291747820415017,-0.1285662160318584,-0.2602904908510812
ctx-lh-parsorbitalis, -0.3714230574467322,-0.19505734430925986,-0.4651018136434072
ctx-lh-parstriangularis, -0.21219469869501334,-0.07633945588791283,-0.44485855950271236
ctx-lh-pericalcarine, -0.04098360709695516,-0.1941854239487155,0.2482652794167869
ctx-lh-postcentral, -0.26132290539297304,-0.269364981957398,-0.047353771556045546
ctx-lh-posteriorcingulate, -0.162326600749569,-0.16992340818639323,-0.07120633748276409
ctx-lh-precentral, -0.25627688301032675,-0.3036790227576001,-0.07574107657553787
ctx-lh-precuneus, -0.061136689742660004,-0.09584539654893941,0.07144678489823544
