# File generated on 2024-02-04 08:54:14
# Number of participants: 54
# Number of patients (schizophrenia): 27
# Number of controls: 27
# 1 datasets were included:
# - CNP
# Effect size cohen d (regression coefficient normalized by the pooled SD).
x,Left-Thalamus-Proper,Left-Caudate,Left-Putamen,Left-Pallidum,Left-Hippocampus,Left-Amygdala,Left-Accumbens-area,Right-Thalamus-Proper,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,ctx-lh-bankssts,ctx-lh-caudalanteriorcingulate,ctx-lh-caudalmiddlefrontal,ctx-lh-cuneus,ctx-lh-entorhinal,ctx-lh-fusiform,ctx-lh-inferiorparietal,ctx-lh-inferiortemporal,ctx-lh-isthmuscingulate,ctx-lh-lateraloccipital,ctx-lh-lateralorbitofrontal,ctx-lh-lingual,ctx-lh-medialorbitofrontal,ctx-lh-middletemporal,ctx-lh-parahippocampal,ctx-lh-paracentral,ctx-lh-parsopercularis,ctx-lh-parsorbitalis,ctx-lh-parstriangularis,ctx-lh-pericalcarine,ctx-lh-postcentral,ctx-lh-posteriorcingulate,ctx-lh-precentral,ctx-lh-precuneus,ctx-lh-rostralanteriorcingulate,ctx-lh-rostralmiddlefrontal,ctx-lh-superiorfrontal,ctx-lh-superiorparietal,ctx-lh-superiortemporal,ctx-lh-supramarginal,ctx-lh-frontalpole,ctx-lh-temporalpole,ctx-lh-transversetemporal,ctx-lh-insula,ctx-rh-bankssts,ctx-rh-caudalanteriorcingulate,ctx-rh-caudalmiddlefrontal,ctx-rh-cuneus,ctx-rh-entorhinal,ctx-rh-fusiform,ctx-rh-inferiorparietal,ctx-rh-inferiortemporal,ctx-rh-isthmuscingulate,ctx-rh-lateraloccipital,ctx-rh-lateralorbitofrontal,ctx-rh-lingual,ctx-rh-medialorbitofrontal,ctx-rh-middletemporal,ctx-rh-parahippocampal,ctx-rh-paracentral,ctx-rh-parsopercularis,ctx-rh-parsorbitalis,ctx-rh-parstriangularis,ctx-rh-pericalcarine,ctx-rh-postcentral,ctx-rh-posteriorcingulate,ctx-rh-precentral,ctx-rh-precuneus,ctx-rh-rostralanteriorcingulate,ctx-rh-rostralmiddlefrontal,ctx-rh-superiorfrontal,ctx-rh-superiorparietal,ctx-rh-superiortemporal,ctx-rh-supramarginal,ctx-rh-frontalpole,ctx-rh-temporalpole,ctx-rh-transversetemporal,ctx-rh-insula
Left-Thalamus-Proper, nan,-0.1507197338273606,-0.42506121524394175,-0.13844191569537936,0.15645154885119386,0.08675381116396415,-0.20364519081219398,-0.18719707583565,-0.3674918274524828,-0.6586606034904874,-0.31706958750869,-0.21000478848888052,nan,nan,nan,nan,nan,0.4238455635281338,0.257943045512434,0.2712094965486651,-0.23785619612709022,0.7627848307718321,0.15658319593804346,-0.45775687769681794,0.13442038987015484,0.10000521820660749,-0.2960189981272206,0.229812175544411,-0.7630145757267013,-0.5373800340572317,-0.6654074164153028,-0.8405808897088527,-0.6624662918234557,0.1550560708365857,-0.3498642354320542,0.043935696493383795,0.29503564210939476,0.40700328233044836,-0.01299458143075785,-0.5101486162666614,-0.24136752765730926,0.032416496294908746,0.5121313372469478,nan,0.11509767111799066,0.4039512721977629,nan,0.1928008965774811,nan,nan,nan,-0.2490568526742618,nan,nan,nan,nan,-0.7999375798678457,-1.307275182386734,-0.5030983382024286,0.21989386106234124,nan,nan,nan,0.19250259487247987,-0.2890739367311414,nan,-1.0849971256566615,-0.6464257864377029,-0.4180134657064486,-0.7504596748362554,-0.3832422923294273,-0.22054111928226833,nan,-0.007235098678747712,-0.30767823885601153,0.043196416217548786,nan,nan,nan,nan,nan,-0.09900284493822799
Left-Caudate, nan,nan,-0.20510695729895062,0.11846614920382229,0.01830633577417196,-0.21558915221271135,0.09818196051909131,-0.10839041272546608,-0.016150761273125397,0.06021588556936468,-0.16200005273851426,nan,nan,0.0366074477829915,nan,1.180400603876765,nan,nan,nan,-0.25818117681313535,-0.7546557859234903,-0.24346438847171606,nan,nan,-0.20807361105974176,-0.6715998819221147,-0.15818477966687924,nan,nan,0.043636614405338225,nan,-0.9928227210996606,-1.5609064073132366,nan,0.23343276128485582,-0.810033303160707,0.20001248593273685,0.1987945735797821,-0.4729270124403273,-0.41462424561972916,-0.21315991337523688,-0.7543376087234165,nan,nan,-0.3025840172846988,-0.10047966674945032,nan,0.19435148438626387,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0608131441451876,nan,-0.005319259446222691,nan,nan,-0.08071851938157161,nan,nan,-0.28270766760150357,nan,nan,nan,-0.3648842465644869,-1.2504529900010874,-0.2083541052718461,0.4182060751783636,0.01809926132496369,-0.7825909198805239,nan,nan,0.023979682585327518,nan,nan,nan
Left-Putamen, nan,nan,nan,-0.05623369661105111,0.11030397847007922,0.003006626185000754,0.262341064586641,-0.26624314235546664,0.04986054713828319,-0.1538951416625499,-0.5133102442303267,0.6370644418432513,-0.37335517430380744,nan,0.5397688875451407,nan,-0.7413229848793232,-0.4060941014396225,-0.27470757545222235,-0.39982457277304007,-0.34706935718352716,0.044972687432247825,nan,-0.5180961220714841,-0.22408000005519454,-0.07019958928703049,-0.028415687013756893,-0.09012097597156644,-0.26679630733806586,-1.3985113986614703,0.15088767122859542,-0.5296209963024451,-0.6486962949851268,-0.1954431222634334,0.022174903666791326,nan,-0.33351270944896627,-0.483923637114762,0.010590295349941596,-0.24158186630748227,-0.25162754896896283,-0.29013078544587956,-0.07387654795874032,-0.027362623447676225,0.046002347226035724,0.21566048960910655,-0.3802248164384635,-0.30341120314649594,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.9977149787049449,nan,nan,nan,nan,nan,-0.42366024663569846,nan,-0.5248209489247572,nan,nan,nan,-0.997975589813661,-0.7546947451356,nan,-0.5124225112264913,-0.3409521114364864,-0.2392624162889685,nan,nan,nan,nan,nan,-0.4636409828440045
Left-Pallidum, nan,nan,nan,nan,0.01980203573459782,-0.6073630262726087,-0.23965900740073498,0.14390641591980136,0.26971612346891893,0.13631430516380452,-0.04354985770989891,0.6654955288552044,-0.4887932425027294,nan,0.3169191909147688,nan,-2.859134453284102,-0.10155281899137066,-0.13236757446545724,-0.5097381222574577,-0.30009781238894756,-0.19526574906640645,nan,-0.5437140285758233,-0.23494184618218703,-0.27363253005374183,-0.03214090695021939,-0.11091588430579354,nan,-0.35397114376056005,-0.5247867797940222,-0.7408350159352479,-0.851380064774321,-0.3815693107478306,-0.035354546008522475,nan,0.029557283440589825,-0.2960496547272225,nan,-0.27774539801410175,-0.1415877155352639,-0.2464028839363602,-0.47059168788439204,-0.08539418692058562,-0.16178907316488061,-0.3321445027841615,nan,-0.28345685777802065,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.28612670990681116,nan,nan,nan,nan,0.9228948789119639,-0.22219321719575946,nan,-0.3564463402738381,nan,nan,nan,-0.3510331509866632,-0.015210811648940318,nan,0.2166084929144187,-0.531181204819526,0.2538781227243766,nan,nan,nan,nan,nan,-1.0400980136678184
Left-Hippocampus, nan,nan,nan,nan,nan,-0.07581618359597939,-0.02907917364885498,0.15419088355366364,-0.6375974425858941,0.7007751213215213,nan,0.2074174257488706,nan,nan,nan,nan,nan,-0.017035427102417528,0.266232583766099,-0.05099728502005665,-0.8281372967361702,-0.31538605807818443,-0.39543652804420515,-0.5197211799473902,-0.29227689659097755,-0.41022415531339057,0.06328769510889296,-0.9323315537603424,0.1517885211636606,nan,nan,nan,-0.6569918308890148,-0.17118750096535917,nan,0.5672085949557824,nan,-0.4149848811393257,nan,-0.46967646374148,0.10584712740956566,-0.4335376883663744,0.09523877438793936,nan,-0.6494872742200584,0.0005850257207093143,nan,-0.2939234626114471,nan,nan,nan,-0.17619402860098968,nan,nan,nan,nan,nan,nan,nan,-0.04140065035154811,nan,nan,nan,nan,nan,nan,nan,0.11157125707529417,nan,nan,nan,0.03583993614072518,nan,nan,-0.5527308890752617,0.4470510893570907,nan,nan,nan,nan,nan,nan
Left-Amygdala, nan,nan,nan,nan,nan,nan,0.09556894246486022,-0.24661416503412747,nan,0.8945286759971494,nan,nan,nan,nan,nan,nan,nan,nan,-0.005785545870058912,0.3556048717040665,-0.5673082312863271,0.6536972693472048,nan,-0.3322860200667766,-0.10313680011789014,-0.3133756365393318,0.17160471772052138,-0.022637518113710734,-0.4414498493577122,nan,nan,nan,nan,0.2458061308178977,-0.7523795603919274,nan,0.07151378617468483,-1.1585102001491807,nan,0.1293618514558173,0.2784708258191047,-0.6733105208400892,0.0641728210277573,nan,nan,0.5625498658069679,nan,0.1560970753824577,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Left-Accumbens-area, nan,nan,nan,nan,nan,nan,nan,nan,-0.26071150818585104,nan,nan,nan,nan,-0.21997318256001697,nan,0.3732593044597864,nan,nan,nan,0.23516926701411814,-0.35739698371472245,0.7469768330604843,nan,-0.9581466416776802,-0.3513566182912126,-0.2374396626157962,-0.38894803533959343,-0.023146811878561598,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.8315138051797407,-0.2773169692685636,-0.28994416585934585,-0.2706575690058647,-1.0082254972663156,nan,nan,-0.7283440666034637,0.07766503366398203,nan,0.14352266430812885,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.121309676666569,nan,0.00839060089320001,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.1972328175464251,-0.04258307426875822,0.09039892923380517,nan,nan,nan,-0.31566497513669367,nan,nan,nan
Right-Thalamus-Proper, nan,nan,nan,nan,nan,nan,nan,nan,0.6347027393350985,-0.5345058595154966,-0.5484019777614219,0.23908528424225273,0.14630057775181307,-0.1302188208861625,nan,nan,nan,-0.10930851907519848,nan,nan,nan,nan,0.03246713798426982,nan,nan,nan,-0.07791644437672066,nan,nan,-0.10821415673080975,-0.09074479134940955,nan,-0.20123503248596764,nan,-0.6027840015491128,-0.3509642090762645,-0.2520759323333089,-0.6254536219651604,nan,-0.6277862347438464,-0.16793994088654648,-0.6627146768230958,nan,nan,nan,nan,nan,-0.2459873737541951,nan,nan,-0.579805503346064,-0.4571778496654865,0.10551873271554377,-0.16295955734625092,-0.3427816295553858,-0.01867698036653666,0.32050769412773883,-0.6296016375438562,0.09032271704208567,0.18986075047823747,-0.5254289769200027,0.15976055985509854,0.2736553723823035,-0.35932190799196373,-0.21054741395395535,-0.48076651476690957,-0.5169116089002344,-0.6991318291401979,-0.2731527935818858,-0.05526237337316738,0.1314159771544643,-0.4030125936628935,nan,-0.45820445901781326,-0.25639161767277224,-0.4424294803446937,nan,nan,-0.02023959685842139,0.21595285790558727,nan,-0.2822698977189031
Right-Caudate, nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.2228412432763381,-0.007332394468416836,0.05467482263327914,0.04825443596154798,0.0998310435376331,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.2722288524610562,nan,-0.18393111339169518,nan,nan,nan,nan,nan,0.017556401822266796,nan,0.24536100172651165,nan,-0.15892768525382311,0.9684440384845497,0.1416832401185517,0.08583083059542729,-0.10176959091575732,-0.32912446770937975,nan,nan,-0.023945146164619156,nan,nan,0.12640516085591577,nan,nan,nan,nan,nan,nan,nan,0.17966874820544823,nan,nan,0.05352728442977432,nan,0.16410335534857104,nan,nan,-0.21412201378714935,-0.2325306849361568,-0.5807926826232166,-0.4354777102862486,nan,-0.4700693100297749,nan,-0.31537852135576105,-0.7361680030200806,-0.09181669227455411,-0.33558563644185296,0.20252322293973654,-0.9135709910546715,nan,nan,-0.29773708276680283,0.08574196029964051,nan,-0.7006225342743111
Right-Putamen, nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.3243584024612881,0.17371718619863113,-0.42546599586883854,-0.3956819584285748,nan,nan,nan,nan,nan,nan,nan,nan,0.18617668233794024,-0.23887509552181146,-1.4593923378394926,-0.5610440160274105,-0.008787587345738545,nan,nan,nan,0.031977180190817134,nan,0.054888828731657416,0.8532592416830893,nan,nan,-1.2286576198254464,0.025541218267085018,nan,-0.8634269685954757,-0.6194287583817847,0.29472955062805467,-0.45105836942997607,nan,nan,nan,nan,0.27250344997761294,-0.4205969287175991,nan,-0.09032448254266026,-0.3753970605273189,0.4570888147469426,-0.1382024291370861,-0.2351174934169112,-0.16944427049603983,-0.7481682157211406,-0.5738227052242717,-0.19431293080227138,-0.2855525384080641,-0.4210978176697888,-0.2426219825310936,0.19478332624291908,-0.19303318933972022,-0.10510303095240822,-0.7998156370641165,-0.9671221168674777,-0.6912000093976973,0.10682032830085542,nan,0.02072445822477979,-0.15708397035588453,nan,-0.4397828920754887,-0.422424507303072,-0.5592267460886993,-0.15631678183217448,-0.2073095745107933,-0.23778348632532068,0.4071064385526823,0.24497940734225782,-0.1750100216969155
