# File generated on 2024-02-04 08:54:16
# Number of participants: 144
# Number of patients (schizophrenia): 72
# Number of controls: 72
# 1 datasets were included:
# - COBRE
# Effect size cohen d (regression coefficient normalized by the pooled SD).
x,Left-Thalamus-Proper,Left-Caudate,Left-Putamen,Left-Pallidum,Left-Hippocampus,Left-Amygdala,Left-Accumbens-area,Right-Thalamus-Proper,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,ctx-lh-bankssts,ctx-lh-caudalanteriorcingulate,ctx-lh-caudalmiddlefrontal,ctx-lh-cuneus,ctx-lh-entorhinal,ctx-lh-fusiform,ctx-lh-inferiorparietal,ctx-lh-inferiortemporal,ctx-lh-isthmuscingulate,ctx-lh-lateraloccipital,ctx-lh-lateralorbitofrontal,ctx-lh-lingual,ctx-lh-medialorbitofrontal,ctx-lh-middletemporal,ctx-lh-parahippocampal,ctx-lh-paracentral,ctx-lh-parsopercularis,ctx-lh-parsorbitalis,ctx-lh-parstriangularis,ctx-lh-pericalcarine,ctx-lh-postcentral,ctx-lh-posteriorcingulate,ctx-lh-precentral,ctx-lh-precuneus,ctx-lh-rostralanteriorcingulate,ctx-lh-rostralmiddlefrontal,ctx-lh-superiorfrontal,ctx-lh-superiorparietal,ctx-lh-superiortemporal,ctx-lh-supramarginal,ctx-lh-frontalpole,ctx-lh-temporalpole,ctx-lh-transversetemporal,ctx-lh-insula,ctx-rh-bankssts,ctx-rh-caudalanteriorcingulate,ctx-rh-caudalmiddlefrontal,ctx-rh-cuneus,ctx-rh-entorhinal,ctx-rh-fusiform,ctx-rh-inferiorparietal,ctx-rh-inferiortemporal,ctx-rh-isthmuscingulate,ctx-rh-lateraloccipital,ctx-rh-lateralorbitofrontal,ctx-rh-lingual,ctx-rh-medialorbitofrontal,ctx-rh-middletemporal,ctx-rh-parahippocampal,ctx-rh-paracentral,ctx-rh-parsopercularis,ctx-rh-parsorbitalis,ctx-rh-parstriangularis,ctx-rh-pericalcarine,ctx-rh-postcentral,ctx-rh-posteriorcingulate,ctx-rh-precentral,ctx-rh-precuneus,ctx-rh-rostralanteriorcingulate,ctx-rh-rostralmiddlefrontal,ctx-rh-superiorfrontal,ctx-rh-superiorparietal,ctx-rh-superiortemporal,ctx-rh-supramarginal,ctx-rh-frontalpole,ctx-rh-temporalpole,ctx-rh-transversetemporal,ctx-rh-insula
Left-Thalamus-Proper, nan,0.15208478590008426,0.0026915969800818795,0.2689712534914534,-0.11853003018704707,-0.09030933430580311,0.054043172123333594,-0.10749262025994992,-0.08916140759659988,0.1279535796210088,0.17749283312255515,0.0751854652944831,-0.007507642578240646,-0.04123182576904829,nan,nan,0.7459710494624128,-0.022433249590221572,0.03980625987559292,0.10331070779155899,0.020917268228238795,-0.11715558309622114,0.1391536589910043,-0.18251416582641383,-0.49496773722453696,-0.3050546702603234,-0.048710113004452285,0.4559095992712281,-0.2012505890347363,0.15505217370731209,0.03227264561563974,-0.5769352125448408,-0.24044018278244617,0.05940048185567136,0.0059671497266228415,-0.24474521914966701,0.20903565390062792,-0.007748606408429729,0.3178153102718941,-0.1835608123355719,0.13493532697847516,-0.12712888193214755,0.045224631850786276,nan,-0.06269894976580075,-0.33496092877121747,nan,-0.14388419434921101,nan,nan,nan,-0.009747570055022622,0.8964616609605717,-0.3559221232028141,nan,-0.14539855167846313,0.18957304915543535,0.014827933001758394,-0.13408563930523099,0.288250043869327,0.2694985892191674,0.02820695664850193,0.8947496578132408,-0.1262494827961463,0.49601819167008443,0.2012380940775229,-0.07885075765316414,-0.04772499291356202,-0.02008870216833151,-0.18966148668437025,0.09308838811946889,-0.028276641211330507,nan,-0.26558727183689007,0.03943511689386558,-0.10319668488479043,0.245959397616546,nan,0.0769476296660306,0.07662313406117051,0.08800795707911539,0.2002830606923639
Left-Caudate, nan,nan,0.0709564509738415,0.5272935956723066,-0.0570090101515598,0.04496771405280811,-0.3101830244070212,-0.12517747782176833,-0.3855029922254225,0.2119169471001141,0.15434686200024839,0.4960296968198709,-0.5335282928361199,-0.37742805695714465,nan,-0.23390201672460123,nan,0.09641782596632813,-0.6796985943432049,0.2786109667253144,0.19808012896225327,0.4042137700589361,0.06521463389796515,-0.32855690966111384,-0.36203065136706003,-0.008204208903466613,-0.21409824157684376,-0.04972991477977936,nan,0.03771804231577329,0.29569035846439184,-0.34500514475657,-0.016291045647391478,-0.23496225576741506,-0.4757924342373305,0.08125399055704506,-0.11795778412539522,-0.0680832936113809,-0.11787483805313133,0.10840935371962013,-0.13925986124121553,-0.49268036539257676,0.2114164819310806,nan,-0.17288746880358427,-0.009003456210299613,nan,-0.010503384792102808,nan,0.4678719413227714,1.0804350699429814,nan,nan,nan,nan,-0.10401237092943837,-0.41462049108041504,nan,-0.26308779124669396,nan,-0.395794925871244,nan,nan,-0.3585965853880437,-0.4771092024391459,-0.15439679654895225,-0.14543293788725056,nan,0.36093971796301916,nan,-0.02857633355144487,-0.0915880502076844,-0.36663520343195305,-0.12778842824414638,-0.016880665058481802,0.0243075025906692,-0.39985635225914873,nan,-0.2485141725710135,-0.5832843948382296,nan,-0.2127664516592809
Left-Putamen, nan,nan,nan,0.06812472038980123,-0.18926974196888738,-0.22251142491435294,0.0593159544603501,0.10787917892815657,0.06616969617281518,0.44159851532296096,0.3402076628067604,0.08722526190781557,-0.23313863762340986,-0.12427828953804597,0.10657994223754857,0.7384587653038979,-0.07546079690228838,-0.20592562581311114,0.06830287748090809,0.011336958749769194,-0.2493086888788827,0.1088026164089574,0.10733758421389777,-0.2824240116299991,-0.27879066014848286,-0.2517246541318342,0.024815735509956614,0.2278164316370433,0.051368421546485334,0.12443212351693449,-0.02900660801939636,-0.2763149294861454,-0.12041058528008161,0.10859325521375113,-0.3001974798245433,0.17415403159537235,-0.10898452212603708,-0.2721725779340149,-0.21532318818867272,-0.20977694089704813,-0.17471663758944825,-0.2864235778876929,0.0689794967307384,-0.3073277790796869,0.01038033845662241,-0.3886510845661436,0.09864570229275915,-0.17567115260247515,nan,0.29188818747830697,0.8657311707777258,0.44859324894308095,nan,0.34985877391334685,-0.7101032188980743,-0.343463982683663,-0.79781887553858,-0.2782206699741986,-0.46682883022786453,-0.1227341853415218,0.27323865060205305,0.00433458379248102,nan,-0.23455436270938976,0.0991134383148667,-0.2652398961379641,0.022817357580534967,-0.22820929401338844,0.5645319577663375,0.19457318667644574,0.2540671277124729,0.062441333783841674,1.3812726164325033,-0.4213792671235996,-0.04375784077361014,0.018883753929798654,0.03767980024386381,nan,-0.0313007668072863,0.517464138424955,0.31889294013630515,0.2750483166963469
Left-Pallidum, nan,nan,nan,nan,0.07100916347685973,-0.10118021127874754,0.27344060166610246,0.06560802093914458,0.056150911621673794,0.26237384529426105,0.24518169192351152,-0.0034789989603853664,0.08831188395132993,-0.3161850249513986,-0.1653107052427469,nan,-0.048425726772907914,0.02215634738416653,-0.07556233958546638,-0.1546644867279487,-0.21269792900137177,0.07985071602234266,0.019872025096681484,-0.37751243163202497,-0.07561092880186969,0.27427982567875564,-0.013405237825130206,0.11228023538435038,0.20241127463918523,0.43175855440974825,-0.3092358007104725,-0.45137070255742195,-0.22857169745849906,0.42072044635255923,-0.31714533550463636,-0.2305011615405888,0.0849937297698326,-0.16312493198050965,nan,-0.2552973114614825,-0.09847003120748662,-0.15193507431734465,0.16242528419437216,-0.4448271101769623,0.21467688874524055,-0.27544207784486985,-0.5010586902703352,-0.13943090615271234,nan,nan,nan,0.21038675477703145,0.9234546150691182,-0.26004002232524426,-0.5838080523524304,0.03253842757025174,-0.45599140679357664,-0.40612889324112167,-0.13317877924834104,nan,-0.27596235497749727,0.4633999583611097,nan,-0.17040524441512275,0.4773955286606675,-0.030498223588913728,-0.19302659762382557,-0.9431521812533302,0.38765138536919536,0.15037620414719957,0.07349302998856204,0.18600687001184846,nan,-0.3822527753814216,-0.009161484439691251,-0.056160075533145164,-0.006989477053062342,nan,-0.09680685196262023,0.5754296070309681,0.6764613104497882,0.5090775312224343
Left-Hippocampus, nan,nan,nan,nan,nan,0.3066714531942994,0.06218357007229968,0.0451926914901904,0.008790199106610016,-0.895565380187733,-1.294194654837973,0.13626586992893136,nan,nan,nan,-0.007717732826830408,nan,-0.3876861912191519,0.30850796379203715,0.2493661505821369,0.2616929312486617,0.007025634475425464,0.10551531099461307,-0.15504924355975389,-0.10175282877479061,-0.06369394017428416,-0.2398422217437531,0.0486590496344312,0.37010173733532636,nan,nan,-0.4108221897028396,0.14526094219412583,-0.5958930601027638,nan,0.828115227529972,nan,-0.15648040364982202,-0.30205802009852584,-0.17763699690532492,-0.07274699127792153,-0.4127364351686317,-0.34479786570382737,nan,-0.17660263014520897,-0.013583921855018848,nan,-0.1919357041852173,nan,nan,nan,-0.10533105158708368,nan,-0.4010218570336583,nan,0.9779718013018046,0.5735098232797634,-0.9276050768693826,nan,-0.30751339103036257,nan,nan,nan,nan,nan,-0.2834981182991707,nan,-0.34309697514044357,nan,nan,nan,0.14789728817986458,nan,-1.0612168959100432,0.4559518053565693,-0.11761533729259019,0.14677087468204764,nan,nan,nan,nan,-0.2083480953190433
Left-Amygdala, nan,nan,nan,nan,nan,nan,-0.2369026235250331,0.0024949834521929685,0.46717924493238316,-0.07321518380215608,0.048918199665891504,0.32208993334932917,nan,nan,nan,nan,nan,-0.9305161548411902,-0.3267215442059327,-0.06901929738078053,-0.14985831609554387,0.0035911495221107263,0.18023874706285498,-0.16248087267194908,0.15947917431411854,0.46913756207164226,-0.14576943354790384,0.1798935028981606,0.058014315044581904,nan,nan,0.1677242951447929,nan,0.0489980899895903,-1.107610899156445,nan,nan,-0.018019342508518863,-0.14784176540636537,-0.840377446433285,0.940980908960018,-0.34622188875251086,0.18597668590168817,nan,-0.35593513295687174,0.1251414242126182,nan,-0.051114109155715355,nan,nan,nan,nan,nan,nan,nan,-0.16042443481148538,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.5628228966753587,nan,nan,nan,0.7099861396459143,nan,nan,nan,nan,nan,-0.1903931791989523
Left-Accumbens-area, nan,nan,nan,nan,nan,nan,nan,-0.7655698844943523,-0.26120477698747113,0.09602550744505228,0.5351861724023359,nan,0.8364732440643544,-0.14468135971633833,nan,-0.27793422045779953,nan,0.12286183452676115,-0.4694816917952109,0.21912212668260783,-0.01778995275367049,0.07443070153725909,-0.22189285638901068,0.16193988557547576,-0.19003958098223053,0.08452855877062397,-0.2530973919097623,0.5092717985598239,nan,nan,nan,nan,nan,-0.9276223137771632,nan,-0.008923193577841684,nan,0.26748478934984604,-0.20130091284135854,0.18126174033225462,0.11843614935474531,-0.14888134639319298,0.18960654342905528,nan,-0.09710833052707851,-0.15968871622522535,nan,-0.29312926183501864,nan,-0.11860938967240318,nan,nan,nan,nan,nan,nan,nan,nan,0.22428475415143406,nan,-0.16340548874100383,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.332571595313908,0.20664485623217604,nan,-0.2093175762686665,nan,nan,nan,-0.3624356725896466,0.18277668206913603,nan,0.16958486468776965
Right-Thalamus-Proper, nan,nan,nan,nan,nan,nan,nan,nan,-0.04869124539064281,-0.2174563931256143,-0.2238664069822279,-0.20188063403945825,-0.24550775463271815,-0.0046126607460824235,nan,nan,nan,0.23817004412193785,nan,0.917763292042468,0.30664636357469904,0.47822430191404836,0.08952884729745356,-0.3884887950513237,0.48328126514552794,-0.28642205275884286,0.12189376161303353,-0.24857189157534643,-0.41318655455575126,0.19789890280620573,0.03546789912662838,-0.09220533052821495,-0.1476157957949447,0.4451719210005385,-0.2520566355696551,-0.29743817873347705,-0.18542026466676914,0.17775153729460338,-0.22547975992507982,-0.1719670270141628,0.0651455337252409,-0.0283778233683656,0.23586690568883006,nan,0.7637795947560742,-0.46540456406458575,-0.24612258672732965,0.11245534830037515,nan,nan,0.14368427069546927,0.13753681949796887,-0.08972407131570953,-0.3181350751336716,-0.08302073391710392,-0.2314483472256481,0.33568506944844534,0.31369398817725713,-0.3529896570560234,0.1463000251552594,-0.06228406593303175,-0.5800198649450733,0.2612764361196977,0.2779107427041244,-0.2769032241906015,-0.27240907407322285,-0.06823608330729708,0.33774454748599425,-0.02054051927879921,-0.02820937108877549,0.14967774445033447,0.01746144927016231,-0.7967966183739089,-0.12323326706067567,-0.08322863212578076,-0.0680242826092557,-0.4823432164780544,-1.094079293937415,-0.2752999002768709,-0.28788919378217365,nan,-0.004755149470017196
Right-Caudate, nan,nan,nan,nan,nan,nan,nan,nan,nan,0.2410057262729714,-0.025344197437595195,-0.0533326327138979,0.24198583889133063,-0.15370188631408138,nan,-0.06409577145676328,nan,nan,nan,nan,nan,0.011810910259391598,nan,0.20317740037761334,-0.13524754389122803,nan,-0.21848384456025255,0.826457869767884,nan,0.1953893145199377,-0.05704439845713468,-0.23282061965106113,0.030424536718463728,nan,0.030238142552310915,0.5683925264036136,0.0021121215623764343,0.3621119032555079,0.08458507189655998,0.2671126937042945,0.03184112552205839,-0.11750210414014056,0.06978023164715735,nan,0.06514609039819773,-0.008239605466300374,nan,0.29777447336829754,nan,0.5539202791213147,0.9168366081472199,-0.10554116902000252,-0.39196727377333096,0.04323486988440043,0.4012704452006248,0.09717343036398923,0.16595217227175038,0.26975944277711533,-0.44573166440711753,-0.09595023973299498,-0.5294877318250745,-0.3839030739321068,nan,-0.1679262229018339,0.47034398239601616,-0.22532723684728423,0.03802873905701608,0.49106413459176884,-0.2086582299424707,1.5257752156265882,-0.05809735084740455,0.039061568968065646,-0.3495484923320469,-0.12571168649712633,-0.1830875693052049,-0.18961350043001027,-0.22685208494907752,nan,-0.3505251562606414,0.2729428095109025,nan,0.4091474380372112
Right-Putamen, nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.08002478884183657,-0.0527202538608025,0.10138196639132782,-0.09561066508290371,nan,nan,nan,0.3205630383095267,nan,-0.5043123196148761,0.44132498687893446,nan,0.1819219449248484,0.08923917569496273,0.16407090822163922,-0.047675082268415284,0.4821839566995788,0.4663348639591304,nan,0.42286362252838505,0.196200532217744,-0.1047287817730794,0.2220280022345904,-0.42736359269600405,0.2954436872825047,0.5343101848982051,0.10622438987795185,0.029188692576474377,nan,0.14785553205464316,0.13392217767130624,0.2922452903779018,-0.16403483999076776,nan,0.21294974693742538,-0.029253428042973543,-0.5665080993292517,0.3660017192538063,-0.30961028827923925,nan,-0.2804103280113434,-0.2028521643489744,-0.44622143792339136,-0.0024212309662791026,-0.47726536167928646,-0.06779901113036324,0.2586413360202748,-0.2181591880851397,-0.25103998868689026,-0.18256899173541863,-0.27945444370510814,-0.07711623206787864,-0.11304061754989612,-0.05957185614599286,-0.04357116209063651,-0.33399110053349745,-0.35242413825862845,-0.22289662539280244,-0.07370678435753161,0.25911238381090085,0.27091170439774687,-0.236094590362576,0.07229268715353056,-0.26619775013094116,-0.12529535421355037,-0.17353228706942508,0.0009395112589707714,-0.1376290765664536,-0.16034900808516844,-0.2619745453032407,0.09145027272021129,-0.06578015027318805
