# File generated on 2024-02-04 08:54:19
# Number of participants: 120
# Number of patients (schizophrenia): 60
# Number of controls: 60
# 1 datasets were included:
# - MuensterFOR2017
# P-value.
x,Left-Thalamus-Proper,Left-Caudate,Left-Putamen,Left-Pallidum,Left-Hippocampus,Left-Amygdala,Left-Accumbens-area,Right-Thalamus-Proper,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,ctx-lh-bankssts,ctx-lh-caudalanteriorcingulate,ctx-lh-caudalmiddlefrontal,ctx-lh-cuneus,ctx-lh-entorhinal,ctx-lh-fusiform,ctx-lh-inferiorparietal,ctx-lh-inferiortemporal,ctx-lh-isthmuscingulate,ctx-lh-lateraloccipital,ctx-lh-lateralorbitofrontal,ctx-lh-lingual,ctx-lh-medialorbitofrontal,ctx-lh-middletemporal,ctx-lh-parahippocampal,ctx-lh-paracentral,ctx-lh-parsopercularis,ctx-lh-parsorbitalis,ctx-lh-parstriangularis,ctx-lh-pericalcarine,ctx-lh-postcentral,ctx-lh-posteriorcingulate,ctx-lh-precentral,ctx-lh-precuneus,ctx-lh-rostralanteriorcingulate,ctx-lh-rostralmiddlefrontal,ctx-lh-superiorfrontal,ctx-lh-superiorparietal,ctx-lh-superiortemporal,ctx-lh-supramarginal,ctx-lh-frontalpole,ctx-lh-temporalpole,ctx-lh-transversetemporal,ctx-lh-insula,ctx-rh-bankssts,ctx-rh-caudalanteriorcingulate,ctx-rh-caudalmiddlefrontal,ctx-rh-cuneus,ctx-rh-entorhinal,ctx-rh-fusiform,ctx-rh-inferiorparietal,ctx-rh-inferiortemporal,ctx-rh-isthmuscingulate,ctx-rh-lateraloccipital,ctx-rh-lateralorbitofrontal,ctx-rh-lingual,ctx-rh-medialorbitofrontal,ctx-rh-middletemporal,ctx-rh-parahippocampal,ctx-rh-paracentral,ctx-rh-parsopercularis,ctx-rh-parsorbitalis,ctx-rh-parstriangularis,ctx-rh-pericalcarine,ctx-rh-postcentral,ctx-rh-posteriorcingulate,ctx-rh-precentral,ctx-rh-precuneus,ctx-rh-rostralanteriorcingulate,ctx-rh-rostralmiddlefrontal,ctx-rh-superiorfrontal,ctx-rh-superiorparietal,ctx-rh-superiortemporal,ctx-rh-supramarginal,ctx-rh-frontalpole,ctx-rh-temporalpole,ctx-rh-transversetemporal,ctx-rh-insula
Left-Thalamus-Proper, nan,0.21405449324183598,0.016237010987193073,0.8891930449170391,0.568266829408376,0.8386567508226254,0.7642200442153684,0.10959144106454957,0.3208807172290077,0.793531677288191,0.192601246500549,0.11602309195088656,0.11401968887799736,0.08546713894117439,nan,nan,nan,0.22228282548110437,0.7929238938181894,0.923820648766555,0.48604167487890115,0.004934815295645635,0.794849757069662,0.052902934399416686,0.7042013129333895,0.44076045542932685,0.479493556963269,0.5176096484209005,0.1129506568964534,0.352052477108996,0.9693730735763934,0.010355629299450017,0.3306805254953752,0.7009175303590192,0.6080397916664493,0.2593605332838849,0.48902999163633576,0.31872092877290475,0.8904665238649886,0.802675601161636,0.7510240259992289,0.5496681696653518,0.2542116273473334,nan,0.3763887568754112,0.42933030428393393,nan,0.7708126347659537,nan,nan,nan,0.048701021586790384,nan,0.9241862512442001,nan,0.5772656804316915,0.8190731215405814,0.09371656585943108,0.730044477972948,0.10923916403710507,0.6036225174535965,nan,nan,0.8849832087889405,0.5891518316876831,0.42392239273904475,0.7638385984321507,0.11497640172939234,0.8927742935234141,0.7064178967268315,0.5222040600250631,0.5633742209935484,nan,0.3913054999034822,0.4171395627086143,0.315340608548145,0.8428547839104101,nan,0.09556615754142798,nan,nan,0.07831934097032799
Left-Caudate, nan,nan,0.9114542182239223,0.059598370196265744,0.06944533239095128,0.6934353665198323,0.11202713673004167,0.8964034183989799,0.0025616144655095066,0.15014152627306698,0.5304744465837109,0.03202762264566075,nan,0.07719500289505843,nan,0.7528872819458847,nan,0.9469980229106174,0.9347028994384436,0.3962487337351579,0.5834530663938865,0.6924443097296683,nan,0.3074448722891275,0.8744754425924028,0.8115988394953323,0.15409767649868159,0.2547380882902482,nan,0.18558024208346313,0.15879617265585763,0.05727139773467885,0.7399676016050183,0.9190907655702083,0.13268425307370169,nan,0.8971436921478579,0.8673705917515993,0.12346159484718787,0.0817201219185828,0.15609635828273488,0.3904576745964591,0.16988876208234124,nan,0.9511495989121905,0.8629077010240858,nan,0.8679536446192628,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.8734333075419622,nan,0.007274208643878886,nan,nan,0.8559968339437993,0.8332175252183579,0.5798935162000416,0.4369824636807186,nan,nan,nan,0.5299774785432148,0.41042497676484757,0.5275185662531905,0.47297427406651205,0.016625665187636397,0.7810913438814516,nan,nan,0.055818371940377594,nan,nan,0.8742322813700947
Left-Putamen, nan,nan,nan,0.21279943811621563,0.8647614616451471,0.3480946950916345,0.3644399138681058,0.07828311986648077,0.1826719028068937,0.41605585954043967,0.40537643855588035,0.04770337079128536,0.2654542895786127,0.8281552899870527,0.5923424273156521,0.7119503993208733,0.26372854982677074,0.18697935615333583,0.3402081030734321,0.6896558300879808,0.792223459168796,0.5957688182673675,0.09493185959640586,0.8396503686035125,0.8604238912893398,0.8227288952982343,0.14771311796736314,0.7130190565360406,0.3701167343528422,0.17838492165811412,0.025696207228372323,0.848479716276764,0.4780584795648042,0.49749078428977866,0.07389515613676144,nan,0.7111288253542802,0.7480941755107264,0.5165706050316274,0.3098601592156407,0.4336100673544583,0.04000568965435789,0.6851475920943001,0.5989641612414243,0.4200672599407853,0.3452463632960684,0.4328746580501551,0.6664718683424409,nan,nan,nan,0.5547520294861787,nan,nan,nan,0.7417663489720274,0.38290081382477015,nan,0.026896769521627072,nan,0.7690877503678797,nan,nan,0.9483934331994059,0.34849309462531053,0.03641061503316767,0.6979173867071974,nan,nan,nan,0.6001594872802037,0.9004779370823273,nan,0.2983653771015108,0.4066778794654553,0.4097020131349548,0.9187176459400129,nan,0.006283589061251221,nan,0.022876854910157434,0.6283812869104262
Left-Pallidum, nan,nan,nan,nan,0.7011718447890192,0.15568139793309427,0.023685062125240446,0.23344376210718595,0.4969163017629069,0.3663876776193383,0.27192310825689475,0.1228481167815693,0.8618143571254838,0.9537961758290672,0.7141539441468632,nan,0.8716468939156319,0.8654217753413745,0.6305020376133957,0.5371567110714824,0.8383620758060838,0.37178053792186705,0.6276905829011336,0.34788224074210494,0.5369740938067666,0.48182294492853195,0.9244831572428235,0.9993045039022344,0.44763611239024603,0.723743785110271,0.9022837950912924,0.5548828792251452,0.9844096439540141,0.7764211200052366,0.5962395441424873,nan,0.6239001413711764,0.9251261060974123,nan,0.4934486388048426,0.23458424811953785,0.2459319014896245,0.39202321281373065,0.6885379373821716,0.2767966185322125,0.7059082696503457,nan,0.8243717159331915,nan,nan,nan,nan,nan,nan,nan,0.8638435888875085,0.5544738940653691,nan,0.46258251012081864,nan,0.9506931447965549,nan,nan,0.9760835140475619,0.3553557712765266,0.29172757388203474,0.3962052343233565,nan,nan,nan,0.3638805983410116,0.7336043696304464,nan,0.2922056992390546,0.6341103846116605,0.6608753153355857,0.8669474193439515,nan,nan,nan,nan,0.7405236112562394
Left-Hippocampus, nan,nan,nan,nan,nan,0.6845050303261646,0.7113662410076942,0.7361878832538105,0.7581977968805472,0.27151512240287484,0.6932719702425016,0.5450161015029501,nan,nan,nan,0.5794976968872659,nan,0.6280548835922328,0.7236567236343091,0.3710684306455063,0.17319621494452436,0.1425087462428688,0.9745119371178028,0.8411328000949825,0.521278762599981,0.2100353917069765,0.3094316467869946,0.1551650777350168,0.9994475448805935,nan,nan,0.6354443837265955,0.072175156578348,0.19194829628926502,0.4690574061422066,0.09152865066754333,0.536990279749238,0.9567894871777496,0.12701231939433438,0.37553272560731044,0.160456233032787,0.5925408223873638,0.2738704302873809,nan,0.2332284146417748,0.07541770416219336,nan,0.5181152404242313,nan,nan,nan,0.3210507139261807,nan,nan,nan,nan,0.8562033960354956,0.9847115749579525,nan,0.35047515747857494,nan,nan,nan,nan,nan,nan,nan,0.39111933429302004,nan,nan,nan,0.00775019305732957,nan,nan,0.015868528842372834,0.19655602576549225,nan,nan,nan,nan,nan,nan
Left-Amygdala, nan,nan,nan,nan,nan,nan,0.4189041889358863,0.4611269582197953,nan,0.7806364052665448,0.484160246687262,nan,nan,nan,nan,nan,nan,nan,0.35028123922209975,0.052086608916090425,0.8146131766432828,0.08005312677714181,nan,0.8388392606217842,0.7929701018529011,0.26501131626539487,0.8230760343925859,0.5721707695972158,0.5899537880501712,nan,nan,nan,nan,0.850958092801157,0.01889716305925096,nan,0.32421321399549663,0.2759184336650817,nan,0.6627205619003835,0.6267946154083466,0.2968225493222052,0.9805630430139761,nan,nan,0.5558243648593035,nan,0.037212572190631586,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.14615040827265602,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Left-Accumbens-area, nan,nan,nan,nan,nan,nan,nan,nan,0.15038557071980696,0.5369757971272333,nan,nan,nan,0.6240718913316061,nan,0.8422074113538371,nan,nan,nan,0.4352256876639329,0.48546048383693663,0.05457835797952721,nan,0.3962638085445821,0.8050506428696352,0.44252813864609863,0.4786696360583922,0.5675274693967232,nan,nan,nan,nan,nan,0.36817733448313184,nan,0.697485472737126,nan,0.9731762327007913,0.896996028434434,nan,0.3069688181972762,0.8273647969640012,0.9278140631209042,nan,0.4783635357848365,0.8356456122562474,nan,0.7923658028385188,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.07120698938279439,nan,0.9685807925271798,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.8509454017105829,nan,0.8426077052272574,nan,nan,nan,0.12141301090428565,nan,nan,nan
Right-Thalamus-Proper, nan,nan,nan,nan,nan,nan,nan,nan,0.31361122405937364,0.7867839037283226,0.29367087478657566,0.33567868093060227,0.2583106313927652,0.7115584176390731,nan,nan,nan,0.5174482888760263,nan,0.8001320839355133,nan,0.43103943521763144,0.08455388892184706,0.5951595899382371,0.30977351667448905,0.5099230618611094,0.7693974006713828,nan,nan,0.32019377994728015,0.23413758953118197,nan,0.08865422917986893,0.9204114981831965,0.4163553475127493,0.4521028703619655,0.4310555358379051,0.31115981508939294,nan,0.9157018747251546,0.9256755127957083,0.6285845704649496,0.37067900595378245,nan,nan,nan,nan,0.7548584535390805,nan,nan,0.6373921065476627,0.8528493396280727,0.8557998273959915,0.7136752853652728,0.2766985863563279,0.26245093462310765,0.8908589257948859,0.252000596666451,0.2724476873396401,0.8637598978427209,0.20181417968668225,0.7031538216201403,0.8472103752374445,0.010700449034342988,0.2110396508066218,0.7694081058187231,0.29806807208749686,0.9733275954422658,0.4593721185018841,0.6485429066124238,0.3914290067041061,0.2272342605151019,nan,0.1259277289630624,0.5201199718391314,0.2670857163725545,0.5678061781529101,nan,0.2452039582369211,0.9117698251109588,nan,0.8054740500687159
Right-Caudate, nan,nan,nan,nan,nan,nan,nan,nan,nan,0.8227803133181006,0.4648449802636918,0.7109939262367254,0.9225822904990582,0.6316464346963827,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.28752066666507897,nan,0.031023986651513565,nan,nan,0.1325840077156333,0.007938993645696701,0.05174439185793342,0.4561560522123834,nan,nan,nan,0.682210969708902,0.33651932069612445,0.5608640361694159,0.08392683036224008,0.1762368770620174,0.9721620695276699,nan,nan,0.4282639210004523,0.8438813876377997,nan,0.4068950659234858,nan,0.2691363078334883,nan,nan,nan,0.05212354799544413,0.023554578742772222,0.922326595855445,nan,0.6906716938732747,0.6719716688376742,0.7113330531285356,0.04590311668890226,0.07526914666629655,nan,0.3734478349047209,0.4864056514212991,0.7476286602608418,0.14562335916274743,0.6185558225052374,0.37408577098335327,nan,0.738122361511722,0.18587602123495908,0.1281391468598627,0.6067585571190655,0.4267348146874459,0.32654835452342434,0.759847474869263,nan,0.5701501166631184,0.8201442361958,nan,0.9563312064592818
Right-Putamen, nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.8544139023706303,0.3506952409610741,0.8373148903158671,0.2074811881316089,nan,nan,nan,0.42233951874805997,nan,nan,nan,0.5191118365196439,0.2947638549949694,0.7079007952192127,0.9253281461968765,0.8653432112470013,0.9975096946970325,nan,nan,nan,0.14198476477894678,0.24333511631462296,0.025595631995423838,0.7718455643451199,nan,nan,0.06883336111659584,0.5234306270893021,nan,0.5868727547064378,0.8356750623878293,0.5638677834553245,0.6625541200701286,nan,0.440930691343982,nan,nan,0.6467093432329932,0.14624288774814595,nan,0.7417582809045844,0.8191184914270835,0.20861209519138818,0.22282010531822036,0.03713811701044882,0.7640091801800695,0.04548413488947892,0.07948200590146014,0.5400716640319998,0.06227078401260388,0.21755737616505913,0.888774554778633,0.10565705525947151,0.12884834874469425,0.7507167771340583,0.49105595938441304,0.07837649906923398,0.15154817776679919,0.6118355613748927,nan,0.45332165478374886,0.04475485630810024,nan,0.8010428567875065,0.9650848004069312,0.1547079655983594,0.25987897814938415,0.8953637503117011,0.49772754194208346,0.3370348771958358,0.3599561912367446,0.2149457676988936
