# File generated on 2024-02-04 08:54:25
# Number of participants: 38
# Number of patients (schizophrenia): 19
# Number of controls: 19
# 1 datasets were included:
# - SCHIZOPHRENIA_LONGBIAO_3_Dataset1_set750
# Effect size cohen d (regression coefficient normalized by the pooled SD).
x,Left-Thalamus-Proper,Left-Caudate,Left-Putamen,Left-Pallidum,Left-Hippocampus,Left-Amygdala,Left-Accumbens-area,Right-Thalamus-Proper,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,ctx-lh-bankssts,ctx-lh-caudalanteriorcingulate,ctx-lh-caudalmiddlefrontal,ctx-lh-cuneus,ctx-lh-entorhinal,ctx-lh-fusiform,ctx-lh-inferiorparietal,ctx-lh-inferiortemporal,ctx-lh-isthmuscingulate,ctx-lh-lateraloccipital,ctx-lh-lateralorbitofrontal,ctx-lh-lingual,ctx-lh-medialorbitofrontal,ctx-lh-middletemporal,ctx-lh-parahippocampal,ctx-lh-paracentral,ctx-lh-parsopercularis,ctx-lh-parsorbitalis,ctx-lh-parstriangularis,ctx-lh-pericalcarine,ctx-lh-postcentral,ctx-lh-posteriorcingulate,ctx-lh-precentral,ctx-lh-precuneus,ctx-lh-rostralanteriorcingulate,ctx-lh-rostralmiddlefrontal,ctx-lh-superiorfrontal,ctx-lh-superiorparietal,ctx-lh-superiortemporal,ctx-lh-supramarginal,ctx-lh-frontalpole,ctx-lh-temporalpole,ctx-lh-transversetemporal,ctx-lh-insula,ctx-rh-bankssts,ctx-rh-caudalanteriorcingulate,ctx-rh-caudalmiddlefrontal,ctx-rh-cuneus,ctx-rh-entorhinal,ctx-rh-fusiform,ctx-rh-inferiorparietal,ctx-rh-inferiortemporal,ctx-rh-isthmuscingulate,ctx-rh-lateraloccipital,ctx-rh-lateralorbitofrontal,ctx-rh-lingual,ctx-rh-medialorbitofrontal,ctx-rh-middletemporal,ctx-rh-parahippocampal,ctx-rh-paracentral,ctx-rh-parsopercularis,ctx-rh-parsorbitalis,ctx-rh-parstriangularis,ctx-rh-pericalcarine,ctx-rh-postcentral,ctx-rh-posteriorcingulate,ctx-rh-precentral,ctx-rh-precuneus,ctx-rh-rostralanteriorcingulate,ctx-rh-rostralmiddlefrontal,ctx-rh-superiorfrontal,ctx-rh-superiorparietal,ctx-rh-superiortemporal,ctx-rh-supramarginal,ctx-rh-frontalpole,ctx-rh-temporalpole,ctx-rh-transversetemporal,ctx-rh-insula
Left-Thalamus-Proper, nan,0.055712233335689545,0.017230362059771274,0.2650738907866208,-0.7203640039972816,0.004567790148727037,-0.021874122332150928,-0.39948419096003934,-0.11815090236441826,0.4463674957234762,0.2159617957401405,-0.1127614887871878,0.7567881860733031,0.2076915629432452,nan,nan,nan,0.5438602315457403,-0.05239239137538094,-0.23781608750771344,-0.10901645180617321,-0.3148588512994862,0.17712575880258968,0.0986575321248727,0.1477462609966678,-0.2035676304048706,-0.17917691328141583,0.18624978727132788,-0.19226801623689818,-0.040968379209791135,0.17261268884842149,-0.14022368147062064,0.01738902614234742,-0.2566346495176497,-0.07955896035002556,1.1435876240993479,0.28574564607108976,-0.5703559281117448,-0.11796206229725006,-0.21843026260295154,0.28421751231870196,-0.17567791231738616,0.05416250406753223,nan,-0.5397990934675403,-0.3375993732786133,nan,0.011497498845425332,nan,nan,nan,0.26649143028583516,0.4845257010652932,0.3266220350916665,-0.9198886794330045,0.5286605728148865,-0.11462716569435406,0.06612754106530142,0.19926341741094958,0.5774721682723983,0.684905082041995,1.2455811839829354,0.7778403549019749,-0.0023728789120499526,0.12099992538631366,0.44812065103101206,-0.08742597759818838,0.05762168919676812,-0.1344715725438635,0.2757957733555276,-0.009360340760515229,-0.26384644738647445,nan,-0.2107740964282545,-0.00829696577383769,-0.35231482239364736,0.08726807782090908,nan,-0.018757131134428753,0.8182577439026043,nan,-0.4144688514969138
Left-Caudate, nan,nan,0.1969300476153408,0.005087060777802927,0.3296460080603756,0.07207814172611056,-0.0518320877039379,-0.2369371002234858,-0.32605542122554504,0.4186350587168851,0.3128545103878889,-0.3031843039869812,nan,-0.05309369937437648,nan,nan,nan,0.2514049866484556,0.40643613625104996,0.4176771565654571,nan,0.2966914841303487,-0.07990639939779318,0.6555828388203032,0.20578626031801645,0.4235528745321554,0.2047422265850973,0.19757489558705665,-0.011125584050583464,-0.08122786721027239,nan,-0.006797196415611488,-0.3717317667375694,0.21310663103333863,-0.11978691258035065,nan,-0.09821980019549514,-0.18393431996938917,0.14395836363250425,-0.09947038922168573,0.19899872249943795,-0.6220689388102076,-0.005376229255893158,nan,-0.30124031960096187,0.0777225509428521,nan,-0.3044955093746319,nan,nan,nan,nan,nan,nan,nan,0.719071726908284,0.612904535139756,nan,-0.463113405884635,nan,-0.29338758936177983,0.9726671206464277,nan,-0.00727910288735552,nan,nan,-0.45107885638790907,nan,-0.4665926331756094,0.6332389448632588,0.0018826619063752508,0.06302685262001524,nan,-0.5029773146499747,-0.39226572649989055,-0.4638892284806992,-0.6117605839509931,nan,-0.2793307078254614,nan,nan,-0.9706070963741693
Left-Putamen, nan,nan,nan,-0.074514730850547,0.24046955170725748,0.08649979275881475,0.8106697853501069,0.3365266677231103,0.4223899148180692,0.7250269760601267,0.8935048364171858,0.4691728750729049,0.007070882451913123,0.7406725159143074,2.1757769517272885,0.14881077601497308,-0.31192505058564424,0.3683102275961194,-0.004976829169703835,-0.056911437365565344,-0.5196232850014704,0.19703469527934692,0.3603588746468526,0.0193778007813963,0.08422363227296063,0.08313173317682558,0.41348791406703495,0.09514864932396894,0.08701464617502414,0.4824065181128299,-0.07400418427926869,-0.3908924780481249,-0.3252104354714656,-0.27777347359285687,-0.35724834874079126,nan,0.09305321864019019,-0.27587209782203126,0.3324134866354665,-0.4605964752485612,-0.04182520831006962,-0.4027464516308433,-0.6472697090585613,-0.08617610905168553,0.14921167275491024,-0.29338292779305314,-0.6196363668722036,0.38821962863578025,nan,nan,nan,-0.25031642909631585,nan,nan,nan,0.9007954473158396,-0.4439744201084207,-0.18414930590830692,0.9019075234396884,0.5126350051311318,0.7597701029474183,1.879229653270005,nan,nan,0.1852660954126453,0.043235406419371424,0.0016593415201231329,-0.6041576373986286,-0.16988228942795028,nan,-0.03520694004944111,-0.149075631352457,nan,-0.04615852292670316,-0.15620235229553284,0.26857060501728336,-0.11788791305052755,nan,0.31961440434781396,nan,nan,0.2599818394496852
Left-Pallidum, nan,nan,nan,nan,-0.044189181554695166,0.17331792876441715,1.2833582209231458,-0.09143149311185252,0.29020457551308615,0.5755901244157455,0.7589752255719003,1.3601649602001302,0.3497887730478686,-0.05344567763924029,nan,nan,-0.434628584767866,0.3122707737073703,0.0890554434250259,0.2282397550988843,-0.4202737008248931,0.2640715652967625,-0.10747226970738916,0.017460812833009473,-1.0382096891210204,0.32397414235835975,0.5065130790853394,0.2578778514494839,0.16454472537883913,0.23983730822423505,-1.088383851526903,-0.9561933298999179,-0.6979273777895209,-0.18945523598863678,-0.0648692732926369,nan,0.15528529661951848,-0.2780122774274994,0.7104644829396247,-0.9536890681987452,0.04325939792518803,-0.13759207445164828,-0.04393480090913729,nan,-0.2902543663336211,0.388060611331211,nan,0.2500421326834758,nan,nan,nan,-0.14464512673541635,nan,nan,nan,nan,-0.5477172703445058,nan,0.13579421901816244,1.7949534045717148,nan,1.4968647434338742,nan,nan,-0.6288038793262594,0.5001768812459405,0.06908349685925004,-0.4152068260499129,0.2333753795149521,nan,-0.39126877395031934,-0.01973117018492084,nan,0.38722183401080257,-0.26338634519238424,0.375097086002184,0.25791225719745287,nan,-0.2525648441563669,nan,nan,-0.1858046840051162
Left-Hippocampus, nan,nan,nan,nan,nan,-0.32869595428008347,1.1450795943324903,-0.25328161933755944,-0.42658958036181394,0.5377790374952638,0.4474732605008817,0.33367705572233697,nan,nan,nan,nan,nan,-0.24845632720398741,0.2436997947578698,0.011979507513179482,nan,0.16688908037177863,-0.06540488284608098,-0.4838867300377505,0.07267287235335938,-0.516717246220477,0.4219538916242656,0.3227882001042225,0.12696250810544676,nan,nan,-0.2132809155983821,-0.5819928247399084,-0.3274299619463209,0.7987793816704126,nan,0.3131238049814357,-0.24699603431710196,-0.6645574756851063,-0.14669088494854407,-0.10956359267083599,0.2190441442004222,-0.10689570852998795,nan,0.536289140653863,-0.7428867312322498,nan,0.2507244896410312,nan,nan,nan,0.01071741110969992,1.1598146379257255,0.6061955787990837,nan,0.4336840423770214,0.128094985790835,-0.5990203366237222,nan,0.02509583381684127,nan,1.5655660467085,1.090343878095185,nan,nan,-0.11877836049849531,-0.12441456684345861,0.06604526726567983,nan,nan,nan,0.5800797794056898,nan,-0.6771124583882357,-0.7927706531378533,0.10336907085847943,nan,nan,-0.4552649661007286,nan,nan,0.050499712215038364
Left-Amygdala, nan,nan,nan,nan,nan,nan,0.326370189342507,1.2272671400470843,nan,1.073264606707326,nan,nan,nan,nan,nan,nan,nan,0.9353812144732724,-0.1490840732220529,-0.41284501204807716,-0.03285264095692816,-0.07835580762966304,0.036174389120814845,0.022256327712711896,0.02673951869388355,0.3347527784819353,0.09644832420031711,0.13036673748678057,0.4084059960832112,nan,nan,-1.2273013472692407,nan,-0.04178051016178996,0.2090805175776767,nan,nan,0.26977160745983464,-0.2133164104839833,-0.9290756817970992,nan,-0.3653102680467734,0.35445144310842996,nan,-1.164483345338257,-0.4094885534589664,nan,-0.24543551099792074,nan,nan,nan,nan,nan,nan,nan,nan,1.4146284667392184,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.7854781336676478,nan,nan,nan,-0.32656022156648123,nan,nan,nan,0.04438249332400447,nan,nan,nan,nan,nan,nan
Left-Accumbens-area, nan,nan,nan,nan,nan,nan,nan,-0.42586893884194243,-0.1500352894153285,0.7494648139526133,0.45452717522079145,0.6138989930180963,nan,0.695836280467186,nan,nan,nan,nan,0.45603991178507747,0.4504883918640471,-0.10271007571055547,-0.17284982956222353,-0.21811222483410403,0.6900802794066874,-0.07003162981725157,0.4009040853162891,0.25015202985676593,-0.3423436329523325,0.10340419052760769,nan,nan,-0.380762879257912,nan,0.7315585925270409,-0.4982477143304857,nan,-0.18361223257852588,-0.15301364381908658,0.11016095621338186,0.21844708978010546,0.1251012267283295,0.18755244712715263,-0.24232424859283505,nan,0.109362523227671,-0.4781235529615085,nan,0.27517580205431885,nan,nan,nan,nan,nan,nan,nan,nan,0.5633018836549829,nan,0.44622820101510974,nan,0.4910350040421209,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.14780340618351964,nan,-0.0746378940345297,-1.2163903348025977,0.5933191482839785,nan,nan,0.0759898441471152,nan,nan,0.715094160506182
Right-Thalamus-Proper, nan,nan,nan,nan,nan,nan,nan,nan,-0.32737237587327644,-0.5146712500753609,-0.059392140029650195,-0.9666698672333309,-0.3643776461828686,-0.07478570334371629,nan,nan,nan,-0.30009613411515845,nan,0.3992107299772985,nan,0.9432132396453341,-0.12154895116084226,-0.7315369941005434,-0.004095202197551222,0.7265460707796904,0.16133631667545412,0.6881108764033409,0.5256452560913444,0.6360171919114505,0.39393568371772797,0.26740127792822554,0.03780466983239832,-0.3511579078873192,0.5722851044557304,0.025175992618284366,0.1432594422032306,-0.13674978995627227,1.3866078923546108,0.08964600520573036,-0.21340364892168828,0.09763690273017411,0.5292760417249326,nan,0.17715345538319482,0.8963676767256379,nan,0.23055323555442667,nan,nan,nan,-0.42126569662580154,-0.28578291330851163,-0.4357644350193677,-0.6641774194615702,-0.5512022672894573,0.28250411077556353,-0.6800906895721022,0.37542465666982366,-0.11708576661888877,-0.1994431365306378,0.05355614296559885,-0.8304928260387656,0.17622193732679253,-0.5012355657588774,0.12541008525774686,-0.5567581453100925,-0.4498491144263165,0.16582551146144459,1.098156914698157,-0.015639937349581894,0.4328407092635868,nan,-0.24531341919664623,0.4951883659564448,-0.003652294613062531,0.8076739532873874,nan,0.1506027183483108,-0.5996341989594853,nan,0.7267497632135285
Right-Caudate, nan,nan,nan,nan,nan,nan,nan,nan,nan,0.4787525719970855,0.3408918395507059,-0.05678804380465001,0.33888901457159143,-0.1992807532752567,nan,nan,nan,nan,nan,1.4554100250404198,nan,1.5101712078772942,nan,0.04330313587544275,0.05805280362740423,0.18622055000551355,0.7116360518188324,nan,nan,0.9875093325665403,-0.08988432055972748,0.010579800323761684,0.6946113849538804,-0.6433719080156121,0.19526362898971214,nan,0.4745467703752984,-0.09238687520997226,-0.17488622523347486,0.01603932763032574,-0.09408055941402713,-0.3003452780904801,nan,nan,-0.5066253725238775,nan,nan,0.08294282564533476,nan,nan,nan,0.8427803543610298,0.6217137597859903,0.9978125917381345,0.4491962758928059,0.07498758377754042,-0.153990505692802,0.5859261119050457,0.3726291989376832,0.09128968390131016,0.8716616350972959,0.827087787049368,0.29296220126916434,0.7916224792372349,nan,-0.2120120046116983,-0.7006126638304742,0.35010065687930214,-0.2263491648729196,nan,-0.14540778418790304,-0.11584917909162448,0.6124506397168972,-0.0008008482225410516,-0.2090427665923713,0.11058234706494226,0.7168071376866426,nan,-0.19142375984593663,-0.6097771571969479,nan,-0.18830840899060453
Right-Putamen, nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.03831273715619718,0.030757736280805553,0.24600761164307314,0.24688608141461466,nan,nan,nan,-0.49942604902036253,-0.3004039380608673,nan,nan,0.8851168895910775,0.22304984942042985,0.6600343039221395,-0.46815519672490596,0.6371722677029219,0.8151118802397748,0.5889641642344725,0.3311569771734296,nan,0.19871282633452145,0.4256366502926502,0.7527440245381718,-0.38409133217124447,0.6292119236375987,nan,0.13553433864340309,0.39115668568479495,0.3481642178724291,0.20328177510524562,0.25676561674124737,0.6115222810349119,0.3971809810844534,nan,0.2606873599890079,nan,nan,0.388561745007544,-0.2451845693039358,0.5437472632916556,0.7751159273111458,-0.6382465466655581,0.02107047083267188,-0.4165208594826606,-0.30029816696421907,-0.41021423290583325,-0.25801404275937484,-0.4255222789432171,0.33339597171884877,-0.16823916000078085,0.7250679332409379,0.10021885842745994,-0.2591238160598117,0.3812373646585146,-0.4933933006723198,-0.024096222052348043,-0.3277378470884445,-0.35558552297197477,-0.283869795574593,nan,0.0801880512460445,-0.35548192229289677,-0.43756012222910506,-0.32267987157553096,-0.051464810068664664,-0.299776836595535,-0.266373406573689,-0.2975885871368135,0.177261746105485,-0.21070522586159238,-0.18574236991339835,0.08518468314477227
